datetime,open,high,low,close,volume,return
20230829,412.9491,416.5014,411.5494,415.8643,219300,0.00410201740118965
20230830,415.5159,421.4274,415.5159,420.8179,157900,0.01191161015806741
20230831,421.4082,425.9071,421.4082,422.2306,265600,0.0033569358290062024
20230901,424.5235,424.9492,419.5602,421.3307,196300,-0.002131088735904063
20230905,420.4697,422.1628,418.2638,418.4669,183000,-0.0067971079009190305
20230906,417.6832,423.0142,415.9804,416.5222,223800,-0.004647133483718702
20230907,415.5354,418.0122,414.0454,416.9189,209500,0.0009523320375472988
20230908,416.9963,419.5408,412.6618,415.0612,217300,-0.004455700976144894
20230911,416.4448,416.8802,411.1719,412.5845,213100,-0.005967254544554823
20230912,411.704,413.6777,408.3951,409.7593,191400,-0.006847482108895742
20230913,410.5527,415.2549,406.973,415.1968,229000,0.013269985319870115
20230914,416.6093,418.3508,412.9231,417.6349,220800,0.005872032901612645
20230915,415.6611,420.6825,412.8263,413.7745,443800,-0.009243365337336162
20230918,413.581,417.9541,412.7683,415.2354,268200,0.0035307576473997404
20230919,414.7323,416.6286,410.243,412.4586,321700,-0.006687277012678239
20230920,414.2873,415.845,409.6626,410.0012,424200,-0.005957998423285371
20230921,408.1823,434.3437,406.3537,412.894,848800,0.007055643055559724
20230922,407.5728,424.2333,406.8955,421.6597,428900,0.021229868011972464
20230925,420.7212,423.9914,416.2707,422.7723,298500,0.002638643879769198
20230926,420.1987,423.2464,417.9251,418.0508,251200,-0.011167941106748902
20230927,420.0149,421.0695,414.8775,421.0502,257500,0.007174554647196185
20230928,422.2305,430.5414,421.2921,427.5034,327200,0.015326623841811049
20230929,429.5932,432.1474,422.5014,423.0529,275400,-0.01041065763743887
20231002,421.6887,426.6036,418.3024,421.9015,235300,-0.002721496031479198
20231003,420.7308,424.3687,418.9023,421.5726,363900,-0.000779609557240657
20231004,423.0335,433.144,423.0335,432.7667,332100,0.02655310436278424
20231005,432.9119,437.8945,432.1862,434.5953,325100,0.0042254728861317314
20231006,432.8925,440.5164,431.5283,437.6139,184000,0.006945808383632901
20231009,436.6851,440.739,435.9208,436.7528,252500,-0.0019676795934764346
20231010,436.5013,441.7548,436.5013,438.6104,203400,0.004253217880396676
20231011,438.2331,443.564,438.2331,442.0257,215700,0.0077865284312201855
20231012,443.9705,443.9705,432.5055,432.7861,263300,-0.020902911552910575
20231013,435.1371,436.2884,429.2449,432.1184,188900,-0.0015426398864890611
20231016,434.5178,436.9753,431.8862,433.3568,180300,0.002865888629929314
20231017,432.1475,438.6685,432.1475,435.4467,211000,0.004822454723819147
20231018,434.2179,435.7176,428.2871,429.3804,190800,-0.013931175451864397
20231019,428.6354,431.6444,422.6465,422.6755,216500,-0.015615208511594592
20231020,423.4689,423.7688,415.3418,416.1449,178000,-0.01545078811676226
20231023,414.2002,422.0854,413.2811,417.6542,166700,0.0036269542142681743
20231024,418.97,421.2146,412.1587,415.9417,139900,-0.004100267337576513
20231025,414.6065,417.4607,409.7496,410.3979,185200,-0.013328439075663279
20231026,410.9493,418.999,410.9493,415.1193,159000,0.011504532635054243
20231027,414.6743,414.6743,405.57,406.76,184800,-0.020136989695153762
20231030,409.1401,415.4483,406.5375,413.3681,207400,0.01624567953410061
20231031,414.1518,419.8698,411.5105,417.8574,347700,0.010860267073756535
20231101,419.686,423.0143,418.2541,422.3854,127600,0.010836122238166324
20231102,424.659,429.5158,423.2851,427.8904,187400,0.01303327773893903
20231103,430.7253,435.9111,428.6161,429.3708,214900,0.003459639512238377
20231106,428.3258,432.1282,425.2588,432.0604,206900,0.0062641341750333535
20231107,432.67,436.6755,429.3805,434.2857,266200,0.005150463110114245
20231108,434.1986,434.8855,430.7156,431.2477,210000,-0.006995451726639845
20231109,433.3666,436.1433,429.1676,433.9761,170100,0.006326672504842978
20231110,435.9111,439.6941,431.4219,438.3008,170200,0.009965452759560067
20231113,435.2242,439.3845,434.1696,438.7265,171400,0.0009712271941944017
20231114,442.6353,448.2566,441.5614,444.5026,173900,0.01316558746332741
20231115,442.0064,448.6339,442.0064,443.6415,161800,-0.0019372540328621568
20231116,444.7832,450.8881,444.7832,449.195,169500,0.012517983978394875
20231117,450.5979,450.5979,441.1937,442.4805,190700,-0.014947936786332883
20231120,442.9256,442.9256,437.9719,441.1841,179500,-0.0029298168174796135
20231121,442.5095,446.2731,441.0776,442.5482,228100,0.0030919876707855565
20231122,443.7092,447.231,440.4971,442.8869,171300,0.0007652354045328824
20231124,443.7286,447.0568,440.1585,445.1605,95500,0.005133637397289448
20231127,444.4929,446.8923,443.3222,445.325,178400,0.0003694380599628122
20231128,444.9767,448.7403,441.7065,441.7065,140800,-0.008125458114932038
20231129,443.3548,446.4187,438.6717,440.5721,247900,-0.0025682199842225195
20231130,440.8436,441.3962,436.4901,439.6703,734800,-0.002046732950668817
20231201,439.0207,441.4156,436.8294,441.3283,239800,0.0037709832042744917
20231204,437.3724,442.0749,435.2587,440.4848,251000,-0.0019114269823760077
20231205,439.7673,439.7673,429.1309,432.922,253400,-0.017169277262648386
20231206,434.7351,436.9846,428.045,430.052,229400,-0.006629217974047252
20231207,430.5077,432.0591,428.0644,428.6946,210700,-0.0031564131140165985
20231208,426.5809,431.1186,425.6792,430.3914,228800,0.003958009505629745
20231211,431.4579,436.9361,431.4579,435.4817,230800,0.011827145375845616
20231212,435.9374,439.6413,433.3583,439.4183,299600,0.009039609627674139
20231213,441.6289,447.8052,440.7659,445.0225,300700,0.012753650324213162
20231214,444.9837,447.621,438.8365,440.1939,321500,-0.010850131554982045
20231215,436.8003,446.8259,436.8003,443.0639,651100,0.006519773542848606
20231218,445.4879,446.186,441.3478,444.5378,358900,0.003326556377023504
20231219,431.4676,454.4663,427.7347,435.0066,561000,-0.021440605307493255
20231220,431.8942,447.6888,430.7889,438.565,435400,0.008180130397180019
20231221,441.0277,457.0259,440.0387,455.8818,485300,0.039485215189753564
20231222,458.3059,460.5553,451.4606,454.8638,250700,-0.002233046572255426
20231226,452.2653,458.4513,452.2653,457.9471,181300,0.0067784065162659335
20231227,458.2671,460.2935,456.4539,459.7893,162900,0.004022854842826273
20231228,460.8849,464.0458,458.9651,462.2909,226700,0.005440591324642918
20231229,458.907,463.8034,458.907,462.5429,148800,0.0005452740157061431
20240102,450.0062,457.3944,436.8003,448.6681,301500,-0.029996819208943037
20240103,448.3675,449.2984,440.3296,440.892,244000,-0.01733157021204723
20240104,439.7382,446.632,438.2159,444.2274,163100,0.007565160434075846
20240105,444.3147,446.0115,441.1538,442.6955,182700,-0.003448575764795292
20240108,445.294,446.089,440.446,444.8092,183600,0.004774633270015816
20240109,442.6082,446.0987,440.4654,440.6884,152200,-0.009264171736873328
20240110,441.7356,449.1627,441.0084,448.6973,233700,0.018173568643196525
20240111,449.8608,451.2958,445.2552,450.8206,214200,0.004732327854509277
