datetime,open,high,low,close,volume,return
20230829,195.0877,197.5588,194.9361,197.5209,2225982,0.008631557245067034
20230830,198.3472,200.7349,196.9903,200.0299,1891780,0.01270254381512781
20230831,199.8631,200.5908,197.5361,197.8544,1891656,-0.010875829505793688
20230901,199.1658,199.8176,196.725,197.8165,1782697,-0.00019164640690361168
20230905,197.2177,197.3314,194.3525,194.5192,1520101,-0.016668334091452408
20230906,195.1484,196.1489,193.6551,195.1635,1364976,0.0033122809021295385
20230907,195.1029,195.1408,192.935,194.1705,1500493,-0.005088099220671216
20230908,193.8582,194.4067,191.8015,192.9594,1464008,-0.006237721176000965
20230911,194.3305,194.8713,192.9593,194.0182,1568252,0.0054873624284583755
20230912,193.2412,193.9725,190.9788,191.5577,1407046,-0.012681538973585593
20230913,191.1388,194.0182,190.3694,192.0834,1892029,0.002744001718028022
20230914,193.485,196.6691,193.2793,195.7931,1946012,0.019313134593374137
20230915,196.9966,197.0042,192.4337,193.5459,2575447,-0.011477616368534393
20230918,193.325,194.0106,189.7219,189.9048,2209601,-0.01881266348066124
20230919,189.6762,191.3444,187.429,190.4303,2752042,0.002767484535495912
20230920,191.6949,193.6221,190.5675,190.8341,4982119,0.002120265470281657
20230921,199.579,204.4389,197.4689,199.4647,8785660,0.04522583532949498
20230922,199.6018,201.6738,197.347,198.8858,3507935,-0.002902513356862757
20230925,198.2764,204.4771,198.2231,202.9536,2923672,0.020452998298243097
20230926,201.9709,202.8926,198.0783,199.1143,2939060,-0.018916957032170667
20230927,199.5028,200.4017,198.0936,200.1198,2340278,0.005049905530281507
20230928,199.6247,204.279,198.8172,202.9612,2529779,0.014198189988114507
20230929,205.2083,206.0234,200.8358,201.8033,2946382,-0.005704947395217097
20231002,202.626,203.1745,200.7673,201.948,2374033,0.000717408552148191
20231003,201.3539,202.2451,197.5222,198.2002,2594062,-0.018558478902734765
20231004,198.1773,199.1981,194.7571,198.0936,2671377,-0.0005380604019570301
20231005,197.0652,198.1164,196.1434,197.4156,1811984,-0.003422516836245504
20231006,197.4385,198.383,196.0216,196.4558,1961525,-0.004861635574505696
20231009,194.2467,195.6712,192.6318,194.7952,2141842,-0.008452862804358974
20231010,194.7114,197.4537,194.521,195.6103,1862741,0.004184207265211404
20231011,195.3893,195.7093,192.4033,194.5971,2667157,-0.005179369514320076
20231012,194.3686,195.0085,190.4989,191.9919,3120867,-0.013387629079228192
20231013,191.7177,193.3326,183.6127,184.9838,3622727,-0.03650206801048739
20231016,186.0655,191.2454,185.22,188.5793,2514018,0.019436612747564475
20231017,186.9034,190.019,186.4616,188.9373,1814963,0.0018985766500965173
20231018,186.7054,187.4443,184.283,185.5704,2286418,-0.01782026386918767
20231019,185.9817,188.3584,184.6029,185.3266,1723004,-0.0013138136594849081
20231020,186.1569,187.2462,181.7692,183.2927,2085128,-0.010974541816254901
20231023,182.5919,184.2373,180.4971,181.2741,1666539,-0.011013153881297422
20231024,182.2948,185.159,182.1196,184.1002,1823650,0.015590010723082859
20231025,183.3613,183.8716,178.5013,179.1716,2000988,-0.02677082197144376
20231026,178.5699,179.5601,171.158,173.6261,3707860,-0.03095103274149902
20231027,174.0298,177.6329,172.9862,174.3193,2487585,0.003992350660353194
20231030,174.8449,181.0151,174.4945,180.3981,2583390,0.03487162501177332
20231031,181.4341,183.3384,180.3067,182.8966,1924046,0.013850205809770033
20231101,183.2471,186.873,182.5843,185.2809,2580411,0.013036369065283049
20231102,186.7968,189.8514,186.7968,188.3431,1849338,0.01652738946307175
20231103,189.8362,190.438,188.0765,188.2593,1749190,-0.0004449393255717693
