datetime,open,high,low,close,volume,return
20230725,129.42,130.74,128.82,130.06,3114400,0.002389191203034713
20230726,124.74,128.39,122.6,127.3,4829300,-0.021220933097377048
20230727,128.07,128.07,122.93,123.51,3923900,-0.02977219815137322
20230728,124.67,125.13,123.75,124.99,3294100,0.011982800598664411
20230731,125.66,126.54,125.36,126.21,2811200,0.009760790795699137
20230801,125.96,127.23,125.3,126.97,2064300,0.006021726818346673
20230802,126.2,126.89,124.43,124.56,2206000,-0.018980890280691054
20230803,124.25,125.56,123.95,125.18,1784100,0.004977543021308817
20230804,124.98,125.7,124.1,124.82,1789100,-0.0028758636321610798
20230807,125.58,126.18,125.08,125.88,1493100,0.008492209270832829
20230808,124.82,125.49,124.31,125.2,1553100,-0.005401972672487654
20230809,125.59,126.32,124.95,125.05,1681400,-0.0011980343461700516
20230810,126.01,126.95,125.72,126.01,1880100,0.007676921719668606
20230811,126.01,126.18,124.98,125.59,1338400,-0.003333114762475553
20230814,125.5,126.3,124.21,124.47,2168800,-0.008917868857757028
20230815,123.89,124.55,122.95,123.17,1950700,-0.010444308178745199
20230816,123.48,123.48,121.61,121.78,1994800,-0.011285210768143816
20230817,122.13,122.29,120.18,120.33,2428200,-0.011906692090464133
20230818,119.32,120.8,119.32,120.08,2223700,-0.0020776198470520146
20230821,120.09,120.44,118.57,119.09,1767700,-0.00824454928437579
20230822,119.6,119.7,118.9,119.26,1631800,0.0014275405455341783
20230823,119.8,121.02,119.09,120.41,1673800,0.009642809871538205
20230824,120.42,121.3,120.21,120.66,2085900,0.0020762394518443195
20230825,121.34,122.01,120.55,121.48,1894500,0.006795952842173936
20230828,122.06,122.83,121.79,122.74,1354200,0.010372032202977666
20230829,122.63,123.24,122.12,122.73,1457700,-8.142827937007713e-05
20230830,122.51,122.97,121.88,122.59,1765700,-0.0011407725512382338
20230831,122.75,122.97,120.98,121.39,2869700,-0.009788702048205256
20230901,122.22,123.03,121.51,122.81,1777200,0.011697818404193816
20230905,122.78,123.63,121.62,121.81,2119500,-0.008142659554429943
20230906,121.9,122.98,121.72,122.5,1892400,0.0056645797162449
20230907,122.58,123.35,122.15,123.1,2346200,0.004897946727519198
20230908,123.26,123.74,121.26,121.6,2263800,-0.012185215423177631
20230911,121.74,122.45,121.35,121.68,2075900,0.0006579098031131991
20230912,121.51,122.36,120.95,121.65,2290700,-0.00024653829077614375
20230913,121.41,121.68,120.48,121.3,2596200,-0.0028770938736620844
20230914,121.96,122.6,121.26,122.2,1930900,0.007419570270747355
20230915,121.32,122.62,120.92,121.05,5493700,-0.009410752252076215
20230918,121.05,121.37,120.17,121.2,2077100,0.0012391069203050442
20230919,121.14,121.34,120.13,120.69,1702800,-0.004207875574895659
20230920,120.76,121.26,119.57,119.69,1444400,-0.008285690444703508
20230921,119.04,119.13,116.66,116.72,3260400,-0.024814112792395315
20230922,116.74,116.95,115.64,116.08,2238600,-0.005483202389950925
20230925,115.64,116.38,115.46,116.09,1513200,8.610016090870865e-05
20230926,115.28,115.96,114.5,114.56,2147800,-0.013179419653383984
20230927,114.86,115.41,112.4,113.19,3084600,-0.011958756515220714
20230928,113.25,113.91,113.01,113.55,2599700,0.003180498300085377
20230929,114.0,114.32,112.53,112.96,2376300,-0.00519598372019614
20231002,112.09,113.36,111.79,112.85,2289800,-0.0009738014451408095
20231003,111.94,112.17,110.16,111.05,2696900,-0.015950336257878228
20231004,111.28,113.09,110.42,112.97,3170600,0.01728949226638421
20231005,112.73,113.34,111.78,113.15,2613300,0.001593346049665989
20231006,113.25,114.95,112.76,114.06,2044500,0.008042386393664502
20231009,112.64,114.83,112.64,114.36,2041000,0.0026302214464251072
20231010,114.52,115.18,113.92,114.65,1673700,0.002535859688523656
20231011,114.87,115.48,112.68,113.55,2313900,-0.009594404356573882
20231012,113.28,113.96,111.95,112.68,1740500,-0.0076618469678549905
20231013,112.47,113.35,111.87,112.48,2067900,-0.0017749107889645233
20231016,113.92,114.12,112.85,113.58,2247700,0.009779502500817605
20231017,113.06,115.38,112.81,114.99,3164000,0.012414122292515373
20231018,114.85,114.88,112.9,113.08,1990200,-0.01661010581961786
20231019,112.9,113.83,111.58,111.97,2760800,-0.009816064665527202
20231020,112.86,113.23,110.26,110.5,3295100,-0.013128527325864892
20231023,109.9,110.98,109.12,109.61,4488300,-0.008054293118990419
20231024,113.14,116.79,112.41,115.45,6064100,0.0532797765292512
20231025,114.85,117.14,113.92,114.12,5210800,-0.01152008866883214
20231026,114.09,115.3,113.0,114.26,4179800,0.0012267734514459505
20231027,114.14,114.9,112.17,112.46,2952700,-0.015753570961881236
20231030,113.27,113.61,111.53,112.94,2655700,0.00426821412805678
20231031,113.64,114.92,113.11,113.75,2978900,0.00717192793593191
