datetime,open,high,low,close,volume,return
20240328,137.3496,137.3496,129.4131,136.1745,2239100,0.04190485841705294
20240401,140.4166,143.7227,136.4932,141.4224,1029500,0.038537549296390194
20240402,142.2489,151.8383,138.0566,139.4109,18246100,-0.014223494234137046
20240403,141.7012,143.394,135.2286,136.7621,8866900,-0.018999871941228652
20240404,135.4277,138.7636,124.7329,125.5295,14207700,-0.08213206775219328
20240405,124.9719,127.6406,118.4992,122.1837,16054800,-0.026653874988186388
20240408,125.5992,131.3947,125.3304,129.4131,12195000,0.059168679485013254
20240409,130.3193,133.0378,127.7103,131.6138,9143500,0.017005104691330875
20240410,128.9551,139.3412,128.3974,137.7877,8376800,0.04690936418098923
20240411,138.6143,138.7338,135.836,135.9953,5326900,-0.013008335717962338
20240412,134.4319,137.5288,132.993,133.4361,3765200,-0.018818435494059482
20240415,134.0336,134.7506,129.3036,131.1956,3724900,-0.016791103445917832
20240416,131.9424,132.4901,127.7103,129.5227,5870900,-0.012751288579608833
20240417,131.4844,137.5985,130.6977,134.183,6154600,0.03598052730097323
20240418,137.5686,137.8276,134.8601,136.6426,5022300,0.018330271711455293
20240419,136.6724,139.9984,134.3373,134.5315,4518800,-0.015449569162815813
20240422,134.9497,136.5629,131.5541,136.1148,2435000,0.011769087962601787
20240423,137.8774,147.7257,137.2898,147.2079,4682800,0.08149829268128639
20240424,146.3814,149.2692,143.7426,145.5649,4684600,-0.011161534499538162
20240425,142.3983,151.4998,138.0895,147.6859,6069300,0.014571153361742972
20240426,152.9935,156.5883,149.568,152.4259,4230500,0.03209497017381602
20240429,152.9337,158.8786,152.9337,158.3409,5416300,0.03880559990541954
20240430,157.4745,162.4137,151.6093,153.0632,3490100,-0.03333112653556747
20240501,153.5412,156.0406,148.7922,151.0318,3396800,-0.013271859484890514
20240502,152.8839,154.7859,151.0208,153.1827,2530700,0.014241539492203303
20240503,154.9751,166.4665,154.4871,165.5603,4635100,0.0808033286250196
20240506,166.4566,170.4497,163.8177,168.4282,4007000,0.01732222824670937
20240507,167.9503,172.7699,166.4616,166.6557,2884800,-0.010523629403289214
20240508,166.2973,166.3072,162.5381,163.3099,3679700,-0.020076541269961723
20240509,164.3057,168.01,163.9571,165.6998,4022600,0.014634097117393718
20240510,168.2888,170.0813,165.2915,166.5661,3459600,0.005228421721473753
20240513,164.3057,166.845,159.506,160.8503,4413800,-0.034315716167997
20240514,160.0138,165.8541,158.1915,164.933,3855400,0.025382194764987487
20240515,167.6516,171.6248,166.2535,167.1636,2572000,0.01352431527285014
20240516,167.3229,169.2846,165.65,165.6998,1604400,-0.008757000648548341
20240517,166.1778,166.9345,160.2627,161.9357,1937200,-0.022716381350547432
20240520,162.3738,163.6086,159.5358,160.2727,1736100,-0.010269287044777697
20240521,159.5657,163.7978,158.4006,163.2402,1945300,0.018515119341576236
20240522,163.5987,166.6557,162.3141,163.1605,2018900,-0.0004879367454506678
20240523,165.7197,169.2846,160.7607,160.9897,3139000,-0.013304918184872006
20240524,162.1249,177.0219,161.4079,176.6833,4294100,0.09748242283391884
20240528,177.5895,182.0108,176.0361,177.3406,2632700,0.003719799086631781
20240529,175.2594,177.9381,173.3634,176.5738,1537700,-0.0043236250098088735
20240530,176.2253,177.0617,173.7657,174.3432,2034100,-0.012632624670949832
20240531,176.3548,179.0085,164.704,175.1598,5454900,0.004683715513666531
20240603,178.1771,178.2468,165.7396,169.6531,3434800,-0.03143831495252358
20240604,167.6416,168.6971,160.6511,162.3539,5279800,-0.04302414811361077
20240605,164.3953,167.5918,161.7863,162.802,8005500,0.0027601438906392772
