datetime,open,high,low,close,volume,return
20230725,142.9693,144.0617,141.5946,143.6793,691900,0.0017771226103957538
20230726,143.1968,144.353,143.1058,143.8068,648400,0.0008869850240564858
20230727,143.8523,144.0617,141.3944,141.8404,1134800,-0.013673375407978305
20230728,142.8054,143.3243,141.622,142.3138,669800,0.003337473260356605
20230731,142.8691,143.1149,140.8573,141.7585,1703900,-0.0039019247901638243
20230801,141.977,142.9875,141.3762,142.7144,945300,0.006742633462238468
20230802,142.3411,142.9237,141.1213,141.4217,800900,-0.009057805213511738
20230803,141.358,142.4868,140.3475,141.7312,931300,0.0021887719215714085
20230804,142.332,143.3789,141.4763,141.5582,660800,-0.001220434264014969
20230807,142.3867,143.0967,141.9588,142.4413,743400,0.006237899719537143
20230808,141.3579,141.977,139.2186,141.4399,1034100,-0.0070302926685513745
20230809,141.6129,142.9055,141.1486,142.4777,1213100,0.0073374736215481295
20230810,141.6766,143.8523,141.4035,142.1682,952600,-0.002172442336033642
20230811,142.505,144.3803,142.241,143.825,696500,0.011654122749361173
20230814,143.1969,143.734,141.9042,143.0512,1067300,-0.005380069310391811
20230815,142.8236,142.9146,140.7753,140.9028,862200,-0.015018660258704908
20230816,141.7039,143.5155,141.5673,142.423,898100,0.010789560204647941
20230817,142.5687,143.4517,140.4385,140.4749,565300,-0.013678726123029561
20230818,139.51,142.0589,139.51,140.9847,646200,0.00362930828286534
20230821,140.8118,141.2852,139.1459,140.0835,776900,-0.006392177821185285
20230822,139.865,140.393,139.0548,139.3916,542100,-0.004939048613078589
20230823,139.2642,140.6843,139.2642,140.5205,630000,0.008098261991840383
20230824,140.1108,140.8391,138.7817,138.8636,544700,-0.011790883174981781
20230825,139.6283,140.4203,138.7544,139.3188,666200,0.0032780382316921486
20230828,139.2278,140.6661,138.9273,139.7011,549400,0.0027443494516175004
20230829,139.7466,141.1577,138.8909,141.1031,780500,0.01003511131179291
20230830,140.8482,143.3152,140.6752,141.7676,517100,0.0047096837681794845
20230831,141.8587,142.1409,139.8923,139.9469,996500,-0.012842698895540794
20230901,140.921,141.1941,139.9469,141.1759,575300,0.008781601214711277
20230905,140.657,140.657,138.2628,138.6815,892800,-0.017668415494293543
20230906,138.1445,138.9274,137.4617,138.1718,824500,-0.0036758003101236003
20230907,137.9611,138.4924,136.8893,138.3367,1055800,0.0011933441742197903
20230908,138.1626,138.5657,137.0358,137.4023,694000,-0.006754554446151806
20230911,137.7687,138.0435,135.9457,136.2297,698100,-0.00853389872105903
20230912,136.1381,136.1564,134.2968,134.9197,892600,-0.009616095434247574
20230913,135.3411,136.6328,135.1762,136.0098,684600,0.008080097750578608
20230914,136.6602,137.6679,136.2572,137.5946,566300,0.011651934960527965
20230915,137.6862,137.6862,136.2388,136.3396,932400,-0.009121142555377104
20230918,136.2205,137.0725,135.506,135.6434,483500,-0.005106348498604141
20230919,135.1029,136.4221,134.1594,136.074,797000,0.0031742974822279724
20230920,136.6236,138.0069,135.8449,136.7335,796300,0.004846965779685908
20230921,136.1014,136.1564,133.3898,133.4173,780500,-0.024252960171267213
20230922,133.2708,134.938,133.1608,134.0677,569800,0.004875087463593442
20230925,133.8387,135.5151,133.8387,134.654,732900,0.004373075974043017
20230926,133.9578,134.3151,130.8615,130.9989,850200,-0.02714487210707872
20230927,131.6859,131.915,129.7805,130.3668,1074600,-0.004825080353941691
20230928,130.4859,131.402,129.6981,131.2371,1018900,0.0066755480459443906
20230929,132.6112,133.3807,131.805,132.2631,994000,0.007818037306505321
20231002,131.5485,133.8754,130.9164,132.9959,1329000,0.005540844345398144
20231003,132.7944,132.7944,127.9483,128.7728,1419500,-0.03175370963424706
20231004,128.9927,131.4844,128.4155,131.008,999200,0.01735793029124011
20231005,131.1271,131.7775,130.2202,130.7149,691700,-0.0022377795375426723
20231006,130.3851,132.831,129.8355,131.9699,810400,0.009601437221371967
20231009,132.2997,134.7456,132.0524,134.3792,1231100,0.018256214372869506
20231010,134.8189,136.1197,134.5258,135.2495,1080200,0.006476110450311934
20231011,135.4969,135.79,133.6922,134.4525,871400,-0.005892229301777574
20231012,134.3609,135.8999,133.3532,134.9197,1092700,0.003474444307375757
20231013,135.3869,136.0007,133.7746,134.6998,769200,-0.0016293648021916685
20231016,136.1197,137.7595,135.9365,137.1274,986400,0.01802215732792578
20231017,136.4679,138.2451,135.9365,137.6038,813800,0.003473990637139046
20231018,137.045,137.7046,135.9091,136.248,910700,-0.00985295746741266
20231019,130.3393,131.7684,119.0075,119.1998,2671200,-0.1251260338471225
20231020,119.6395,122.1588,117.615,117.8349,1873000,-0.01145095674792751
20231023,117.4684,118.7693,116.2043,117.4959,1770700,-0.002876556999279911
20231024,118.412,118.98,117.5051,117.9814,1429100,0.004132223623698694
20231025,117.8624,118.8609,116.928,117.6516,974000,-0.002795255037437494
20231026,117.8715,118.7601,116.7539,118.1097,1260700,0.0038932387392460743
20231027,118.1463,118.6227,115.9203,116.4516,889100,-0.014038548469550216
20231030,116.873,117.7249,115.7462,116.818,973100,0.003146516749549244
20231031,116.9646,118.6044,116.7447,118.0456,2163400,0.010508196023243155
20231101,118.0181,118.357,116.9371,117.9723,1051200,-0.0006208446757915986
20231102,118.7051,119.8594,117.1845,119.722,1251000,0.014831535401949925
20231103,121.4992,123.2764,121.3618,122.7725,842400,0.025480173240197468
20231106,122.5618,123.1664,121.7923,122.461,940000,-0.0025370927155853318
20231107,122.516,124.284,122.1129,124.1649,1016600,0.013913776241473164
20231108,124.1741,124.2108,122.7634,123.1756,1025800,-0.007967902270951122
20231109,123.7711,124.3665,123.1481,123.7069,874800,0.004313505594004896
20231110,124.0275,125.081,123.2489,124.7329,735600,0.008293742260791825
20231113,124.0825,124.6963,123.1115,124.0276,767500,-0.005654904861724486
20231114,125.9147,127.1239,125.9147,126.6567,952100,0.02119774434180055
20231115,126.959,127.8201,126.0521,126.2994,792100,-0.002820649156506927
20231116,125.5666,126.6933,125.1268,125.933,1042100,-0.0029011767746141004
20231117,126.9223,127.2796,125.3009,125.878,1481400,-0.00043656085043941584
20231120,125.7498,126.3544,124.5863,125.823,709500,-0.00043675151905397946
20231121,125.3742,126.6017,125.2734,125.933,648900,0.0008738847085820733
20231122,126.6017,126.6384,125.3467,126.2078,879200,0.002182259005506282
20231124,126.2078,126.7941,125.8689,125.8689,407700,-0.0026856586120282966
20231127,125.5025,125.5025,123.7253,123.7253,984700,-0.017030426447415925
20231128,124.0367,124.2382,122.8916,123.084,935000,-0.005183229020458757
20231129,123.2306,124.0092,122.461,122.6259,786600,-0.003721224417589375
20231130,123.3364,123.6316,121.5834,122.506,1837200,-0.0009781103860503348
20231201,123.1518,124.7849,122.2846,124.2774,1423300,0.014459889941569104
20231204,123.8253,126.9807,123.8253,126.6947,2150800,0.019450631706438237
20231205,126.1873,126.1873,123.4563,123.6593,1325000,-0.023958504956724358
20231206,124.545,126.6301,124.0929,125.9382,1058100,0.018428616996138292
20231207,125.4215,125.726,123.8899,123.8899,1018700,-0.016263618644395295
20231208,124.3697,124.9971,122.5245,122.6905,1188300,-0.009681249558533778
20231211,124.0837,125.4492,123.8161,125.1078,1055000,0.01970214585965535
20231212,124.9602,125.1539,124.1483,125.1355,711700,0.00022136670461825325
20231213,125.6337,127.2483,124.6096,126.9623,1008400,0.014598433338861128
20231214,128.2447,130.6159,127.7742,129.0474,1258900,0.016423214672018904
20231215,128.2078,129.2043,126.6763,127.6819,2662200,-0.010581216047625852
20231218,127.9218,129.0105,127.1929,128.8075,853900,0.008815737252596767
20231219,129.112,129.6102,127.6912,128.1986,906200,-0.004727341521342465
20231220,127.6727,128.826,126.2057,126.2611,793200,-0.015113504827935054
20231221,127.562,128.0233,126.4548,127.7557,759400,0.011837665099187822
20231222,127.7188,129.0935,127.3498,128.2263,452400,0.003683145240614971
20231226,128.2355,128.6876,127.3037,127.8941,484400,-0.0025901901805177596
20231227,128.0233,128.7799,127.4051,128.0325,520000,0.0010820635337549511
20231228,127.848,127.9679,126.87,127.6819,603000,-0.002738375876263577
20231229,127.4236,128.1156,126.99,127.7834,705800,0.0007948360870162485
20240102,127.5066,129.8408,127.1007,127.4051,790600,-0.0029604459488150603
20240103,126.9531,128.0787,125.3385,125.6152,1145500,-0.01404877969326035
20240104,124.7387,126.3718,124.5542,125.6245,984400,7.349082640129012e-05
20240105,124.8679,127.0638,124.7388,126.0489,818500,0.0033785683702936
20240108,126.3072,127.7557,125.4861,127.7465,866000,0.013468041999382452
20240109,126.87,128.0786,125.7628,126.584,912900,-0.009100397975560504
20240110,126.8977,127.7557,126.5102,127.0176,787400,0.0034257663629631008
20240111,127.073,127.8849,125.9382,127.7189,904500,0.005520692460651677
20240112,128.5492,129.4349,127.645,128.0602,699500,0.002672581949522579
20240116,127.7557,129.0105,127.5435,128.9828,988000,0.007204720661281527
20240117,128.3462,129.2689,126.4364,127.3037,734200,-0.013018544025513279
20240118,127.1191,129.0474,126.7132,128.6599,760900,0.010653636299674085
20240119,129.029,132.2305,128.4938,131.0956,1268100,0.018931419132395044
20240122,131.0587,132.9224,130.9572,132.4611,977200,0.010415896766600152
20240123,133.2085,133.7159,131.2156,131.9537,910300,-0.0038306774668409593
20240124,132.4242,132.4611,130.293,130.7081,701400,-0.009439369951629972
20240125,131.4924,131.9444,130.6528,131.4924,640800,0.005999821622192147
20240126,132.2766,132.2766,131.4278,131.5939,648600,0.0007720351754683108
20240129,131.843,132.5626,130.745,131.6953,710600,0.0007710917360301828
