datetime,open,high,low,close,volume,return
20230829,120.7678,121.688,120.0607,120.9324,1581600,-0.0035117866551730437
20230830,121.1649,123.5186,120.5547,123.1603,2069400,0.018422032322921167
20230831,123.044,123.7317,122.521,122.7147,1430100,-0.003617883867185423
20230901,124.2742,125.6302,123.1506,125.2622,1996500,0.020759417522218104
20230905,124.5454,124.5454,122.4435,122.5307,1458000,-0.021806376189879573
20230906,122.2401,123.7802,122.0173,123.354,1046900,0.006719410263968273
20230907,122.0851,123.4315,122.0463,122.6663,1180500,-0.0055752464057033935
20230908,122.6469,123.3443,121.5233,121.9592,1072600,-0.00576429620592267
20230911,121.9495,122.3951,120.1963,121.1843,1216800,-0.006353784723879596
20230912,121.0971,121.6201,120.729,121.1843,1088000,0.0
20230913,121.3199,121.9979,120.4287,121.8623,1301900,0.005594985855142953
20230914,122.2893,122.5902,120.8238,121.9788,1027800,0.0009557536639779318
20230915,121.7555,122.9493,120.0765,120.6782,2608200,-0.010661995830498094
20230918,119.1739,120.4744,118.1257,119.6689,1280200,-0.008364070841117677
20230919,119.4845,119.9212,117.9413,119.3195,1420200,-0.002919687925678871
20230920,119.7853,120.7365,118.8536,119.0768,974800,-0.0020335124488456424
20230921,117.9413,118.213,115.7284,116.204,1283100,-0.02412594243113897
20230922,116.3011,116.6602,115.2626,115.6508,1345500,-0.0047606573134293395
20230925,114.4958,116.2525,114.4958,116.039,979100,0.0033567128319407225
20230926,115.1558,115.5731,113.8747,113.9426,1238600,-0.018066121072124686
20230927,114.292,114.4182,111.3804,111.8559,1379000,-0.018313540819436036
20230928,111.6909,113.7485,111.6909,112.6809,1114500,0.007375259017350588
20230929,113.0206,113.8844,111.7977,111.9918,1414200,-0.006115316152210171
20231002,112.6032,113.7,112.1471,112.4965,1224800,0.004506372406659187
20231003,111.4289,111.9045,108.4202,108.5658,1824200,-0.034940800833359376
20231004,108.9443,109.7887,107.5855,109.614,2294900,0.00965485923229581
20231005,109.3131,110.866,108.7308,110.7592,1442500,0.010448016021915363
20231006,110.701,112.7391,109.7984,111.3318,1283000,0.0051700607359526085
20231009,109.7401,111.0504,109.0219,110.4486,1169800,-0.007933260451080115
20231010,110.8077,112.0112,110.2836,111.8268,1108900,0.01247824006555076
20231011,112.1956,113.0885,110.4874,111.788,901000,-0.00034726569202581103
20231012,112.3509,112.3897,109.4296,110.6719,1082700,-0.009984319841116807
20231013,110.6525,111.9142,109.2937,109.711,1774000,-0.00868186655684533
20231016,110.9048,112.3897,110.1089,111.8171,1431100,0.019196674168498573
20231017,110.9727,113.8456,110.7689,112.7683,1299600,0.008506292127532955
20231018,111.7298,112.71,110.9824,111.6618,1226800,-0.009811538120398589
20231019,111.3901,111.9336,108.6822,109.0996,1167400,-0.02294663767917693
20231020,109.3713,109.4587,107.4885,107.8573,1111000,-0.011386864437774258
20231023,107.139,107.2652,105.5473,105.5765,1807400,-0.021146465529236047
20231024,106.382,108.3717,106.1006,108.2164,2114400,0.025004773047895723
20231025,104.0333,105.9356,100.7043,102.4998,3619400,-0.052825279394862035
20231026,102.5289,103.5286,100.3161,101.2963,2472800,-0.011741175342705579
20231027,101.6943,101.6943,99.1029,99.7532,2302100,-0.015234484298735085
20231030,101.0925,101.1605,98.967,100.7431,2644900,0.009924324150687891
20231031,101.4807,105.4988,100.4131,103.0919,4260700,0.02331406530631286
20231101,103.218,106.45,103.218,105.8094,2898700,0.026360268898542927
20231102,106.9546,109.5848,106.9546,108.7016,2545600,0.02733445773989951
20231103,109.0996,111.2348,109.0413,110.4098,1612900,0.015714350787258136
20231106,110.206,110.4777,107.3137,107.7602,1457600,-0.023997979495751554
20231107,107.8184,107.9349,106.4111,106.5664,1482200,-0.011077965031298764
20231108,106.9352,108.032,106.4014,106.6344,1907300,0.0006375342965529995
20231109,106.877,106.877,103.6936,104.0818,1978300,-0.023937414487642084
20231110,104.7515,106.1491,103.878,105.9647,1090200,0.01809010019122259
20231113,105.2853,106.2268,104.8874,105.4988,904200,-0.004396068198420644
20231114,107.702,109.8275,107.702,108.5561,2426000,0.028978637100451232
20231115,108.6531,111.5939,108.6531,111.0892,2462600,0.0233347342616943
20231116,110.5942,111.0018,108.1096,108.5172,1389200,-0.02315221223841024
20231117,109.2063,109.3325,108.0805,108.7502,1170600,0.002146577828210594
