datetime,open,high,low,close,volume,return
20230725,100.1787,101.0312,100.1219,100.8702,605300,0.005856158594284677
20230726,100.7281,100.9176,99.6578,100.0461,753700,-0.008169571168611278
20230727,100.6523,100.6523,99.5535,99.6293,728700,-0.004166093137129678
20230728,100.3208,100.3492,99.1273,99.1652,1017400,-0.0046586873614611335
20230731,99.4588,100.3492,98.9284,100.3018,980500,0.011462343794454766
20230801,99.8946,100.9176,99.7146,100.7376,1434600,0.004344339363233418
20230802,99.9608,102.7552,98.3695,102.0447,1625700,0.012975885794755504
20230803,101.3249,102.831,100.6713,100.7092,1181300,-0.01308816931384027
20230804,100.5766,101.9406,100.1029,100.5292,636400,-0.0017871006333866069
20230807,101.0691,101.1733,100.3208,100.5197,595300,-9.42582746547016e-05
20230808,100.4155,100.7755,99.0041,99.383,760500,-0.011307960641563142
20230809,99.2315,99.5914,98.1706,98.9663,545300,-0.004193658783814391
20230810,99.3262,99.7525,97.8107,98.3127,537700,-0.006603988712047593
20230811,97.9243,98.3032,97.517,98.0475,479800,-0.002697880598082847
20230814,97.678,98.7295,97.678,98.5305,529000,0.004927059383052601
20230815,97.9433,98.0759,96.9676,97.5454,529500,-0.009997990645467358
20230816,97.4318,98.1611,96.9013,96.9202,416900,-0.006409147880700572
20230817,97.0908,97.7917,96.0772,96.4182,541700,-0.0051798196895020965
20230818,95.6794,96.5224,95.3952,96.1909,547200,-0.00235778121211494
20230821,96.2572,96.7213,95.9446,96.333,452200,0.001477006697053973
20230822,96.5224,97.697,96.2382,97.2707,541900,0.009734484959237566
20230823,97.5928,98.8147,97.4412,97.9054,711500,0.006524508044140287
20230824,97.8485,98.5495,96.9108,96.9202,468400,-0.010061833677234788
20230825,97.1665,98.3506,96.7971,97.8959,455400,0.010066413818331288
20230828,98.1611,99.5251,98.1611,99.1557,493300,0.01286896763488965
20230829,99.0894,100.084,98.8526,99.9324,592800,0.007833394388058856
20230830,99.7809,101.3154,99.6862,100.264,581100,0.0033175186115130817
20230831,100.406,101.3154,100.264,100.425,1026700,0.0016060207286705541
20230901,101.1733,101.1733,99.6009,100.4439,754500,0.0001887121565271599
20230905,100.1314,100.3208,99.0041,99.383,651700,-0.010562089017049914
20230906,99.1368,99.6009,97.9054,98.1895,858200,-0.012009134726623794
20230907,97.4981,97.8485,96.4372,97.3086,914800,-0.008971709878997536
20230908,97.5265,98.038,97.1571,97.3465,637900,0.0003894331963298914
20230911,97.5359,100.0177,97.3749,99.9892,958800,0.027147747766529173
20230912,99.5251,100.2261,99.1273,100.0556,573600,0.0006633709223176076
20230913,100.1882,101.0028,99.6862,100.8607,821600,0.008047056979138434
20230914,101.5188,101.8812,100.8035,101.6428,611800,0.007754074748920425
20230915,101.2327,101.9194,100.9084,101.2136,1226500,-0.004222547585945757
20230918,101.4616,102.5298,101.2136,102.1006,795600,0.008763653328052845
20230919,101.824,102.32,100.5746,101.5093,630800,-0.005791803823073205
20230920,101.7573,103.0067,101.6905,101.8431,539000,0.003288607618340933
20230921,101.6714,101.6714,100.1835,100.1835,814000,-0.016295274368934742
20230922,100.4124,101.7,100.2312,100.4411,423800,0.002570508106764402
20230925,100.1931,100.7558,100.0023,100.5269,617000,0.0008546898179340179
20230926,100.1072,100.1168,98.4095,98.4572,665000,-0.020588236633424573
20230927,99.0486,99.0963,97.904,98.4572,525100,0.0
20230928,98.4763,100.5078,98.4095,100.2885,626500,0.018599245283954513
20230929,101.4044,101.4807,99.9546,100.3361,616700,0.0004754656310999028
20231002,99.8116,100.2312,98.4572,98.7243,842800,-0.016064697684077256
20231003,98.4381,99.2012,98.3142,98.7243,458900,0.0
20231004,98.9246,99.6113,98.1139,99.287,678600,0.005700082565764264
20231005,99.1726,100.0214,98.5717,99.7543,593000,0.004706945662920958
20231006,99.3252,101.5474,98.791,101.2231,653700,0.014724127766863715
20231009,100.937,102.3867,100.5364,102.2151,483600,0.009799344564771717
20231010,102.9781,104.5518,102.6729,102.8255,935100,0.00597169643097728
20231011,103.083,103.8555,102.9495,103.7029,473200,0.008533679628009327
20231012,103.8365,104.1798,102.1483,102.6156,511700,-0.010484786079906105
20231013,102.4249,102.8732,101.7477,102.0434,541000,-0.005576713283390933
20231016,102.7969,103.2833,102.4154,102.8636,551800,0.008038187577896982
20231017,102.0148,102.9876,101.0324,101.8908,564400,-0.009457490246089328
20231018,101.061,101.2518,100.1645,100.2026,521200,-0.0165685138857794
20231019,100.1454,100.8702,99.3633,99.5064,500000,-0.006948430673721195
20231020,99.7925,99.7925,97.9517,98.5049,595400,-0.010064253028829295
20231023,98.1902,98.3809,97.1983,97.265,647000,-0.012586944626133745
20231024,97.6465,98.1139,96.9121,97.6084,704500,0.0035300008895009505
20231025,97.2078,97.637,96.5974,97.0361,632800,-0.005862874182460565
20231026,97.017,97.5988,96.1491,96.1968,776800,-0.008649457331270094
20231027,96.0251,96.5688,95.0046,95.1,603600,-0.011401882841753697
20231030,95.8058,96.9789,95.367,96.5974,856700,0.015745598215282763
20231031,96.7977,98.0566,96.7977,97.7896,833400,0.01234194641081765
20231101,101.7477,109.9883,101.576,108.281,2697400,0.10728578699893809
20231102,109.168,109.4828,106.8313,109.1585,1163700,0.008103513596407819
20231103,109.6735,111.0756,109.6163,110.2649,750500,0.010135578812938695
20231106,110.1599,110.9706,110.0169,110.9134,613000,0.005881764813129298
20231107,110.9134,111.066,109.1966,109.3969,833200,-0.013672712534811393
20231108,109.7689,110.9992,109.4541,110.7131,789200,0.012031419763603557
20231109,111.0088,111.0088,110.0073,110.0264,482100,-0.00620278277959585
20231110,110.6368,111.2472,110.1886,111.2282,458300,0.010922603171305667
20231113,111.066,111.4761,110.6463,111.0946,563000,-0.0012006394447646729
20231114,111.8767,114.0513,111.8767,113.4313,662200,0.02103363180750417
20231115,113.4313,114.6903,113.3264,113.3455,589900,-0.0007568770176745732
20231116,113.0308,113.9464,113.0308,113.6221,506900,0.0024403591174724237
20231117,114.1371,114.3183,113.6793,113.9845,1453100,0.0031897560377835976
20231120,113.7461,114.8334,113.2978,114.5186,449000,0.004685887632269958
20231121,114.366,114.9478,113.7556,113.8033,1065900,-0.006246291268723003
20231122,114.4709,115.2816,114.2134,114.8048,499200,0.008799760317968808
20231124,114.7189,115.6632,114.7189,115.4343,254400,0.005483233639183238
20231127,115.4342,116.2926,115.1863,115.8539,659700,0.003635312157142634
20231128,115.9588,116.6169,115.4915,115.7776,823200,-0.0006585358127909613
20231129,116.0256,116.5406,115.3675,115.4056,559900,-0.0032129388977530926
20231130,115.5392,116.8363,115.377,116.5883,1653500,0.010248078101095182
20231201,116.3976,117.9999,116.0733,117.9236,575000,0.011452961015578245
20231204,117.2846,118.7724,116.6837,118.4386,1106200,0.004367423606964627
20231205,118.0476,118.8678,117.5516,118.4386,720600,0.0
20231206,118.8964,120.1649,118.3623,119.297,932600,0.0072475587133356
20231207,119.2779,119.6022,118.2479,118.6389,630300,-0.005516580855673747
20231208,118.7152,119.1444,118.4005,118.8297,644600,0.0016080140772130047
20231211,118.6675,119.8788,118.3432,119.4115,616400,0.004895975292069199
20231212,119.3542,120.0791,118.925,119.7262,610600,0.002635786044249633
20231213,120.06,121.1187,118.9632,121.0233,962000,0.010834046188966662
20231214,121.666,121.666,119.8818,120.4861,960600,-0.004438758733658621
20231215,120.4861,121.4838,120.0544,120.9945,3125400,0.004219636118915071
20231218,120.3422,121.3591,119.9681,121.3111,582300,0.0026163700789363364
20231219,121.3207,122.232,121.3207,121.8675,659000,0.004586525897821492
20231220,121.5893,122.9035,120.8794,120.9178,623500,-0.007792822775040675
20231221,121.8099,122.2608,121.3207,122.232,486200,0.010868677762509993
20231222,122.2128,123.5558,122.2032,122.846,730100,0.005022721463661117
20231226,122.6445,123.8052,122.5678,123.6614,488000,0.006637574437177829
20231227,123.7477,124.0547,123.1146,123.4311,443300,-0.0018617961974491948
20231228,123.3064,123.8052,123.0282,123.5174,440100,0.0006993908654793213
20231229,123.1721,123.6997,122.8652,123.3064,622300,-0.0017084958880284606
20240102,122.3567,123.364,120.8986,121.407,1023300,-0.015403830424899234
20240103,120.4382,120.8602,118.8937,119.0952,728100,-0.01904228111472195
20240104,118.8937,119.6228,118.7115,118.769,660900,-0.0027386218908713733
20240105,118.7402,119.2966,117.6466,117.8481,864600,-0.00775375754201546
20240108,117.0903,118.1743,116.7641,118.0112,795200,0.001383800925330636
