datetime,open,high,low,close,volume,return
20230718,218.9061,220.9722,213.9756,215.6285,272400,-0.014930347352159368
20230719,215.4876,216.3328,213.506,215.5158,308400,-0.0005228062922723042
20230720,217.009,219.1785,215.9102,218.6995,213200,0.014772613588419858
20230721,218.7746,219.385,216.4643,217.4786,202000,-0.0055826226619009045
20230724,217.6101,218.7558,216.5113,217.1499,148900,-0.0015113653043119513
20230725,214.971,217.8261,212.5574,217.4974,163000,0.0016001534663256933
20230726,217.8448,221.2727,216.9808,220.1927,246400,0.012392602252842
20230727,219.4696,219.4696,214.2479,216.5582,288100,-0.016505885084075134
20230728,218.5304,218.5304,214.4264,216.4267,220600,-0.0006072280714956024
20230731,217.103,217.103,213.5624,215.6942,305400,-0.00338457909171086
20230801,215.6285,217.5819,214.7081,215.976,220300,0.0013062636918046433
20230802,215.9196,216.5019,213.7689,213.9568,331400,-0.009349167123656965
20230803,215.5158,221.1413,205.2133,212.4917,589500,-0.006847516508494689
20230804,213.6187,214.4451,212.0409,213.0364,360100,0.0025632892826632503
20230807,213.7502,218.3802,213.7502,216.5113,232300,0.01631122268418128
20230808,214.4451,216.1074,211.1299,212.2663,217300,-0.01960627608879184
20230809,212.6607,214.9053,211.2614,213.8065,187700,0.007256012543666701
20230810,212.9237,213.6375,210.3692,211.0173,186000,-0.013045653721807327
20230811,211.6559,213.4215,209.7682,213.074,190900,0.00974674867944536
20230814,213.3276,214.3888,211.7404,213.8347,212800,0.003570247730291465
20230815,212.9519,214.2385,209.0732,209.2235,258900,-0.021564561171958707
20230816,208.8478,211.7592,208.8478,210.1156,182200,0.004264251127999108
20230817,210.9891,211.4117,206.622,206.9038,369900,-0.015286265447284175
20230818,206.406,209.0544,205.495,206.0867,464200,-0.003948923441579821
20230821,206.2464,207.4485,205.0536,206.5281,239600,0.002141773135233116
20230822,206.8944,208.134,206.19,207.1949,133200,0.0032285863359258204
20230823,207.5706,207.5706,205.542,206.8193,166300,-0.0018129831777283778
20230824,206.0542,208.746,205.6103,205.9976,142600,-0.003972965537309081
20230825,207.4426,207.4426,205.0153,206.4131,121100,0.0020172949300150123
20230828,206.432,208.2548,206.007,206.8004,160500,0.0018760315567758479
20230829,206.2337,207.3104,204.5242,206.857,158900,0.00027396413261282504
20230830,207.2632,209.1143,207.0648,208.5476,189500,0.00817285655041955
20230831,208.8593,210.2477,208.066,208.0849,161000,-0.0022190796215630915
20230901,209.3693,209.766,208.0376,208.5948,127800,0.002450896817925985
20230905,208.5193,208.5193,205.0626,205.0626,182800,-0.016933724014796314
20230906,204.3353,204.8831,197.4879,197.5824,326000,-0.036477619581247955
20230907,197.894,198.9518,196.6001,197.7524,420600,0.0008604686256397098
20230908,197.7524,199.273,197.1668,199.1313,170300,0.00697297047045109
20230911,198.8952,200.1513,196.7985,199.3769,141600,0.0012331546575783392
20230912,198.3757,201.1147,198.3757,199.613,127900,0.0011844153713176375
20230913,200.3024,200.8975,197.4596,197.8846,211500,-0.008658722115348017
20230914,197.9413,201.1619,197.7618,201.1052,179300,0.01627527669597395
20230915,200.8124,202.2952,199.8396,199.8963,344600,-0.006011624147652661
20230918,200.2646,201.9647,198.8574,200.4913,178300,0.002976778880525943
20230919,200.803,200.9163,197.0062,197.3179,261300,-0.015828197317091952
20230920,198.5457,198.5457,194.0973,194.1634,539200,-0.015986867960269824
20230921,193.2945,193.7384,188.4872,191.2545,566500,-0.014981972453087855
20230922,190.99,192.1045,188.931,189.9133,241100,-0.007012417053958275
20230925,189.4127,191.1222,188.4872,190.1494,174400,0.001243275234011909
20230926,189.5261,191.075,188.931,189.2805,214400,-0.00456962619342316
20230927,190.0172,191.925,189.3372,191.9061,210600,0.013871530978572855
20230928,193.1812,195.3534,192.6334,193.6723,340800,0.009203324958361625
20230929,194.2862,195.3629,192.7656,193.2189,189400,-0.0023407511219021293
20231002,192.9923,193.5967,190.5461,190.7917,260400,-0.012562390441858917
20231003,190.2533,191.5378,189.2994,190.99,230700,0.0010395304694075236
20231004,190.4611,192.2084,188.5438,190.4517,251100,-0.002818629800778516
20231005,190.48,191.3773,189.1483,189.1672,167200,-0.006744333987104056
20231006,188.5155,192.4539,188.0527,191.2733,238800,0.011133749624211431
20231009,197.214,209.4732,197.214,209.1426,665200,0.09342289595397446
20231010,210.0965,210.4932,206.4226,207.1593,324400,-0.009483399399928705
20231011,207.3482,208.8782,206.4415,208.066,222700,0.004376863391289065
20231012,208.5288,208.6988,205.2609,206.6587,220800,-0.006763440766376139
20231013,209.4826,212.8072,207.707,212.3444,266000,0.027512285151067184
20231016,212.8166,213.3833,210.2383,212.6561,254300,0.0014679293580195374
20231017,211.9761,213.5156,209.3977,210.5783,278100,-0.009770798950018644
20231018,211.1827,212.6844,209.5393,210.6254,259900,0.00022397809000085367
20231019,210.2004,212.2877,208.7271,209.0387,285800,-0.007533208128808644
20231020,210.0777,210.6538,206.8476,206.9231,406600,-0.010120614796253036
20231023,207.197,208.2832,204.1181,204.3259,177800,-0.01255195538059195
20231024,206.0354,206.6965,200.7747,202.4275,176300,-0.009290777128214134
20231025,203.7403,205.8276,202.8053,203.1169,213500,0.0034058507243435177
20231026,203.4475,206.3848,202.6447,205.922,294900,0.013809967823243063
20231027,204.8264,206.0353,201.1902,201.2847,297800,-0.022519687034814995
