datetime,open,high,low,close,volume,return
20230725,12.74,12.89,12.52,12.54,5928600,-0.015698572437853553
20230726,12.46,12.8,12.4,12.74,12181100,0.015948948155784848
20230727,12.88,12.94,12.09,12.23,10579500,-0.040031415859050234
20230728,12.45,12.74,12.37,12.73,9039000,0.04088307593743146
20230731,12.8,13.015,12.715,12.86,10249200,0.010212106764780016
20230801,12.68,12.89,12.53,12.87,9747600,0.0007776227953975035
20230802,12.54,12.56,12.18,12.44,14714900,-0.0334110574203087
20230803,11.38,11.8,10.89,11.54,21999800,-0.0723472386566224
20230804,11.68,11.76,11.22,11.28,11685000,-0.022530349197686372
20230807,11.31,11.5,11.07,11.34,9660200,0.005319186262151998
20230808,11.09,11.16,10.93,11.1,8251300,-0.021164000695660823
20230809,11.04,11.1,10.75,10.8,10370500,-0.02702704328151928
20230810,10.93,11.1,10.66,10.73,6645900,-0.00648154141317403
20230811,10.605,10.79,10.58,10.72,6713600,-0.0009318989407370859
20230814,10.66,10.68,10.51,10.65,5419200,-0.006529911077878814
20230815,10.55,10.605,10.395,10.41,4962300,-0.022535190583535925
20230816,10.33,10.42,10.16,10.19,4759000,-0.021133551417246155
20230817,10.24,10.32,10.05,10.07,7550100,-0.011776240480921407
20230818,9.86,10.3,9.84,10.25,8363500,0.01787490671606462
20230821,10.285,10.445,10.13,10.39,6461200,0.013658570080268717
20230822,10.5,10.605,10.32,10.38,6444800,-0.0009624859048501522
20230823,10.39,10.6,10.335,10.5,6019400,0.011560682489023755
20230824,10.52,10.52,10.27,10.37,4885100,-0.01238096328008742
20230825,10.38,10.6,10.33,10.54,4784400,0.0163934501610441
20230828,10.62,10.72,10.5,10.55,4881500,0.0009487883223937565
20230829,10.475,11.08,10.45,11.02,9553700,0.04454978753854122
20230830,10.9,11.15,10.9,11.06,7218000,0.0036297604529451633
20230831,11.1,11.165,10.765,10.89,28595700,-0.01537071155914449
20230901,11.18,11.37,11.06,11.11,9246300,0.020201956512277297
20230905,11.0,11.02,10.66,10.82,9895100,-0.026102607634081565
20230906,10.77,10.935,10.7,10.79,5866800,-0.0027726186522484264
20230907,10.61,10.77,10.523,10.74,4420300,-0.004633937989956816
20230908,10.69,10.8,10.515,10.74,4874700,0.0
20230911,10.82,10.9,10.71,10.84,5331800,0.009311022681643522
20230912,10.81,11.01,10.79,10.8,5042800,-0.0036900333293332643
20230913,10.76,10.811,10.59,10.62,4808500,-0.016666694629339007
20230914,10.65,10.66,10.42,10.57,6470800,-0.004708115939139779
20230915,10.47,10.695,10.43,10.67,8992200,0.009460774300560582
20230918,10.65,10.79,10.58,10.6,5412100,-0.006560421211218248
20230919,10.58,10.6,10.36,10.47,4583700,-0.012264161298350174
20230920,10.45,10.65,10.21,10.22,4883500,-0.02387774533180076
20230921,10.01,10.02,9.82,9.83,7251000,-0.03816050226348344
20230922,9.91,9.97,9.64,9.7,5370600,-0.013224833718198603
20230925,9.57,9.77,9.55,9.68,3894800,-0.002061804585836491
20230926,9.61,9.77,9.49,9.53,5751400,-0.015495926392108283
20230927,9.64,9.77,9.44,9.57,4445700,0.00419726788812369
20230928,9.6,9.84,9.48,9.68,3848900,0.011494317017695987
20230929,9.84,10.01,9.69,9.81,4609800,0.013429763465132138
20231002,9.77,9.9,9.59,9.73,5825400,-0.008155033023280689
20231003,9.62,9.78,9.49,9.53,4405500,-0.020554965948042514
20231004,9.5,9.69,9.43,9.68,4485600,0.01573982963353382
20231005,9.57,9.82,9.49,9.73,4888500,0.005165210277298549
20231006,9.62,9.99,9.62,9.93,5126300,0.020555063961851472
20231009,9.82,9.96,9.715,9.87,3637400,-0.006042338144282344
20231010,9.86,10.19,9.86,10.04,4895800,0.017223918770523428
20231011,10.05,10.18,9.68,9.72,6391400,-0.03187247968526463
20231012,9.74,9.77,9.28,9.29,7034200,-0.044238713308927036
20231013,9.3,9.365,9.12,9.14,5586000,-0.016146352975910383
20231016,9.16,9.385,9.14,9.32,3913900,0.019693582575515345
20231017,9.22,9.64,9.22,9.6,6263900,0.030042993113079675
20231018,9.5,9.56,9.15,9.21,5151200,-0.040625034148493055
20231019,9.24,9.24,8.96,8.97,5382500,-0.026058606962443776
20231020,8.95,9.23,8.89,9.13,5349300,0.017837217686628604
20231023,9.05,9.39,8.973,9.17,5031500,0.004381156774550199
20231024,9.34,9.595,9.25,9.32,5658200,0.016357646377566315
20231025,9.21,9.29,9.01,9.03,5804800,-0.03111587675416727
20231026,9.07,9.23,8.94,9.1,4447800,0.0077520100297392425
20231027,9.2,9.2,8.89,8.9,4421200,-0.021978104896205664
20231030,9.0,9.14,8.905,9.08,3914000,0.020224754257405886
20231031,9.12,9.16,9.045,9.14,3753200,0.006607975784234332
20231101,9.17,9.23,8.92,9.08,4146000,-0.006564597085659041
20231102,9.19,9.505,9.19,9.48,7793500,0.04405282179418912
20231103,9.66,9.79,9.56,9.69,8838300,0.02215190382777532
20231106,9.78,9.82,9.52,9.59,4896600,-0.01031985883651143
20231107,9.61,9.85,9.59,9.76,13420500,0.0177268064222158
20231108,8.785,8.9,8.28,8.365,27080200,-0.14293037141900677
20231109,8.54,8.62,7.92,7.93,15764200,-0.05200238549694469
20231110,8.0,8.3,7.99,8.23,10981400,0.03783098617803593
20231113,8.16,8.41,8.13,8.31,7994900,0.009720641777658301
20231114,8.55,8.71,8.45,8.5,10708700,0.022863967603995006
20231115,8.57,8.61,8.31,8.33,11201200,-0.020000008975758266
20231116,8.28,8.29,7.91,7.94,13541300,-0.04681871189166631
20231117,7.98,8.135,7.925,8.1,9142200,0.020151174193477006
20231120,8.1,8.27,7.985,8.13,13184600,0.0037036705627595534
20231121,8.06,8.13,7.96,7.98,7764100,-0.018450195972444572
20231122,8.03,8.255,7.98,8.22,8522800,0.030075218970135653
20231124,8.2,8.3,8.13,8.29,3613000,0.008515777682513548
20231127,8.27,8.46,8.21,8.39,7071300,0.012062772247271925
20231128,8.38,8.65,8.345,8.64,10075600,0.029797376611428117
20231129,8.84,9.18,8.77,8.92,13982600,0.03240737521354187
20231130,9.19,9.2,8.69,8.8,15221700,-0.0134529018534425
20231201,8.82,9.39,8.82,9.32,16329000,0.05909085145666704
20231204,9.46,9.735,9.33,9.55,18297500,0.02467816560534586
20231205,9.79,10.639,9.66,10.53,38892500,0.10261775106424564
20231206,10.88,11.65,10.73,11.27,51461800,0.07027547422203773
20231207,11.07,11.7,10.81,11.48,26167900,0.018633458380029833
20231208,11.23,11.74,11.02,11.73,23220100,0.021777004352676155
20231211,11.55,11.79,11.325,11.71,18603200,-0.0017049876274370934
20231212,11.77,11.9,11.54,11.63,13394300,-0.006831761182360729
20231213,11.63,12.02,11.12,11.99,24506100,0.030954398377884385
20231214,12.35,12.39,11.79,12.09,22749700,0.008340315544509869
20231215,12.01,12.02,11.52,11.69,16810200,-0.03308524128669832
20231218,11.55,11.98,11.44,11.93,14413000,0.020530430573771685
20231219,12.06,13.19,12.04,13.17,31841800,0.10393962610212126
20231220,13.32,13.45,12.59,12.62,32610100,-0.04176159358760112
20231221,12.81,13.06,12.51,12.89,14515400,0.021394648194302368
20231222,13.01,13.15,12.795,12.95,10553800,0.004654729584508077
20231226,13.0,13.14,12.86,12.94,8151100,-0.0007722184578474733
20231227,13.03,13.51,12.91,13.26,16095200,0.02472957178326718
20231228,13.11,13.28,13.06,13.18,8604400,-0.006033176645940386
20231229,13.16,13.17,12.52,12.74,14597000,-0.03338395477007916
20240102,12.74,12.75,12.28,12.37,11659200,-0.029042377724203705
20240103,11.68,11.97,11.55,11.79,13694100,-0.04688762563232962
20240104,11.65,12.17,11.63,11.98,9611900,0.016115316454457185
20240105,11.82,12.16,11.77,11.89,8188700,-0.0075124542865194766
20240108,11.97,12.58,11.96,12.42,17238700,0.044575249593565625
20240109,12.25,12.355,12.135,12.2,7344300,-0.01771338693054625
20240110,12.18,12.345,11.78,12.14,8569200,-0.004917989088558561
20240111,12.53,12.58,11.63,11.71,13483000,-0.03542012298313402
20240112,11.5,11.56,10.99,11.02,16539300,-0.05892396055811533
20240116,10.92,11.026,10.62,10.93,9399000,-0.008166982654205346
20240117,10.71,10.74,10.52,10.65,8611600,-0.025617628438026396
20240118,10.76,10.825,10.53,10.67,8032200,0.0018779773220716223
20240119,10.68,10.75,10.38,10.71,7977200,0.0037488248891297538
20240122,10.81,11.17,10.81,10.99,9454000,0.02614376582389233
20240123,11.16,11.3,10.873,10.95,6929500,-0.0036396690342203053
20240124,11.1,11.225,10.73,10.81,6848000,-0.012785332610689149
20240125,10.85,10.898,10.62,10.7,5299900,-0.010175819248993467
20240126,10.76,11.01,10.71,10.79,4742100,0.008411229363757489
20240129,10.83,11.33,10.76,11.31,10871000,0.04819281367952555
20240130,11.23,11.285,10.95,11.01,7035500,-0.026525214819137055
20240131,10.94,11.17,10.7,10.74,7341400,-0.024523201830223162
20240201,10.79,10.945,10.61,10.91,5807500,0.01582868528089798
20240202,10.75,11.02,10.65,10.92,7401500,0.0009166112760494727
20240205,10.82,10.88,10.51,10.56,7633200,-0.03296700129689223
20240206,10.57,10.8,10.535,10.78,5098200,0.0208332674822449
20240207,10.84,11.08,10.64,11.0,7559200,0.020408188541593875
20240208,11.05,11.34,11.0,11.22,7844600,0.020000024275346195
20240209,11.4,11.6,11.25,11.55,11957000,0.029411757206084577
20240212,11.73,12.13,11.65,12.01,22042300,0.039826842471913926
20240213,11.61,11.935,11.43,11.84,36725400,-0.014154877023659584
20240214,13.648,13.9,12.765,13.38,76339000,0.1300675626694503
20240215,13.4,13.545,13.04,13.42,24372900,0.002989533745209494
20240216,13.38,14.355,13.32,14.0,34950700,0.04321907007516401
20240220,14.0,14.235,13.68,14.09,16920700,0.006428582327706378
20240221,13.762,13.89,13.39,13.59,14259000,-0.03548616001314708
20240222,13.71,14.09,13.595,13.97,10961900,0.02796174467802026
20240223,14.04,14.5,14.01,14.48,15963200,0.036506747706454235
20240226,14.71,15.61,14.68,15.59,28000800,0.07665750313829989
20240227,15.89,16.29,15.55,16.25,24830300,0.042334819817339886
20240228,16.06,16.53,15.9,16.13,25143400,-0.007384667029747605
20240229,16.17,16.51,15.66,16.31,21226300,0.011159349940550456
20240301,16.3,16.6,16.125,16.58,13176200,0.016554289797953148
20240304,17.07,17.22,16.54,16.63,17405200,0.0030156355422570336
20240305,16.3,16.33,15.66,15.93,17683600,-0.04209253703645721
20240306,16.1,16.59,15.77,16.4,13102400,0.02950403668239643
20240307,16.62,16.62,16.13,16.36,9854700,-0.002438963970067154
20240308,16.58,17.62,16.57,17.0,20002800,0.03911976563396258
20240311,16.99,17.48,16.76,16.86,14947000,-0.008235258214614016
20240312,16.88,16.9,16.19,16.39,13396500,-0.027876702472629633
20240313,16.31,17.36,16.23,17.16,15815100,0.04697989545075809
20240314,19.12,19.23,17.745,18.05,48665200,0.05186476675771412
