datetime,open,high,low,close,volume,return
20230718,34.7143,35.0501,34.5288,34.7497,1413200,-0.0015231304056551043
20230719,34.9087,35.1031,34.7232,34.9529,1541300,0.005847792724454459
20230720,35.0677,35.536,34.8557,35.5272,1538100,0.016430764327943104
20230721,35.5449,35.6244,35.3063,35.4653,1639800,-0.0017407475808633999
20230724,35.4477,35.8541,35.4212,35.8011,1282100,0.00946689630277553
20230725,35.8276,35.916,35.5802,35.9071,1731000,0.002961521109868137
20230726,35.8806,36.34,35.8718,36.0573,1238700,0.004182905130823533
20230727,36.075,36.234,35.8099,35.8983,1452400,-0.0044107149979438764
20230728,36.2252,36.3224,36.0131,36.2605,1284200,0.010091155449678757
20230731,36.2694,36.3489,36.0485,36.1192,2517500,-0.0038988032273169493
20230801,36.2075,36.2959,35.7834,35.8629,1286000,-0.007093896648659781
20230802,35.9248,36.8613,35.8894,36.5698,1366500,0.019709500425102888
20230803,36.4814,36.5698,36.0396,36.0662,1577100,-0.013771590542454915
20230804,36.1192,36.287,35.7834,35.8188,1804700,-0.006859360993809793
20230807,35.5184,36.0131,35.4565,36.0131,1197300,0.005426813053021062
20230808,36.0131,36.0131,35.3063,35.4653,1183900,-0.015210956812305665
20230809,35.589,36.1015,35.5184,35.969,1278700,0.014200129331653155
20230810,35.9955,36.2694,35.9866,36.0396,1313200,0.0019652039066089255
20230811,36.1368,36.7553,36.022,36.7553,1907200,0.019857789992079544
20230814,36.8172,36.8702,36.0573,36.1103,1784300,-0.0175480802911413
20230815,36.022,36.1015,35.5449,35.5537,1540800,-0.01541457490545739
20230816,35.5979,35.6686,35.3682,35.4035,1585600,-0.0042248065758315745
20230817,35.2886,35.43,34.8027,34.8115,2019400,-0.01672051610990155
20230818,34.7497,35.0678,34.5553,34.7143,1940900,-0.0027920251897018966
20230821,34.5641,34.679,34.2549,34.4051,1952500,-0.008908199915276138
20230822,34.2637,34.573,34.1754,34.4139,2105700,0.0002568995604765867
20230823,34.3786,34.4493,33.8926,33.9898,1883900,-0.012323467095927132
20230824,34.1312,34.5376,34.1312,34.3874,1761900,0.011697339833277143
20230825,34.6613,34.9264,34.4758,34.7938,1536500,0.011819014722683763
20230828,34.891,35.1296,34.8292,35.1119,1425100,0.009141981048347958
20230829,35.218,35.324,34.8115,35.1738,1702600,0.0017612261462827128
20230830,35.3417,35.4477,34.9617,35.0413,2397600,-0.0037676531468580077
20230831,34.9441,35.1296,33.8838,34.0959,5648000,-0.026979636297289278
20230901,33.9722,34.4669,33.7336,33.928,3217300,-0.004923236380125706
20230905,33.9457,33.9987,33.2565,33.2653,2960400,-0.01953144017344688
20230906,33.3007,33.4244,32.9031,32.9119,2451200,-0.01062393911406323
20230907,33.0003,33.0444,32.6027,32.6734,2960100,-0.007248545434440978
20230908,32.6822,32.8324,32.4966,32.7971,2633900,0.003785817928613655
20230911,32.8059,33.2123,32.7794,33.0091,1970200,0.0064654465516338355
20230912,33.0444,33.0975,32.6645,33.0444,2033400,0.0010707099633346928
20230913,33.0975,33.2035,32.8942,33.177,1824400,0.00401078130523147
20230914,33.2212,34.0075,33.2212,33.9368,2101800,0.022902918141528117
20230915,33.928,34.1135,33.7778,33.7866,4139400,-0.004426092317791563
20230918,33.9015,33.9722,33.389,33.7689,1846100,-0.0005229785979589119
20230919,33.7866,34.0782,33.6806,33.9545,1844200,0.005494600459291732
20230920,34.1135,34.4228,33.9368,34.2726,2041300,0.009367521528840683
20230921,34.2461,34.9706,34.0782,34.7497,2692500,0.013921212081412282
20230922,34.7585,34.7939,34.3698,34.3786,2100800,-0.010678945531109596
20230925,34.2461,34.5465,34.14,34.3963,1674900,0.0005138623552383148
20230926,34.3874,34.679,34.2991,34.3256,1996400,-0.002054837363082984
20230927,34.2991,34.4139,33.6541,33.8661,1626000,-0.013384611486418896
20230928,33.9545,34.0693,33.5834,33.6011,1755700,-0.007827046457199005
20230929,33.7601,33.9722,33.5569,33.6011,2004800,0.0
20231002,33.4685,33.4774,32.7971,33.1681,1888000,-0.012884297219480811
20231003,32.8854,33.4862,32.8059,33.3095,2483500,0.004261842957251627
20231004,33.2742,33.6983,33.1151,33.6629,1817500,0.01060996444525264
20231005,33.5657,33.8131,32.8677,33.0003,3170600,-0.01968489883485025
20231006,32.8412,32.8766,31.7721,32.5762,2782900,-0.01285126579315421
