datetime,open,high,low,close,volume,return
20230718,80.01,80.63,78.81,79.24,747000,-0.012339591820277551
20230719,79.26,80.58,77.58,79.46,2002500,0.0027763910478815212
20230720,80.26,80.55,79.52,79.91,768500,0.005663284455343698
20230721,80.18,80.46,79.67,79.92,718700,0.00012507203576417325
20230724,80.12,80.12,78.67,79.41,1132700,-0.006381312794300209
20230725,79.38,80.28,79.17,80.14,461400,0.009192742650475205
20230726,80.09,80.36,79.25,79.82,539100,-0.00399300845097772
20230727,79.96,80.6,79.34,79.45,692500,-0.0046354641442829525
20230728,80.28,80.28,78.88,79.67,745600,0.002769052601052202
20230731,79.59,79.69,78.55,78.79,759600,-0.011045528726533638
20230801,78.7,79.61,78.7,78.82,656600,0.000380743482019108
20230802,78.69,79.83,78.51,79.71,837700,0.011291542668032672
20230803,79.69,79.92,78.27,78.31,815400,-0.01756368764218974
20230804,77.83,78.72,77.69,78.09,1074000,-0.0028093631408749875
20230807,79.15,79.49,74.48,75.87,1380000,-0.028428655338935016
20230808,75.68,76.92,75.41,75.94,1224200,0.000922626760117895
20230809,75.8,77.91,75.61,77.42,1260600,0.019489013431109647
20230810,77.49,77.83,76.33,76.46,1103700,-0.012399885135333522
20230811,76.21,77.13,75.98,76.65,597400,0.002484991416182636
20230814,76.46,77.26,76.31,77.1,447300,0.00587080155621722
20230815,76.74,77.01,75.6,75.83,705000,-0.016472070923486237
20230816,75.66,76.38,75.66,75.79,483500,-0.0005275077747783907
20230817,75.57,76.77,75.57,76.47,836500,0.008972163833771196
20230818,76.2,77.29,76.09,76.52,3285400,0.0006537913111703819
20230821,76.53,76.99,76.2,76.44,565200,-0.0010454025767054897
20230822,76.43,77.23,76.07,76.25,531700,-0.002485641487935508
20230823,76.44,76.92,76.02,76.27,685100,0.0002622510566085978
20230824,76.25,77.28,76.19,76.2,552900,-0.0009177880936825922
20230825,76.34,77.31,76.22,76.85,569100,0.008530204093320615
20230828,77.05,78.2,76.64,77.99,617200,0.014834084740187992
20230829,78.0,78.45,77.72,78.33,657300,0.004359584262062288
20230830,78.23,78.23,76.86,77.5,698800,-0.010596218711252825
20230831,77.53,77.71,76.4,76.54,1439100,-0.012387084960937544
20230901,76.88,77.08,76.07,76.35,505400,-0.002482394031010582
20230905,76.17,76.65,74.74,74.8,674200,-0.02030118471958653
20230906,74.5,74.67,73.9,74.12,799800,-0.00909091279989993
20230907,74.29,74.66,73.51,74.19,1288400,0.0009444103107165702
20230908,74.3,74.59,73.78,73.88,558000,-0.004178530499889366
20230911,74.0,74.79,73.79,74.28,598000,0.0054142060198898445
20230912,74.12,75.21,73.97,74.82,583800,0.007269802428670147
20230913,74.76,74.88,73.11,73.21,674400,-0.02151831885750377
20230914,73.7,74.74,73.7,74.45,669200,0.016937547866088254
20230915,74.29,75.31,74.08,74.41,1190400,-0.0005371831802842841
20230918,74.25,74.66,73.78,74.06,555200,-0.0047037506556910635
20230919,73.93,74.45,73.44,73.86,599600,-0.0027004719799504917
20230920,74.22,75.5,74.14,74.47,752800,0.008258876324272135
20230921,74.29,74.38,73.68,73.69,537100,-0.010473999818869761
20230922,73.62,73.79,73.01,73.11,564700,-0.007870834737939814
20230925,72.92,73.8,72.68,73.75,437600,0.008753924009102354
20230926,73.71,74.76,73.45,74.52,680800,0.010440632448358134
20230927,74.54,74.75,73.0,73.26,924500,-0.016908139608097672
20230928,73.34,74.37,73.34,74.25,814100,0.013513483959890937
20230929,74.36,74.52,73.86,74.25,1030500,0.0
20231002,74.16,74.23,72.54,73.3,918400,-0.012794571693497514
20231003,73.03,74.27,72.96,73.03,1132800,-0.0036835506305543664
20231004,73.31,74.32,72.81,74.16,946200,0.015473160368350447
20231005,74.01,74.36,73.1,73.66,929100,-0.006742178739339355
20231006,73.55,74.9,73.36,74.36,639200,0.009503080551735987
20231009,74.1,74.27,73.67,74.01,443600,-0.004706811071117367
20231010,74.08,74.8,73.81,74.2,636800,0.002567150473283153
20231011,74.12,74.35,72.75,73.44,686800,-0.010242513990479929
20231012,73.64,73.64,72.06,72.56,743500,-0.011982636894853127
20231013,72.61,73.61,72.49,73.35,584800,0.010887554328945503
20231016,71.35,72.56,70.17,71.8,1805300,-0.021131499040318857
20231017,71.9,72.23,71.06,71.35,842600,-0.006267472959748055
20231018,71.48,71.54,70.62,70.67,1026500,-0.009530488012868266
20231019,70.49,70.57,68.0,68.75,1670800,-0.027168504580335817
20231020,68.86,68.99,68.05,68.31,1207100,-0.006400035511363589
20231023,68.18,68.62,67.14,67.41,898400,-0.01317514168716516
20231024,67.45,67.95,67.2,67.3,761200,-0.0016318143357911818
20231025,67.05,67.85,66.45,67.77,1106200,0.00698355973248832
20231026,67.25,67.27,65.95,66.51,906800,-0.018592217341726114
20231027,66.62,66.76,65.56,66.41,832900,-0.0015035103128739902
20231030,66.51,67.0,65.36,66.15,907600,-0.003915104982576856
20231031,66.53,67.01,64.77,64.98,2077900,-0.017687046741602708
20231101,64.94,65.31,63.29,64.07,1411300,-0.014004364652164591
20231102,62.5,62.54,60.01,61.89,2698600,-0.03402528976993091
20231103,62.41,63.05,62.0,62.4,1978300,0.008240461161093116
20231106,62.77,63.47,62.51,62.63,1333500,0.003685890009809345
20231107,62.5,63.11,62.05,62.96,1393500,0.005269008633714156
20231108,63.32,64.18,63.09,63.43,1120100,0.007465076676264504
20231109,63.43,64.26,62.12,62.16,792800,-0.020022078695466128
20231110,63.75,64.34,63.11,64.07,2081900,0.030727153347823277
20231113,64.86,69.06,64.11,67.5,3374500,0.0535352008976655
20231114,68.07,69.07,66.7,68.9,2178600,0.020740763346354107
20231115,68.99,69.63,67.49,67.59,1581100,-0.019013137285581072
20231116,67.71,69.02,67.71,68.76,1115300,0.017310339720849166
20231117,69.15,69.43,68.64,68.75,1006100,-0.00014546445491159243
20231120,68.89,69.13,68.3,68.61,621500,-0.002036354758522707
