datetime,open,high,low,close,volume,return
20230829,200.3503,200.6796,198.0821,199.0973,1335200,-0.001467641819174914
20230830,199.5272,201.1369,198.4754,198.7498,1041700,-0.0017457024015018474
20230831,198.8595,198.8686,196.4633,196.509,1442900,-0.011274319562788127
20230901,196.4084,196.82,195.0183,195.5853,1221600,-0.00470050116419618
20230905,195.4207,196.3353,193.2805,193.9848,1087200,-0.008183335168010286
20230906,194.0579,194.5152,192.1373,192.4208,1006500,-0.008062307313167816
20230907,193.436,194.5792,190.802,191.1404,1079000,-0.006654380599009246
20230908,191.4605,191.7623,189.7776,191.1769,984100,0.00019135318313256988
20230911,191.1495,194.1037,191.113,193.9207,1047800,0.01435217510263409
20230912,193.4726,193.7195,189.0368,189.86,1293100,-0.020940467188457768
20230913,191.3599,192.7409,190.0703,191.7989,1155800,0.010212444893223038
20230914,192.0824,194.3231,191.5153,193.7012,1157600,0.009918270333846513
20230915,193.7287,195.5945,193.1982,194.2226,2600800,0.002691580115392611
20230918,194.9176,195.4664,192.5123,194.314,985100,0.0004707520169193735
20230919,194.2043,194.6707,190.802,191.2136,1534100,-0.015955711708027343
20230920,192.2562,194.0213,190.4636,193.2805,1311700,0.01080950985977358
20230921,193.1799,193.6189,190.2715,190.3721,1516100,-0.015047331096467609
20230922,190.2349,192.3293,189.6679,190.1801,2465900,-0.0010089587166122183
20230925,189.3204,190.5276,187.1345,188.3783,1409800,-0.009473876855085939
20230926,188.0308,188.3966,186.5857,187.6741,1118500,-0.0037385094335924407
20230927,187.3997,188.1131,184.6102,185.2596,1137500,-0.012865415961483717
20230928,185.6346,186.4943,183.3755,184.6011,1591900,-0.0035545171054752744
20230929,185.5156,185.5156,182.278,182.9914,1406600,-0.008719860241535482
20231002,182.4883,183.092,180.1653,182.0128,1483100,-0.0053478325910096824
20231003,181.1988,182.5432,179.9183,180.339,1679400,-0.009195626433345372
20231004,180.9518,181.967,178.016,181.9304,1423000,0.00882449074978564
20231005,181.5006,183.97,178.4733,178.8117,1894900,-0.01714259162946752
20231006,178.1624,179.0129,173.8912,178.3819,1876200,-0.002403785024869043
20231009,177.9428,179.0495,177.1105,179.0037,1182600,0.0034862694991708576
20231010,179.9641,180.6317,177.6227,177.7416,1116300,-0.007050862448810591
20231011,178.6654,178.8757,174.6046,175.3911,1559300,-0.013224221473130293
20231012,175.1442,175.6015,170.6901,171.623,1951400,-0.021484054192499435
20231013,172.4919,175.9033,172.0163,174.5588,1761800,0.01710622419145258
20231016,175.0984,176.452,174.0467,175.446,1733900,0.005082305445849311
20231017,174.4125,176.196,173.8912,174.4765,1227200,-0.005525643179856599
20231018,175.5009,176.4795,174.0101,174.8698,1472500,0.002253969436688763
20231019,175.1442,176.7904,174.5131,175.2173,1462500,0.001987388251948996
20231020,175.8119,176.9642,174.6046,174.632,1324800,-0.00334040375882938
