datetime,open,high,low,close,volume,return
20230829,311.7616,316.4025,311.5789,314.878,394244,0.004233131031722737
20230830,317.6769,320.2442,314.3954,315.3702,341496,0.001563299428247289
20230831,315.3412,317.3004,313.8549,314.6849,266137,-0.0021731071387203205
20230901,315.6308,318.1112,315.3895,317.0785,413263,0.00760638946801051
20230905,315.8624,316.2533,300.4539,302.804,813122,-0.045018742971626224
20230906,302.8426,307.2244,301.7424,305.8732,489446,0.010135773202172738
20230907,305.1879,315.7611,300.3912,313.6909,468893,0.025558593502128968
20230908,313.2276,319.9739,310.8726,316.152,417109,0.007845688043084165
20230911,315.9686,317.3874,313.3627,315.071,358640,-0.0034191250144309793
20230912,313.797,320.1091,306.6502,307.8131,365336,-0.02303567514415339
20230913,306.7418,310.9787,301.1536,304.5413,455060,-0.010629439322431655
20230914,306.0083,309.2608,301.4721,308.4308,422090,0.012771755033064824
20230915,305.931,308.0254,303.3348,304.8404,952197,-0.011640739868561956
20230918,305.0914,313.2179,305.0914,309.0292,315904,0.013740899874872481
20230919,307.6683,308.397,300.2078,303.4217,307641,-0.018145478853070163
20230920,304.8115,307.263,298.7311,299.6673,386684,-0.012373619854839646
20230921,297.959,297.959,292.2163,293.8474,250105,-0.019421053907236363
20230922,293.4132,297.766,293.1043,295.1794,224050,0.0045327591942210255
20230925,294.8126,303.2287,294.6292,302.1574,264124,0.0236398517106029
20230926,300.1692,302.4016,297.6212,298.1327,360294,-0.013319842566876239
20230927,300.6035,307.5912,298.1521,305.0914,393855,0.023341084214366425
20230928,305.1783,311.0657,303.8754,306.8287,281241,0.005694373924952867
20230929,308.3633,309.2898,302.4277,302.4856,345348,-0.014155030691761161
20231002,302.4083,304.5702,295.2888,298.4802,545893,-0.013241528042149953
20231003,298.3161,299.8217,291.1451,294.7933,470199,-0.01235210645073992
20231004,294.7065,300.0824,293.4663,296.3666,371972,0.00533676308424158
20231005,296.4341,297.2641,288.0084,288.7612,666921,-0.025662061054396168
20231006,288.1531,298.7794,284.1285,298.4126,786098,0.03342345753761289
20231009,298.1327,300.3091,293.8958,297.6888,189065,-0.002425554161096577
20231010,298.5864,299.5323,294.5618,297.0518,358978,-0.002139591452951839
20231011,298.818,300.4008,294.996,299.8025,289327,0.009259697784882448
20231012,300.1402,306.6743,296.077,298.7118,447361,-0.003637852764988958
20231013,298.7311,300.2947,283.7956,284.5146,624858,-0.04752819954743415
20231016,288.3365,297.322,288.0181,293.4325,859208,0.031344289922936586
20231017,291.1838,294.1081,288.3366,289.2052,11191392,-0.014406362595208666
20231018,288.2207,288.2207,277.5414,279.8239,653318,-0.03243806161569729
20231019,280.5478,284.833,274.0814,275.0658,817007,-0.017004078077744622
20231020,274.1103,274.284,268.0782,270.1146,825502,-0.018000065680308208
20231023,270.6069,273.9028,269.9168,270.6069,523507,0.001822482252235913
20231024,273.6374,274.8873,271.1281,272.4214,418394,0.006705238582531692
20231025,274.4674,274.5543,269.0336,270.1339,684310,-0.008396717130613629
20231026,272.3537,276.2529,271.765,272.0256,550269,0.0070027976395170555
20231027,271.6588,273.7436,268.4353,271.2245,486544,-0.002944893470582244
20231030,273.3961,274.8245,270.6069,273.454,553615,0.008220098261769282
20231031,255.956,262.239,239.7126,260.6852,2083450,-0.04669472524036211
20231101,265.1634,273.039,262.8663,269.3714,1294996,0.033320959371847536
20231102,270.52,272.1125,265.3854,270.9253,798994,0.005768592631296476
20231103,273.1451,277.44,271.8325,272.0159,492222,0.004025375545708476
20231106,272.5082,273.4154,265.7908,268.5511,591005,-0.012737539374630402
20231107,268.0009,269.3811,264.8546,268.9178,407383,0.0013657001309790306
20231108,271.0894,275.8862,268.9082,271.6299,419247,0.010085112177850464
20231109,274.2937,280.0112,271.6395,275.0754,560289,0.012684634327663202
20231110,277.1023,279.6117,273.5313,279.4283,499034,0.015824183529198788
20231113,279.1387,280.9851,276.5039,280.654,700242,0.004386485117469752
20231114,284.7076,289.6685,283.8776,285.2385,492512,0.016334963306573025
20231115,286.2229,286.5172,278.2218,279.3221,655723,-0.020741879428169963
20231116,280.5574,283.588,277.0539,279.4958,516122,0.0006217751763226698
