datetime,open,high,low,close,volume,return
20230829,463.1862,465.1728,460.3703,464.1409,513400,0.001373113212081556
20230830,464.5364,466.7158,457.6799,458.3163,1107900,-0.012549108358364092
20230831,460.1679,460.1679,444.8347,445.1723,1541100,-0.028679041503891
20230901,447.4578,449.9843,439.7526,444.1886,991300,-0.002209645924000858
20230905,444.5165,457.0145,443.0218,453.456,1159500,0.02086371772178297
20230906,452.6556,454.1503,445.4133,448.4896,956500,-0.010952330285115663
20230907,450.5822,458.0367,449.0393,455.1533,829600,0.014857947423903006
20230908,455.1243,455.1243,448.046,451.0548,909700,-0.009004615788353654
20230911,452.1059,456.0694,448.4992,450.5244,757800,-0.0011759680864141808
20230912,449.0875,455.5486,443.9668,452.347,808600,0.0040455789430473565
20230913,454.2371,462.7041,444.5165,455.6547,1605900,0.007312326269255598
20230914,459.3192,461.3926,451.4212,454.7578,656900,-0.0019682680734500746
20230915,453.6681,458.0559,452.3373,453.9864,1183000,-0.0016964729401492962
20230918,457.7281,457.7281,452.077,457.1205,649900,0.006903633146177812
20230919,456.9855,460.7657,454.0828,456.9083,782800,-0.00046418551398053065
20230920,458.808,468.7312,454.6806,467.4872,1035000,0.023153129060086375
20230921,469.2424,481.0267,468.7023,476.446,2111600,0.019163867241305033
20230922,476.1278,481.2581,472.9551,476.446,946200,0.0
20230925,477.6708,483.8233,475.4335,483.2061,679200,0.014188597828465266
20230926,482.4732,482.9361,474.9995,475.4238,756700,-0.016105585940467848
20230927,475.337,476.88,470.9107,475.9735,677900,0.0011561949247587133
20230928,478.78,484.7987,473.4665,478.4129,814300,0.005124994389838822
20230929,477.8236,478.6158,469.95,470.0176,1005000,-0.01754815590822345
20231002,469.7471,477.186,463.0909,475.0606,1001000,0.010729318768639695
20231003,472.4231,474.7804,468.7424,471.8725,625500,-0.006710955409225505
20231004,471.9981,473.0608,466.105,469.3027,1140200,-0.0054458203126995786
20231005,470.1336,473.0801,467.8247,472.3942,850000,0.006587414631913147
20231006,472.8966,486.0449,472.4135,481.2725,803800,0.01879418691172674
20231009,481.456,485.9387,478.21,484.5282,716200,0.006764788856446158
20231010,484.5282,486.441,481.5141,483.4269,1014900,-0.0022729706204313027
20231011,477.2439,480.6059,470.0949,476.6836,1587300,-0.013948863614842821
20231012,476.6643,485.9386,472.5294,482.8568,1167500,0.012950345804143337
20231013,490.5275,497.2031,483.1563,488.8079,1533300,0.01232473023911318
20231016,497.5317,507.9654,495.5319,506.4294,1482900,0.03604980328093621
20231017,507.9749,512.5445,501.9756,502.2364,714100,-0.008279401882904991
20231018,508.7382,511.8876,502.9417,503.9947,1047200,0.0035009424095096
20231019,503.3185,507.1732,500.285,504.9898,836000,0.001974398995719051
20231020,507.1731,509.2502,501.879,503.473,1008700,-0.0030035946202406905
20231023,502.2364,503.1252,495.7636,497.9953,568900,-0.010879932868641196
20231024,500.3043,506.6418,498.3625,498.8358,545600,0.001687919992200193
20231025,501.0965,507.0475,495.5995,505.0381,733800,0.012433490011197312
20231026,501.2221,503.4634,494.9619,495.9569,688200,-0.017981231474433423
20231027,493.2422,498.5943,491.1072,492.8848,758600,-0.0061943759585260105
20231030,494.0344,502.8354,491.5129,500.4008,1093800,0.015249106424628511
20231031,502.9416,507.6658,500.8646,505.9268,1282800,0.0110432103561513
20231101,483.3689,498.4977,472.1527,472.7613,2752700,-0.06555405767244726
20231102,468.0565,471.4475,455.7969,465.0713,2604500,-0.016266077747959184
20231103,462.231,467.3995,458.9463,460.8302,1453000,-0.009119288174112783
20231106,461.7866,473.5245,457.6808,470.7808,1546400,0.021592817819614307
20231107,474.1428,486.557,474.1235,481.2821,1845900,0.022306159784568846
20231108,482.7023,485.987,471.1093,471.6986,911400,-0.019912428483462308
20231109,471.718,481.3015,470.3461,478.3839,1056400,0.014172826001232819
20231110,479.7268,480.2678,472.3653,476.3841,691800,-0.004180359582372284
20231113,476.3068,481.4947,475.9591,480.2871,550500,0.0081928718837192
20231114,474.3263,488.2379,473.5535,484.9243,1121100,0.009655009925945812
