datetime,open,high,low,close,volume,return
20230725,49.3544,49.8501,48.9677,49.7906,3176200,0.002995774332934076
20230726,49.7411,50.1971,49.7014,50.0484,1926600,0.005177165889729052
20230727,50.1971,50.2665,49.5229,49.751,2214400,-0.005942961864997431
20230728,50.0385,50.1773,49.4932,49.9988,2095500,0.004982319318370232
20230731,50.2269,50.7523,50.0484,50.7028,3182800,0.014078694598729236
20230801,49.3048,49.3048,47.3418,48.5712,5537100,-0.042041316111703586
20230802,48.2341,48.244,47.5103,47.6392,2846400,-0.019187542940833358
20230803,47.5796,48.1254,47.1728,47.8079,2595700,0.003540826281948961
20230804,48.0162,49.0085,47.8972,48.6711,5030800,0.018057143531957198
20230807,49.0383,50.2687,48.6712,50.0603,6148900,0.02854262167378896
20230808,49.9611,50.2687,49.6337,50.11,4376200,0.000991006643287884
20230809,50.1496,50.1496,49.3558,49.4054,3011400,-0.014059580428630425
20230810,49.5245,49.9016,49.2764,49.4551,1822300,0.0010042977798896402
20230811,49.3856,49.4551,48.8002,49.0581,2761600,-0.008025627210630382
20230814,48.9391,49.2566,48.7803,48.8398,1847300,-0.004449896884193505
20230815,48.6215,48.7902,48.3139,48.3933,2281800,-0.009142572121954129
20230816,48.3536,48.9986,48.3437,48.4727,2317000,0.0016403098277173456
20230817,48.7208,48.9093,48.2246,48.2346,2121200,-0.004913028248515583
20230818,47.788,48.5819,47.6293,48.4032,1859400,0.0034972799812216238
20230821,48.5422,48.5422,47.8178,48.1949,1677600,-0.004305117838276917
20230822,48.4826,48.5818,48.1155,48.3139,1951900,0.002470715315419314
20230823,48.4132,48.949,48.2246,48.7605,2088600,0.009242169571948677
20230824,48.562,48.82,47.7186,47.7483,2714800,-0.02075704597511774
20230825,47.917,48.1056,47.2919,47.8079,2429300,0.001246870241448761
20230828,47.9071,48.5818,47.669,48.4826,1634000,0.014113651438929287
20230829,48.3139,48.9589,47.9567,48.9291,2133100,0.00921001395263521
20230830,49.0681,49.5543,48.949,49.336,2230800,0.00831467336988223
20230831,49.3459,49.594,49.078,49.0879,2878500,-0.00502794026101494
20230901,49.5444,49.6138,49.078,49.3062,2001600,0.00444704277289687
20230905,49.2368,49.2963,47.8873,47.9369,3137900,-0.02777214069709799
20230906,48.0063,48.3338,47.6689,48.0559,2214600,0.002483773546888557
20230907,47.9964,48.2345,47.6888,47.8277,2373900,-0.0047490886142769195
20230908,47.7285,47.9865,47.2324,47.282,2043800,-0.011410581868450342
20230911,47.5201,47.5598,46.895,47.4705,2511000,0.003987192897600966
20230912,47.1629,47.6392,47.0438,47.3514,1610600,-0.0025081755578243436
