datetime,open,high,low,close,volume,return
20230718,111.8585,112.7156,111.5985,111.7814,2600200,-0.004886857077344153
20230719,111.714,112.8504,111.2807,111.3866,3044700,-0.0035322178372086954
20230720,111.377,111.7044,110.7317,111.3577,1986500,-0.00025932100090508836
20230721,111.7622,112.0896,111.2133,111.9259,1608300,0.0051023987591019004
20230724,112.1956,112.446,111.3385,111.9837,3312500,0.0005162792936013183
20230725,111.377,112.4171,110.9436,112.2341,1850100,0.0022360104232694855
20230726,111.9356,112.4845,111.0688,112.4171,1616900,0.0016303725684105874
20230727,112.6771,112.8986,110.5776,110.6836,2237700,-0.015420300823930866
20230728,111.4059,111.9452,110.4332,110.8762,1630500,0.0017402011839653397
20230731,110.9147,110.9532,110.1154,110.5584,1939000,-0.0028662131993610895
20230801,109.8168,110.9629,109.5761,110.7895,1995400,0.0020904540783970305
20230802,110.751,110.9629,109.9805,110.751,2017500,-0.0003476936767060623
20230803,105.9357,108.093,103.3451,107.9293,5017100,-0.025478229588504098
20230804,109.1427,112.1956,108.7575,109.7879,2743100,0.01722128783346677
20230807,109.9516,111.7911,109.8265,111.7814,3191000,0.018157869939133153
20230808,111.897,111.9837,110.0094,110.6258,1966900,-0.010338521500103282
20230809,109.316,111.1458,109.2582,109.9805,1465900,-0.005832781147292687
20230810,110.4139,111.4251,110.2791,110.5584,1778200,0.005254183919953803
20230811,110.491,110.6065,109.4509,109.7783,1484700,-0.0070559122110038786
20230814,109.7109,110.7606,109.4412,110.6739,1546700,0.008158602118777614
20230815,110.1346,110.934,109.6146,109.8939,1491100,-0.00704833880281297
20230816,109.759,110.5776,109.316,109.759,1565600,-0.0012268805700634822
20230817,110.0865,110.5584,109.0271,109.4123,1518600,-0.0031587607631629044
20230818,108.6323,109.7879,108.536,109.5472,3858700,0.001232210402488887
20230821,109.3642,109.8842,108.9212,109.6531,2339800,0.0009671578624217414
20230822,109.7687,109.8457,108.7575,109.0656,2877600,-0.005357540567361707
20230823,109.7783,110.8954,108.9597,110.5873,1788000,0.013951430147154387
20230824,110.5969,111.897,110.5391,111.0014,1618800,0.0037447669503480885
20230825,111.3577,112.0511,110.5969,111.5214,1500100,0.004685076967255952
20230828,112.003,113.2453,111.7718,113.1586,1831900,0.014680374771384397
20230829,113.2357,114.2469,112.966,114.1891,2433800,0.009106504441837249
20230830,114.2565,114.401,113.3609,113.5438,2801600,-0.005650700845520551
20230831,113.7557,113.9483,113.3127,113.6305,2713300,0.0007633839633194306
20230901,114.3047,114.3047,112.1282,112.6867,5990800,-0.008305816253496467
20230905,111.5311,111.7237,110.2598,110.4043,4402000,-0.020254738042968623
20230906,110.6162,110.751,108.17,109.4123,3594200,-0.008984645127041446
20230907,109.2968,111.2229,108.8056,110.9725,2622800,0.014259430809583362
