datetime,open,high,low,close,volume,return
20230718,202.0553,203.0435,200.1556,201.3357,623500,-0.0035612727634526387
20230719,200.3859,203.7055,200.3859,202.6117,417400,0.006337829999946143
20230720,203.504,204.3387,201.0958,203.1202,443800,0.0025097220191976355
20230721,203.5328,205.2406,202.5734,204.0125,463700,0.004392756200415793
20230724,204.4347,206.248,203.9837,206.1329,512200,0.010393291390688342
20230725,204.7609,205.2502,200.1172,201.9401,912700,-0.0203398843877578
20230726,201.0287,204.118,201.0287,203.3793,670800,0.00712645555893987
20230727,201.6139,212.1868,199.3209,209.9418,1737400,0.03226730242935849
20230728,211.4001,213.3477,209.1934,213.223,1198900,0.015629407424791575
20230731,213.7699,217.3006,212.6474,216.6482,1138200,0.016063723326480428
20230801,215.5448,217.1566,212.254,212.8584,921900,-0.017492713012972394
20230802,212.0813,213.0695,210.2488,210.5078,453800,-0.01104295525218879
20230803,210.0089,214.0001,209.155,213.0503,509200,0.012077697909101737
20230804,214.3647,216.4563,211.5824,211.9278,565900,-0.0052686263161448865
20230807,212.3115,215.1131,211.9853,214.7581,407900,0.013354909316072527
20230808,213.3957,215.8039,211.5056,214.8156,386400,0.0002680756565918152
20230809,214.0577,214.806,212.868,213.789,402800,-0.004778963270621106
20230810,213.7027,215.209,211.7455,212.4938,469300,-0.006058363647277187
20230811,212.0333,215.6312,211.0259,214.3455,445900,0.00871413434270707
20230814,214.1536,214.3935,212.1964,213.7027,507500,-0.0029990000248445448
20230815,212.513,213.0311,210.7956,211.6399,372100,-0.009652614549959582
20230816,211.2274,212.6857,210.0281,210.5174,481100,-0.005303736097546752
20230817,211.1411,213.3285,210.0185,210.0185,468900,-0.002370026363988309
20230818,208.896,211.333,208.896,210.5174,1519900,0.0023756567330774914
20230821,210.4119,212.4555,209.9418,212.2444,488200,0.00820332967756765
20230822,213.0311,213.885,211.141,212.6281,373900,0.0018080975161989254
20230823,213.7986,214.7868,212.3403,214.6046,428400,0.009295147299587692
20230824,214.6046,216.4851,213.3477,213.6548,354200,-0.004425808165397838
20230825,215.0747,218.4327,214.2496,216.9648,375100,0.015492414768722096
20230828,217.5692,218.8741,216.9168,217.7323,327200,0.0035377302095138674
20230829,217.5308,218.6437,216.936,218.4902,311000,0.0034808277654969633
20230830,217.4157,220.035,217.032,219.4497,522500,0.004391375472659442
20230831,219.8143,219.9966,216.9936,217.2142,707700,-0.010186793693387042
20230901,218.615,219.1427,217.4157,219.0179,423100,0.008303904835223141
20230905,219.0179,219.0179,213.2422,213.7411,674200,-0.024093256307146094
20230906,212.6569,216.3795,211.448,213.7986,352800,0.00026920838599475694
20230907,213.5108,213.5108,208.3971,209.6348,439500,-0.0194757066459732
20230908,209.7019,210.3639,206.814,207.3225,286100,-0.01102978078661887
20230911,208.1189,208.8384,205.2981,206.2768,434100,-0.005044126817745909
20230912,205.0007,207.0731,204.3771,205.2214,524900,-0.005116301639953469
20230913,205.3461,206.8332,205.0583,206.4878,502600,0.006170986652256127
20230914,208.1572,208.7041,206.9388,207.524,285700,0.005018184156007965
20230915,206.7852,207.7542,204.9911,205.5476,532100,-0.009523838934940576
20230918,205.6723,206.9771,203.5904,203.7439,436700,-0.008775150574213852
20230919,203.5903,204.9719,201.4796,202.3527,491900,-0.006828204752976963
20230920,203.6767,205.2502,201.1534,201.4221,526700,-0.004598841267246301
20230921,200.5394,201.1822,198.2463,198.3998,479200,-0.015004472971532623
20230922,198.0161,199.6375,196.9607,198.7261,389400,0.0016442435095489483
20230925,198.2272,200.2708,197.0854,199.3113,300900,0.002945089920991073
20230926,198.1792,198.5917,195.2241,195.5407,497100,-0.0189180625087898
20230927,196.9319,200.3955,195.7518,199.0235,429800,0.017810827003881036
20230928,199.3977,202.7844,199.0523,200.5778,413800,0.0078095081399867095
20230929,201.9881,201.9881,198.5534,199.58,392200,-0.004974642953431085
20231002,199.1866,200.2036,197.5748,198.3903,300000,-0.0059609292954746484
20231003,197.8338,199.0139,197.3253,198.5438,290400,0.0007737446742561715
20231004,198.5246,200.3667,196.7688,199.9829,337100,0.007248517015178146
20231005,199.9157,200.5489,196.5098,196.8168,458100,-0.015832116404591146
20231006,196.3467,198.4958,195.1186,197.6227,476000,0.004094945615735757
20231009,196.9223,199.7334,196.2699,199.7047,311200,0.010534920425223415
20231010,200.4242,201.1726,198.9947,199.839,434500,0.0006726088213910852
20231011,200.2803,202.1512,199.8198,200.549,305500,0.003552664773459613
20231012,200.9147,200.9147,195.7275,197.8832,577700,-0.013292297082531657
20231013,198.297,198.6146,192.9558,193.0906,565300,-0.024219505257095375
20231016,194.2936,195.6409,192.6768,195.025,532500,0.010018109930764796
20231017,193.668,196.9208,193.591,195.5446,542000,0.0026646259540217265
20231018,193.5429,195.0153,189.3662,189.5202,615800,-0.030808695883556503
20231019,189.5683,192.9559,187.7783,188.2402,643600,-0.006753490006314644
20231020,188.2114,189.2989,185.4205,185.4782,604300,-0.01467270489421968
20231023,185.4108,187.6435,184.2464,185.5744,578300,0.0005186951554942976
20231024,187.2875,187.682,184.0635,185.4878,654600,-0.00046670696221373653
20231025,184.6121,184.8238,177.8947,179.9638,1216500,-0.029780939346573332
20231026,183.8807,191.2139,183.6689,185.9401,1106500,0.03320835569619063
20231027,185.1414,187.326,183.4091,183.7363,816900,-0.011852346174510253
20231030,184.8334,185.4686,182.0137,183.361,426100,-0.002042712345292408
20231031,183.2744,185.1221,182.976,184.2079,396400,0.004618638023970778
20231101,184.2271,184.92,176.8553,181.2726,1244000,-0.0159343989565488
20231102,183.8999,187.1431,183.4283,186.3058,1169700,0.027765930017997542
20231103,189.1064,190.3093,187.7494,187.8264,457300,0.008161681424967426
20231106,187.9612,187.9612,185.7092,186.2096,305700,-0.008607736970903002
20231107,184.8815,185.8824,183.6689,184.3715,377900,-0.009871482906247286
20231108,185.2087,185.8439,184.0057,185.0932,420100,0.003914683551699882
20231109,186.3251,187.2105,182.3409,183.0915,387700,-0.010814516082494507
20231110,184.2945,184.6313,182.2062,184.5062,482100,0.007726671204234092
20231113,183.8133,185.4108,183.3514,185.0547,479400,0.0029729237995996805
20231114,187.6724,191.0407,187.2201,190.6173,342600,0.03005891943005401
20231115,190.3382,193.8894,190.2035,191.5893,478500,0.00509922316115663
20231116,191.2717,192.7345,189.4432,190.1553,311500,-0.0074844719606472765
20231117,191.8203,192.3399,189.7993,190.5595,329000,0.002125578186716215
20231120,190.4152,190.4633,187.9515,188.3557,394900,-0.011565030576105584
20231121,187.6821,191.5797,187.5088,191.1177,799800,0.014663790254113795
20231122,190.444,192.4169,188.5385,189.8281,1949500,-0.0067477354056748595
20231124,191.5123,192.4747,190.5211,191.7144,196600,0.009936839736105485
20231127,190.906,191.7914,190.1265,191.1273,344700,-0.003062114206282218
20231128,190.7424,191.5219,189.1641,189.2122,371200,-0.010020180872607587
20231129,190.2035,192.1667,190.0399,190.8386,372100,0.008595659493563446
20231130,191.6951,194.1973,188.9812,194.0914,871600,0.017044887581155743
20231201,194.2743,196.1028,193.8412,195.4003,461900,0.006743329803190701
20231204,194.3802,196.7284,194.3706,196.5166,303600,0.005713291964423384
20231205,196.0258,196.0258,193.2157,194.0049,261300,-0.012781589132314308
20231206,195.2848,197.6426,195.2463,196.892,404100,0.014881587679764108
20231207,197.4501,198.5568,196.0547,197.8639,454000,0.004936640887894805
20231208,198.0468,199.7791,197.0363,197.1326,421900,-0.0036964000971373423
20231211,197.2096,200.2411,196.8054,200.0582,331100,0.01484099847986875
20231212,200.549,201.5884,198.836,199.7502,288500,-0.001539469029626539
20231213,199.6924,202.108,197.9024,200.982,463100,0.006166683090377045
20231214,203.7633,206.9584,203.7633,206.8429,443400,0.029161320867381102
20231215,205.9094,207.0931,202.8779,203.3976,739400,-0.016656588463399458
20231218,203.7729,205.3127,201.9444,203.9558,346000,0.0027442136327551214
20231219,204.947,206.1019,204.1964,205.409,245500,0.007124930591123402
20231220,204.7546,207.4492,203.9365,204.1771,437300,-0.0059968736445321635
20231221,205.7939,206.7467,204.2445,206.0538,317100,0.009191124129948047
20231222,206.5927,207.9881,205.9479,206.3136,329000,0.0012609654116477742
20231226,206.1596,207.6802,205.3512,206.6985,263900,0.0018659168386403469
20231227,206.6697,208.2672,206.381,207.6705,254000,0.00470250098256364
20231228,208.6041,211.4527,208.0555,208.8928,336200,0.005885422938909812
20231229,208.835,209.961,208.6233,208.9409,237200,0.00023024110231717465
20240102,206.9969,208.9409,205.9768,206.9584,307200,-0.00948824846644114
20240103,205.919,207.3337,203.898,204.2926,476900,-0.012880859825004753
20240104,204.3792,205.8709,203.1859,203.234,699100,-0.005181827803358963
20240105,203.1859,204.6775,202.2427,203.234,400900,0.0
20240108,203.003,203.003,200.0582,202.8875,281100,-0.0017046143062368069
20240109,201.8385,202.339,200.087,202.0791,227400,-0.003984600988625631
20240110,201.6268,202.5892,200.8954,201.7327,254100,-0.0017142804933787392
20240111,201.8196,201.8196,198.3541,201.3466,229000,-0.0019140360678370216
20240112,202.447,203.7985,199.2228,199.7345,277500,-0.008006624101991489
20240116,198.4217,199.1746,196.3269,198.634,382700,-0.00550948150613173
20240117,196.9737,199.2325,196.9737,197.9293,449900,-0.0035477903896854457
20240118,197.9486,198.6726,195.8153,198.2093,379700,0.0014144089471253007
20240119,198.5664,200.3523,197.3019,199.86,292600,0.008327968244111972
20240122,201.2211,201.9258,199.6476,200.2461,286100,0.001932123797012908
20240123,201.3562,202.0802,199.5414,201.9644,268300,0.008580673394685157
20240124,203.0842,204.1653,198.4603,198.5568,465700,-0.016872021744438803
20240125,200.0627,200.6708,197.8811,200.5743,304300,0.010160752420400598
20240126,200.5743,202.1381,200.5164,201.8968,280800,0.006593539349327715
20240129,201.2887,204.8121,200.6901,204.7928,417400,0.014343792105933728
20240130,204.0012,206.9165,203.924,206.26,329100,0.007164731756943432
20240131,206.9647,207.2736,204.1557,204.1653,612300,-0.01015582959458794
20240201,205.6133,214.919,204.6383,212.5443,920000,0.04104026426556251
20240202,211.7044,214.446,211.2507,213.0656,463500,0.0024524558048597545
20240205,211.2411,212.274,209.2912,210.6523,367900,-0.011326487467579693
20240206,210.826,212.4381,209.5614,211.299,459300,0.003070196120955604
20240207,214.8224,219.649,205.5747,214.7066,1360600,0.016126875150024977
20240208,217.8728,218.6065,214.3301,217.9983,657200,0.015331306660814503
20240209,217.9983,220.3634,217.4095,220.2861,460000,0.010494557225410261
20240212,220.1896,221.4349,218.954,219.0988,490700,-0.005389954139014885
20240213,217.284,217.6219,214.9769,216.4924,424400,-0.011895861641931349
20240214,217.1875,219.3015,215.7685,219.1471,359600,0.012262081436431593
20240215,219.8614,220.8364,217.6412,219.7842,457200,0.0029071809730425446
20240216,220.0352,221.5411,218.3458,219.5815,785400,-0.0009223970158935835
20240220,220.3537,222.4581,218.4521,222.3616,537700,0.012661208895597076
20240221,224.4756,226.4546,221.8017,225.3348,525100,0.013370831783916959
20240222,226.1746,227.5936,224.8907,226.9758,346900,0.00728279727022918
20240223,227.8157,228.9161,226.9662,228.8293,223300,0.00816566542895969
20240226,228.3466,229.0416,227.2751,227.8736,422100,-0.00417642613096314
20240227,228.5686,228.7713,226.5897,227.8639,228800,-4.238672198775273e-05
20240228,228.1246,229.4084,227.7771,228.4721,331200,0.0026690034593181977
20240229,228.8679,229.4374,227.2172,227.7191,651400,-0.003295633395947628
20240301,227.9508,231.6094,227.6129,231.1653,369300,0.015133612082713466
20240304,230.6827,231.7349,229.1575,229.3795,290700,-0.0077254584940603666
20240305,229.4277,230.5572,226.5318,227.1785,304500,-0.009595138250415913
20240306,227.8543,229.9007,226.8793,228.8678,319500,0.007436003920643364
20240307,230.5186,231.5322,229.4567,230.451,175400,0.00691728954363402
20240308,231.6576,231.8217,229.5918,230.3158,181400,-0.0005865123609897216
20240311,229.6594,231.0109,228.057,230.7696,235500,0.001970057197645314
20240312,230.8371,232.623,229.7946,232.4106,216500,0.007111083957287212
20240313,232.5457,232.816,231.146,232.4588,236000,0.00020766502574320889
20240314,232.9125,233.3469,230.7792,232.9801,361700,0.002242421652595583
20240315,230.3158,233.7813,230.3158,231.648,916700,-0.005717818645277206
20240318,232.5554,234.0806,232.1789,232.2175,308000,0.002458553895514193
20240319,232.5457,233.511,231.5225,231.7059,335400,-0.002203092714273547
20240320,231.3198,233.2214,231.3101,232.5361,251300,0.0035827935819625623
20240321,232.7581,237.5171,232.1403,237.3434,497500,0.020673470353292256
20240322,237.5171,237.8164,234.6212,235.4127,170000,-0.008134476013942127
20240325,235.5479,235.6251,233.4724,233.5786,227900,-0.007790960440259065
20240326,233.3566,235.1617,232.8836,233.6944,276300,0.0004958253659945733
20240327,235.2776,236.7159,233.7717,236.5904,320300,0.012392102876327193
20240328,236.6387,237.1793,235.3452,235.5575,243200,-0.004365635272165935
20240401,235.3065,235.6444,232.5071,232.5168,230200,-0.012908826747130453
20240402,232.2465,232.5843,230.1131,231.2715,281600,-0.005355612752382721
20240403,230.5668,232.4878,230.1421,230.9915,272000,-0.001210561016649514
20240404,232.7291,233.6944,227.4488,228.5782,334700,-0.010447501202416887
20240405,229.0609,232.3913,227.9604,231.0784,280700,0.010938041551647348
20240408,231.3583,232.5553,230.2193,230.6054,235900,-0.0020471531978069057
20240409,231.7735,233.5786,229.8911,233.2021,254200,0.011260537730708453
20240410,230.8564,231.7542,227.9991,228.1921,340500,-0.0214834849001857
20240411,227.9991,229.5822,226.9855,228.057,253600,-0.0005922513173027832
20240412,225.8464,227.5067,223.1145,224.6011,377400,-0.015153476766236795
20240415,227.7481,228.0956,222.2072,222.4967,349800,-0.009369433389540105
20240416,222.4485,223.0953,220.6433,221.2998,355800,-0.005379813266726763
20240417,221.6086,221.6955,218.23,218.9637,405800,-0.010556294133234001
20240418,219.5139,221.1067,217.8922,218.259,248300,-0.003218118018380789
20240419,219.176,220.431,218.1625,219.1664,244300,0.0041573503920839805
20240422,219.7649,223.52,219.7166,221.9176,348300,0.012552905713510754
20240423,223.4234,225.3637,223.0759,224.215,381800,0.010352740303648522
20240424,223.1725,224.1957,214.2046,216.8496,589500,-0.0328497283443655
20240425,215.4885,217.5736,213.0462,215.5368,486600,-0.006054129851297385
