datetime,open,high,low,close,volume,return
20230718,73.8038,76.5266,73.7853,76.4895,2184100,0.0356061976296278
20230719,77.1679,78.3945,77.0099,78.125,2716600,0.021382600671000285
20230720,77.8648,78.0228,76.759,77.5303,3041800,-0.007612693825645778
20230721,77.0656,78.4503,75.5974,78.06,2140500,0.006832185795619061
20230724,78.2644,79.426,78.06,78.9614,2867600,0.011547599628088934
20230725,79.2588,81.3775,78.8034,80.8664,3167100,0.02412618581579662
20230726,80.9872,82.4183,80.4018,80.9129,2035000,0.0005746593438089587
20230727,81.1266,81.5448,77.902,78.2087,1809200,-0.033421420417911074
20230728,79.3703,79.7792,78.664,79.2588,2285400,0.013426832163915048
20230731,79.9093,80.5319,77.9299,78.6268,4875800,-0.007972774782829317
20230801,78.3202,78.7755,77.7533,78.3573,1308700,-0.0034275917839488024
20230802,77.4559,77.4559,76.3687,76.5173,1456600,-0.023482116759395488
20230803,76.3315,76.5638,74.4822,74.4915,2189600,-0.02647517539141886
20230804,74.7331,75.9784,74.7331,74.8075,1687000,0.004241196138166092
20230807,74.4172,74.9283,74.0548,74.6588,2660800,-0.001987523922340917
20230808,58.2383,62.7546,57.8759,60.1991,11101100,-0.193676840140953
20230809,60.069,60.4314,58.3591,59.2698,6099700,-0.01543695150244262
20230810,59.1676,60.3757,58.7587,58.7866,2777800,-0.008152934358690023
20230811,58.5636,59.8181,58.5543,59.7252,2501800,0.015965746591589225
20230814,59.2048,60.3943,59.1304,60.3757,2384100,0.01089170410296747
20230815,59.5393,60.3199,59.372,60.0133,3029400,-0.006002860153602185
20230816,59.6787,59.8274,58.8238,58.8609,2185900,-0.019200916037094617
20230817,59.1211,59.3163,58.3498,58.3777,1868000,-0.008209698443484625
20230818,58.0339,59.2048,57.7179,59.1862,2409700,0.013848978463366857
20230821,59.1769,60.1155,58.8609,60.004,1718800,0.013817003767183866
20230822,60.4686,62.3458,60.4407,62.2528,3037900,0.037478834595342736
20230823,62.2342,63.2936,62.225,62.4573,2169600,0.0032839216216864475
20230824,61.5187,62.5409,60.0411,60.766,1473500,-0.027079303911322627
20230825,61.2027,61.8997,60.8124,61.37,1245100,0.009940214452050622
20230828,61.8811,62.2157,61.3328,61.7138,999800,0.005602887210582219
20230829,62.0484,64.1114,61.9926,64.0649,1741500,0.03809656559575192
20230830,64.1486,65.3474,63.972,64.8641,1579500,0.012474754734332016
20230831,65.1522,66.4625,65.1057,65.4682,2457900,0.009312303138920841
20230901,66.0164,67.2617,65.2823,65.2823,1621500,-0.002839048819589851
20230905,65.0221,66.0536,64.8641,65.7284,2397000,0.006833023224775969
20230906,65.6447,66.2209,65.3009,65.97,1619600,0.0036757344533449032
20230907,65.7284,66.7134,64.2601,64.3065,1428800,-0.025214830522587772
20230908,64.1021,64.3623,62.9963,63.8698,1123300,-0.006791842433336748
20230911,64.8177,65.3752,63.2379,63.5074,1640900,-0.005674463040914457
20230912,63.21,64.0928,63.0056,63.2843,2643600,-0.0035116975092734926
20230913,63.2843,63.6189,62.4666,62.7546,1291400,-0.008370178179584853
20230914,63.4144,64.5389,63.2936,64.2136,1266300,0.023248844596961638
20230915,64.2787,65.9235,63.9256,64.1672,3984800,-0.0007233318604515926
20230918,63.749,63.9627,62.5409,62.6338,1753300,-0.023895968845680016
20230919,62.4944,63.4888,62.3829,63.052,1663800,0.006676621343591371
20230920,64.1207,66.8342,63.9906,65.05,3026500,0.03168747561439611
20230921,64.1756,65.6423,64.1098,64.4295,2375500,-0.009538916965646016
20230922,64.4295,64.5235,63.7243,63.7807,1501100,-0.010068800112351894
20230925,63.2919,64.279,63.1038,64.0722,1265400,0.004569688831248531
20230926,63.5833,64.2414,62.9346,63.085,1503200,-0.015407228636195147
20230927,63.7338,64.0628,62.7372,63.1791,1740600,0.0014905643948006642
20230928,63.4423,64.4577,62.5303,64.1004,1480700,0.014583012569126641
20230929,64.3825,64.8525,63.5927,64.091,1089900,-0.00014663582077434345
20231002,63.4705,63.7243,61.6372,62.0227,1566000,-0.0322719922004967
20231003,61.3363,62.5867,61.0919,61.1765,2008500,-0.013642710383368728
20231004,61.9756,61.9756,60.7816,61.5056,1822800,0.005378856748662786
20231005,61.1295,61.1483,60.0013,60.6782,1590700,-0.013451392617100044
20231006,60.2833,60.415,58.5534,59.221,2361800,-0.024016135360597213
20231009,58.7603,60.2269,58.7039,59.9073,1419400,0.011589096404245769
20231010,60.2457,61.844,60.2081,61.8346,1941100,0.03217201060547992
20231011,61.9944,62.2295,61.2423,61.6278,1536700,-0.0033450601477866826
20231012,62.0132,62.0509,59.738,60.1799,4268900,-0.023493452819845717
20231013,60.4996,60.9509,60.1329,60.9227,2103700,0.012341809201900089
20231016,61.5338,62.756,60.5654,62.4175,1287200,0.024536851017084027
20231017,61.8346,64.1098,61.6842,63.5175,1400800,0.017623236235570827
20231018,62.7466,63.2637,62.6808,62.9816,2143600,-0.008436745697621872
20231019,63.038,63.2167,62.0885,62.4269,2851600,-0.00880743513652571
20231020,62.5773,63.0004,61.6748,61.7124,1272000,-0.011445756702081256
20231023,61.1859,61.6466,60.4526,60.885,2222400,-0.0134064932269653
20231024,61.4962,62.7654,61.0261,62.1261,1544100,0.020382879143393318
20231025,62.0133,62.4269,61.5432,62.1449,2601200,0.0003028372758056008
20231026,62.3705,63.8842,62.2295,63.1508,2139900,0.016187558874871666
20231027,63.3483,64.2038,62.8688,63.7902,3680400,0.010123460429405373
20231030,64.4295,64.6645,59.4278,61.3551,4522300,-0.0381724755693118
20231031,62.0885,64.8243,61.8722,64.2602,3075800,0.047349277332245476
20231101,64.0816,64.5329,63.0568,63.9876,1957900,-0.004243107243634747
20231102,64.6269,65.5483,64.3543,65.2944,1942700,0.020423261983260943
20231103,66.0278,68.82,65.8397,68.3594,2609500,0.04694044473941572
20231106,67.8141,68.5004,67.0807,68.0115,2930400,-0.00508883985366515
20231107,73.314,73.6243,65.9149,67.3064,5036200,-0.010367940511551876
20231108,67.3346,68.2465,66.2064,66.7705,2393400,-0.007961705644504491
20231109,67.3346,67.579,66.5354,67.2594,2565500,0.00732185744527869
20231110,67.0149,67.7012,66.0183,67.4474,2533100,0.002795542558718278
20231113,66.7329,67.4568,65.5577,66.9679,3677100,-0.007109128309427115
20231114,68.3311,69.5064,68.1619,69.2525,2019500,0.03411495397896713
20231115,69.4029,70.3149,69.2619,69.5722,1161000,0.004615809185017472
