datetime,open,high,low,close,volume,return
20230725,32.0875,32.2119,31.5362,31.6073,3627200,-0.016869312308432693
20230726,31.634,31.963,31.3228,31.5807,3955700,-0.0008436245877825321
20230727,31.2962,31.634,30.5049,31.0205,4987600,-0.017736631151368698
20230728,31.554,31.7674,31.2339,31.5362,2904700,0.016623830985569077
20230731,31.6607,31.9852,31.3806,31.5629,4299000,0.000845708541728829
20230801,31.4295,31.6251,30.945,31.4384,2555000,-0.003943546695054256
20230802,31.2962,31.554,31.2162,31.5096,1950500,0.002262299040393101
20230803,31.5629,31.5629,30.9183,31.2606,2531100,-0.007900628078110317
20230804,31.1361,31.6162,30.8516,30.905,2238300,-0.011376632441627454
20230807,30.9945,31.3349,30.9408,31.2902,1913600,0.012463786255249243
20230808,31.1468,31.4156,30.8512,31.3081,3197900,0.0005725674539078796
20230809,31.2633,31.3215,30.9274,31.0035,2330500,-0.009728198580189806
20230810,31.1647,31.3976,30.8826,30.9229,2466300,-0.0026005299123382786
20230811,30.8154,31.1558,30.681,31.0841,1832100,0.0052144972398755485
20230814,30.9587,31.1289,30.7258,30.8691,2662500,-0.006916535052730155
20230815,30.6362,30.8557,30.5063,30.6631,2402900,-0.006674302043324198
20230816,30.7168,30.7706,30.4526,30.5198,2342800,-0.0046742735188674
20230817,30.3048,30.6541,29.9868,30.0271,3658700,-0.016143214706442977
20230818,29.8121,30.1588,29.7673,29.9733,2482600,-0.0017900200980255354
20230821,29.9196,29.9644,29.2343,29.4448,2222500,-0.017632961833090932
20230822,29.6061,29.8479,29.503,29.7315,2212300,0.009735214700972161
20230823,29.9285,30.269,29.8031,30.26,2047900,0.017776535214730105
20230824,30.4033,30.8109,30.0987,30.0987,2141700,-0.005328790825057772
20230825,30.2421,30.4123,30.1211,30.2331,1946800,0.004464523067811532
20230828,30.4212,30.69,30.2242,30.2331,1484800,0.0
20230829,30.2689,30.5019,30.1077,30.4929,2015900,0.008592530084012395
20230830,30.5825,30.8333,30.4839,30.8064,2362400,0.010282003069982837
20230831,30.8423,30.8423,30.5063,30.5377,2107700,-0.008723371335520036
20230901,30.6721,30.7885,30.4795,30.6183,1760600,0.0026398853155771285
20230905,30.6721,31.0752,30.3406,30.3406,2196100,-0.009069627062177954
20230906,30.2958,30.4436,30.2062,30.4212,1975700,0.0026572215617604034
20230907,30.4391,30.8826,30.3227,30.6452,1958600,0.007361491147739763
20230908,30.69,30.7706,30.2913,30.3496,1654700,-0.009646105925362858
20230911,30.4929,30.6362,30.2555,30.5198,1981000,0.005608061631802386
20230912,30.5735,30.9184,30.5153,30.7527,2424100,0.007631201507391605
20230913,30.7616,30.905,30.6273,30.7169,2595200,-0.001164901039231614
20230914,31.0035,31.5051,30.9677,31.4872,2528100,0.02508023235279433
20230915,31.3305,31.6485,31.3305,31.6126,6463400,0.0039827651168680145
20230918,31.5679,31.5858,30.9542,31.0662,2222600,-0.017285433219446977
20230919,31.0662,31.1379,30.3854,30.5108,3004700,-0.01787773033757256
20230920,30.7706,30.7706,30.3496,30.4212,2942200,-0.0029360260637796287
20230921,30.251,30.3585,29.5523,29.5702,2725000,-0.027974130326206104
20230922,29.5613,29.8076,29.2657,29.2746,3452200,-0.009996830999928874
20230925,29.1134,29.2388,28.9432,29.1134,2251000,-0.005508091467155807
20230926,28.8894,29.0238,28.5938,28.6655,2601700,-0.015384450086410428
20230927,28.7819,28.9342,28.119,28.3967,3843800,-0.009375030773910997
20230928,28.5221,28.764,28.3609,28.4505,2794600,0.0018927238841683902
20230929,28.8715,29.0327,28.1638,28.3878,3777000,-0.0022039727690197353
20231002,28.6028,28.6655,27.698,28.0295,3722100,-0.01262234207559565
20231003,27.8234,28.0563,27.6308,27.8324,2733900,-0.007030992055531482
20231004,27.9847,28.2892,27.7607,28.2803,3163100,0.016092793237804548
