datetime,open,high,low,close,volume,return
20230829,221.73,225.73,221.73,225.14,489600,0.01510440599181484
20230830,225.52,227.14,224.19,224.55,864000,-0.0026205753730571546
20230831,225.39,226.47,221.75,222.63,849300,-0.008550425931202366
20230901,224.97,225.69,223.42,224.33,682700,0.0076359740868579
20230905,224.28,224.28,220.8,220.89,746400,-0.01533456253433707
20230906,220.41,220.85,216.79,218.82,860000,-0.009371144330433179
20230907,219.08,221.98,218.08,219.0,1028300,0.0008225604138407672
20230908,218.39,218.39,211.94,213.53,1302600,-0.024977174523758583
20230911,214.44,216.58,212.97,215.33,976300,0.008429743183852478
20230912,214.8,219.28,213.56,216.77,995500,0.006687421302935981
20230913,215.98,217.99,214.79,216.6,937900,-0.0007842328993620251
20230914,218.37,218.75,211.24,212.96,1344500,-0.016805167530368537
20230915,212.18,216.53,210.69,211.71,2027200,-0.005869646696994635
20230918,210.85,211.59,209.21,209.35,871300,-0.011147326699305182
20230919,208.21,210.33,207.72,208.88,1013900,-0.0022450499498467558
20230920,209.91,209.91,205.09,205.42,967800,-0.01656456641605475
20230921,204.08,205.25,197.64,199.18,1595500,-0.03037681602952813
20230922,199.17,201.24,195.96,198.75,1090200,-0.002158814597815417
20230925,198.04,202.51,197.5,202.39,1068600,0.01831446233785372
20230926,202.24,205.14,200.61,200.98,1782100,-0.006966765484270776
20230927,201.39,204.44,201.39,202.21,1061400,0.006120066735376017
20230928,201.97,202.02,197.23,197.7,1978300,-0.02230359337264054
20230929,199.28,201.1,195.7,196.75,1489500,-0.004805245133569169
20231002,196.24,196.72,191.63,193.88,1117900,-0.014587014572744583
20231003,192.56,194.24,189.98,190.73,849500,-0.016247210005886914
20231004,192.23,196.99,190.48,196.43,1697100,0.029885162669351262
20231005,196.2,198.29,193.94,197.82,1101600,0.007076387009451235
20231006,196.88,200.14,196.57,198.64,876800,0.004145142225608023
20231009,197.07,200.54,196.73,199.54,803600,0.004530778792034562
20231010,199.36,203.91,198.82,201.51,1051600,0.009872713676391864
20231011,201.62,204.75,201.62,204.56,872000,0.015135740831228928
20231012,204.09,204.6,196.4,197.61,1081900,-0.033975347238902054
20231013,197.15,200.59,197.15,199.36,1144100,0.008855827106901693
20231016,200.73,201.92,197.01,198.98,955300,-0.0019061240050616268
20231017,196.88,200.3,196.35,199.0,1130300,0.00010053408830268395
20231018,197.31,199.09,188.79,188.95,1575500,-0.05050252789828047
20231019,189.27,190.87,186.05,186.75,1631800,-0.01164327591307035
20231020,186.56,187.45,184.24,184.36,1626400,-0.012797854830781441
20231023,183.68,185.88,182.79,183.71,1037100,-0.0035256774481040587
20231024,183.48,187.34,183.04,186.69,1239500,0.0162211943750048
20231025,183.67,186.0,178.43,181.22,1507200,-0.029299915095453044
20231026,181.22,186.58,181.22,184.42,1515200,0.01765807817397036
20231027,185.1,186.01,179.1,179.94,933500,-0.0242923531722139
20231030,181.16,181.17,173.34,177.16,1572000,-0.015449587315650493
20231031,178.28,181.4,177.52,180.83,1533900,0.02071572642290609
20231101,169.95,181.06,167.42,180.01,2652100,-0.004534686257343878
20231102,181.03,191.53,181.03,190.46,4531200,0.05805240001068057
20231103,194.13,199.83,192.42,197.2,3691600,0.03538795545933504
20231106,196.67,200.65,195.19,198.4,1906400,0.006085177316494272
20231107,198.22,201.39,196.35,200.08,1612600,0.008467782188777973
20231108,200.15,201.3,198.31,199.76,1089600,-0.0015993968477117093
20231109,201.01,201.01,191.78,191.91,1613300,-0.03929711183716478
20231110,192.91,196.74,190.2,195.98,1045900,0.0212078161000695
20231113,194.67,194.81,191.45,193.67,767300,-0.011786904831885048
20231114,198.27,202.58,197.37,200.48,1400400,0.03516289370051595
20231115,200.58,206.91,200.2,205.83,1284200,0.026685984724313938
20231116,205.46,206.41,202.0,204.79,1274400,-0.005052754873779319
20231117,206.15,206.82,203.39,204.79,693600,0.0
20231120,204.38,206.55,201.56,205.29,1335100,0.0024415255451539775
20231121,205.66,209.43,204.83,207.45,1290700,0.010521719191148193
20231122,208.82,212.36,207.68,209.52,1000000,0.009978343478767027
20231124,209.47,212.02,208.15,212.01,427900,0.011884260135547775
20231127,210.77,213.85,210.68,210.73,1783200,-0.006037445462296787
20231128,209.88,213.65,209.12,211.0,1204800,0.0012812806811330901
20231129,212.78,216.25,212.0,213.81,1204500,0.01331752397437791
20231130,213.97,214.93,210.65,214.1,1854500,0.0013563843984536472
20231201,214.0,217.26,211.99,216.91,1195400,0.01312469630306845
20231204,215.94,217.36,214.41,216.27,1336600,-0.0029505296152472216
20231205,214.87,215.4,212.75,214.31,1435600,-0.009062776506898018
20231206,216.07,218.75,215.06,215.59,1110400,0.005972650804342061
20231207,216.22,216.31,213.06,214.99,773600,-0.0027830180199373
20231208,214.39,216.22,213.37,215.28,603900,0.001348868685628446
20231211,215.86,217.54,214.91,216.31,726500,0.004784461097813386
20231212,217.02,218.12,215.67,217.43,1119300,0.005177731634360194
20231213,217.9,226.4,217.1,225.95,1593800,0.039185046035325355
20231214,226.73,234.92,226.73,230.55,1501700,0.0203585136784461
20231215,228.03,229.72,225.66,226.72,1655000,-0.01661245621495333
20231218,227.7,227.7,224.51,225.97,955000,-0.0033080451480321793
20231219,227.56,230.37,226.09,228.86,1194900,0.012789305545145346
20231220,229.0,230.89,224.86,225.0,1163500,-0.01686620903634206
20231221,226.34,229.41,224.9,229.33,835400,0.01924445258246532
20231222,230.39,231.43,227.48,229.38,621600,0.00021803973033862611
20231226,229.24,231.14,228.54,231.03,408800,0.007193276926327208
20231227,231.33,232.61,229.59,231.92,574100,0.0038523109308357117
20231228,232.44,233.98,230.68,232.73,511600,0.003492573150176037
20231229,231.13,232.99,229.06,231.38,517200,-0.005800674040775666
20240102,229.66,232.68,227.72,230.39,812300,-0.00427869942204151
20240103,228.88,230.42,219.96,220.01,1201400,-0.04505406011680768
20240104,219.11,221.45,217.76,220.08,839700,0.0003182006543642757
20240105,218.59,222.03,216.59,220.52,558000,0.0019992840682727664
20240108,220.48,224.35,219.17,224.06,603100,0.0160529349607621
20240109,221.56,227.95,220.41,221.75,649600,-0.010309727679032377
20240110,221.91,221.91,213.01,217.13,1590500,-0.020834250810315647
20240111,215.97,217.02,208.66,213.95,2036000,-0.014645640229624668
