datetime,open,high,low,close,volume,return
20230725,56.2775,56.5765,55.9965,56.2503,1552500,-0.0012872613950672962
20230726,56.2412,56.9481,56.2412,56.5765,1304700,0.005799803494883182
20230727,56.7396,56.9843,55.19,55.3531,1382800,-0.021624017594267908
20230728,55.7881,55.9512,54.7641,54.8819,798600,-0.008513361787242935
20230731,54.9634,55.6612,54.7822,55.6431,3219500,0.013870485831223078
20230801,55.4347,56.1143,55.3894,55.9875,1299100,0.00618893970831258
20230802,55.8153,55.9603,55.2081,55.8606,1403900,-0.0022662327840302643
20230803,53.8034,55.5978,52.8428,54.1931,2066900,-0.029850680017555864
20230804,54.1025,55.4528,54.0572,55.2081,1230900,0.018729023538686773
20230807,55.2262,56.0962,55.2172,55.6703,1129900,0.008371686606130524
20230808,55.3622,55.5162,54.5919,55.0722,1704900,-0.010743864909288137
20230809,54.9181,55.7156,54.6825,55.2081,1279600,0.0024681995830251324
20230810,55.4165,55.8787,55.1356,55.2806,1069100,0.0013132518066021337
20230811,55.2534,55.3622,54.5103,54.8003,1176400,-0.008688485743138186
20230814,54.5737,54.9181,54.4469,54.5647,1259500,-0.00429979487759935
20230815,54.3472,54.5012,53.9847,54.0753,1137600,-0.008968455934786568
20230816,54.1025,54.3744,53.5406,53.7128,1156700,-0.006703600299022616
20230817,53.6403,54.3019,53.0422,53.0694,959300,-0.011979057547003014
20230818,52.6434,53.6584,52.5891,53.5678,772100,0.009392014085289668
20230821,53.7037,53.7219,52.6525,53.0694,919500,-0.009304624917010784
20230822,53.9303,54.5737,53.9213,53.9575,1330600,0.0167351228477024
20230823,54.2384,55.489,54.1931,55.335,1190000,0.0255289019476288
20230824,55.3531,55.9784,54.8637,54.8637,1019700,-0.008516219657167201
20230825,55.0178,55.6975,54.764,55.4347,699800,0.010406267526006818
20230828,55.5072,56.3318,55.5072,56.2322,1329400,0.014386249030836629
20230829,56.2322,56.8303,55.8515,56.7578,915600,0.00934731219661833
20230830,56.7759,57.7637,56.7396,57.4103,1013900,0.011495956302663313
20230831,57.4465,57.7637,57.3196,57.5824,1444800,0.0029991850365669315
20230901,57.7909,58.1806,57.1837,57.6459,759400,0.0011018296785429982
20230905,57.5643,57.6459,57.0659,57.3468,1167700,-0.005187895013103905
20230906,57.3106,58.099,57.1203,58.0174,1348100,0.011693907727913233
20230907,58.0537,58.3346,57.4556,57.6821,1308400,-0.005779238937563158
20230908,57.6821,57.8996,56.794,56.8031,1312600,-0.015239639476868905
20230911,56.9753,57.1928,56.3137,57.1021,1086900,0.0052646678559638005
20230912,56.8937,57.2653,56.7306,57.229,1301900,0.002221994788957682
20230913,57.1746,57.4918,56.8665,57.1475,1450100,-0.0014250535736556325
20230914,57.5961,58.6583,57.3214,58.4386,1673800,0.022592355153881583
20230915,58.0631,58.2737,57.3031,57.5504,4229700,-0.015198915199678975
20230918,57.5778,57.8434,57.2848,57.7518,1251100,0.003500352633616366
20230919,57.7701,57.88,57.2482,57.7335,1686700,-0.0003169898082393541
20230920,58.0631,59.0429,57.5687,58.0998,2239800,0.00634411905152521
20230921,57.6236,57.6786,56.2867,56.5065,1959400,-0.027423189672515114
20230922,56.5889,57.3581,56.5706,56.6713,1293300,0.0029169298112077247
20230925,56.4058,56.7171,56.1494,56.2135,1469700,-0.008078934612669064
20230926,55.9662,56.1219,54.7667,54.8308,1869400,-0.024596733093910972
20230927,54.9956,55.4535,53.9975,54.0158,1872000,-0.014862980399294123
20230928,54.0983,54.9865,53.9701,54.8216,1827400,0.014917658491249597
20230929,55.5542,55.8197,54.3546,54.437,1682000,-0.0070152290388746374
20231002,54.2997,54.6202,53.2284,53.7228,2019000,-0.01312035461508787
20231003,53.3749,53.8327,52.2211,52.4043,1601100,-0.024543861535168965
20231004,52.624,52.8529,51.9647,52.8255,1314300,0.008037730410134003
20231005,52.8163,53.091,52.3401,52.4683,1108000,-0.0067605303859551436
20231006,52.2211,53.5672,51.745,53.1826,1664900,0.013612728973621868
20231009,52.8621,54.2997,52.7614,54.2905,1033900,0.020833351265416855
20231010,54.2997,55.0963,54.025,54.6477,1333900,0.0065777399286393035
20231011,55.0597,55.7556,54.6293,55.7007,1401000,0.019269551460278533
20231012,55.6732,55.7739,54.5652,55.3985,1186700,-0.005425158515151907
20231013,55.6915,55.6915,54.5286,55.2154,923300,-0.003305655372722871
20231016,55.6091,56.5706,55.2062,56.4699,1278500,0.022719731188467485
20231017,56.012,57.0742,55.8564,56.4882,1221100,0.0003244561508961574
20231018,56.1677,56.2592,54.9315,54.9315,3345400,-0.027557199347705508
20231019,54.7759,55.8564,54.5103,54.7118,1526500,-0.004000703334896327
20231020,54.9681,55.3069,54.1715,54.2264,1640800,-0.008870229009762531
20231023,54.0067,54.611,53.5763,54.0799,1354900,-0.0027019083458774684
20231024,54.373,54.8491,54.1532,54.6202,2047400,0.009989891886210689
20231025,54.1532,54.437,53.3932,53.4481,1061800,-0.021458611792947724
20231026,53.6862,54.3546,53.6862,54.0433,1695600,0.011135883530074997
20231027,54.2997,54.2997,53.0177,53.3108,2172800,-0.01355468800733639
20231030,53.6221,54.0158,52.9903,53.3749,1580800,0.001202424569933136
20231031,53.7228,54.2539,53.091,54.0891,1984800,0.013381312517863009
20231101,54.1807,54.6293,53.851,54.6293,2320600,0.009988200264176905
20231102,55.2428,55.3985,52.5233,54.3455,3734600,-0.005196164587691121
20231103,55.0597,57.294,55.0597,56.5431,2323900,0.04043817002287331
20231106,56.479,56.479,54.8857,55.1696,1924200,-0.024291617883643757
20231107,54.5286,54.6843,53.6129,54.1807,1928400,-0.017925269131070176
20231108,54.3089,54.611,53.9792,54.5103,1885400,0.006084149731731658
20231109,54.6385,54.6385,53.6496,53.906,1222900,-0.011086843958476256
20231110,54.4096,54.492,53.9517,54.4279,839200,0.009682316118825085
20231113,54.0525,54.2905,53.6129,54.1166,1325500,-0.005720024852913341
20231114,55.2429,57.3306,54.785,56.6622,1693500,0.047039009096925044
20231115,56.6896,57.3489,56.6713,56.946,2181700,0.005009478146202895
20231116,56.9918,57.1658,56.3966,56.7995,1566000,-0.0025726732463150492
20231117,57.3581,57.4405,56.772,56.9826,1082100,0.0032242537381845793
20231120,56.7812,58.0174,56.5889,57.8892,1533500,0.015908788896249026
20231121,57.6877,57.8525,57.2848,57.7335,1001700,-0.002688975733255883
20231122,58.3012,58.3378,57.761,57.9533,727800,0.003806405356665765
20231124,57.9624,58.0906,57.4222,57.88,385400,-0.0012640124664817787
20231127,57.7701,58.521,57.3031,58.2371,1571200,0.006169950175622496
20231128,57.9716,58.3745,57.6877,58.347,960200,0.001886875258326981
20231129,58.7865,58.8323,57.8434,57.9441,1428800,-0.006905251254697875
20231130,57.8251,58.7774,57.6419,58.7407,2052700,0.013748397104405896
20231201,58.6217,60.0502,58.2829,59.9677,1520500,0.0208884197532595
20231204,59.6656,60.6637,59.5191,60.6179,1766600,0.010841413232912211
20231205,60.3798,60.7919,59.9678,60.4256,1979100,-0.0031719986618513607
20231206,60.8285,60.975,60.2241,60.4164,1194600,-0.00015170256297791784
20231207,60.4164,60.4164,59.8487,60.0593,1084800,-0.005911046758755201
20231208,59.7938,60.2882,59.2077,59.9311,1067600,-0.002134375190943505
20231211,59.8945,60.3707,59.6564,60.3432,902000,0.006875684172616969
20231212,60.4164,61.094,60.2058,60.8468,1634300,0.008345680083127416
20231213,61.0299,62.4767,60.5355,62.1196,1698000,0.0209182464380695
20231214,63.3862,63.6728,62.6651,63.2845,2292200,0.018752687791703915
20231215,62.5264,63.1181,62.0549,62.7945,3221900,-0.007742838261897367
20231218,62.9147,63.3954,62.6188,63.1643,1297700,0.005889120369217293
20231219,63.3677,63.7745,63.2937,63.5434,994400,0.006001336864807971
20231220,63.5434,63.9409,62.8407,62.887,1295900,-0.01033035239650093
20231221,63.3307,63.8577,62.8407,63.8392,988300,0.015142637711090146
20231222,64.0241,64.357,63.7098,64.1351,775200,0.004634220233318498
20231226,64.1628,64.6621,63.9132,64.5973,646600,0.007207798140254518
20231227,64.5419,65.0319,64.4032,64.9394,840000,0.0052954427374447555
20231228,64.4679,65.3277,64.4679,65.2723,783200,0.005125392120223671
20231229,65.0504,65.1798,64.6066,64.699,960500,-0.008781857933588988
20240102,64.6251,64.773,63.2753,63.4509,1618200,-0.01929121522958155
20240103,62.9979,63.1181,60.1133,61.2228,2568700,-0.03511592844176592
20240104,61.2228,62.5264,61.2228,61.5371,1826200,0.005134341712678792
20240105,61.1673,62.4432,60.9269,61.7128,1798700,0.0028546478409099407
20240108,61.7128,62.9239,61.6388,62.9147,948900,0.019475773872290603
20240109,62.3785,62.6743,61.9069,62.0734,935400,-0.01337257572421846
20240110,62.1196,62.36,61.759,62.1103,821600,0.0005958029294084177
20240111,61.7868,61.8792,60.7143,61.2505,1146700,-0.013843325213455437
20240112,61.7775,62.4339,61.2228,62.1566,1384400,0.014792302586765782
