datetime,open,high,low,close,volume,return
20230718,180.0495,183.2834,179.6707,182.7395,1369800,0.026120715699333275
20230719,189.3627,190.6543,184.235,189.5957,2237900,0.03751906831795582
20230720,189.1102,189.4986,185.7889,186.5075,932800,-0.01628839953430672
20230721,184.9828,191.4797,184.5167,189.9453,959300,0.018432610046815956
20230724,188.3721,193.8979,187.634,192.616,883200,0.014060039565375382
20230725,192.1984,194.7234,192.0625,193.995,750400,0.007159469871580892
20230726,194.4806,197.3163,194.0533,196.9764,1021600,0.015368434117736474
20230727,197.1415,198.0058,193.6648,194.3349,820600,-0.013410286089305168
20230728,196.3258,200.2589,195.6363,199.6082,908000,0.027135195131380963
20230731,199.6374,199.6568,197.3843,198.0544,807900,-0.007784337665856067
20230801,197.5397,198.7924,194.5583,197.9864,591100,-0.00034338254379362443
20230802,196.889,199.278,196.4229,198.977,530100,0.005003300132652599
20230803,198.1985,203.1906,197.4881,202.6457,953500,0.018437894334844884
20230804,202.9668,203.5896,200.0863,200.9524,944200,-0.008355804727923188
20230807,201.9353,203.4923,199.337,201.5557,689900,0.003002289056523777
20230808,199.843,199.843,197.8384,199.59,733700,-0.009752704127901524
20230809,199.5608,199.5608,197.4589,197.9649,629600,-0.008142377425894076
20230810,198.6461,200.9232,196.1743,196.982,517100,-0.004964841908251083
20230811,196.4274,198.0817,195.9894,197.7022,433100,0.003655859204763301
20230814,197.5075,197.5465,195.2888,196.9042,648400,-0.004036241272697194
20230815,196.116,196.2327,193.6637,194.1794,541700,-0.013838086537423577
20230816,193.9556,195.2498,186.6181,187.5231,1535300,-0.03427902278704065
20230817,187.8248,188.2335,184.3021,184.9444,846900,-0.013751802756105325
20230818,183.1246,186.3359,182.4434,185.8786,633300,0.005051353849461648
20230821,185.7034,187.2701,184.4578,186.4722,490000,0.0031933866907989383
20230822,186.4722,187.8735,185.0125,185.3239,577100,-0.00615786130332463
20230823,185.0027,185.7326,183.7669,185.4309,424900,0.0005775855950564956
20230824,185.4309,185.8688,184.1172,184.2729,541000,-0.0062451033339008255
20230825,184.3021,184.847,182.1612,182.6186,510500,-0.008977512373609997
20230828,183.6306,185.4698,181.2172,181.8011,503100,-0.004476236017924684
20230829,182.0736,185.3336,181.8108,183.9809,713000,0.011989993049656533
20230830,184.0588,185.4698,184.0588,184.9054,437800,0.005024974758185419
20230831,184.74,184.8568,181.7233,182.8327,1002000,-0.011209888263389534
20230901,184.1366,187.2896,182.0833,186.5792,685100,0.020491697588431945
20230905,185.8688,185.9662,181.9568,182.0833,772800,-0.024096280112580915
20230906,182.2974,183.183,179.3294,180.5944,958600,-0.008177062391781287
20230907,180.9447,182.4823,177.6945,181.0615,575100,0.0025863007846689268
20230908,181.2464,181.2464,178.8622,179.67,584400,-0.007685541781521699
20230911,180.4095,181.1005,178.6287,179.2223,388700,-0.002491496706964469
20230912,178.8428,179.6797,176.4295,177.0231,709200,-0.012270983821651704
20230913,177.1203,187.8638,176.2834,184.2632,1827300,0.04089908583320745
20230914,186.044,188.1751,184.5162,185.5574,1507400,0.007023924570237927
20230915,185.9467,189.81,184.9444,189.1386,1539900,0.01929956277152045
