datetime,open,high,low,close,volume,return
20230725,156.159,158.2021,155.5177,157.9364,13790100,0.007657030606023296
20230726,157.5791,159.274,157.0294,158.2388,14288200,0.0019144933698493904
20230727,157.744,159.6771,157.6158,159.1274,12446400,0.005616019154636831
20230728,159.4114,160.6574,158.706,159.8512,14138800,0.004548176524597158
20230731,155.4628,155.9484,152.7326,153.4839,22632700,-0.03983254686948445
20230801,152.4212,154.9131,152.1371,154.7299,15810300,0.00811803092242358
20230802,154.6932,156.8829,154.6932,155.6644,14595600,0.006039519043522734
20230803,155.701,156.9561,155.4445,156.3331,17424800,0.004296180410562345
20230804,156.0583,158.2021,153.8137,154.8673,23415100,-0.009376456744497608
20230807,155.2795,158.8067,155.1604,158.5869,17736400,0.024017915573578685
20230808,158.4861,158.9992,157.0203,158.6602,27378700,0.00046242000379281833
20230809,158.4952,159.6404,157.6249,158.5594,42974400,-0.0006354134058090821
20230810,159.4114,161.2163,157.2493,157.7349,48213800,-0.005200095310059827
20230811,158.0189,159.3656,157.231,159.274,45905600,0.009757759077021255
20230814,158.9717,160.8773,157.3501,158.8984,64036900,-0.0023582652954571293
20230815,158.312,159.9245,157.7074,158.4403,88958100,-0.002882970433276233
20230816,158.0646,160.0802,157.6982,157.9364,85832700,-0.0031804173199840857
20230817,158.367,160.6849,158.2754,159.4206,70904200,0.009397403164034479
20230818,158.651,159.4023,156.947,158.0281,49631700,-0.008734864139171239
20230821,155.4628,155.6094,152.0455,153.319,151319500,-0.029798985702446434
20230822,152.87,153.7679,151.5416,152.1005,56834800,-0.007947521042429462
20230823,151.9905,152.5402,149.7643,150.7354,119011400,-0.008974868422201077
20230824,150.2773,152.696,150.1216,151.2484,70755100,0.003403621668870871
20230825,151.6176,154.829,151.3961,153.4171,18185500,0.014338163264770776
20230828,152.2636,153.3802,150.5748,151.6084,18458000,-0.011789435031097528
20230829,152.1436,152.8911,150.2057,151.6268,12208600,0.00012168111978039242
20230830,152.365,153.0295,151.0454,151.0916,9939100,-0.003530033918636488
20230831,150.7593,150.9439,148.8307,149.1998,15333000,-0.012520782549919285
20230901,148.9599,149.9381,147.6587,148.0924,8610100,-0.00742189805089144
20230905,148.1663,149.4674,147.9079,148.277,9019800,0.0012463182814161922
20230906,147.5019,147.6495,145.2041,145.8131,9753800,-0.01661685609502539
20230907,146.8559,148.6277,146.7082,147.6772,9931800,0.012783999343658925
20230908,147.2712,148.277,146.902,148.1663,6957000,0.0033119890822357334
20230911,148.6277,150.1319,148.0648,150.1042,6309300,0.013079098261976618
20230912,149.6981,151.2761,149.0614,150.9532,6045800,0.005656065474548777
20230913,151.1193,152.2174,150.4179,151.3315,7397500,0.0025063512933105603
20230914,151.9682,152.5127,150.824,151.1008,7758400,-0.0015245528633663907
20230915,151.3223,152.0974,148.7661,148.9876,13392100,-0.013985600868948622
20230918,149.6058,150.5563,148.3416,149.9288,5789000,0.006317665960094976
20230919,149.7258,150.2795,148.923,149.6797,5550800,-0.0016616568633287532
20230920,149.6705,150.9162,149.1814,150.3349,3837400,0.004377328377002998
20230921,150.0211,150.8793,149.1168,149.1814,4526700,-0.007672994059182092
20230922,148.8492,148.9414,147.8802,148.1109,4976700,-0.00717559516199151
20230925,147.7141,147.9817,146.4775,147.8894,6722500,-0.0014953748976469505
20230926,147.4742,147.7233,146.5975,146.7451,4904800,-0.007737347634630742
20230927,146.3391,146.5052,143.2754,144.9826,10211600,-0.012011013726605402
