datetime,open,high,low,close,volume,return
20230725,147.2536,147.6468,145.9992,146.8043,9944700,-0.0074684121365978795
20230726,146.7013,148.1429,146.2987,147.6842,8728600,0.005993993326033342
20230727,147.6936,148.639,145.6153,146.0553,10778400,-0.01102955345036849
20230728,147.2349,147.5345,146.4486,146.8885,9103800,0.0057048342217340675
20230731,147.1412,149.2007,147.1132,147.8714,8892700,0.006691329174253413
20230801,147.3753,147.9089,146.1771,147.1413,6853900,-0.004937827252819216
20230802,145.6247,145.7464,144.1082,145.4749,8299400,-0.011324840169863237
20230803,145.1005,146.8979,144.492,146.3643,6084000,0.006113483711292167
20230804,146.411,147.7216,145.7558,146.0553,6209400,-0.002110793130492672
20230807,146.5983,147.6281,146.5983,146.7481,7251800,0.00474316336118652
20230808,144.464,146.0179,142.8444,145.9243,8623400,-0.0056135397076284566
20230809,145.4001,145.5873,143.6682,143.9678,6277800,-0.013408034217491593
20230810,144.5201,145.5124,143.3125,143.7525,5995100,-0.0014952722666315976
20230811,143.2563,144.6512,142.8819,144.5856,5180700,0.005795692011527853
20230814,143.7993,145.0256,143.1534,144.8852,5044300,0.0020719610990966864
20230815,143.0878,143.481,140.6351,141.1968,10300300,-0.025457291723383957
20230816,140.9815,141.3185,140.1203,140.5977,6978200,-0.004243270771250751
20230817,141.2436,141.5994,138.922,139.1373,9953900,-0.010386674495154735
20230818,138.2199,139.9518,138.0234,139.4556,8517500,0.002287655706719516
20230821,140.0922,140.5135,138.5663,139.933,8327000,0.003423323173984194
20230822,139.7271,140.0828,136.5349,137.031,9673300,-0.020738547270139573
20230823,137.0029,138.1637,136.1698,137.9578,7858000,0.00676301207531993
20230824,138.0795,139.8675,137.6021,137.8268,6534000,-0.0009497632007074985
20230825,137.8736,139.128,136.5349,137.6583,6695500,-0.001222348259318995
20230828,138.1451,139.1186,137.7332,138.1357,5094100,0.0034680204882231447
20230829,138.2761,139.3433,137.78,139.259,6337000,0.0081323471256598
20230830,139.128,139.6241,137.7893,138.6973,6277300,-0.004033537132219989
20230831,138.791,138.8752,136.6379,136.9842,10933900,-0.01235138485240772
20230901,136.7595,138.6224,136.3944,137.4429,7903500,0.00334840859808061
20230905,137.7612,138.7442,135.7485,135.9264,7854700,-0.011033855385852998
20230906,135.4583,136.2447,134.906,135.7018,8629200,-0.0016526583979115106
20230907,134.9248,135.9919,134.232,134.5409,8373700,-0.008554144388784879
20230908,134.2133,134.9154,133.5393,134.6439,7107900,0.0007653158146934125
20230911,135.5051,135.786,134.5128,135.2337,6854200,0.0043800883111932976
20230912,135.2711,137.911,134.8499,136.9936,8363200,0.013014132418063928
20230913,137.9297,138.2667,136.5068,137.0591,8325900,0.0004780567816062842
20230914,138.3978,140.3262,138.0982,139.7177,10034900,0.019397693576426178
20230915,139.4088,140.1671,138.8378,139.3058,19863400,-0.00294805647678531
20230918,138.6974,139.6148,138.3135,139.596,6512400,0.0020832358933033923
20230919,139.9518,140.1577,137.808,139.4182,7943400,-0.0012740794568241176
20230920,140.0922,140.6539,138.6787,138.8284,7332000,-0.004229985848607454
20230921,138.1544,139.3433,137.2651,137.7425,8052400,-0.00782215414572085
20230922,137.8829,138.0889,135.9171,136.4226,7071700,-0.009582708409008323
20230925,136.0668,137.1621,134.5222,137.0966,7044700,0.004940614091532458
20230926,135.3647,136.5255,135.0184,135.6737,7468400,-0.010378907129527382
20230927,135.917,136.7595,135.2805,136.4693,6717800,0.005864696307454675
20230928,136.9375,139.362,136.6847,138.1638,8868100,0.012416288418996446
20230929,139.1093,139.259,135.6081,135.7579,11917800,-0.017413273236380422
20231002,135.5801,136.3196,133.5206,134.5878,9170600,-0.008619393213240789
20231003,134.0541,134.4192,133.2584,133.5954,9431100,-0.00737295590432252
20231004,134.0448,134.3069,132.8653,134.1946,8128700,0.004484706482728029
20231005,133.9493,134.949,132.8083,134.7604,8576200,0.004216121391184657
20231006,134.7698,137.5706,134.0437,136.8351,10270600,0.015395528924080581
20231009,135.4771,137.118,135.3262,136.5239,6964900,-0.0022741812406699147
20231010,137.1369,138.41,137.0048,137.3538,11288800,0.006078641778365146
20231011,138.1647,138.8437,136.7596,137.8252,8698200,0.0034326058787665925
20231012,137.9667,138.5891,136.8633,137.5046,10484400,-0.0023263731087078687
20231013,140.0414,144.3888,139.419,139.5699,29427000,0.01501980468960662
20231016,140.9373,141.0033,138.3628,139.4285,12663500,-0.001013463319023522
20231017,139.1644,140.8053,138.4288,139.1267,11482700,-0.0021644673432787975
20231018,138.2402,139.0795,137.0897,137.599,9620300,-0.010980713011519816
20231019,137.1934,138.6457,136.6276,137.0142,11143600,-0.004249649438852643
20231020,136.3353,136.8728,134.0248,134.8075,13332900,-0.016105485433654976
20231023,134.7981,135.496,132.714,132.9686,10133400,-0.01364091282307378
20231024,133.1478,133.657,132.3651,133.1289,8881400,0.0012054992338970116
20231025,132.5631,133.1383,131.5635,132.4028,8242600,-0.005454605680377478
20231026,131.7992,133.6004,131.488,132.7423,9109400,0.0025643221210842615
20231027,131.0354,131.1768,127.4895,127.9611,17434700,-0.036018814175417635
20231030,128.6684,130.1772,128.2911,129.5925,9855500,0.012749735990315259
20231031,129.866,131.3089,129.6397,131.1391,9672500,0.011934214814689259
20231101,131.3183,132.5254,130.5827,131.026,9432000,-0.0008628941885310271
20231102,132.1105,133.4213,131.2995,133.3647,10186200,0.017849596077381458
20231103,134.0908,135.5808,133.7702,134.8547,9538700,0.011172182755752491
20231106,135.015,135.9769,134.6566,135.8732,7625100,0.007552413560014681
20231107,135.3356,136.0429,134.685,135.8072,6297900,-0.0004858171925830046
20231108,135.9015,136.5899,135.4394,136.4767,7618200,0.0049301941584165565
20231109,137.1557,137.3537,135.5148,136.0712,7992500,-0.002971219808996728
20231110,136.6842,138.1365,135.8732,138.0893,7983300,0.014831294155140728
20231113,137.4009,137.9196,136.8917,137.4763,6676300,-0.004438982335785213
20231114,138.3251,140.7487,138.1742,139.9848,9927700,0.018246546758198257
20231115,140.0037,141.6069,140.0037,141.2108,8365300,0.008757968813102535
20231116,141.5408,142.8988,141.5408,142.8234,8126200,0.011419552080736528
20231117,143.5307,144.1531,142.9083,144.1154,7812400,0.009046084260890375
20231120,143.4175,144.9923,143.2666,144.5585,7019000,0.003075149522316245
20231121,144.4737,144.8792,143.8796,144.2568,7083500,-0.0020873382431609855
20231122,144.6717,145.115,144.1908,144.5963,5174500,0.0023533921520946244
20231124,144.8415,145.6431,144.5491,144.7943,3496900,0.001369527351607669
20231127,144.6906,144.7849,144.0116,144.4642,6259100,-0.002279529235218014
20231128,144.4925,145.1055,144.021,144.7943,6582700,0.002284737360826794
20231129,145.3884,146.7653,145.2281,145.5299,9126100,0.005080280401802417
20231130,146.0863,147.2368,145.5865,147.1897,9869800,0.011404937673054727
20231201,146.9445,148.8683,146.9445,147.9064,8916000,0.004869263842362415
20231204,147.1331,149.0474,147.001,148.9909,9607500,0.00733225959002981
20231205,148.3025,149.4718,148.029,148.972,9135600,-0.00012648161433559402
20231206,149.7925,150.1508,147.1142,147.4066,9366000,-0.010508315553675485
20231207,147.7649,148.3496,147.2557,147.8592,8130900,0.0030706685422201563
20231208,148.3025,149.7359,148.0384,149.4907,7369400,0.011034043917601988
20231211,149.4907,150.2262,149.1417,150.0376,8093900,0.00365876487773531
20231212,150.1602,151.4993,149.8302,151.3768,10223000,0.008925169027507396
20231213,151.3768,152.8007,150.6695,151.886,12379100,0.003364001085818469
20231214,152.6121,155.4507,152.499,154.6491,13643000,0.01819208358448865
20231215,153.7909,155.8656,153.1402,155.8184,20309300,0.007561160815243273
20231218,156.4692,157.6102,156.1957,156.7615,8469600,0.0060523612238765345
20231219,156.5446,158.8739,156.1202,158.8551,10345700,0.013355011066312095
20231220,158.4213,159.7604,156.969,157.0633,10734700,-0.011279329729677823
20231221,157.3368,158.5156,156.2428,157.9592,7601700,0.00570409933685978
20231222,157.9591,158.6476,157.7045,157.8648,6576300,-0.0005972751386614794
20231226,157.9215,159.1568,157.6574,158.7985,4683600,0.005914170250236106
20231227,158.2798,159.8169,158.0346,159.7509,6428600,0.005997780151603571
