datetime,open,high,low,close,volume,return
20230718,21.9064,22.1542,21.9019,21.9595,1713500,-0.003214055786374015
20230719,22.0214,22.163,21.6851,22.1276,2870800,0.007658245434041477
20230720,21.1983,21.7877,19.906,21.6939,36675600,-0.019600041409327362
20230721,21.8178,22.0214,21.0478,21.2514,14587900,-0.02039974798366717
20230724,20.5079,21.6054,20.4636,21.3841,22641600,0.006247351200995288
20230725,21.5435,22.2338,21.3753,22.2338,15018100,0.039735184988131333
20230726,22.2073,22.3312,21.4948,21.8533,10716400,-0.017117788565058856
20230727,22.0834,22.1276,21.2071,21.455,11476200,-0.018226042093156036
20230728,21.4461,21.6231,21.2868,21.5966,13214600,0.006600658892407241
20230731,21.2514,21.3133,20.7955,20.9593,14630700,-0.02950827982635429
20230801,20.8088,21.0389,20.6938,20.9327,14685500,-0.0012670282804024824
20230802,20.8442,21.1717,20.6849,21.154,16233200,0.01057087056490058
20230803,21.2691,21.6275,21.0212,21.2337,16111000,0.0037658256238619625
20230804,21.2602,21.2602,20.5964,20.8265,20999100,-0.0191746535231202
20230807,20.9504,20.9558,20.6407,20.8354,15379100,0.0004251266908676943
20230808,20.8442,20.8442,20.5433,20.6938,20150600,-0.006797031053467073
20230809,20.623,20.7469,20.4105,20.6672,40849100,-0.0012831938383099928
20230810,21.0212,21.1452,20.4548,20.6849,51365500,0.0008565309306785007
20230811,20.623,21.0655,20.5787,20.9947,46063200,0.014976417377833728
20230814,20.8885,20.977,20.2247,20.3043,89481200,-0.03288363950833573
20230815,20.2866,21.039,20.0388,20.5875,105996500,0.013949525931988171
20230816,20.7911,20.8442,20.1892,20.2955,86179200,-0.014187582599463289
20230817,20.4636,20.6141,19.9591,20.1627,71709300,-0.006541413240354177
20230818,20.322,20.3574,19.791,20.2424,93537500,0.0039507856448104395
20230821,20.5079,20.9681,20.1892,20.2689,178017500,0.0013114320351619302
20230822,20.5698,21.0832,20.4636,21.0124,90542700,0.03668150846581031
20230823,21.1098,21.2868,20.9062,20.9062,119406800,-0.005054849753765911
20230824,21.2071,21.331,20.4813,20.9416,372341300,0.0016934799471064466
20230825,20.7095,20.7898,20.3703,20.5042,86974600,-0.020886614816952198
20230828,20.4596,20.7095,20.1828,20.5042,39395000,0.0
20230829,20.29,20.6425,20.1471,20.406,59445800,-0.004788978261692556
20230830,20.3881,20.6559,20.2185,20.5935,36094000,0.009186606233944739
20230831,20.6113,20.8255,20.5399,20.5756,36119700,-0.0008671005009491806
20230901,20.7095,20.8255,20.4149,20.4953,27566400,-0.003904504279520271
20230905,20.4596,20.5131,20.165,20.1828,28465000,-0.015243888536335626
20230906,20.2275,20.2721,19.9061,19.9775,24727700,-0.010172450926460352
20230907,20.0311,20.1561,18.71,18.7367,102648300,-0.062109162345003965
20230908,18.6207,19.1295,18.1878,19.0135,59635700,0.014769050541113549
20230911,19.7544,19.799,19.2813,19.7008,42830600,0.03615036157283358
20230912,19.7097,19.7454,18.7546,18.7992,43697200,-0.04576355055142867
20230913,18.826,19.558,18.8171,19.2813,35434500,0.025640890362522706
20230914,19.4866,19.4866,19.1875,19.4062,22195700,0.0064813968478569794
20230915,19.3884,19.5223,18.9242,18.9421,32265200,-0.0239188312058477
20230918,19.0581,19.0581,18.5939,18.8171,18035300,-0.006597663841767187
20230919,18.6653,18.8349,18.4689,18.7992,21142800,-0.0009486528349251788
20230920,18.9688,19.1027,18.6385,18.6475,15623200,-0.008072271187403723
20230921,18.6743,18.9778,18.4868,18.6028,20599600,-0.0023934583714172453
20230922,18.701,18.768,18.2993,18.344,14865900,-0.013915569459527766
20230925,18.3083,18.6118,18.2726,18.5939,16272000,0.013625541537397368
20230926,18.3797,18.6118,18.2815,18.4243,23574200,-0.009121748112800088
20230927,18.4868,18.5671,17.8887,18.0494,25270500,-0.020348882350347042
20230928,17.9601,18.103,17.8084,17.9512,32556800,-0.005439981874828748
20230929,18.094,18.1431,17.8709,17.9244,27974900,-0.0014918817238804838
20231002,18.0673,18.2815,17.9735,18.1387,25296300,0.011952247619941403
20231003,18.2011,18.3797,17.7727,17.8441,24924500,-0.016240259477375396
20231004,17.7816,17.8441,17.4513,17.612,19610400,-0.013006440529480079
20231005,17.6834,17.7682,17.4781,17.6388,18014900,0.001520507190948539
20231006,17.5584,18.0851,17.3085,17.9155,25090300,0.01568816197493872
20231009,17.737,17.9646,17.5584,17.737,16032800,-0.009964992640171588
20231010,17.7816,17.9244,17.5227,17.5763,13937900,-0.009058978962031672
20231011,17.7013,17.7459,17.2817,17.4692,20414700,-0.006094384831753286
20231012,17.496,17.6031,17.1701,17.246,14461500,-0.012774706077599007
20231013,17.2996,17.3978,17.1835,17.2906,16410700,0.0025881791371218377
20231016,17.2906,17.6031,17.0452,17.4424,15272000,0.008776452575099736
20231017,17.2192,17.7638,16.9693,17.6566,18750100,0.012282444276505267
20231018,17.6656,17.9244,17.5763,17.9066,18294200,0.014155634307793319
20231019,17.8977,18.0396,17.6923,17.7102,18831500,-0.01096695501790923
20231020,17.737,17.8798,17.6031,17.6209,24057700,-0.00504047120791562
20231023,17.4245,17.679,17.3397,17.5674,19716500,-0.0030392573811967027
20231024,17.5674,17.8557,17.5406,17.8352,21650900,0.015243807437339774
20231025,17.853,17.9592,17.6031,17.612,24711200,-0.01251266741412782
20231026,16.8265,17.0764,16.514,16.6836,60514900,-0.0527116740405128
20231027,16.6078,16.7015,16.1436,16.2552,43215400,-0.025682076918873253
20231030,16.3712,16.8488,15.907,16.639,39398800,0.023613440921281148
20231031,16.7908,16.8532,16.514,16.6033,81622600,-0.0021460090891010086
20231101,16.5855,16.8711,16.4292,16.8532,20218100,0.01505379605128776
