datetime,open,high,low,close,volume,return
20230829,93.7485,93.8741,92.9076,93.5842,375100,-0.00030994128311945257
20230830,93.9708,94.8986,93.9128,94.6763,413100,0.011670057946743917
20230831,95.1499,95.3625,94.1931,94.2414,1324900,-0.004593691030138292
20230901,95.1499,96.9379,95.1499,95.5268,785800,0.013639609967483368
20230905,95.2272,95.2658,94.1931,94.1931,548300,-0.013961949024701714
20230906,94.0481,94.2607,93.1686,93.2749,545500,-0.009747472718448447
20230907,93.5165,93.7485,92.0861,92.5307,950700,-0.007978747116020646
20230908,92.4824,92.8497,92.1248,92.5887,512200,0.0006270518840292283
20230911,92.3664,92.8303,91.9702,92.6853,440400,0.0010436899523953436
20230912,92.1731,92.898,91.8252,92.5694,461500,-0.0012512703262489433
20230913,92.8303,92.9656,91.3903,91.8445,394600,-0.007830463932467224
20230914,92.1647,92.9117,91.7475,92.2908,657000,0.004859180458545387
20230915,91.9706,92.1356,90.5348,91.2333,1908400,-0.011458211055209944
20230918,91.5147,91.5147,90.593,90.7773,724200,-0.004997937387048679
20230919,90.9035,91.0781,90.3311,90.8938,761400,0.001282612983781739
20230920,91.3788,92.0773,90.7967,91.049,476000,0.0017076242434295175
20230921,90.8841,90.8841,89.6035,89.6423,485500,-0.015450094905535172
20230922,89.5453,89.8654,88.2646,88.4102,494800,-0.013744648643514434
20230925,88.2258,89.0408,88.1094,88.6333,413600,0.002523969207368637
20230926,88.1482,88.74,87.8863,88.2646,405100,-0.00415938409335348
20230927,88.4878,89.6811,88.2646,89.2445,428400,0.011101195744775083
20230928,89.4094,89.7684,89.099,89.39,380700,0.0016306967311006115
20230929,89.6132,90.2438,88.7594,89.4094,555500,0.00021712915147475975
20231002,89.2736,91.1363,89.1378,90.4184,895300,0.011284680964100069
20231003,90.8161,91.6117,89.7684,89.8848,664900,-0.005901452825630593
20231004,89.7781,90.2244,87.9251,88.6042,812800,-0.014246889095071102
20231005,88.4781,88.8952,87.2169,87.7505,491500,-0.009635484677313011
20231006,87.2654,88.6139,86.5572,88.2646,574100,0.005859604756856651
20231009,89.099,92.2229,89.099,91.5923,931100,0.037700587361561455
20231010,91.8736,92.1841,91.0781,91.4759,725700,-0.0012710343524126033
20231011,91.5632,92.9117,91.505,92.7856,637700,0.01431752194592728
20231012,92.9796,92.9796,90.9034,91.6893,645900,-0.011815313622643098
20231013,92.446,92.902,91.3206,92.0579,698700,0.004020753381394515
20231016,92.5624,93.1445,91.9415,92.5624,538200,0.005480176141355875
20231017,92.5818,93.7848,92.3878,92.6206,582000,0.0006288150607018927
20231018,92.5139,92.5139,91.2915,91.4564,423900,-0.012569468858741994
20231019,91.4662,91.9997,90.4184,90.6221,439700,-0.009122511267892652
20231020,91.1945,91.3692,89.9139,89.943,650500,-0.007493839042588268
20231023,89.6326,90.3796,89.1378,89.1378,393500,-0.008952743452971257
20231024,89.6617,90.1079,88.1191,88.2937,535400,-0.009468935079892327
20231025,88.352,89.5744,88.352,88.5945,473000,0.0034063381860178765
20231026,88.6042,89.9139,87.9348,89.3221,597900,0.008212872275756178
20231027,88.8273,89.3609,87.605,87.7893,538700,-0.017160861520295834
20231030,89.5647,89.9527,87.8281,89.0505,800900,0.014366218823859134
20231031,92.6691,96.7729,91.7475,96.1617,2292100,0.0798561586233888
20231101,97.0445,98.8781,95.3565,98.1602,1729200,0.020782670283582938
20231102,98.2281,100.3916,97.1804,100.1005,1427200,0.019766977505301986
20231103,100.5662,102.167,100.411,100.8378,1195600,0.0073657182259321274
20231106,100.6438,100.7893,99.7513,100.2364,787100,-0.005964885574037959
20231107,99.9453,100.508,99.5184,99.7416,722300,-0.004936300157251661
20231108,99.7028,100.2848,99.1595,99.9356,683600,0.0019453351044715905
20231109,100.2654,100.4886,99.2177,99.4505,667600,-0.004853818965126266
20231110,99.9259,100.7893,99.6834,100.4595,656400,0.010145315227355178
20231113,100.3722,101.711,99.6543,101.2938,673200,0.008305268494029683
20231114,101.8274,102.3222,100.7214,101.8468,786100,0.00545907804179091
20231115,101.8759,102.3125,101.1871,101.8274,687500,-0.00019042249748169038
