datetime,open,high,low,close,volume,return
20230725,186.7784,190.4352,184.4411,189.9545,1055800,0.004385329727112142
20230726,190.1619,192.4615,189.4551,190.9065,1049300,0.005011301837172022
20230727,183.706,187.9471,174.8468,178.8428,3877900,-0.06319130804397899
20230728,180.2848,182.1321,179.1916,181.199,1434200,0.013174532047897758
20230731,181.7739,182.264,177.7967,178.5884,2059200,-0.014407508578063388
20230801,178.758,179.1256,176.2134,176.9202,1400600,-0.009340849188924638
20230802,176.3265,177.7684,175.1766,175.2238,1319900,-0.00958873852347153
20230803,174.8656,175.2049,171.8591,174.5263,1506600,-0.003980331720434549
20230804,175.2898,176.7129,174.6677,175.7233,1121500,0.006858337696805439
20230807,176.3076,178.9277,176.3076,177.1087,1311200,0.007884197227887801
20230808,176.5527,176.6469,174.3567,174.9033,786700,-0.012452144167866996
20230809,174.9316,177.2972,174.9316,176.3925,729800,0.008513962747105364
20230810,176.2133,177.6553,175.0447,175.6856,669200,-0.004007506538030614
20230811,176.4113,177.2878,175.384,177.137,529000,0.008261441623300225
20230814,177.1558,178.381,175.318,175.7327,718900,-0.007927573181458425
20230815,174.7054,175.139,171.8686,171.878,570600,-0.021934963117854034
20230816,171.6707,173.3671,171.633,172.0571,702600,0.0010417075410074084
20230817,172.3587,173.1598,171.1806,171.2937,643000,-0.004436883798164093
20230818,170.4643,173.499,170.4643,171.0392,631200,-0.0014855821830619398
20230821,170.5962,171.0204,169.7575,170.5114,916900,-0.003085672738302625
20230822,170.7093,171.3219,169.3993,169.8423,741800,-0.003924422779907788
20230823,170.2852,170.3512,167.5898,168.0139,1175000,-0.010765100712142206
20230824,167.8537,168.7867,166.6662,167.6181,1128500,-0.0023560164014778673
20230825,168.306,168.6359,166.5813,168.1929,837100,0.003429762557490834
20230828,167.1374,167.9668,165.997,167.8442,1121900,-0.0020732683020383558
20230829,167.9291,168.1176,166.1573,167.0526,1342400,-0.004716523149427609
20230830,167.5238,169.3051,166.7321,167.5709,1745200,0.0031028614557289114
20230831,168.1647,169.6067,167.7688,167.8442,1206100,0.0016309520850117387
20230901,168.9351,169.2481,167.0854,168.1383,919200,0.0017519345735939051
20230905,167.8537,167.8917,163.3861,163.5758,1473500,-0.02713521989205847
20230906,163.5948,163.6517,161.2803,161.4321,1384200,-0.013105375367125638
20230907,161.6408,162.2669,159.3643,159.9145,1388500,-0.009401099132728241
20230908,159.8196,160.7112,158.5391,159.2979,1135100,-0.0038554776962247406
20230911,160.2085,160.8155,159.2694,160.1895,1083400,0.005597069967589352
20230912,159.8291,161.0242,159.3927,160.3982,930200,0.0013027019921547645
20230913,161.1665,162.2668,160.0283,160.4456,1180900,0.00029576128135699875
20230914,160.863,162.8075,160.6543,162.7316,1157100,0.014247788746800438
20230915,162.5324,164.5528,162.5324,163.8319,1685900,0.006761227142050741
20230918,165.9851,167.5692,164.5908,166.1179,980000,0.013953392636059325
20230919,166.2033,167.702,165.5962,167.0759,1227900,0.005767218964272347
20230920,167.8632,168.1004,165.2168,165.6626,959300,-0.00845920754840701
20230921,165.3306,166.4404,164.2872,164.9891,1438600,-0.004065354040968527
20230922,164.9891,166.4594,164.3726,164.6382,1355400,-0.0021271227760468747
20230925,164.0311,165.6436,163.2059,165.1978,810200,0.0033991589037276615
20230926,164.6097,165.3116,163.5094,164.5528,1166100,-0.0039045282256232605
20230927,165.103,166.2792,164.401,166.1843,1065200,0.009914752527139026
20230928,165.3022,166.4025,162.9118,163.4715,1952800,-0.016324131713973733
20230929,164.4675,165.6342,163.2533,165.1599,1084900,0.01032840869176499
20231002,164.7425,165.6816,161.4606,162.7316,1102700,-0.01470243954176298
20231003,161.6408,162.0676,159.8196,160.5689,1330700,-0.013290006919973951
20231004,159.4497,159.8575,154.4698,155.352,2109600,-0.03249040558127425
20231005,155.1053,155.6745,152.6676,152.9806,1506200,-0.015264488372479068
20231006,152.0985,156.4333,152.0036,155.4563,1104100,0.016183049685025708
20231009,164.4105,171.278,164.1639,170.9365,2746000,0.09957897460380782
20231010,171.6858,172.236,167.6735,168.4323,1280000,-0.014649507033836162
20231011,168.5936,169.3809,167.0665,167.7209,918600,-0.004223626252470747
20231012,168.2237,168.2237,163.3102,164.8563,1249900,-0.017079612364170993
20231013,166.8388,168.8497,165.8618,168.1193,1555100,0.01979299381480515
20231016,168.8402,170.4907,167.1518,169.7887,1335200,0.009929869378552336
20231017,168.4608,171.9514,167.4933,169.1248,1161000,-0.003910481227434426
20231018,169.2671,171.2495,168.3659,170.3105,1303600,0.007010616070608489
20231019,170.4243,171.2116,168.328,168.7454,1022600,-0.009189653043784718
20231020,169.3998,170.2535,167.0,167.038,1515600,-0.010118098587779456
20231023,167.0285,170.1397,166.2602,167.7684,1392500,0.00437252175276126
20231024,169.1247,169.9215,164.0595,164.1165,1259000,-0.021767521153279956
20231025,165.9377,167.5976,164.3252,166.6965,1150300,0.01572102031921041
20231026,166.6017,168.2237,165.7575,166.1938,1859000,-0.003015939038268023
20231027,167.0949,167.8253,160.8251,162.134,2383600,-0.024427829105456267
20231030,164.3441,167.2182,163.443,165.3875,2121800,0.02006660131516136
20231031,167.5502,170.8606,167.0854,170.1777,2436400,0.028963165417393633
20231101,171.0598,171.2685,168.4608,169.5232,1457800,-0.003845952792146612
20231102,169.8362,174.4556,169.7888,173.6398,1953900,0.024283812501856517
20231103,174.1141,177.1874,173.6872,176.1155,2183800,0.014257543722747457
20231106,175.9543,176.125,172.0273,172.4067,1963600,-0.021058913493144038
20231107,172.0463,174.171,171.7712,173.4786,1102200,0.006217006586336282
20231108,172.9474,173.6683,170.6994,172.1506,966200,-0.007654701681955034
20231109,173.194,173.232,170.3199,171.4582,1022100,-0.004022313647573661
20231110,172.0842,173.1845,170.8606,172.7956,799000,0.007800343944886157
20231113,173.9054,175.6602,172.6438,174.3892,887800,0.009222175891315132
20231114,174.7781,178.0885,173.8011,177.9557,1277000,0.020451458945403456
20231115,177.9177,179.0465,177.0546,177.7944,1246500,-0.0009061518864216245
