datetime,open,high,low,close,volume,return
20230718,51.03,52.2,50.02,52.1,2421300,-0.00553542506023863
20230719,52.85,53.795,52.2,52.98,1430500,0.0168906160055331
20230720,51.93,52.83,50.74,52.46,1819300,-0.009815033262677186
20230721,53.08,53.08,51.66,51.85,879200,-0.011627918814282157
20230724,52.17,52.58,51.66,51.89,798100,0.0007714738033659518
20230725,52.16,53.5,51.42,53.0,1657300,0.02139141690899682
20230726,53.36,53.36,52.34,52.79,989700,-0.003962246876842546
20230727,53.46,53.71,52.37,52.76,1188800,-0.000568338576885985
20230728,53.27,53.75,52.27,52.36,1095800,-0.007581457996718499
20230731,52.29,52.97,51.779,52.36,870300,0.0
20230801,51.55,51.73,50.825,51.44,1630800,-0.01757070230936353
20230802,50.55,50.962,50.365,50.51,979800,-0.01807932212293839
20230803,50.25,51.09,49.915,50.96,1090000,0.008909142306338325
20230804,51.32,52.86,50.57,52.4,1316000,0.028257505244834613
20230807,52.3,52.575,52.01,52.36,694500,-0.0007633762282924783
20230808,51.93,53.229,51.639,52.46,1719000,0.001909825686696509
20230809,52.4,52.5,50.13,50.32,1379300,-0.04079297420883565
20230810,50.5,51.08,49.81,49.91,1126900,-0.008147850753152497
20230811,49.25,49.79,48.57,49.53,1402600,-0.007613726092506434
20230814,49.26,50.76,49.0,50.58,1246700,0.02119933530458118
20230815,50.15,51.98,49.89,51.34,2071800,0.015025668130098424
20230816,48.44,49.44,45.07,46.81,6120400,-0.08823527007855947
20230817,48.85,49.0,44.75,46.2,4108800,-0.013031416202854862
20230818,45.51,48.584,45.51,47.98,2704100,0.038528111469745774
20230821,47.82,48.95,47.64,48.66,1217800,0.014172578400655889
20230822,49.56,51.5,48.72,51.31,2343600,0.05445954653080087
20230823,51.54,53.605,51.1,53.18,1642700,0.036445115607776524
20230824,53.91,54.28,51.78,52.12,2254500,-0.019932331087028077
20230825,52.3,52.47,51.5,51.59,1243900,-0.010168817923222218
20230828,51.37,52.0,50.791,51.08,1471300,-0.009885604187338193
20230829,51.32,53.55,51.08,52.97,1323300,0.03700076981006273
20230830,53.12,53.465,52.21,52.63,959600,-0.006418730314376564
20230831,53.55,54.66,53.48,54.13,1291700,0.028500854447231605
20230901,54.35,54.4,53.58,53.89,1288300,-0.004433801472953691
20230905,53.111,53.72,52.59,52.97,1192900,-0.017071779168029266
20230906,52.79,53.065,52.15,52.33,1180200,-0.012082298940901182
20230907,50.92,51.565,49.76,49.83,1787600,-0.04777374187891581
20230908,50.0,50.135,49.35,49.66,764700,-0.003411639120924792
20230911,49.98,50.1,48.47,48.52,1413000,-0.02295608927006154
20230912,48.18,48.67,47.67,47.83,870200,-0.014220911380856682
20230913,47.68,47.98,45.58,47.01,1852600,-0.01714412456888259
20230914,47.26,48.37,47.04,48.24,1079900,0.026164718163161016
20230915,48.16,48.74,47.53,48.25,1660500,0.00020726204778864776
20230918,47.96,48.71,47.45,48.36,992600,0.0022798053958872355
20230919,48.44,48.76,47.6,47.86,1152800,-0.010339123111859028
20230920,48.28,48.94,48.16,48.33,863400,0.009820334615739057
