datetime,open,high,low,close,volume,return
20230718,437.5256,443.7613,435.6559,441.686,2237000,0.009079942017438114
20230719,441.8818,445.4059,439.1016,443.9962,2212800,0.00523050727118024
20230720,445.5527,455.4103,445.4058,454.0399,2624200,0.022621003915906046
20230721,455.5964,457.192,452.2289,452.2975,2226700,-0.003837551043562537
20230724,452.2583,455.8215,448.0196,449.6348,2190700,-0.005886963684957225
20230725,448.1076,451.201,446.9721,447.8923,1737800,-0.0038754189139909023
20230726,445.4059,445.4059,437.1439,444.0256,1959800,-0.008632964704064272
20230727,443.7612,449.0082,442.7138,445.396,1883500,0.0030862212017293
20230728,445.5331,449.8795,442.2537,448.8125,1437600,0.007670642346665257
20230731,449.3411,449.3411,441.2944,444.9653,2110200,-0.008571814984571269
20230801,445.7485,447.7259,441.9307,443.5361,1738200,-0.0032119338651075413
20230802,445.6311,451.9059,441.8035,444.8969,2366600,0.003068022440392726
20230803,441.2748,444.5248,438.808,439.689,2414100,-0.011705894385261706
20230804,439.7673,442.9292,437.4668,440.012,1870400,0.0007346057105876991
20230807,443.6927,445.4058,441.079,444.5052,2446400,0.010211527520591401
20230808,495.3305,526.6557,492.1099,510.6015,15094500,0.1486964512006621
20230809,509.3975,521.3011,505.9909,515.1339,5376600,0.008876548279817209
20230810,512.4321,517.591,509.0255,510.347,4108500,-0.009292467707762375
20230811,512.6768,520.5962,509.0352,517.1407,2524300,0.013311804567730734
20230814,521.1924,532.0031,519.2009,527.7847,3981100,0.020582489941675997
20230815,527.5196,536.8981,523.6447,536.2408,2826800,0.01602190298043582
20230816,537.0062,542.3723,532.1992,535.8682,2597100,-0.0006949874626811514
20230817,532.8957,538.3795,527.1862,527.451,2549900,-0.015707434817551102
20230818,524.8711,537.3691,523.7625,536.0546,2958600,0.01631149587850067
20230821,536.6039,542.9903,535.3874,539.6058,2305400,0.006624714581522584
20230822,539.0958,545.541,536.8885,543.1473,1936600,0.0065632450810160226
20230823,546.1492,546.8164,537.8008,542.853,2121300,-0.0005418631416870268
20230824,542.2056,546.4043,536.9081,537.5948,1776700,-0.009686192111088454
20230825,539.1938,545.5409,536.6923,543.1375,1847600,0.010310112882060851
20230828,539.6844,545.6685,539.6746,543.4024,1373700,0.00048770812579057576
20230829,542.9413,545.7862,539.4194,543.3828,1701200,-3.6167157413058426e-05
20230830,544.4717,547.1597,536.653,537.585,2191100,-0.010669809653902629
20230831,536.6335,546.8261,532.6898,543.6771,3043400,0.01133246561680834
20230901,545.7568,548.592,543.0002,546.5318,2030800,0.005250681271713242
20230905,548.6115,551.2602,546.1394,547.5912,2257200,0.0019384933200825571
20230906,550.3675,550.9267,542.2055,549.3178,2424300,0.0031530133246244763
