datetime,open,high,low,close,volume,return
20230829,417.3633,418.2306,410.1384,413.7462,1053700,-0.008666322807911353
20230830,414.7058,420.685,413.8292,417.4462,875900,0.008942709481210454
20230831,418.756,421.3568,416.2666,416.4616,826300,-0.0023585998793176355
20230901,418.2916,419.7499,415.9322,416.3037,668600,-0.0003791416406192516
20230905,416.1366,416.4431,413.3964,413.5264,854000,-0.006671362651497037
20230906,408.9285,409.9502,393.5277,393.7878,2548000,-0.04773249329135876
20230907,393.8435,397.3547,391.9858,395.6456,1195700,0.00471773929181829
20230908,396.0078,396.11,392.218,392.9982,1162300,-0.006691187961230138
20230911,392.1901,392.6638,386.8955,390.7411,1618300,-0.005743465132073355
20230912,389.7007,390.2301,386.3567,388.1123,1307700,-0.006727610538837525
20230913,389.9608,392.218,388.809,391.0476,971500,0.007562945522070708
20230914,390.8061,396.3144,390.8061,395.5992,992400,0.011639439740461999
20230915,393.7599,398.3764,393.5741,393.89,1681600,-0.004320529988714794
20230918,397.2432,400.7637,396.2586,399.2867,951200,0.013701184769240538
20230919,399.649,400.4199,394.8281,395.0603,862300,-0.010584899968487771
20230920,396.5837,400.2064,396.3237,396.5837,1044100,0.003856215087812309
20230921,395.4505,396.2679,387.5179,387.843,1669400,-0.02204011987143617
20230922,386.3567,387.8058,383.8395,384.2296,1453300,-0.009316665353932052
20230925,383.8395,384.5083,382.2419,383.533,748300,-0.001812963571155457
20230926,381.4244,382.0189,378.7493,379.6781,1108000,-0.010050917402029347
20230927,380.0776,380.8393,376.8637,379.6503,1317700,-7.322390044184335e-05
20230928,380.7464,383.4958,379.7432,381.731,819700,0.005480378335649183
20230929,381.731,382.1861,378.6006,379.8732,764100,-0.004866667306228645
20231002,379.8732,381.7588,377.0216,378.8143,733200,-0.002787506271246465
20231003,378.4149,378.5171,373.9563,375.1081,899200,-0.009783785320970684
20231004,372.1635,373.4082,368.866,372.7858,1243400,-0.00619084295451644
20231005,372.4422,372.8788,366.5531,369.089,1162800,-0.009916870820762536
20231006,367.2777,373.7984,365.7636,372.2286,1135600,0.008506398919756242
20231009,398.2278,405.5474,393.2769,405.4823,5343700,0.08933691754803119
20231010,410.1174,411.1392,401.7668,404.154,2626200,-0.0032758717362925127
20231011,403.801,407.5908,402.482,405.5938,1419500,0.0035623245200089304
20231012,406.8942,407.8603,399.519,403.2624,1121900,-0.005748092471492439
20231013,407.3401,411.6036,403.7546,409.6901,1519300,0.015939411996321207
20231016,408.1668,411.9566,403.4945,409.0864,1931300,-0.0014736986065860824
20231017,405.5102,420.5859,404.1819,409.7552,3103900,0.0016349194200169226
20231018,411.7801,416.0344,408.9563,414.3438,2024100,0.011198524628770246
20231019,412.1052,417.6878,410.7398,417.2326,2012400,0.006971972684538752
20231020,419.2669,420.4094,412.4304,412.579,1715100,-0.011153624165339715
20231023,412.6161,419.9078,411.9473,414.4274,1502400,0.004480158421372282
20231024,417.1862,418.5609,409.0214,409.5415,1367100,-0.011789433501151692
20231025,412.7369,417.4185,412.1239,415.8487,1228900,0.015400462165878537
20231026,416.1459,419.0068,412.1238,414.251,1432000,-0.003841990869428269
20231027,411.8823,415.8207,408.9284,411.8544,1288400,-0.005785249874467491
20231030,412.8112,415.0776,411.3064,414.1302,948800,0.005525633971134036
20231031,415.4863,422.7595,413.7308,422.3043,1418700,0.019738076425890982
20231101,423.8741,424.2178,419.3504,420.205,1267000,-0.004971069660880456
20231102,418.691,425.6297,418.691,425.4625,1242000,0.012511767138407626
20231103,422.7408,425.2024,419.0439,421.0967,1365400,-0.010261264954930405
20231106,422.49,422.49,418.5887,419.0717,1440800,-0.004808856732087752
20231107,420.9296,420.9296,417.7064,418.1336,1220100,-0.002238543539781035
20231108,418.1336,419.6384,412.4489,413.0341,1386400,-0.012195977302470462
20231109,413.7308,413.9165,408.4083,410.9906,1775500,-0.0049475772705217524
20231110,412.4304,414.1209,409.6066,413.2292,1525400,0.005446881525741576
20231113,413.3499,416.666,411.7615,413.3778,1003800,0.00035958275107605964
20231114,411.4922,414.9569,410.4332,412.6254,1336800,-0.0018200793868811127
20231115,411.9287,416.1459,411.9287,413.48,1098400,0.0020710885636461285
20231116,414.093,415.83,412.003,413.8979,912900,0.0010108560746426853
20231117,414.8733,415.4213,412.6254,413.0527,898600,-0.002042232585355297
20231120,412.4489,413.898,409.4115,412.2446,982000,-0.0019564223182865215
20231121,413.35,416.666,412.5697,416.2759,1177800,0.009779004665975144
20231122,415.6722,419.5735,415.6722,418.3659,833800,0.005020699710399867
20231124,419.5641,420.4001,417.7528,419.8613,326600,0.003574436498496647
20231127,419.722,420.623,413.7494,413.8051,1496900,-0.014424390842400547
20231128,416.0065,418.8117,414.2788,416.3873,1124900,0.006240244432620168
20231129,417.5671,417.5671,412.3375,413.3593,1272900,-0.007272258208261717
20231130,414.4257,418.9722,413.9673,418.888,1514500,0.013375237246987082
20231201,419.4773,421.5916,419.2434,420.4222,856900,0.003662432574733643
20231204,418.5138,421.8722,417.335,421.6196,1265700,0.0028482054157277226
20231205,421.2454,421.5729,417.1386,417.4567,1055700,-0.009873743018053771
20231206,416.7644,421.3857,416.7644,420.4222,864100,0.007103767612480771
20231207,421.3671,422.2745,417.5035,418.2705,861100,-0.005117812397061217
20231208,419.6364,421.4699,418.5979,419.1218,761100,0.0020352565236738673
20231211,422.7329,424.0239,420.5158,422.1529,1021600,0.007231947145812212
20231212,422.5458,424.4823,421.3203,422.4991,1008200,0.0008199893791025481
20231213,423.7339,424.8939,421.4419,422.3213,1300300,-0.0004207462499952186
20231214,421.4513,421.7881,412.9663,416.5493,1891000,-0.013667399302127126
20231215,412.5547,415.8757,410.4124,413.3124,3973400,-0.007770549015545303
20231218,414.1543,418.4109,413.7427,418.0834,1197300,0.011543316009794191
20231219,418.8038,419.6551,417.3725,418.9067,695000,0.0019691588712735797
20231220,419.1406,419.6177,414.0234,414.0515,1306800,-0.011590228849030715
20231221,415.5856,419.1967,415.5669,419.1218,637200,0.01224568253916547
20231222,420.9741,422.6019,419.206,419.309,623600,0.0004464902025544948
20231226,419.2435,422.3213,418.9348,421.1426,516900,0.004372952498399529
20231227,419.6177,421.9283,419.4867,420.0106,699900,-0.002687898550724599
20231228,420.0106,422.6861,419.5335,422.1248,741800,0.005033820253235843
20231229,422.8451,424.2484,422.05,424.0052,832400,0.0044543932206815295
20240102,424.9968,432.2469,424.9968,426.6994,1206500,0.006354200697131107
20240103,429.1972,434.1647,428.2804,429.5059,1174300,0.006577273704172271
20240104,432.4902,434.0245,428.2431,428.3366,1087700,-0.002722386429093726
20240105,430.3666,430.432,424.0332,427.0549,705300,-0.0029922909624818805
20240108,425.0997,429.1036,424.2765,429.0194,716000,0.004600201447290564
20240109,428.9727,429.0288,424.0332,426.8585,732900,-0.005037021693315991
20240110,426.7742,430.011,425.4458,426.0258,666100,-0.0019506269187944403
20240111,427.111,428.271,420.3754,423.9023,784800,-0.004984522221825882
20240112,427.8687,433.4911,427.0829,433.304,966500,0.022178939024925848
20240116,436.1947,436.1947,426.924,428.3085,814900,-0.011528819407395363
20240117,428.1494,432.9392,425.7265,427.0268,920800,-0.002992416072804094
20240118,426.6808,430.3105,424.2859,429.9269,780300,0.00679141402212502
20240119,430.853,431.1243,426.5497,428.2336,866600,-0.00393857229841954
20240122,428.0746,431.1056,426.0633,429.1691,1216800,0.0021845220618628147
20240123,429.01,429.3936,405.9032,411.3104,3613500,-0.04161227458068373
20240124,411.1701,414.6128,403.7142,403.8078,1768900,-0.018240857942901756
20240125,402.2642,405.9501,398.2884,403.2372,1813900,-0.001413092363474422
20240126,404.1071,405.4636,399.1864,402.18,1260500,-0.002621681604295656
20240129,403.1997,404.1632,398.1199,400.4026,1903300,-0.004419502051578372
20240130,403.4523,403.9949,400.1874,403.8358,1016400,0.008574515805207295
20240131,404.4626,405.7442,401.3848,401.7122,1120100,-0.005258487713796778
20240201,402.4794,403.92,399.1771,402.049,1175000,0.0008383151741426786
20240202,400.5242,401.2351,397.0067,398.4941,973900,-0.00884188371608996
20240205,396.6512,396.9974,392.7502,394.4996,1379600,-0.010024080522866852
20240206,394.7615,401.3474,393.246,399.4109,1065700,0.012449559885024719
20240207,399.0273,402.5354,399.0273,402.3577,980700,0.007377731702982393
20240208,401.6655,402.0303,398.2696,399.4577,972200,-0.00720750198510256
20240209,399.9535,400.0845,397.0909,398.99,1038600,-0.001170944800499285
20240212,399.2238,402.7787,398.5222,400.4587,1007200,0.0036810938387130676
20240213,401.6468,404.0417,395.9403,399.0087,1089300,-0.0036208022569335085
20240214,400.0938,400.8609,387.2214,391.2159,2503800,-0.01953028887738062
20240215,391.5807,396.0431,391.5807,395.8279,1136700,0.011788806371361371
20240216,395.8279,397.7364,395.2854,396.7167,806000,0.0022453278361362905
20240220,397.7644,400.6645,396.436,396.9037,1363900,0.0004715525355680761
20240221,398.7187,400.5991,396.9974,399.9723,969600,0.007731123683677454
20240222,397.6708,401.7777,396.4921,401.2257,1236900,0.0031339148505096226
20240223,401.207,403.6019,400.5803,403.3119,842200,0.005199520968650395
20240226,403.6675,404.5562,399.2613,401.4971,980600,-0.004499790968713446
20240227,401.0294,403.4149,398.99,402.6665,887000,0.002912530516848477
20240228,404.0229,406.9603,403.05,404.5842,1029300,0.004762563402004316
20240229,404.5843,405.9224,402.9163,403.5571,1503100,-0.0025386547830025252
20240301,403.2367,404.1885,399.5615,401.8797,1059000,-0.0041566093271966364
20240304,403.868,408.8719,402.3414,407.0438,1271900,0.012849848881366643
20240305,408.74,410.8792,404.9895,407.0815,1038000,9.274247057855511e-05
20240306,407.0815,408.806,406.0826,408.4951,775300,0.0034723849104825177
20240307,408.985,410.4739,404.7256,405.2061,1085800,-0.008051284495552924
20240308,403.802,408.0238,402.9256,407.9484,763200,0.006767539339174844
20240311,409.2772,410.8792,407.6658,409.6919,951000,0.004273749475693256
20240312,407.9673,410.6625,407.4302,409.8426,825100,0.0003679761527617398
20240313,410.5965,412.5566,408.74,409.5504,987100,-0.0007128963121577625
20240314,411.209,412.387,408.3254,410.653,1153600,0.0026922204813075723
20240315,408.184,412.9524,408.184,410.7002,5151300,0.00011474197287375532
20240318,410.7002,410.9546,406.7988,408.2312,965300,-0.006011522071586173
20240319,410.163,412.0854,408.9662,411.9912,898700,0.009210340705458231
20240320,411.8404,415.5439,411.3975,415.0256,845000,0.007365264045293696
20240321,415.9208,418.305,414.0078,417.6171,912100,0.0062441730647295746
20240322,418.8799,420.529,418.0977,420.1804,1008300,0.006137830477555006
20240325,422.0462,422.6964,419.172,420.5855,775000,0.0009642320461169529
20240326,420.7646,422.7624,420.1615,420.284,766700,-0.0007168902982248593
20240327,422.065,430.763,422.0462,430.4521,1277700,0.024193308299688576
