datetime,open,high,low,close,volume,return
20230725,49.9115,50.4083,49.9115,50.1915,1054300,0.00018008304344441228
20230726,50.1644,50.8239,50.056,50.2819,689700,0.001799746165868088
20230727,50.0831,50.309,49.1346,49.2611,1098400,-0.02030180961500072
20230728,49.7739,49.8195,48.8812,49.0907,1243600,-0.0034580889087234556
20230731,49.2911,49.4824,48.7172,48.9541,1198000,-0.0027833910373393778
20230801,48.9723,49.2911,48.4804,48.5533,1562600,-0.008187631029214049
20230802,48.3255,48.8721,48.2526,48.535,1320800,-0.0003752373517671437
20230803,48.3255,48.4166,47.0411,47.1504,1966100,-0.028528429397458255
20230804,47.451,48.2253,46.5127,46.7314,1834700,-0.00888731861533587
20230807,46.8589,47.0684,46.5492,46.7587,1390900,0.0005851262825453674
20230808,46.6858,46.9682,46.2759,46.9318,1434500,0.003701402772095408
20230809,46.786,47.4692,46.6949,46.8862,1547600,-0.0009705040728251735
20230810,47.0684,47.3508,46.8862,47.0047,1611200,0.002525680490800264
20230811,47.1231,47.3326,46.8316,47.2415,1368100,0.005038797310953358
20230814,47.2051,47.2051,46.4217,46.5583,1346900,-0.01446195905128489
20230815,46.1848,46.2486,45.7202,45.8295,1334500,-0.015652547673580375
20230816,45.9844,46.203,45.7202,46.0117,1246800,0.003975132552279437
20230817,46.0208,46.5583,45.7749,45.784,1401000,-0.004949386885559015
20230818,45.7567,46.3032,45.6838,46.1119,4976500,0.007162724073108473
20230821,46.0937,46.1301,45.3923,45.8022,1113600,-0.006716763326167774
20230822,45.7749,46.0299,45.5654,45.9115,1209000,0.0023866529333069764
20230823,46.1575,46.3852,45.7658,46.0482,1167400,0.002976296067219497
20230824,46.0846,46.6676,45.7749,45.8022,902800,-0.005341368955162018
20230825,45.8933,46.4399,45.7384,46.2577,1171700,0.009944303935786936
20230828,46.3579,46.6038,46.1484,46.1757,834300,-0.0017722822998057497
20230829,46.1939,46.5765,46.0391,46.3214,993200,0.0031565474546582095
20230830,46.2304,46.6038,46.0117,46.3032,1318900,-0.00039331658279040393
20230831,46.3579,46.5765,45.6291,45.702,1634700,-0.01298455427259948
20230901,45.7931,45.9297,44.7819,45.3558,1780900,-0.00757430445759133
20230905,45.283,45.283,44.2172,44.8457,2411000,-0.011247155325733171
20230906,44.955,45.3194,44.7182,45.1828,1573700,0.007515713630002585
20230907,45.4925,46.2395,45.1828,45.9388,1672600,0.016733827851512117
20230908,45.9571,46.3397,45.8842,46.2212,1724300,0.006147347170165185
20230911,46.1301,46.531,46.0755,46.2668,1234900,0.0009853405523965186
20230912,46.3214,46.4034,46.0117,46.203,1439500,-0.001378316736971752
20230913,46.2577,47.1868,46.2486,46.95,1653900,0.01616723133428466
20230914,47.1595,47.4966,47.1231,47.451,1313100,0.010671240512006408
20230915,47.3053,47.7243,47.1595,47.1686,2941500,-0.005951202821963597
20230918,47.3417,47.6514,47.1959,47.5421,1854000,0.007918012909209349
20230919,47.5512,47.6423,47.2961,47.3872,1393300,-0.003257353819667852
20230920,47.6332,47.8609,47.1595,47.3599,1067800,-0.0005764641775531931
20230921,47.3144,47.3144,46.7496,46.7587,1420500,-0.01269460142149248
20230922,46.5947,46.9864,46.3579,46.6858,1325800,-0.0015587988266789754
20230925,46.367,46.6676,46.0755,46.5036,1193100,-0.0039024683602638666
20230926,46.4216,46.4216,44.7455,44.873,1760600,-0.035063763632581346
20230927,44.7911,44.9641,44.1079,44.2263,1643100,-0.014413172336298352
20230928,44.5178,44.5542,43.5431,43.7799,2163300,-0.010092591178983867
20230929,44.2263,44.536,43.6888,44.1352,2050600,0.008114567996930777
20231002,43.9712,43.9712,41.785,42.122,2269600,-0.04561378094691759
20231003,41.6847,42.7688,41.1291,42.623,2544600,0.011894461435080217
20231004,42.6686,43.3062,42.1858,43.2607,2256200,0.014960393772012637
20231005,43.2242,43.5795,42.7688,43.37,1953100,0.002526778517435657
20231006,42.9965,44.2445,42.5684,44.0714,2062400,0.016173107264884967
20231009,43.9985,44.3811,43.789,44.2445,1822800,0.003927099121903366
20231010,44.2445,44.8457,44.1534,44.7728,2050200,0.011941705543346615
20231011,44.9004,45.3467,44.536,45.2647,1210400,0.010986601950151886
20231012,45.0461,45.3285,44.3811,44.8639,2005000,-0.008854631190048146
20231013,45.2921,45.5016,44.955,45.3194,1509400,0.010152189308681336
20231016,45.5107,46.0846,45.1554,45.7749,1472600,0.010050242373641272
20231017,45.5016,45.9571,45.4014,45.5654,1204000,-0.004576982085251147
20231018,45.4652,45.8387,45.0552,45.3832,1375300,-0.0039984300971277476
20231019,45.4014,45.6473,44.9459,45.0461,1006300,-0.007426875240398201
20231020,45.1554,45.3103,44.4176,44.4722,1552100,-0.012740237578281022
20231023,44.2172,44.6909,43.6979,44.1807,1569800,-0.006554569185942105
20231024,44.5907,45.2465,44.4904,45.037,1728400,0.019381329860271856
20231025,44.9641,45.3376,44.8548,45.1281,1120100,0.0020226691406248776
20231026,45.2374,45.9206,45.2192,45.3558,1458400,0.005046465521482579
20231027,45.2283,45.4105,44.4085,44.5724,2170000,-0.01727250722091833
20231030,44.8234,45.3108,44.3913,44.5752,1280600,6.179181191745542e-05
20231031,44.8326,45.0533,44.3821,44.8602,1480300,0.006394543897631166
20231101,44.9797,45.8716,44.4281,45.513,2072400,0.014551984937889006
20231102,45.513,46.6348,45.513,46.2118,2319600,0.01535349017782961
20231103,48.538,48.538,46.975,46.9842,2645800,0.016713182517964498
20231106,46.9106,47.1313,46.2486,46.3773,1885800,-0.012915804146203747
20231107,46.3865,46.5244,45.9176,45.9728,1577000,-0.008723230700428908
20231108,45.7613,45.7705,44.7223,45.6142,2104700,-0.007799869294105144
20231109,45.7521,45.982,44.6671,44.6947,2232700,-0.020157250471754762
20231110,45.0533,45.0901,44.4465,44.6579,1716200,-0.0008230305858751841
20231113,44.5476,44.6396,43.7477,43.7753,1907300,-0.019765160640246138
20231114,44.5844,45.3843,44.5292,45.1636,1601300,0.031715865139275046
20231115,44.9981,45.8532,44.9706,45.3475,1974700,0.0040718358744720184
20231116,45.7521,45.9728,45.4027,45.4947,1658900,0.003244140841053955
20231117,45.6877,45.7705,44.9797,45.2648,4120900,-0.005052678358061891
20231120,45.0993,45.2372,44.4189,45.1545,1989500,-0.0024374065124986855
20231121,45.1545,45.2832,44.7407,45.1361,1370600,-0.0004072833172072965
20231122,45.32,45.5866,44.9062,45.5498,1601200,0.009166805553818325
20231124,45.6234,45.7521,45.3291,45.7429,692800,0.004238895312810964
20231127,45.7337,46.0555,45.2832,45.936,2042700,0.004221253106229561
20231128,45.9176,46.6899,45.7521,46.0831,1857100,0.003202499550733151
20231129,46.2026,46.5244,45.7429,45.9176,1478800,-0.0035913522126074238
20231130,46.0739,46.5796,45.7061,46.4969,2341400,0.01261507932650785
20231201,46.6348,47.3887,46.2302,47.3428,2267900,0.018192661157870882
20231204,47.0485,47.5634,46.8646,47.26,1448200,-0.0017479386000005537
20231205,47.3611,47.3611,46.8922,47.1221,2166200,-0.0029182513480183747
20231206,47.2876,47.9128,47.2048,47.9036,1797700,0.016585346187883987
20231207,47.8944,48.1151,47.5542,47.6462,1694800,-0.005374334857477625
20231208,47.5358,47.6737,47.0117,47.2416,1831600,-0.008491005478073244
20231211,47.2048,47.7289,46.9474,47.3611,1661800,0.0025302597588003906
20231212,47.5175,47.5175,46.975,47.2508,1326000,-0.002329599460800358
20231213,47.306,49.0989,47.0209,49.0805,1583500,0.038723398896025385
20231214,49.2736,49.5127,47.922,47.9864,2401900,-0.022293047096244023
20231215,47.6554,47.8025,46.221,46.5428,4050200,-0.03008218715484079
20231218,46.8462,47.1405,46.4969,46.7635,2112900,0.0047411163285666635
20231219,47.0209,47.1589,46.5336,47.1129,2605800,0.007471548940064965
20231220,47.1037,47.2968,46.1659,46.2026,1476200,-0.01932089116092306
20231221,46.313,46.6899,45.8992,46.4969,1383000,0.006368117814927077
20231222,46.8922,47.3795,46.644,46.8371,1468500,0.007316674366313336
20231226,46.598,47.1497,46.598,46.8279,799900,-0.00019636663891253736
20231227,46.7727,46.9382,46.5704,46.7451,1244700,-0.0017670766221432599
20231228,46.644,47.306,46.552,47.1864,1175600,0.00944136380514049
20231229,47.0669,47.2232,46.7911,47.1681,1346800,-0.0003897444421198104
20240102,46.6164,47.7473,46.6164,47.7013,2106800,0.011306025165099376
20240103,47.7657,47.8668,47.3611,47.591,1590800,-0.0023130650911422634
20240104,47.5358,48.0783,47.3979,47.7565,1591700,0.0034776416482094064
20240105,47.7289,48.1151,47.4531,47.8393,1174800,0.0017328746628546554
20240108,47.8117,48.1427,47.5634,48.1151,1280100,0.005765831396717491
20240109,47.9588,48.1151,47.7013,48.014,1404900,-0.0021021028639783834
20240110,48.0048,48.0599,47.591,47.7289,1270700,-0.005936327371158345
20240111,47.2324,47.4439,45.936,46.0555,2524200,-0.035060756792839265
20240112,46.3038,46.5428,46.0187,46.3222,2205900,0.005789693963734743
20240116,46.267,46.6807,46.0371,46.2302,2374100,-0.0019850817054030134
20240117,45.8808,46.3957,45.2556,45.5498,1890500,-0.014717502441626285
20240118,45.32,45.3291,44.7223,45.0993,1785400,-0.009890951141444893
20240119,45.2096,45.3016,44.7591,44.9338,1619300,-0.0036696954376935764
20240122,44.897,45.1912,44.4097,44.5568,1531300,-0.008389674544503456
20240123,44.5936,44.8786,44.2718,44.8418,2156500,0.006397010898436806
20240124,45.0441,45.3567,44.1431,44.2626,2116400,-0.012917717352708413
20240125,44.8694,44.9889,44.3913,44.8234,2697000,0.012671278624720728
20240126,44.9062,45.2372,44.7959,44.9154,2404600,0.002051114547271027
20240129,44.9522,45.3567,44.7223,45.228,1868700,0.006960330034113227
20240130,45.1444,45.618,44.6709,45.3859,1954100,0.0034899733482363082
20240131,45.7387,45.8037,44.7545,45.1816,10189600,-0.004500728674595611
20240201,44.9959,46.3051,44.6616,46.2772,2546900,0.024249834157669126
20240202,45.7851,45.7851,44.8845,45.3116,1872700,-0.02086676957403899
20240205,44.8287,44.9216,44.1881,44.2066,1531400,-0.024385180293542197
20240206,44.1788,44.5873,43.9931,44.3459,1491100,0.0031505355392662526
20240207,44.5688,44.5688,44.0581,44.3645,1152000,0.0004185800690510444
20240208,44.1324,44.1974,43.6217,44.0859,1473100,-0.006278653558135838
20240209,44.0024,44.5688,43.9467,44.5038,1507900,0.009477745775626545
20240212,44.6059,45.1073,44.3831,44.9959,1416200,0.011057743201734471
20240213,44.9959,45.1352,43.7609,44.1695,2988700,-0.018365720396571583
20240214,44.0024,44.3459,43.8445,44.2252,1915000,0.0012614468136851187
20240215,44.3831,44.9495,44.3831,44.9402,2297900,0.016166217013269923
20240216,44.7452,45.163,44.3831,44.8937,2624700,-0.00103312212800577
20240220,44.8009,45.2559,44.643,44.8009,2444600,-0.002068211202940984
20240221,45.1816,45.5994,44.903,45.5808,1848100,0.017409405290267133
20240222,45.3116,45.3116,44.8009,45.1537,1540800,-0.009370523849994261
20240223,45.0144,45.5158,44.9402,45.2187,2025400,0.0014394118535119294
20240226,44.968,44.968,43.8074,44.0395,1774600,-0.026078097881888973
20240227,44.1602,44.4295,43.9467,44.4016,1513500,0.008222653319811313
20240228,44.2159,44.3738,43.9745,44.1602,1469400,-0.005436861340834098
20240229,44.4016,44.6802,44.0859,44.3366,2482200,0.003994786952038476
20240301,44.1231,44.3181,43.4545,44.3181,1809200,-0.00041901188565496295
20240304,44.1045,45.1166,44.0488,45.0702,1656200,0.016970553238021324
20240305,45.3394,45.9151,44.8195,45.0423,2103600,-0.0006180346784996349
20240306,45.4416,45.7573,45.2652,45.4787,2048400,0.009688869910478681
20240307,45.8965,46.008,45.5437,45.553,2119800,0.0016332869791413351
20240308,45.7758,46.0544,45.3023,45.813,1831200,0.005707266701352687
20240311,45.9244,46.3979,45.8315,46.0451,1774700,0.005066864863730647
20240312,45.878,45.9615,44.9866,45.2837,1895400,-0.016535593089468836
20240313,45.3394,45.813,45.3209,45.4323,1561600,0.0032807240927463788
20240314,45.2837,45.488,44.3459,44.6338,1809500,-0.017576029824178385
20240315,44.5502,45.1723,44.5502,44.9309,4205800,0.006656824899301084
20240318,44.7637,45.5066,44.7545,45.1352,1802200,0.004546388075556518
20240319,45.0702,45.6273,45.0609,45.4508,1708700,0.006994390592896638
20240320,45.3394,45.7665,45.0702,45.3116,1666900,-0.0030642904245665736
20240321,45.423,45.7201,45.2466,45.4044,2294000,0.0020492236295579502
20240322,45.6551,45.683,45.1444,45.1909,1431500,-0.004703550464784767
20240325,45.2373,45.4416,44.9309,45.1537,975500,-0.0008217607306250096
20240326,45.1909,45.2466,44.5873,44.8102,1579700,-0.007608573244461181
20240327,44.9216,46.2308,44.9123,46.2122,2252500,0.031288994934585146
20240328,46.2401,46.8715,46.1658,46.7972,2540600,0.012658221578683237
20240401,46.9922,46.9922,46.0637,46.1287,1194200,-0.014285835394452717
20240402,46.1287,46.7415,46.1287,46.3979,1259200,0.005837242759949124
20240403,46.3329,46.4629,45.878,45.9151,1317800,-0.010406119770887567
20240404,46.2308,46.2958,45.163,45.618,1840200,-0.006471137062087684
20240405,45.4694,45.4694,44.9494,45.358,1820800,-0.00569946969017221
20240408,45.293,46.0544,45.1816,45.9151,1329000,0.012282760335210474
20240409,46.1287,46.4258,45.9987,46.4165,990400,0.010920152836777275
20240410,45.5623,45.6644,44.7637,45.2002,2048700,-0.026205210814864044
20240411,45.293,45.4508,44.4759,45.0144,2020100,-0.0041086344451309875
20240412,45.0609,45.2187,44.3459,44.5688,1581100,-0.009901047993324918
20240415,44.6895,45.0423,44.4109,44.5688,1913300,0.0
20240416,44.5316,44.6616,43.8538,44.0117,1773800,-0.01249983844642899
20240417,44.3645,45.0609,44.2159,44.9587,1673700,0.02151907840508116
20240418,45.1166,45.4509,44.8009,45.3487,1131900,0.008674012766696881
20240419,45.4601,46.3515,45.4508,46.2587,1382500,0.020065456511090707
20240422,46.0358,46.5744,45.7201,46.3237,1457400,0.0014051952145186508
20240423,46.2215,46.7229,46.1379,46.3979,1644200,0.0016033309756873226
20240424,45.813,46.8993,45.6737,46.7693,1336200,0.008004890923156038
20240425,46.6672,46.9179,46.1472,46.6394,1312200,-0.0027793768864747825
20240426,46.6579,46.7043,45.9337,46.0451,1661200,-0.012741380700798444
20240429,46.2326,46.6827,46.2045,46.6639,1661600,0.013439187463397229
20240430,46.4576,46.9733,46.0639,46.692,2294700,0.000602812273761355
20240501,46.4576,47.7234,46.3733,47.2171,1953400,0.011244981428979228
20240502,47.5265,47.6765,47.1233,47.6765,1983000,0.009729935592922567
20240503,47.6765,48.5391,46.8327,47.6765,2143700,0.0
20240506,47.7796,47.8453,47.1233,47.3484,1281900,-0.006883040165029719
20240507,47.6203,48.0234,47.3671,47.939,1736900,0.012475260000615496
