datetime,open,high,low,close,volume,return
20230725,33.6389,33.8169,32.6269,33.2922,13980300,-0.04489265834000178
20230726,33.4515,34.0793,33.1516,33.9762,10660900,0.02054623039337411
20230727,31.6899,31.6899,30.6029,30.9403,33284400,-0.08935479383566691
20230728,30.706,31.5868,30.6404,31.5774,12511200,0.020593703127723018
20230731,31.3338,32.3177,31.3338,32.0085,10006400,0.01364982345627519
20230801,31.7274,31.7555,30.9684,31.3244,8903200,-0.021370122396755398
20230802,30.9684,31.4931,30.9684,31.2682,7348000,-0.0017945533552033988
20230803,30.5092,30.9403,30.1251,30.2281,10735000,-0.03326355794923319
20230804,30.4811,30.8559,30.3031,30.6685,8305700,0.014569118302540485
20230807,30.6123,30.9122,30.1344,30.8934,8037200,0.0073326669213651385
20230808,30.5561,31.8023,30.4999,31.6149,8051300,0.02335456724639795
20230809,31.4837,31.6618,31.1839,31.5118,8101500,-0.0032601480236793545
20230810,31.7742,31.9804,31.2495,31.7086,8003700,0.006244309234337386
20230811,31.6805,31.793,31.3151,31.5774,5061400,-0.004136979714272626
20230814,31.4181,31.5681,31.2495,31.4181,4164300,-0.005044555122860617
20230815,31.1651,31.2214,30.7903,31.034,4498900,-0.012227907506461189
20230816,30.9122,31.643,30.8372,30.8466,5381300,-0.006038755714554034
20230817,30.7903,30.9122,30.1532,30.2,5945700,-0.020959740190759857
20230818,29.9658,30.3312,29.8908,30.1251,5452800,-0.002482203882777756
20230821,30.1719,30.4718,29.769,29.9095,7323500,-0.007154014940160325
20230822,29.9845,30.0595,29.3661,29.516,6980100,-0.013157908162224174
20230823,29.5066,29.7034,29.4036,29.5816,4300900,0.0022223753018115744
20230824,29.3286,29.7503,29.2536,29.2536,4420600,-0.011086527255464884
20230825,29.2817,29.4223,28.9257,29.2536,3982900,0.0
20230828,29.4129,29.7503,28.935,29.1318,5515500,-0.004164088262814447
20230829,29.1412,29.9564,29.1412,29.8065,4814200,0.02315859564283551
20230830,29.7221,29.8252,29.4598,29.6378,3231700,-0.005658603598077905
20230831,29.7596,29.844,29.3942,29.6097,5202800,-0.0009483388913740232
20230901,29.769,29.844,29.2911,29.441,4208400,-0.005696207546334819
20230905,29.2808,29.4599,28.819,28.9981,5519500,-0.015044846048918759
20230906,28.1782,29.0829,28.0368,28.2442,8878300,-0.025999320281787752
20230907,28.2065,28.3855,27.6693,27.7353,7910900,-0.018018201141781875
20230908,27.8012,27.8766,27.396,27.8295,8608200,0.0033981220480994168
