datetime,open,high,low,close,volume,return
20230725,97.25,99.13,97.03,98.47,2094100,0.013482889143865195
20230726,98.13,98.26,96.88,97.9,1315700,-0.0057885618742571365
20230727,98.93,99.11,96.45,96.93,4085700,-0.009908081773080668
20230728,98.75,101.74,81.04,89.33,12572500,-0.07840708191677659
20230731,91.39,92.81,86.63,87.75,7257900,-0.017687247270439577
20230801,87.48,88.45,86.01,87.1,2975700,-0.007407424796340822
20230802,86.72,86.72,85.25,85.97,1947300,-0.012973562264225635
20230803,85.22,86.94,85.2,86.25,1693100,0.0032569358534502157
20230804,86.8,88.8,85.15,87.73,3543000,0.01715945921082418
20230807,88.32,89.59,87.64,89.22,2238600,0.016983902960853614
20230808,88.78,89.07,86.75,87.88,1743900,-0.015019098284592025
20230809,88.07,88.07,85.96,86.3,1583600,-0.01797899693947369
20230810,86.82,87.65,86.18,86.99,1252000,0.007995304607323117
20230811,85.95,87.08,85.01,86.61,2194000,-0.004368286731229243
20230814,86.39,86.55,85.54,86.16,1321900,-0.005195669611719245
20230815,85.87,87.5,85.77,86.11,1209100,-0.0005803510867282702
20230816,85.96,86.55,85.03,85.6,826400,-0.005922681832720378
20230817,85.45,85.74,84.5,84.56,976600,-0.012149543622267278
20230818,83.96,84.76,83.23,84.39,847400,-0.0020103852158642743
20230821,84.35,84.95,83.27,83.96,904400,-0.005095394102213047
20230822,84.16,84.52,83.77,84.25,779000,0.00345403666852806
20230823,84.64,84.78,84.03,84.09,748000,-0.0018991532594584415
20230824,83.67,84.58,83.28,83.7,1548700,-0.004637880920833171
20230825,84.0,85.53,83.92,84.79,1076800,0.013022747993159278
20230828,84.97,85.12,84.26,84.84,1161100,0.0005896381863834677
20230829,84.47,85.04,84.01,84.28,2151200,-0.0066006315743279975
20230830,84.29,85.04,83.84,84.3,1509600,0.00023735492110432688
20230831,84.46,85.07,84.15,84.53,1457100,0.002728300346535484
20230901,84.64,84.73,83.1,84.05,1625800,-0.0056784068906980956
