datetime,open,high,low,close,volume,return
20230829,400.2167,404.9023,399.4014,404.3719,2188800,0.010332638807662553
20230830,407.4466,410.3936,406.2089,406.592,2516600,0.005490300788093538
20230831,406.8867,408.9299,404.4997,405.3445,2535100,-0.0030682552631660087
20230901,406.5232,409.146,405.197,408.2226,1841700,0.0071004119157425105
20230905,406.0419,408.0556,402.4564,404.2246,2045600,-0.009793716477937142
20230906,403.5173,406.0714,401.6607,405.8749,2292100,0.004082629208076227
20230907,404.6372,408.7727,404.4505,407.2894,2502700,0.0034851141092722138
20230908,407.6628,408.9692,406.5429,407.5056,1868900,0.0005307933975116086
20230911,409.48,410.2069,407.3091,409.3228,1544700,0.004459399558590871
20230912,408.5959,410.2659,407.9083,408.9102,1997600,-0.0010079260759773279
20230913,408.812,411.0124,407.6332,408.9397,2142200,7.201938090051208e-05
20230914,410.9044,411.1991,400.5704,406.0321,3557700,-0.007110151717863111
20230915,404.5782,410.9043,403.871,406.9849,4755500,0.0023466614715721423
20230918,406.5625,410.5016,405.7374,409.7551,1808000,0.006806572335605887
20230919,409.588,409.7255,403.8316,406.2187,1730900,-0.008630539961185235
20230920,406.4545,408.4977,402.8297,403.2619,1580000,-0.00727865648889825
20230921,401.1204,401.5428,394.9908,396.2285,2450700,-0.01744146228188148
20230922,397.2403,399.6568,394.4603,395.1086,1885000,-0.002826254693030772
20230925,393.5173,396.1008,392.7707,395.3739,1846500,0.0006713566370502022
20230926,392.9279,393.7628,386.6508,388.3896,2940400,-0.01766508735095551
20230927,389.2049,390.0104,384.5586,388.4879,1987500,0.0002530889860403729
20230928,388.8316,394.254,388.3798,392.3778,2216200,0.010013063660008648
20230929,394.922,395.0694,387.2796,388.9102,3032300,-0.008837376285598442
20231002,386.641,389.3522,385.5114,388.8513,2856800,-0.0001516030135414459
20231003,387.5251,390.8257,382.0929,384.146,2527900,-0.012100492564753762
20231004,385.0694,387.4957,381.7098,386.7982,1813400,0.006904361759639155
20231005,384.0437,388.3033,383.66,387.7917,2116600,0.002568442961338846
20231006,386.8376,394.4812,384.1519,391.5005,2484000,0.00956382146473489
20231009,388.0476,390.0544,383.2469,388.323,2475100,-0.008116106650968513
20231010,389.11,396.1733,387.4475,393.8615,2713800,0.014262487004471414
20231011,396.6947,398.5441,390.9004,393.3106,2055600,-0.0013987235291843536
20231012,397.2358,398.7507,390.8611,393.3992,1779000,0.00022524827550829407
20231013,392.3269,395.6027,388.6575,391.5595,2235600,-0.004676243031520477
20231016,393.7336,397.8555,392.2973,394.6386,2202100,0.00786368674381599
20231017,393.1434,397.0488,391.9727,395.2387,2176000,0.0015205483594000757
20231018,392.622,394.8453,386.1785,386.8179,1951400,-0.02130562291534477
20231019,387.4475,388.4115,379.2332,381.5647,3472800,-0.01358064050654939
20231020,381.5647,383.6502,377.9248,378.1609,2652500,-0.008920499865993303
20231023,376.0951,381.5548,374.8064,377.433,1771800,-0.0019249365920092076
20231024,379.2332,383.0993,377.6297,380.6203,2003300,0.008444641875902104
20231025,377.7576,382.3124,376.0262,380.0301,3504500,-0.0015505728155456033
20231026,364.9886,369.445,357.1384,358.6631,6920100,-0.056224346184552854
20231027,360.5323,362.3031,353.9215,358.1615,3624900,-0.001398745511021593
20231030,360.5618,367.1627,358.791,366.3659,3386400,0.022907005526048074
20231031,367.2512,371.5403,367.0446,370.232,2978800,0.0105525353981486
20231101,372.5143,374.2161,368.9433,371.6781,2354700,0.0039060281520546525
20231102,374.1178,376.8132,372.3372,376.4689,2816000,0.01288973580089503
20231103,378.7413,382.1254,377.492,379.7743,2269100,0.008779817080456498
20231106,380.8072,381.9385,377.9642,379.8825,2020500,0.00028502681879771785
20231107,379.7251,383.2567,378.0527,382.5484,2324200,0.007017759493701314
20231108,380.8171,385.0079,380.7089,383.3651,2838400,0.0021346836270268454
20231109,384.6045,385.0865,380.9745,381.6533,2657100,-0.004465174867971933
20231110,383.6994,388.6673,380.4531,387.9689,2807000,0.0165480384077612
20231113,387.9394,389.1986,386.631,387.9394,1614600,-7.598542715925305e-05
20231114,390.7233,395.1502,390.3003,391.1857,2733900,0.008368078723737904
20231115,391.0086,392.7892,388.3427,390.379,2434600,-0.002062118179896988
20231116,391.5399,393.4484,389.1199,390.6447,3060600,0.0006805848057449548
20231117,393.468,394.5993,391.4415,393.7926,2365500,0.00805818706337158
20231120,394.2058,398.613,391.7858,397.826,2768300,0.010242412387796662
20231121,399.1245,403.6793,399.095,402.302,2567500,0.011251260167834287
20231122,405.5582,406.1386,403.4825,403.6595,1967900,0.003374363831565308
20231124,405.7844,406.2566,403.8563,405.7943,1053500,0.0052884544144014
20231127,404.3187,406.0107,401.6134,402.3217,2665900,-0.008557526257482184
20231128,402.4299,403.9645,400.8362,402.361,2645000,9.777538619570869e-05
20231129,404.3286,405.3811,402.7644,403.1579,2151400,0.0019804974998798297
20231130,403.4333,407.4273,402.1348,407.1027,3203500,0.009784736256534199
20231201,406.178,409.8277,404.8794,407.6241,2171400,0.0012806653342769536
20231204,407.1027,408.1061,401.397,401.5937,3097900,-0.01479386315440756
20231205,400.4723,402.4004,397.7473,402.0463,2755600,0.0011268731159412848
20231206,404.7418,407.0929,400.5412,403.7088,2224200,0.004135263239233522
20231207,405.3713,406.847,403.3251,406.4338,2363000,0.006749778191120548
20231208,405.5189,406.9453,402.5775,405.4598,1959300,-0.0023963017931641906
20231211,405.7549,409.4046,405.6762,408.9521,2236000,0.008613056585118795
20231212,410.2211,414.1561,407.9585,413.9102,2736500,0.012123837976105722
20231213,415.0022,419.4389,412.3362,417.7763,3694200,0.009340627093930687
20231214,418.101,418.9273,409.1391,411.7558,3989700,-0.014410839686348043
20231215,405.9123,412.4444,404.9089,411.7656,5566600,2.371702916037499e-05
20231218,412.71,418.1796,412.71,417.5303,2686900,0.01400005262091053
20231219,417.1565,419.7438,415.6514,418.5534,2256200,0.002450365212225414
20231220,418.1698,420.6587,412.4247,412.6313,3058300,-0.014148942786591068
20231221,414.9333,417.0089,413.7724,416.5564,2213600,0.009512314970730129
20231222,417.8451,420.2258,416.0842,417.2057,1759000,0.0015586399165228304
20231226,418.0911,418.7993,416.0744,416.7827,1258200,-0.0010138983289879056
20231227,416.1236,418.1009,416.0843,417.4615,1324100,0.0016286724851148904
20231228,416.8811,421.3965,416.7926,419.3896,1505000,0.0046187772572701125
20231229,419.7438,421.3867,417.373,419.5766,1706100,0.0004456957073499801
20240102,417.196,417.3829,412.7396,415.0317,2463700,-0.01083194501874174
20240103,414.3529,414.4906,410.7131,411.9624,3093700,-0.007395424625140423
20240104,411.6968,416.5663,411.4803,412.9461,2042600,0.0023878480358516807
20240105,413.6544,415.8875,410.2113,412.6018,2415900,-0.0008337633202964989
20240108,413.2718,415.873,410.4046,415.7745,2125400,0.007689419692227917
20240109,412.9368,417.4692,412.3851,416.3854,2439300,0.0014693082800785184
20240110,419.7354,423.1544,417.9126,421.972,2709300,0.013416919058735655
20240111,423.6765,425.4402,419.5087,420.4447,2320600,-0.003619321310537882
20240112,423.6273,424.7702,421.4104,422.7898,1892400,0.0055775029536260234
20240116,421.1541,423.4105,420.2476,422.0508,2398000,-0.0017479459866212022
20240117,419.223,424.051,419.223,421.1345,2690400,-0.0021709705859661588
20240118,422.3366,424.8786,421.1641,424.386,2075700,0.00772072797050094
20240119,426.189,430.6426,423.0263,430.3568,2400200,0.014069471783213938
20240122,432.5244,434.4556,430.8297,433.2831,2715500,0.00679963519894744
20240123,433.7955,434.1206,431.4209,432.3077,2328600,-0.0022511905171926916
20240124,432.0811,434.4458,429.3519,432.2486,2725700,-0.00013666661513433986
20240125,429.5883,432.1796,428.0709,430.3765,2977800,-0.004331144697694245
20240126,426.189,433.4211,424.3367,432.0811,2725400,0.003960694559582922
20240129,429.3716,434.4754,428.2779,434.101,2314200,0.0046747404885836286
20240130,434.4162,439.658,433.5787,438.6432,2663600,0.010463478110487312
20240131,443.3824,455.2059,440.0521,442.6237,4740500,0.00907478151223029
20240201,448.3089,454.3586,447.3729,454.1419,3292700,0.026022389158222747
20240202,455.4129,457.0189,451.7574,453.8068,2050300,-0.0007377705245388277
20240205,452.7526,454.5852,448.8311,450.043,2438800,-0.00829389129046254
20240206,448.6635,453.7871,448.6635,453.728,2201900,0.008188033247962245
20240207,454.4276,455.4424,452.861,455.1173,2544300,0.0030620622154329258
20240208,453.2354,453.9743,450.7229,451.521,2081300,-0.007902015411226704
20240209,451.3238,452.2401,449.6587,451.1465,2155400,-0.0008293772155053558
20240212,452.4274,452.6441,449.373,451.9643,1794500,0.0018127372969041211
20240213,450.043,455.0877,449.3336,453.6886,2407700,0.0038151336741758524
20240214,455.2059,458.6052,452.6836,458.349,2202700,0.010272312159149033
20240215,458.9797,465.1673,458.3885,464.3495,2354100,0.013091526095863726
20240216,467.197,467.197,460.2014,461.2458,2237200,-0.00668397104195273
20240220,446.1412,449.1464,443.5007,445.1067,5044200,-0.03499030011903448
20240221,446.6437,452.8412,445.353,452.2993,2895800,0.016159332410757843
20240222,455.0187,465.5515,454.7921,464.6253,2572800,0.02725184036860262
20240223,466.7635,468.1823,464.921,466.458,1764100,0.003944540114110939
20240226,466.0442,468.0936,465.0589,467.532,2066900,0.00230240347710553
20240227,467.5714,468.0148,463.039,467.7684,2011100,0.0005056759135015909
20240228,467.197,472.0939,466.7044,471.8082,1931900,0.008636248456729279
20240229,470.9706,471.3549,465.1081,467.7783,3072500,-0.008541409945828082
20240301,467.9261,470.478,466.9309,469.6208,1748300,0.003938829183596004
20240304,468.6749,469.6208,458.9205,461.6005,3212400,-0.017078299986210466
20240305,460.4969,462.3394,457.7874,460.6447,2015100,-0.0020705124594366797
20240306,460.2901,466.655,460.2901,464.6648,1917100,0.008727007872982862
20240307,466.2412,466.3101,459.0387,460.6644,2178100,-0.008609079060444391
20240308,460.231,464.6845,460.231,462.3592,1596900,0.003679020118645404
20240311,462.103,462.4676,457.8564,462.2607,1774500,-0.00021312705573717228
20240312,463.6105,467.394,461.8172,465.9161,1853900,0.007907649637646452
20240313,467.2561,469.1577,465.8274,468.6158,2103900,0.005794471760194986
