datetime,open,high,low,close,volume,return
20230725,135.5428,136.5623,132.9325,133.4422,514000,-0.0189325057544093
20230726,133.6971,135.323,133.6795,134.4002,754900,0.0071789672793369785
20230727,134.4002,134.7254,129.8739,131.3504,954500,-0.022691739636839015
20230728,132.8973,133.0379,130.3925,130.7264,469800,-0.004750480966884907
20230731,130.8846,132.5282,130.621,131.535,550800,0.00618527123168966
20230801,130.9549,131.9305,129.0917,130.0848,597400,-0.011025049189243186
20230802,129.619,129.9706,128.3973,128.9335,653300,-0.008850894520271546
20230803,128.5468,128.5468,125.374,128.1689,658100,-0.0059302107604171095
20230804,128.1073,130.3925,127.3867,127.624,622200,-0.004251474015363743
20230807,128.0985,129.2323,127.4745,129.1005,452600,0.011569275047094818
20230808,128.1425,128.6083,127.0351,127.9668,297100,-0.008781749184969767
20230809,127.9403,128.7313,127.0263,128.1249,332300,0.001235925326500631
20230810,128.5556,129.5399,126.3056,126.7275,430100,-0.010906841349210161
20230811,126.5956,127.3778,126.2353,126.7978,670200,0.000554832348339307
20230814,126.7978,126.8944,124.416,125.3388,710600,-0.01150632694248055
20230815,124.2666,125.3037,124.126,124.6093,524400,-0.005819918765104903
20230816,124.6621,125.5322,123.6162,125.1631,634800,0.004443635982473548
20230817,125.1982,127.5185,124.8818,126.2529,764100,0.008707025436117899
20230818,125.2949,126.8945,125.2334,126.3671,562100,0.0009051731561380283
20230821,126.0859,126.4023,124.6533,125.04,444900,-0.010502080697720517
20230822,125.5937,125.787,124.2402,124.3808,431700,-0.005271871567490094
20230823,125.0576,126.1913,124.5917,126.1562,408900,0.014273460507872038
20230824,126.2265,128.3974,125.831,125.831,344400,-0.002577357307066208
20230825,126.0068,127.8173,126.0068,127.2021,309100,0.010895824172839186
20230828,127.6943,129.1972,127.5361,127.6503,420500,0.003524039521543898
20230829,127.7206,128.4062,126.8857,128.1776,296300,0.004130979489262776
20230830,128.5731,129.3114,128.037,128.6259,351100,0.0034970387786077417
20230831,128.5731,128.8807,127.246,127.6415,862600,-0.007653127196864951
20230901,128.2304,128.4765,125.9892,126.7978,555900,-0.0066100123214115625
20230905,126.5605,126.9912,124.6797,124.7324,520500,-0.01628880145952627
20230906,124.4512,124.9521,123.2822,124.0381,475200,-0.005566421033798896
20230907,123.4844,124.8906,122.7109,123.1767,731000,-0.006944184741959569
20230908,123.4404,123.4404,120.7598,121.1992,649700,-0.016054298346573903
20230911,121.2871,121.5508,119.7842,120.1446,531900,-0.008701971726366109
20230912,119.6875,121.7266,119.0899,121.6475,492000,0.012509218078934792
20230913,121.8057,121.8057,119.5909,119.9952,655600,-0.013582737252923027
20230914,121.1201,122.1396,120.584,121.2607,559300,0.010546855081311701
20230915,120.8213,121.8936,120.5928,121.2871,970400,0.00021775667588430636
