datetime,open,high,low,close,volume,return
20230829,196.0877,200.7451,195.9321,200.4437,1189400,0.017873864553248797
20230830,200.3951,200.8326,198.7713,199.6658,1098500,-0.003880551839806068
20230831,200.4242,200.7937,197.7892,197.8768,1321000,-0.008960360098736797
20230901,199.0047,200.7062,198.0907,200.1228,1086000,0.011350896136975486
20230905,199.8603,199.8603,194.7653,195.4654,1989000,-0.02327298374030229
20230906,194.5417,197.7601,193.9875,196.8169,1487300,0.006914431586713565
20230907,196.4086,196.4572,193.2971,194.3375,1847300,-0.012597498037189014
20230908,194.8334,200.0061,194.4931,199.7631,1753500,0.027918194442994038
20230911,201.1535,202.4661,197.5267,198.5088,1715800,-0.006278953520986508
20230912,198.1685,199.4422,197.5559,198.1588,1399600,-0.0017631771317355716
20230913,197.4489,198.1879,194.0264,194.6875,1676200,-0.017517301770788363
20230914,195.6112,199.5102,194.5028,198.5574,1729300,0.01987711774307832
20230915,198.7616,199.5297,196.6225,197.5365,3899800,-0.005141686677954116
20230918,196.992,198.0129,195.0182,195.1251,1700800,-0.012207173180941444
20230919,194.9598,195.1348,191.4692,193.0443,2356300,-0.010663826024314926
20230920,194.0944,197.3225,194.0944,194.3278,1499900,0.0066485384328884845
20230921,192.2373,192.5679,189.6898,189.7676,1730800,-0.023466516534731974
20230922,189.8162,191.4595,188.63,188.98,1374900,-0.004150006175317245
20230925,187.8716,190.0593,185.2755,187.5896,2141400,-0.007357531645549198
20230926,186.6854,189.7871,185.47,186.452,2188700,-0.006064321634036696
20230927,188.698,190.8469,186.6659,188.5133,2284300,0.011055362414222891
20230928,189.0578,194.7459,188.7272,194.0264,1786700,0.02924486547635463
20230929,193.8319,194.2597,189.8843,191.1191,1764500,-0.014983589985648416
20231002,190.5747,190.7108,186.4423,188.3869,1640700,-0.014295837889487295
20231003,186.6562,187.6577,184.099,185.1199,1650500,-0.017341958117064404
20231004,185.8978,190.5066,185.2658,189.4273,2282600,0.02326809550264497
20231005,190.0204,190.6913,187.2201,189.3787,1582700,-0.000256800438912852
20231006,187.9688,192.3443,187.5118,190.5552,1735800,0.006212492811890291
20231009,187.6577,189.1745,184.2448,189.0481,1615400,-0.007909130400837627
20231010,190.2829,195.7182,190.2829,192.9666,1691900,0.020727467086120166
20231011,192.9763,193.443,189.7385,192.7818,1379200,-0.0009572793718551909
20231012,193.5305,193.6861,190.9441,192.3248,1397600,-0.0023706383096606665
20231013,192.2276,193.9875,187.1521,187.5896,1531100,-0.024620842625540873
20231016,190.876,193.6374,189.6606,191.5858,1382600,0.021302969373443226
20231017,191.2358,194.0361,190.915,192.0428,1230900,0.002385437323671802
20231018,190.4482,191.4206,188.5814,189.0189,1255800,-0.015746020092612945
20231019,189.7968,190.7788,186.17,186.9868,1770700,-0.010751202114704705
20231020,185.5672,186.17,182.5433,182.7669,2367800,-0.022567633864964298
20231023,184.1282,185.4894,181.6779,183.4184,1848300,0.0035644239532228728
20231024,184.5074,186.0339,182.835,184.8768,1810100,0.007951661935029941
20231025,182.5919,185.4213,181.3765,183.2142,1784800,-0.008993413633722858
20231026,183.6712,185.3922,181.2501,181.289,1528000,-0.010507845175913855
20231027,181.5418,182.8544,179.0138,180.1416,1282300,-0.006328784176019564
20231030,182.8933,184.3712,181.9113,182.8836,1485100,0.015221040774747063
20231031,182.6405,183.9434,180.8612,183.3406,1234000,0.0024987778941132355
20231101,184.6241,184.6241,180.7639,183.5739,2313700,0.0012728656405176508
20231102,179.1985,181.3862,175.7468,180.5597,3054300,-0.0164195738536288
20231103,182.8933,186.5687,182.1932,186.0047,1746000,0.030156180557979306
20231106,186.9673,187.0743,184.099,185.8686,1543700,-0.0007317469737094795
20231107,186.5103,189.8065,184.1962,189.1161,2057200,0.017472169558609085
20231108,189.9912,190.4385,186.7242,187.2493,1511400,-0.009871456285487135
20231109,187.8132,190.001,186.9479,189.0092,1490100,0.009398634404562678
20231110,189.3204,192.2956,188.4258,192.1304,1165700,0.01651332463490074
20231113,191.7803,192.9471,190.808,192.2373,1075600,0.0005566473453624265
