datetime,open,high,low,close,volume,return
20230718,57.1967,58.1072,57.1967,57.6425,1546500,0.005126329325501278
20230719,57.5856,57.8227,57.0166,57.4433,1439200,-0.0034548524148330095
20230720,57.4338,57.4718,56.3527,56.6372,1699200,-0.01403340561623112
20230721,56.8174,56.9122,55.9733,56.182,1799600,-0.008037459154495052
20230724,56.6751,57.1778,56.0777,56.3148,2209100,0.0023631544540476668
20230725,56.0966,57.7373,56.0966,57.4338,2480000,0.01987207381692735
20230726,57.3106,58.534,57.2537,58.4296,3187600,0.017338141447039712
20230727,59.2453,60.5635,58.5055,58.809,4783700,0.0064924021254579856
20230728,59.8902,60.0324,57.7184,58.0882,2189900,-0.012256019148408237
20230731,58.3158,58.4581,57.045,57.5477,1891700,-0.00930613540085845
20230801,57.4149,58.2969,57.3295,58.2779,1153100,0.012689440089642012
20230802,57.614,57.7373,57.064,57.4149,1553800,-0.014808732646200529
20230803,57.2821,57.32,55.9354,56.2579,2328000,-0.02015192911870245
20230804,56.5519,57.0545,56.1156,56.3148,1231000,0.0010114146922290956
20230807,56.4381,57.0735,56.4381,57.0166,967400,0.012462188170953459
20230808,56.3432,56.7605,55.5276,56.732,965000,-0.004990047870578884
20230809,56.6467,56.8174,56.1251,56.2673,930900,-0.008191250571713216
20230810,56.396,56.9487,55.6336,56.0434,1933900,-0.003980096197013894
20230811,56.0243,56.4055,55.767,55.8623,944900,-0.0032307250501465434
20230814,56.0243,56.4722,55.6908,56.4532,959100,0.010576704754002852
20230815,56.3198,56.6342,56.0243,56.234,1014600,-0.0038825963621522686
20230816,56.396,56.6533,55.2239,55.262,1225500,-0.01728512661143089
20230817,55.3573,55.5669,53.6896,53.7944,1600400,-0.02655634398559492
20230818,53.5943,54.6235,53.5943,54.1184,2016900,0.006023095921084076
20230821,54.1756,54.4424,53.0988,53.4895,1010900,-0.011621701577823496
20230822,53.8421,54.2995,53.3942,53.4704,1467700,-0.0003563699360987771
20230823,53.9183,54.4329,53.7182,54.3567,936700,0.016574505621729907
20230824,54.0327,54.4996,53.7754,53.8802,886600,-0.0087658507209456
20230825,54.0994,54.29,52.851,53.9945,1325100,0.0021224315484320577
20230828,54.1756,54.5758,53.7086,54.1279,1156800,0.0024708315694461636
20230829,54.0517,55.6241,53.8802,55.605,1454300,0.027288839906811635
20230830,55.6146,56.3293,55.6146,56.0529,1196900,0.008054799335946106
20230831,56.1959,56.7391,56.0625,56.234,1693000,0.003230175600305474
20230901,56.6056,57.1774,56.6056,56.9106,1211900,0.012031962767177884
20230905,56.5866,56.5866,54.5663,54.5854,2092900,-0.04085745674743968
20230906,54.4424,55.443,54.2709,54.9666,2104800,0.006983326213218843
20230907,54.7474,54.9284,53.6801,54.0517,1841900,-0.01664358758630713
20230908,53.966,54.471,53.5085,53.5848,1698900,-0.00863893875597388
20230911,54.2709,54.6902,53.8707,53.9755,1718800,0.007291560252510765
20230912,53.8516,53.9374,52.9558,53.2131,1437200,-0.014124466079676212
20230913,53.2036,53.4609,52.3745,52.8701,1560100,-0.006446827437577185
20230914,53.1941,53.6324,52.8796,53.2512,1363400,0.007209821201484834
20230915,52.7843,52.8129,51.9171,52.0982,3303600,-0.021653653299131492
20230918,52.203,52.7081,51.9171,52.4317,1362300,0.0064021823478250806
20230919,52.222,52.9463,52.041,52.851,1867300,0.007997072898306534
20230920,53.1369,53.6419,51.9647,52.0029,1560900,-0.016047772247874015
20230921,51.5073,51.6407,51.0213,51.069,1933200,-0.01795838921802706
20230922,51.3072,51.5359,50.3161,50.5925,1238900,-0.009330249742612873
