datetime,open,high,low,close,volume,return
20230829,264.5767,265.1544,261.2968,264.2412,2348500,-0.0003171541608213424
20230830,264.4369,266.4681,263.9617,264.8468,2410700,0.0022919261372664756
20230831,265.3059,265.8586,263.1232,263.3761,2979800,-0.0055531479457109345
20230901,264.6782,265.2403,261.4838,263.1794,2136400,-0.0007470185305089583
20230905,263.2356,263.8352,261.4182,261.5119,2410300,-0.006335677256393613
20230906,260.4252,261.0341,257.6149,258.027,2705800,-0.013325945654582672
20230907,259.7227,261.3527,258.6454,260.7344,3732800,0.010492688967395747
20230908,260.5002,262.6267,260.2847,261.5681,2351300,0.0031974265152545644
20230911,262.0084,262.4206,260.9498,262.074,2433200,0.0019339489239609264
20230912,261.8211,263.704,260.1349,262.9639,1450200,0.0033958107233187373
20230913,263.8633,265.0061,262.8702,263.9569,1724300,0.0037761109051825947
20230914,265.4183,267.5448,264.7063,266.7579,2219700,0.010611445497575644
20230915,265.9147,265.9147,260.1723,260.6407,5730700,-0.02293160992376031
20230918,261.0997,262.5517,259.4229,260.163,2884800,-0.0018328764216969384
20230919,258.9639,260.6688,258.9639,260.547,2128100,0.0014762428709844677
20230920,261.1184,262.5517,259.6196,259.6758,1979300,-0.0033437948932985018
20230921,259.4322,259.6664,253.8865,254.0738,2370100,-0.02157301331980732
20230922,254.2425,256.3409,253.7085,255.0106,1958300,0.003687169921870126
20230925,253.3525,254.5797,251.9099,252.7249,1895500,-0.008963356918049392
20230926,251.8256,252.2753,249.7272,250.7952,2251600,-0.0076356470592923165
20230927,250.7951,251.0012,245.7084,246.9731,2735000,-0.015239978895252082
20230928,247.5258,249.4743,246.4953,248.7998,2182400,0.0073966246347221265
20230929,250.2611,250.4672,245.2025,246.7857,3367100,-0.008095382219756808
20231002,245.4367,245.5023,241.1837,241.4554,4425000,-0.02159880697545169
20231003,240.9496,241.9707,237.8207,238.4015,3408100,-0.012647795863782285
20231004,239.1884,240.0502,237.9518,239.638,2820000,0.005186674785007117
20231005,239.8161,241.5491,235.6755,236.2844,3799600,-0.013994659889681738
