datetime,open,high,low,close,volume,return
20230718,346.9657,351.1616,346.5364,350.7322,585000,0.008501381153050325
20230719,350.3322,352.6351,349.0539,350.8299,720000,0.0002783483285264676
20230720,348.849,352.2545,348.5563,350.1566,747900,-0.001919190451838304
20230721,350.8396,350.9079,348.0098,349.1125,2170100,-0.002981803096236413
20230724,348.5562,350.5761,346.7218,348.2343,1001600,-0.002515534256660401
20230725,345.9607,354.3914,343.3164,352.9375,1119300,0.013506073995656731
20230726,352.1569,352.996,345.6485,350.5468,1005900,-0.006773680406417348
20230727,350.2053,350.2053,339.4133,342.8773,1309300,-0.021878832415069938
20230728,346.8877,348.4294,342.9163,344.8971,668500,0.005890843434810389
20230731,346.1558,346.3217,341.7063,344.2043,698000,-0.002008832563279328
20230801,341.96,344.7702,341.2379,343.8237,569700,-0.0011056056422593663
20230802,339.667,341.3356,333.9002,335.3444,1059900,-0.024661968810667068
20230803,332.9244,333.7538,328.5432,329.8605,890000,-0.016353001174675752
20230804,330.1532,335.0125,328.1138,331.812,802500,0.005916160693238082
20230807,333.8417,334.1441,330.9924,334.1149,547700,0.006940336978050299
20230808,331.6559,331.6559,325.6061,329.636,582700,-0.013405124240565391
20230809,329.1482,332.6219,328.7676,329.597,499600,-0.00011831675803197772
20230810,330.8265,333.7148,329.1677,331.0704,515300,0.004470365691116918
20230811,329.5093,330.5631,327.3235,328.5432,359500,-0.007633394281761685
20230814,328.6505,331.2266,327.6455,330.5728,350500,0.006177486750751582
20230815,328.6212,329.7434,323.6155,324.6791,469200,-0.017828771783412578
20230816,323.2057,327.4113,322.913,323.5277,512600,-0.0035462636119553137
20230817,324.2612,325.65,321.0532,321.288,682300,-0.006922887977726666
20230818,317.5225,320.5153,315.9185,319.8405,658600,-0.004505334554715468
20230821,319.9969,320.9847,316.0162,317.6496,517100,-0.006849843118650889
20230822,319.0776,322.2465,317.6594,319.8307,592000,0.00686634369455974
20230823,321.4053,328.6135,320.2415,327.3225,392500,0.023424430727164713
20230824,328.1245,331.225,323.6646,323.7722,443100,-0.010846466502668073
20230825,325.9728,328.2907,323.8309,327.0877,487000,0.010240194303732908
20230828,327.0878,330.0904,326.9606,327.3812,369100,0.0008971813893454694
20230829,326.7357,330.9999,326.677,330.374,414100,0.00914163029717563
20230830,330.4132,333.2495,330.0904,331.3912,380600,0.003078970911336354
20230831,331.3814,332.5355,328.7309,329.4057,698100,-0.005991328689025299
20230901,332.2323,335.499,330.7848,331.8704,409500,0.007482235215282795
20230905,331.3618,332.9071,328.369,330.8728,550200,-0.0030061436008066433
20230906,330.5305,334.2666,329.9045,333.2005,536500,0.007035208045276464
20230907,331.4988,335.5381,330.9315,334.6089,559500,0.004226934284273787
