datetime,open,high,low,close,volume,return
20230711,7.9,7.99,7.72,7.86,51718,0.0
20230712,7.77,8.05,7.77,7.97,24888,0.013994910941475647
20230713,8.05,8.15,8.0,8.1,32510,0.016311166875784266
20230714,8.03,8.18,7.88,7.97,39337,-0.016049382716049387
20230717,7.86,8.145,7.85,8.09,118109,0.01505646173149322
20230718,8.03,8.27,8.03,8.24,67411,0.018541409147095234
20230719,8.15,8.29,8.15,8.28,33748,0.004854368932038833
20230720,8.2,8.29,8.01,8.22,55202,-0.007246376811594013
20230721,8.38,8.38,8.06,8.22,37176,0.0
20230724,8.3,8.39,8.2,8.39,45523,0.020681265206812682
20230725,8.46,8.47,8.17,8.36,61672,-0.0035756853396902155
20230726,8.44,8.5,8.18,8.45,46111,0.010765550239234534
20230727,8.45,8.5,8.25,8.26,31237,-0.022485207100591653
20230728,8.26,8.26,8.01,8.17,61579,-0.010895883777239712
20230731,8.1,8.33,8.05,8.33,62226,0.019583843329253448
20230801,8.24,8.39,8.16,8.32,35564,-0.0012004801920768582
20230802,8.47,8.48,8.25,8.34,13790,0.0024038461538460343
20230803,8.26,8.46,8.26,8.44,24364,0.011990407673860837
20230804,8.37,8.48,8.33,8.35,21249,-0.010663507109004766
20230808,8.34,8.45,8.3,8.42,87319,0.008383233532934131
20230809,8.45,8.64,8.28,8.6,57271,0.0213776722090262
20230810,8.69,8.69,8.38,8.44,49163,-0.018604651162790753
20230811,10.6,11.2,9.82,10.42,896238,0.2345971563981044
20230814,10.74,11.1,10.23,10.32,575081,-0.009596928982725461
20230815,10.32,10.53,10.06,10.47,245566,0.014534883720930258
20230816,10.48,10.57,10.35,10.39,170608,-0.00764087870105068
20230817,10.29,10.49,10.25,10.35,308802,-0.0038498556304139564
20230818,10.25,10.38,10.19,10.25,111542,-0.009661835748792202
20230821,10.21,10.25,10.04,10.09,50048,-0.01560975609756099
20230822,10.01,10.2,10.01,10.12,57653,0.0029732408325073845
20230823,10.2,10.24,10.07,10.16,30105,0.0039525691699606735
20230824,10.24,10.25,10.02,10.08,48015,-0.007874015748031482
20230825,10.01,10.19,10.0,10.05,64218,-0.0029761904761904656
20230828,10.09,10.22,10.07,10.16,201013,0.010945273631840724
20230829,10.05,10.26,10.05,10.18,69337,0.0019685039370078705
20230830,10.18,10.23,9.99,10.07,136439,-0.01080550098231825
20230831,10.17,10.39,10.08,10.34,204616,0.02681231380337623
20230901,10.34,11.0,10.3,10.98,318943,0.061895551257253434
20230905,11.0,11.0,10.69,10.73,159749,-0.022768670309653904
20230906,10.75,10.9,10.5,10.75,188426,0.0018639328984155767
20230907,10.75,10.78,10.52,10.77,69464,0.0018604651162790198
20230908,10.83,11.07,10.76,11.0,183861,0.02135561745589598
20230911,10.95,11.4,10.95,11.34,256550,0.030909090909090997
20230912,11.36,11.75,11.34,11.75,348101,0.03615520282186946
20230913,11.71,11.83,11.65,11.78,237984,0.002553191489361728
20230914,11.8,12.1,11.71,12.08,247087,0.025466893039049365
20230915,12.15,12.23,11.5,11.56,144504,-0.04304635761589404
20230918,11.47,11.56,11.29,11.47,104054,-0.007785467128027634
20230919,11.51,11.74,11.36,11.38,133906,-0.007846556233653046
20230920,11.45,11.5,11.25,11.34,116035,-0.0035149384885765356
20230921,11.32,11.33,10.9,11.08,107963,-0.022927689594356204
20230922,10.98,11.15,10.9,11.13,95045,0.004512635379061436
20230925,11.15,11.37,11.05,11.29,73740,0.014375561545372673
20230926,11.22,11.38,10.99,11.02,68283,-0.023914968999114272
20230927,11.1,11.6,11.1,11.39,98685,0.03357531760435584
20230928,11.29,11.65,11.28,11.58,99547,0.01668129938542573
20230929,11.56,11.61,11.39,11.53,142475,-0.0043177892918826455
20231002,11.5,11.77,11.44,11.67,154210,0.012142237640936804
20231003,11.47,11.7,11.4,11.56,123438,-0.009425878320479808
20231004,11.55,11.66,11.4,11.59,98824,0.0025951557093424338
20231005,11.54,11.64,11.29,11.61,90718,0.0017256255392579245
20231006,11.57,11.87,11.46,11.78,150391,0.014642549526270532
20231010,11.74,12.42,11.645,12.25,238987,0.03989813242784379
20231011,12.3,12.58,12.23,12.45,295428,0.01632653061224487
20231012,12.5,12.54,12.095,12.32,234029,-0.010441767068273045
20231013,12.17,12.5,12.17,12.46,188704,0.011363636363636465
20231016,12.55,12.66,12.28,12.38,92688,-0.006420545746388395
20231017,12.37,12.38,12.05,12.33,171366,-0.0040387722132472215
20231018,12.19,12.48,12.02,12.37,235498,0.0032441200324411223
20231019,12.33,12.45,11.965,11.98,78689,-0.031527890056588403
20231020,11.95,12.19,11.57,11.72,137442,-0.02170283806343909
20231023,11.81,11.86,11.54,11.58,172209,-0.011945392491467643
20231024,11.62,11.72,11.42,11.52,119510,-0.005181347150259086
20231025,11.44,11.7,11.32,11.45,142045,-0.006076388888888951
20231026,11.48,11.68,11.34,11.37,168729,-0.006986899563318771
20231027,11.42,11.45,11.2,11.28,54123,-0.0079155672823219
20231030,11.32,11.54,11.255,11.34,89719,0.005319148936170359
20231031,11.41,11.6,11.09,11.47,176110,0.011463844797178213
20231101,11.49,11.94,11.46,11.79,221190,0.027898866608543793
20231102,11.91,12.04,11.82,11.97,135864,0.01526717557251911
20231103,12.03,12.4,12.03,12.25,176120,0.023391812865497075
20231106,12.34,12.49,11.66,11.92,149678,-0.02693877551020407
20231107,11.78,11.89,11.61,11.8,137415,-0.010067114093959662
20231108,12.2,12.48,12.05,12.2,298002,0.03389830508474567
20231109,12.19,12.22,11.345,12.04,445679,-0.013114754098360715
20231110,12.04,12.04,11.65,11.87,256157,-0.014119601328903664
20231113,11.72,11.75,11.21,11.21,213762,-0.05560235888795273
20231114,11.11,11.24,10.76,11.2,431798,-0.000892060660125038
20231115,11.14,11.42,10.93,11.37,286764,0.015178571428571486
20231116,11.26,11.37,10.88,10.91,233330,-0.04045734388742295
20231117,11.1,11.9,11.1,11.82,576113,0.08340971585701196
20231120,11.58,11.96,11.37,11.4,214524,-0.035532994923857864
20231121,11.3,11.49,11.21,11.31,117022,-0.007894736842105288
20231122,11.32,11.57,11.32,11.45,114937,0.012378426171529622
20231123,11.59,11.95,11.59,11.84,76431,0.03406113537117905
20231124,11.81,11.97,11.75,11.78,103315,-0.005067567567567655
