datetime,open,high,low,close,volume,return
20230829,286.0679,296.5459,285.6714,295.396,20844500,0.026631438510048788
20230830,294.5831,295.6934,290.8757,292.5311,17717000,-0.009698398766221805
20230831,293.225,298.4789,293.0862,293.3142,17229900,0.002677019631407651
20230901,296.7639,299.1133,291.9066,293.8,12842300,0.0016560678807835405
20230905,294.4344,298.7664,292.9376,297.5372,14956000,0.012720263070259641
20230906,299.0836,300.6597,293.0862,296.5657,15418100,-0.003265126441339361
20230907,295.4059,304.3771,289.6762,296.0701,33748700,-0.0016712518644784735
20230908,296.6153,302.5928,294.1965,295.2968,17548000,-0.002611624610477592
20230911,298.7862,306.3498,298.6573,304.8826,19489300,0.03246152165598226
20230912,303.6633,305.973,297.6164,299.034,13480400,-0.01918332750440077
20230913,299.7279,304.506,298.697,302.4044,13210900,0.011271137273191512
20230914,304.0697,310.1464,302.3746,309.0064,19343100,0.021831556733003854
20230915,308.8974,309.284,296.1494,297.6958,28131100,-0.03660315355624666
20230918,295.5943,300.9572,295.2077,299.9163,14234200,0.00745912693063322
20230919,299.8469,303.5047,297.2001,302.4143,15924400,0.008328942663653915
20230920,302.3945,305.3783,296.8234,297.0613,19379500,-0.01770077073421983
20230921,293.1259,297.6462,290.717,293.1556,21319600,-0.013147791897889727
20230922,296.6945,302.7216,295.6735,296.4764,25369600,0.011327669724021883
20230925,293.0664,298.3302,291.1433,298.2112,18987000,0.005851400610956015
20230926,295.0688,297.6858,293.4332,296.3575,19417200,-0.006216162144377924
20230927,297.8346,298.6771,284.2935,295.1481,36429800,-0.0040807155401036965
20230928,296.3377,303.6633,294.1172,301.314,22167100,0.02089063708781369
20230929,304.7042,307.9358,296.754,297.5966,25373700,-0.012337118836605931
20231002,300.1046,304.506,299.0043,304.1491,16265600,0.022018129042009837
20231003,301.6114,304.0995,297.0316,298.3203,17362300,-0.019164571535101205
20231004,296.1295,304.2284,295.9015,302.9199,16880500,0.015418463446556174
20231005,301.9781,303.5444,296.8928,302.1367,19130000,-0.0025853108765303556
20231006,298.8159,313.5565,298.2906,312.6841,21803900,0.03490933765719162
20231009,309.7796,317.5415,309.1056,315.5886,22503700,0.009288862402759834
20231010,316.3421,321.8339,315.3904,319.0384,19038000,0.010931218093669592
20231011,320.1982,325.9774,320.1387,324.9663,22036300,0.018580481622306744
20231012,325.1448,327.6627,319.881,321.3382,20530500,-0.011164488502835357
20231013,320.7136,322.2204,309.6508,311.9506,21341000,-0.029214092449767803
20231016,315.8662,319.0185,312.7733,318.3543,16536100,0.020528082721996466
20231017,315.4102,321.5761,314.5379,321.1796,16387800,0.008874469352707415
20231018,318.5924,323.1027,312.8131,314.2108,16851000,-0.02169736418528656
20231019,317.0954,319.0879,309.0362,310.0869,18709200,-0.01312453501630717
20231020,311.4054,312.5553,303.8022,305.9632,22312300,-0.013298685582784797
20231023,306.8058,314.5973,304.5853,311.2765,17796800,0.01736589252410936
20231024,314.0224,315.5787,307.9259,309.8292,19525500,-0.004649649325302763
20231025,307.3014,308.1737,296.2385,296.9225,42192500,-0.04165739553565373
20231026,292.432,292.432,276.9678,285.8399,66684100,-0.037324926510014844
20231027,291.9166,296.7045,290.4197,294.147,29596300,0.029061959971395712
20231030,296.4864,306.7066,296.4467,300.0253,28435100,0.019984420986930873
20231031,300.6697,301.0365,294.2758,298.6474,19434200,-0.004592609470025599
20231101,299.2224,310.0176,299.2224,309.1353,20434600,0.035117946626018526
20231102,314.5378,316.0446,305.6459,308.1638,21631800,-0.0031426256887389092
20231103,309.8292,312.8031,308.3125,311.8614,16764300,0.011998718150841414
20231106,313.2294,315.5589,311.7127,313.0509,12887700,0.003814337776593124
20231107,314.3,318.2057,312.3768,316.0446,14055600,0.009563023314463237
20231108,315.3706,318.5328,312.139,316.9963,13609700,0.0030111573305564576
20231109,316.6395,321.358,316.0248,317.7596,16103100,0.0024079323522347984
20231110,317.1549,326.2351,316.679,325.908,19096200,0.025643209931440092
20231113,323.3604,329.437,322.8648,326.3244,16908900,0.0012776054878980148
20231114,331.6277,335.1568,330.4283,333.3823,17179400,0.021628641624046097
20231115,334.9883,335.4542,327.1471,329.8137,14531200,-0.010704328855964063
20231116,326.5028,331.6674,323.5388,331.2808,18932600,0.004448367705822021
20231117,327.3851,332.5794,326.483,332.1234,14494400,0.0025435243809308616
20231120,331.9748,338.894,331.2808,337.0105,16960500,0.014714664246260334
20231121,335.3848,336.9412,332.976,334.0466,12027900,-0.008794764470064331
20231122,336.2572,339.9349,335.6326,338.5173,10702700,0.013383471409155412
20231124,337.1692,338.8841,333.8384,335.2857,5467500,-0.009546330031863781
20231127,333.2536,336.9412,331.2908,331.7865,15684500,-0.010436582897667912
20231128,330.4977,336.4256,330.4977,336.039,12637200,0.012817077737180993
20231129,336.733,336.9411,327.9005,329.3082,16024500,-0.02002992191857733
20231130,329.0009,330.5969,319.5935,324.3021,23146400,-0.015201695523118341
20231201,322.6466,324.0146,317.9677,321.9924,15276400,-0.007122227228465006
20231204,314.5279,318.0668,310.9295,317.2342,19037100,-0.014777397425809746
20231205,316.2033,319.078,312.6445,315.5193,16952100,-0.005405801120890397
20231206,319.1276,319.4448,314.2801,314.6866,11294300,-0.002639053248714718
20231207,315.0038,325.3826,315.0038,323.747,15905100,0.028791900423307704
20231208,320.2775,330.2698,320.1883,329.8534,14087400,0.01886159285602118
20231211,326.5325,327.0182,317.2143,322.4484,25802500,-0.02244945615709515
20231212,321.7743,331.5584,321.7346,331.3105,18485500,0.02748403651414333
20231213,331.0231,335.4245,329.7444,331.826,16353300,0.0015559508580389458
20231214,330.9438,331.7864,325.7791,330.2697,19607300,-0.004690214798189651
20231215,329.0999,335.7119,328.3367,332.0045,31776900,0.005252498595951893
20231218,334.5422,344.5344,334.0862,341.62,18993900,0.02896217176349336
20231219,342.5717,350.5219,342.1157,347.3101,17729400,0.016656118053939517
20231220,345.615,351.8701,344.7625,346.2395,16369900,-0.003082510965755292
20231221,349.9073,353.3074,346.1701,351.0076,15289600,0.013771094565846687
20231222,352.4846,354.0905,348.1626,350.3137,11772800,-0.001976905040308008
20231226,351.8997,353.8724,350.3731,351.7411,9898600,0.004074630029116344
20231227,352.9704,355.8749,352.217,354.715,13207900,0.00845490641385993
20231228,356.5688,358.7496,354.6952,355.2008,11798800,0.0013694043224550256
20231229,355.8649,356.8661,348.7573,350.8787,14987100,-0.01216799855729156
20240102,348.2618,350.0857,337.0502,343.2755,19042200,-0.02166888321755689
20240103,341.977,344.9211,340.1926,341.4714,15451100,-0.005255656044435675
20240104,341.5011,345.1193,340.4106,344.0983,12099900,0.007692771733083248
20240105,343.9694,350.4228,343.2458,348.8863,13920700,0.013914702185605199
20240108,351.6123,355.8551,348.9854,355.5378,13890200,0.019065095003580224
20240109,353.2975,357.5006,352.2665,354.3185,13463900,-0.003429536017381274
20240110,357.0347,369.6935,355.9542,367.245,22117200,0.03648274994231415
20240111,368.8905,369.5349,359.7706,366.452,17205400,-0.0021594854861917145
20240112,366.9377,373.7776,366.3231,371.23,19310000,0.013038585104570233
20240116,370.3973,372.3403,364.0333,364.2612,15306900,-0.018772056047845598
20240117,363.1113,365.3318,355.4882,365.1632,12724800,0.002476266978728159
20240118,368.2561,373.5694,367.7208,372.8557,16354300,0.021065850977492362
20240119,375.7008,381.0141,374.6797,380.112,21670800,0.019461461599759478
20240122,384.5728,386.9519,377.8419,378.4565,17680500,-0.004355260896160784
20240123,381.2718,384.9991,378.7539,381.8467,15506100,0.008957957833975572
20240124,386.6049,392.7014,384.434,387.2989,15698500,0.01427828848192747
20240125,386.7735,392.0472,382.3028,389.7573,15091100,0.006347722233905895
20240126,390.9171,393.3359,388.1811,390.709,13163700,0.002441595268490193
20240129,391.5515,399.4224,389.678,397.5291,18742400,0.017455701512901323
20240130,400.0767,402.8225,396.0917,396.5774,18614700,-0.0023939386309103083
20240131,385.6137,394.5354,383.7303,386.7438,20180800,-0.02479613772877176
20240201,390.5107,397.0136,389.6284,391.3434,29727100,0.011893089944220003
20240202,455.5992,481.7297,449.0665,470.8552,84707600,0.2031765019643561
20240205,465.7897,467.7921,455.2224,455.4108,40832400,-0.032800673433931005
20240206,459.9609,463.0537,449.0566,450.7617,21655200,-0.010208671892951604
20240207,454.013,467.4153,452.2089,465.5021,23066000,0.032701269647362086
20240208,464.2433,466.4935,460.9819,465.9086,18815100,0.0008732379703275672
20240209,468.8329,469.4673,463.4006,464.035,18413100,-0.0040213811663328825
20240212,464.1144,474.9789,462.5184,464.8182,19382000,0.0016876788004340781
20240213,452.8929,463.817,451.1284,456.1146,20916600,-0.01872470399828985
20240214,463.8566,469.9828,462.0326,469.16,16858400,0.028601168087998063
20240215,471.1426,484.3665,468.1093,479.8165,24212300,0.022713921774801804
20240216,473.948,474.7906,465.1255,469.1997,23324600,-0.022126647291616508
20240220,465.631,472.0348,462.4985,467.6433,18015500,-0.0033171299125311915
