datetime,open,high,low,close,volume,return
20230718,48.07,49.95,48.07,49.89,4087800,0.03527704526634379
20230719,49.89,50.11,49.35,49.93,3623400,0.0008017822412651476
20230720,49.39,49.9,48.88,49.75,3183100,-0.0036050531559304044
20230721,50.0,50.25,49.52,49.62,4086500,-0.002613086796286135
20230724,49.53,49.57,48.78,49.0,4808000,-0.012494940452051684
20230725,48.82,49.84,48.81,49.71,3359700,0.014489777234135914
20230726,50.1,51.03,49.79,50.17,3878000,0.00925365304656256
20230727,50.8,50.96,50.01,50.09,4206400,-0.0015945389531016874
20230728,50.64,51.21,50.39,50.9,2913800,0.016170919760901015
20230731,51.09,51.35,50.44,50.77,2676400,-0.002554048412928611
20230801,50.29,50.76,49.7,50.03,3577200,-0.014575569663081156
20230802,49.23,49.63,48.84,49.26,5049100,-0.015390775065985185
20230803,47.9,48.36,44.68,45.76,13565500,-0.0710515655553734
20230804,46.43,46.69,44.72,44.99,6865000,-0.016826850334565435
20230807,45.0,45.78,45.0,45.7,4884200,0.015781263791605493
20230808,45.0,46.41,44.86,45.99,5002800,0.006345752969057372
20230809,45.74,46.27,45.42,45.75,5541400,-0.0052185620723551596
20230810,46.29,47.24,46.21,46.48,4891900,0.0159562741472421
20230811,45.99,46.11,45.19,45.83,4772100,-0.013984460361084694
20230814,45.42,45.68,45.25,45.66,4374300,-0.003709403815196577
20230815,45.41,45.49,43.99,44.18,4752100,-0.03241348110342168
20230816,43.96,44.44,43.57,43.73,3834200,-0.010185621544387735
20230817,43.95,44.1,42.51,42.55,4312600,-0.02698377126750451
20230818,42.02,43.44,41.98,42.54,5688500,-0.00023497818360695977
20230821,42.76,42.94,42.06,42.29,4966600,-0.005876821688284184
20230822,42.67,43.05,42.49,42.64,6141600,0.008276151963680478
20230823,42.6,43.39,42.2,43.09,5655700,0.010553488962964153
20230824,42.92,43.26,42.38,42.4,5143500,-0.016012964127769758
20230825,42.49,42.72,41.89,42.17,4639800,-0.0054246072796296785
20230828,42.55,43.24,42.44,43.13,3697400,0.02276506855238347
20230829,43.04,43.65,42.82,43.58,3310500,0.010433590349992583
20230830,43.43,44.28,43.43,44.03,3665000,0.010325767079741643
20230831,44.13,44.3,43.85,43.98,3182000,-0.0011355720746477616
20230901,44.5,44.79,44.16,44.35,3144600,0.008412890762525826
