datetime,open,high,low,close,volume,return
20230725,82.2985,83.1676,81.7807,83.0474,1632400,0.011828374285237642
20230726,82.9735,83.3156,82.5574,83.1492,1186700,0.0012247829482874284
20230727,83.1399,83.6299,82.7701,82.8163,1444500,-0.004003201900880882
20230728,83.3895,83.556,82.5481,83.0567,1006500,0.0029026530606417467
20230731,83.0567,83.2046,81.6698,82.7331,2362700,-0.003896143860163237
20230801,82.6869,83.0659,81.3647,81.4109,1508800,-0.015981110273985855
20230802,81.226,82.1783,81.0966,81.6328,1132700,0.002725784112762808
20230803,81.4941,81.9287,81.226,81.5219,1016300,-0.0013590937455986163
20230804,81.7623,82.0859,80.7082,80.7545,992600,-0.009413644154761203
20230807,80.7267,81.226,80.4123,81.0133,725300,0.0032057750054608203
20230808,81.0133,81.0133,79.0994,79.3121,790300,-0.02099988887403026
20230809,79.3121,80.7822,79.0532,80.4123,1006600,0.013872804345611556
20230810,80.5048,80.8377,79.571,79.6449,755300,-0.009543628265678894
20230811,79.8576,80.1072,79.4693,79.9131,1101800,0.003366726955340349
20230814,80.1627,80.5048,79.9315,80.2829,878600,0.004627965513899879
20230815,80.024,80.024,78.9607,79.4045,782000,-0.010940962705885515
20230816,79.5155,79.9038,79.3213,79.3306,476600,-0.0009313287937500192
20230817,79.4693,79.6172,78.5632,78.6741,637700,-0.008275135537862632
20230818,78.5816,78.9792,78.2858,78.5631,789500,-0.0014103994851809576
20230821,78.3782,78.3782,77.1393,77.3519,990300,-0.015417247879761842
20230822,77.1855,77.278,75.8541,76.1407,1140000,-0.01565836544635535
20230823,76.4181,76.6307,75.3271,75.4935,1161400,-0.008500372999168837
20230824,75.6322,76.039,74.6706,74.8833,1441700,-0.008083207395350511
20230825,75.401,75.7339,74.5411,75.3363,1411100,0.0060498631801739755
20230828,75.4657,75.9558,75.4103,75.8171,1090100,0.006382008243878801
20230829,76.0945,76.64,75.3733,76.5568,943200,0.00975627967485182
20230830,76.7602,77.1855,76.3903,76.6677,702500,0.0014491078235479016
20230831,76.7602,76.8526,75.7524,75.8911,1394300,-0.010130270790370877
20230901,75.965,76.1777,74.1621,74.3932,1460200,-0.01973682623196571
20230905,74.2453,74.7353,73.7275,74.421,1141500,0.00037299251163958047
20230906,74.3655,74.5504,74.0141,74.0603,812900,-0.004845454453189513
20230907,74.3932,74.911,73.9309,74.0788,973000,0.00024960756087355485
20230908,73.9956,74.6336,73.8292,74.6151,783400,0.007239387657303364
20230911,74.8,75.7986,74.6336,75.5859,1039100,0.013011105472592766
20230912,75.5859,75.6969,74.384,74.6429,763200,-0.012477086111405189
20230913,74.3932,74.6798,73.5981,73.82,1090800,-0.01102438083042745
20230914,73.9956,74.421,73.672,74.3193,1103800,0.006763624036635996
20230915,74.347,74.5504,73.6905,73.7737,1796700,-0.007340286431623766
20230918,74.0419,74.1436,73.182,73.8939,1100100,0.0016294247890569213
20230919,73.7552,74.1158,72.7104,72.7844,1377600,-0.015015240424117615
20230920,73.0988,73.2744,72.544,72.6365,1421300,-0.0020323905762233974
20230921,72.3961,72.7474,71.5269,71.5732,995700,-0.014638560898631692
20230922,71.3328,71.9523,70.7595,70.778,958800,-0.0111096187710793
20230925,70.5099,70.6671,69.6223,69.8627,1378900,-0.012932927369549096
20230926,69.2894,70.2233,69.2155,69.7887,1317200,-0.001058529946197706
20230927,69.65,70.1401,68.2539,68.5035,1427300,-0.018415614758641508
20230928,68.7901,69.2617,68.522,69.0213,1237000,0.007558282246851844
20230929,69.4651,70.3897,69.3634,69.9366,1661700,0.01326210044107512
20231002,69.6038,69.7887,68.7069,69.086,2825400,-0.012162998912590095
20231003,65.0085,66.0533,61.5783,63.2425,7564700,-0.08458234297684619
20231004,63.3905,64.0654,61.0975,63.2518,3804500,0.00014603114667632866
20231005,63.409,63.409,60.3855,60.4595,3350700,-0.04414562721984994
20231006,60.4223,60.4223,57.8923,60.0409,4143900,-0.006922856284403367
20231009,59.734,60.0223,57.5946,58.748,5231600,-0.021533894647518648
20231010,59.427,59.7991,58.4597,58.7945,3570500,0.0007917304716493767
20231011,58.9248,59.1666,57.3807,57.6877,2864400,-0.01882598148687864
20231012,57.5481,57.6691,54.9995,55.3995,4390400,-0.03966472955027611
20231013,55.5483,56.7761,55.3437,56.7296,3939300,0.024009462736447107
20231016,57.0087,57.5016,56.3111,57.204,3586300,0.008361928623734416
20231017,56.8691,57.9109,56.8691,57.5388,2704500,0.005853751376312832
20231018,57.5668,58.1807,56.9064,56.9343,2525100,-0.010507533282805626
20231019,56.8412,57.0459,55.753,55.846,2564400,-0.01911453916100625
20231020,55.9948,56.2925,55.3995,55.5855,2688700,-0.0046636233417510775
20231023,55.5297,57.1947,55.2972,56.5901,4475300,0.018072299905513622
20231024,56.8505,58.3946,56.8505,57.9481,3593900,0.02399729554010155
20231025,57.883,60.134,57.7621,59.8828,3439300,0.033386898829017575
20231026,59.7712,60.8874,59.5294,59.9293,3532700,0.0007765359502063252
20231027,59.7805,60.227,58.1713,58.5806,1888500,-0.022505060594415927
20231030,58.9341,59.5759,58.3388,59.3247,2123600,0.012702524277256488
20231031,59.6689,59.9851,58.8596,59.4363,6000200,0.0018814115904701723
20231101,59.5759,60.4688,59.1294,59.6317,1651600,0.003286463922448579
20231102,60.0874,60.7851,59.9665,60.2921,1738600,0.011074721569469315
20231103,61.1106,61.3059,60.3107,60.4223,1341600,0.0021598578240702437
20231106,60.0781,60.8037,59.9944,60.1898,968600,-0.0038487073707093034
20231107,60.0781,60.5525,59.7898,60.2456,907400,0.0009274080873813428
20231108,60.413,60.8037,59.9107,60.7386,1316300,0.008182794217393319
20231109,60.9339,61.092,59.8084,60.0409,1064800,-0.011485439209679371
20231110,60.1061,60.4316,59.6038,60.3944,902400,0.00588701976883077
20231113,60.3944,61.1757,60.3944,60.5525,1160000,0.002618046920196182
20231114,61.2036,61.7431,60.9339,61.678,1622000,0.018586787522332893
20231115,61.9849,62.1338,61.1571,61.2687,1540100,-0.006635549815731445
20231116,61.2036,61.585,60.9897,61.4269,1246400,0.0025808110586797994
20231117,61.9664,61.9664,60.9246,61.7245,1765200,0.004845714822270919
20231120,61.6315,61.6315,60.599,61.0455,1693600,-0.011000753366199656
20231121,60.9618,61.1571,60.4688,60.813,1900800,-0.0038091048328688926
20231122,61.2408,61.7989,61.1757,61.5292,1302500,0.011776997687958257
20231124,61.2222,62.2919,61.2222,61.7989,553500,0.004384264856319264
20231127,61.6501,61.6501,60.3851,60.4037,1326500,-0.022576859469034205
20231128,60.3758,60.8781,59.9944,60.4688,1663700,0.0010780281444286999
20231129,60.7944,60.8316,59.548,59.7898,1650900,-0.01122913262159575
20231130,59.7898,60.3479,59.2224,60.3014,2406100,0.008556460484956174
20231201,60.3758,61.3896,60.0688,61.3803,1608400,0.01789266928847799
20231204,61.185,62.3291,61.1478,62.1245,2029300,0.01212337375970196
20231205,62.264,62.6919,61.7245,61.9943,1306900,-0.002096090161842201
20231206,62.0314,63.2964,61.8454,62.9988,1343400,0.01620375028082166
20231207,63.0639,63.5197,62.4407,62.9988,1084300,0.0
20231208,63.1662,63.25,62.1245,62.4035,991900,-0.009449124803955655
20231211,62.4407,63.3709,62.4221,63.1104,1079900,0.011327851278221335
20231212,63.2313,63.2313,62.4407,62.9523,1273600,-0.002505377170815115
20231213,62.8593,65.0265,62.7663,64.9149,1345300,0.031176180045201507
20231214,65.1939,65.5567,63.4732,63.5104,2475700,-0.02163641250712378
20231215,62.8779,63.4267,61.8454,62.2082,3956900,-0.02050385894150386
20231218,62.4221,63.0453,61.864,62.9802,1623500,0.012410302008278418
20231219,63.1104,63.6313,62.9895,63.4453,1481500,0.007384608041693275
20231220,63.0081,63.3058,62.2547,62.264,1093000,-0.018619031012878984
20231221,62.5709,63.3151,62.4221,63.129,990200,0.013893037992830815
20231222,63.4267,64.301,63.0639,63.129,1003100,0.0
20231226,62.9616,63.8545,62.7291,63.3988,2017000,0.004272913431808467
20231227,63.3523,63.5569,63.1197,63.4453,1266200,0.0007335913097348268
20231228,63.5014,64.1098,63.4453,63.8571,918900,0.006490578289782167
20231229,63.5482,64.2408,63.5482,64.0349,1170800,0.0027843904478859205
20240102,63.8196,65.4949,63.8196,65.0831,1818900,0.016369719224417878
20240103,64.9615,65.5792,64.3157,64.5403,1765400,-0.008340353181392035
20240104,64.2502,64.4748,63.5763,63.6886,2409900,-0.013196108104734261
20240105,63.9319,64.063,62.5094,62.9305,1190400,-0.011903323686274225
20240108,62.865,63.2019,62.4813,62.9118,1846600,-0.00029714752920195764
20240109,62.4345,63.3798,62.1818,63.2955,1970200,0.006099337895315582
20240110,62.5094,63.0335,61.405,62.0227,2201700,-0.02010951424929175
20240111,62.004,62.0601,61.3208,61.5079,1380100,-0.008299343693869088
20240112,62.0227,62.2754,61.7606,62.0976,1514600,0.009586181737984756
20240116,61.8168,62.0882,60.6282,61.0026,2728900,-0.017633806052828604
20240117,60.675,61.3208,60.4129,60.8528,1603800,-0.0024546237293133766
20240118,60.2913,60.937,59.7859,60.7592,1837700,-0.001538157746266977
20240119,60.8622,61.1897,60.1322,60.8622,2299900,0.0016944733197832296
20240122,60.2257,60.9277,59.9637,60.4691,2378900,-0.006458555159962076
20240123,60.7218,62.6217,60.7218,62.5187,2274700,0.033895551795123824
20240124,62.6404,62.7059,61.5641,61.5641,2485600,-0.015269291600714996
20240125,62.2473,65.0644,62.2473,64.2034,4464200,0.04287010197872676
20240126,64.428,64.8866,63.6886,64.6526,2894400,0.0069970481017647135
20240129,64.8398,64.9146,63.9039,64.1846,2598400,-0.007238016342651643
20240130,63.8196,65.392,63.7822,64.8304,2967900,0.01006120547845546
20240131,64.4935,64.7087,63.5857,63.7916,2795500,-0.016024156417712043
20240201,63.3517,64.3063,62.7527,64.2876,1855200,0.007775895757680784
20240202,64.194,64.5216,62.8089,63.3423,2293900,-0.014703777599289092
20240205,62.9773,63.0709,61.6202,61.6296,1523700,-0.027039151484470336
20240206,61.6951,63.5389,61.639,62.7527,1719100,0.018223389437534987
20240207,63.0241,63.0428,61.3208,61.4143,1544100,-0.02132746351194159
20240208,61.3863,61.9665,61.0774,61.6015,1937000,0.0030478769927058114
20240209,61.77,61.77,60.207,60.5065,2111100,-0.017775675618101783
20240212,60.4597,61.8542,60.3661,61.8355,1850500,0.02196436107683164
20240213,61.7232,62.1537,60.207,61.1617,1990400,-0.010897476392070726
20240214,61.3582,61.3582,60.31,60.8247,1325200,-0.005508894627273109
20240215,61.302,62.1631,60.7686,61.3488,2016000,0.008616770431707721
20240216,61.0774,62.4626,60.7031,61.9104,1746600,0.009153519132607757
20240220,61.9946,63.829,61.9946,63.698,2326500,0.028873641288525098
20240221,63.9787,63.9787,62.6404,63.2019,2292200,-0.007787320213950788
20240222,62.7901,63.4827,61.508,63.4453,2089000,0.0038502514092066953
20240223,63.3236,64.3063,63.1458,63.7167,2966100,0.004277708967159288
20240226,63.6137,64.1098,63.0335,63.5295,1319900,-0.002937625494328966
20240227,63.6418,63.7354,63.2019,63.4921,1053900,-0.0005892921402875784
20240228,63.3143,63.8664,63.0148,63.3891,1397000,-0.001621298643089908
20240229,63.8664,64.6245,63.2955,64.4467,2743500,0.01668379763472272
20240301,64.2502,64.3157,63.23,63.464,1325900,-0.015248442138764307
20240304,63.3423,64.1379,63.2019,64.0911,1233500,0.009880803312963815
20240305,64.325,64.7275,63.9694,64.4841,1841900,0.006133055192616199
20240306,64.9802,65.0457,63.4733,63.9319,1558200,-0.008563410243532243
20240307,64.2689,64.2782,63.333,64.0068,1232300,0.001171344536576635
20240308,63.8945,64.5028,63.6137,64.1846,957600,0.0027781148392360677
20240311,64.1659,65.5136,64.1659,65.4107,1554600,0.019101824372810494
20240312,65.1206,65.9816,64.5122,64.5403,1471500,-0.013306453635261839
20240313,64.8491,65.6447,64.1847,64.2689,2311100,-0.004205368071072413
20240314,64.0068,64.4467,63.3517,63.6231,1987000,-0.010048017231073958
20240315,63.1645,64.0442,62.7246,63.8009,3794600,0.0027944500245107307
20240318,63.7916,64.7368,63.6044,63.7541,2081300,-0.0007330931622635539
20240319,63.7167,65.1112,63.361,64.9521,1846700,0.01879043092937005
20240320,65.1861,66.019,63.96,64.325,2096100,-0.009654191080626928
20240321,64.2127,65.2422,63.5857,65.027,1731500,0.010912430017467223
20240322,65.2516,65.6259,65.0457,65.5417,1577300,0.007915674083585289
20240325,65.7757,66.3934,65.0831,65.4575,4910700,-0.0012851131859946685
