datetime,open,high,low,close,volume,return
20230725,449.9818,453.1572,448.517,450.5127,366900,-0.0005451424604434596
20230726,450.1685,452.8032,448.7922,450.6404,525700,0.0002836259878900016
20230727,452.2134,455.5756,432.6891,437.3982,706700,-0.029385465265972743
20230728,444.0144,447.9074,436.2774,441.1438,685800,0.008563377231432856
20230731,443.3557,444.9581,436.8378,438.9121,458100,-0.005058871083392424
20230801,439.5806,445.8233,438.7941,445.6168,439900,0.015275821182899385
20230802,444.2995,450.5814,441.6058,442.9231,489800,-0.006044868460232666
20230803,438.3615,447.0128,423.9199,445.8134,650100,0.00652548746167847
20230804,445.8331,455.0546,445.2629,448.1434,614500,0.005226371596533275
20230807,451.712,455.202,446.4131,454.4254,512700,0.014017727082146214
20230808,450.493,452.1741,446.6196,449.5591,351500,-0.010708627786235714
20230809,449.4607,451.8693,443.2967,443.9062,369800,-0.01257416935213218
20230810,443.1296,451.2795,441.6059,451.014,477000,0.01601191261879631
20230811,450.4635,454.504,446.6982,447.7403,295800,-0.007258627003440377
20230814,446.5606,451.8595,444.4273,451.4859,280600,0.008365575998289021
20230815,450.375,452.0266,445.607,448.6054,195200,-0.006379961458103045
20230816,449.4214,451.2401,443.7391,444.3781,372200,-0.009423259459603206
20230817,446.0789,448.5563,424.6867,424.7752,465200,-0.04411312058154915
20230818,421.2263,427.7147,419.1028,423.8806,588400,-0.002105965112234043
20230821,424.8343,426.4171,417.0875,425.2373,294900,0.003200640243241848
20230822,425.6797,431.6864,425.6797,428.9436,316500,0.008715692358436389
20230823,428.8059,436.2971,427.056,434.7733,268000,0.01359085968654683
20230824,432.6302,437.4572,429.6809,430.0643,204100,-0.01083096651978066
20230825,430.5067,434.8323,424.6868,429.848,327800,-0.0005028261440642723
20230828,431.3718,436.533,429.966,431.6667,213200,0.0042310188097345325
20230829,430.7917,438.8531,427.2526,438.2534,241400,0.015258763698885458
20230830,437.9782,443.9259,437.0443,438.4894,283500,0.0005384839500726102
20230831,439.2181,442.3988,438.2925,439.5923,308500,0.0025153077015211966
20230901,442.0147,454.3041,440.5967,450.4046,387100,0.02459609670880658
20230905,447.7754,449.7055,431.0843,434.9345,407000,-0.034347034167548696
20230906,434.6883,436.8252,424.9691,431.9607,412000,-0.0068375276760664905
20230907,429.0951,431.9607,424.6737,431.0252,349600,-0.0021656736835464763
20230908,429.9519,435.8011,429.2527,431.3994,266800,0.0008682487253990345
20230911,434.9641,435.0724,427.8642,432.3644,228900,0.002236897655477188
20230912,429.4299,432.581,425.9932,430.6805,233000,-0.003894699477692831
20230913,429.1148,430.0897,422.3202,427.4113,326400,-0.007590838727945304
20230914,430.4639,431.4487,422.4975,429.1444,340200,0.004054932478958939
20230915,426.7514,426.7514,414.6196,418.6373,998400,-0.024483788208718105
20230918,419.1493,423.9154,415.0529,421.5028,390800,0.006844921750818189
20230919,420.4098,420.4098,411.3995,416.274,439900,-0.012405330078146926
20230920,418.6373,419.5826,412.2858,414.4818,388600,-0.004305351760368836
20230921,412.4532,412.4532,398.5586,400.3509,557500,-0.03409291211478238
20230922,399.2283,401.9363,397.83,400.1737,623700,-0.0004425744416537425
20230925,399.573,404.6345,397.0028,403.8959,440700,0.009301610148364725
20230926,402.0249,407.8053,400.3213,401.0402,635100,-0.007070493065964745
20230927,403.7384,405.7669,399.0412,403.6891,408000,0.00660521402587344
20230928,403.1771,414.0682,403.1771,408.1893,221400,0.011147644489157393
20230929,411.5965,412.1085,401.8969,404.211,392000,-0.009746292264062761
20231002,403.1082,409.3317,397.4066,399.5041,474000,-0.01164468358541737
20231003,396.2742,403.8467,395.8507,398.1747,437600,-0.003327642378895379
20231004,403.0392,415.2498,399.1396,412.5221,607900,0.03603295924057748
20231005,411.1042,417.948,411.1042,413.8318,438400,0.0031749897392452375
20231006,413.0145,429.9814,411.5473,426.0917,627400,0.029625214281363332
20231009,421.9657,423.3935,418.0169,419.9568,358100,-0.01439797372515006
20231010,420.9219,426.6727,418.785,421.2272,334300,0.0030248934209404776
20231011,421.2764,430.779,421.2075,430.0208,258600,0.020876168931863726
20231012,430.1783,431.2123,418.1055,423.7579,322200,-0.014564200594127219
20231013,426.1704,429.0754,417.8002,419.6811,236800,-0.009620618279325921
20231016,424.713,428.071,422.2709,425.0676,256700,0.01283475865410888
20231017,423.6102,431.5176,422.9406,430.4048,260000,0.012556238546060694
20231018,425.7765,425.7765,407.6182,407.9825,313600,-0.0520958442599907
20231019,409.3809,414.8166,403.5907,404.4474,317800,-0.008664895224849034
20231020,403.315,405.7276,399.1201,403.4922,343400,-0.0023615906276437393
20231023,401.3849,411.2519,399.8979,406.3972,400300,0.007199412720091836
20231024,414.3242,414.6984,407.3425,410.0603,276500,0.009013787223408176
20231025,407.1455,411.2715,403.5808,404.0732,306800,-0.014600735871491355
20231026,403.6497,403.6497,385.8064,391.7837,680500,-0.03041387108158966
20231027,392.5322,394.8562,383.9454,392.9359,410400,0.0029409636368493697
20231030,393.7237,401.0501,392.5027,398.9132,369600,0.015211881272705119
20231031,398.7458,406.4463,398.7458,402.6945,387800,0.009478954700916642
20231101,410.6314,433.8119,408.79,432.4629,822800,0.07392288610036113
20231102,434.4224,442.4184,431.8326,434.0088,525600,0.0035747797447212015
20231103,442.1329,442.7237,434.3634,436.1162,282200,0.004855641780415532
20231106,437.1797,437.1797,432.1872,434.9739,248900,-0.002619193968422473
20231107,436.2639,438.9129,432.6598,437.5342,241700,0.0058861060646902
20231108,440.774,446.0423,437.357,444.959,475400,0.016969654021218528
20231109,447.5686,450.4144,443.7675,444.1614,392900,-0.0017926097866329815
20231110,447.5883,447.5883,441.8769,446.9384,350100,0.006252181059304807
20231113,444.772,447.7951,444.5553,444.959,178000,-0.004428663247543874
20231114,449.6365,461.3449,449.6365,457.4651,331000,0.028106121511742632
20231115,457.8984,459.858,446.0324,447.933,433200,-0.02083692317462782
20231116,448.9374,453.3785,447.9527,452.9846,305500,0.011277796698934583
20231117,454.8753,458.5878,450.9463,455.0033,282800,0.004456391092580558
20231120,452.709,452.709,444.4766,448.258,353200,-0.014824861570259418
20231121,461.473,464.8802,451.1432,451.1432,493300,0.00643659261176599
20231122,453.9595,458.6665,453.605,455.732,389900,0.010171438783889153
20231124,454.7768,456.5395,454.1466,454.9442,107300,-0.0017285383809448884
20231127,452.9747,459.9663,451.2219,458.5089,336700,0.007835325481014399
20231128,458.7157,459.7595,451.4386,452.9747,270200,-0.01206988436624401
20231129,456.4509,459.8679,455.3676,455.6631,254300,0.005934888428786644
20231130,455.6236,459.0066,450.7414,458.2274,455400,0.0056277579891941265
20231201,459.1546,464.096,458.5332,460.9496,413700,0.005940714597350905
20231204,458.9771,462.291,455.4362,457.8724,451700,-0.006675870167086484
20231205,454.6669,457.0735,450.5737,452.9606,334400,-0.010727518523433455
20231206,456.5705,461.1963,453.1184,454.1738,238100,0.00267836954843248
20231207,455.1897,459.3913,452.2998,458.9573,222000,0.010532465066374508
20231208,457.1918,463.2379,457.1918,462.9617,254600,0.008724982070087428
20231211,463.9874,468.1299,462.0642,465.3091,321300,0.005070291813032313
20231212,471.7004,475.6949,468.416,474.0774,319800,0.01884405631757291
20231213,474.3239,483.0921,471.9765,481.1294,322100,0.014875212493839607
20231214,485.5678,488.4872,478.2494,486.2976,434200,0.010741899096059937
20231215,484.8379,492.4719,480.3897,483.2303,912500,-0.006307624329612516
20231218,483.0922,485.6171,477.4406,483.6741,317600,0.0009185013801202846
20231219,487.1361,490.0161,484.9268,486.1005,214800,0.005016583661602514
20231220,483.1415,487.1361,480.8829,481.3366,254800,-0.009800269842667908
20231221,485.0845,487.5207,483.7629,485.7355,190300,0.009138917467224728
20231222,487.6588,489.74,485.0649,489.5822,179800,0.007919289194035395
20231226,489.9766,493.0341,489.661,491.5349,110600,0.0039886856442723495
20231227,490.598,493.044,489.7892,492.7777,183100,0.002528339750054176
20231228,482.5004,493.6851,480.6461,491.4166,233500,-0.002762188694856227
20231229,491.8013,494.0501,490.4007,492.0775,191300,0.0013448644572122692
20240102,487.353,488.9311,480.3306,484.3054,343100,-0.015794454042737938
20240103,480.2319,480.3996,473.1009,475.399,460200,-0.018389929802155258
20240104,477.1941,482.6977,475.4089,479.4133,333000,0.008443962992384924
20240105,477.9437,484.2955,477.9437,480.1333,254800,0.0015019019805575518
20240108,481.3761,489.8879,478.6637,489.8386,237600,0.020213744250304755
20240109,485.9623,490.9136,481.6127,490.5092,219900,0.0013690709338234353
20240110,490.4697,494.0796,488.8028,493.0933,241300,0.005268087375815078
20240111,492.5311,492.5311,485.6763,490.5191,256100,-0.00522048957523602
20240112,490.4895,493.2807,487.2643,489.0889,230600,-0.0029155752364677934
20240116,489.3454,492.0084,485.4396,489.0396,279000,-0.00010077081247983344
20240117,485.5087,489.6906,483.1908,486.347,254500,-0.005505948230033475
20240118,486.5345,496.4271,486.5345,496.1115,296700,0.020077156892563064
20240119,499.1788,499.1788,491.4363,498.5574,287600,0.004930249478657389
20240122,500.6682,503.8145,496.7427,501.0824,216100,0.005064599831178018
20240123,499.7411,499.7411,490.2627,493.478,223800,-0.015175947529119216
20240124,496.8807,496.8807,487.8264,487.9053,201500,-0.011292686932972362
20240125,494.2473,498.3701,491.5448,497.9065,196100,0.02049815601786431
20240126,497.3838,498.5377,493.4484,494.7306,173600,-0.006378513551613785
20240129,494.8982,506.3492,493.5371,506.1125,287500,0.023006314348506418
20240130,503.5778,513.0858,503.5778,510.4128,242700,0.008496773604183883
20240131,507.9767,509.1503,500.2933,501.4572,308600,-0.01754591034084596
20240201,504.8402,508.5783,490.302,508.4501,416200,0.013945137550482212
20240202,502.266,515.0584,500.8753,512.7899,426900,0.008535317316743951
20240205,507.6708,507.6708,497.5119,501.5656,437600,-0.02188852317590484
20240206,501.0331,508.4797,497.581,507.4638,411000,0.01175950330821407
20240207,512.6813,520.4336,511.3597,517.2972,399300,0.019377488412415822
20240208,517.5339,519.2403,511.5569,518.2145,374000,0.0017732502678045048
20240209,516.4688,519.9308,514.9499,519.9209,320100,0.003292885421767977
20240212,526.6771,534.39,520.7691,525.0102,595300,0.009788593705097215
20240213,515.7192,522.357,512.5828,520.0294,644100,-0.009487120495126122
20240214,528.3636,537.5855,524.2211,532.0721,483800,0.023157778356535763
20240215,532.6047,535.5933,523.1954,528.3044,430500,-0.007081069058002987
20240216,527.6732,543.2469,527.6732,532.4765,648600,0.007897071769715769
20240220,527.8112,531.5394,520.9465,525.8386,339700,-0.01246604948708152
20240221,525.9175,529.8331,523.5504,528.9553,334300,0.005927102122493144
20240222,535.2481,542.1522,533.1571,540.653,286000,0.02211470870732546
20240223,542.4579,543.2963,537.5757,541.1658,344600,0.0009485147931391769
20240226,541.5209,549.5692,541.5209,545.7324,258500,0.008438428816187171
20240227,546.2749,551.5418,544.2036,551.4234,358600,0.010428148989853891
20240228,551.1768,559.9944,551.1768,558.3472,494000,0.01255628272932241
20240229,562.1938,572.836,559.2743,569.7982,854100,0.020508723200721946
20240301,570.3612,582.6861,569.9958,582.617,654300,0.02249706338356905
20240304,595.6232,597.4798,586.7746,594.4184,1051200,0.02025583103916917
20240305,590.8631,603.1386,589.8262,595.406,1040800,0.001661472575434475
20240306,597.7564,604.5015,597.1737,599.8007,722700,0.00738093549118557
20240307,603.9187,609.4096,601.9732,604.3038,554800,0.007507784059930467
20240308,602.309,604.3928,587.0116,589.4311,797900,-0.02461136416294496
20240311,588.9867,590.3594,583.0613,588.3053,452100,-0.0019099661922005184
20240312,589.6089,596.0281,588.3547,595.6627,312600,0.012506025131359788
20240313,595.485,601.3808,593.3913,597.4009,295100,0.0029181285572985605
20240314,595.2677,600.6302,592.5519,599.0007,411900,0.0026779212032592703
20240315,591.9593,600.966,588.7003,588.8583,620200,-0.016932091179288622
20240318,589.8954,595.0999,589.0263,589.3423,437100,0.000821944359653104
20240319,587.0017,596.7391,586.3302,594.7838,352000,0.009233014198224199
20240320,594.2603,598.8821,590.9915,596.1367,388000,0.0022747196826413685
20240321,598.7735,605.9334,596.9465,605.331,347800,0.015423097778010764
20240322,600.4624,600.6006,595.6035,599.5735,362400,-0.009511236578725657
20240325,600.1364,600.5709,594.606,597.2922,325500,-0.0038049911980693185
20240326,597.9242,602.9707,596.4922,602.5164,327600,0.00874644327350138
20240327,606.5951,607.3556,594.8628,604.2546,525000,0.002884934480918533
20240328,604.2151,607.4642,601.7857,606.3088,309900,0.003399559216885173
20240401,606.368,608.837,596.8577,596.9071,302500,-0.015506409806636201
20240402,595.4158,595.6824,586.0437,594.5961,396600,-0.003871580860240864
20240403,594.9812,605.2224,594.9812,602.7929,347800,0.013785453562629613
20240404,608.2444,613.0638,596.4627,596.5812,430600,-0.010304815870218365
20240405,600.2649,614.5451,597.0059,611.7108,397300,0.02536036275216036
20240408,613.0342,618.8806,610.5751,613.8045,438500,0.003422777816081357
20240409,614.1402,614.1402,595.8603,603.0399,457500,-0.017537485185062596
20240410,587.4955,603.425,580.3652,599.0106,386000,-0.0066817432753932815
20240411,597.7366,603.6423,596.4034,599.534,283600,0.0008738368498915072
20240412,594.3296,599.2379,592.7001,594.6259,239100,-0.008186595118584217
20240415,606.5457,611.7897,590.4089,591.7914,442800,-0.004766714396423843
20240416,594.2011,594.4184,584.6118,587.8411,344100,-0.006675185034186071
20240417,589.2435,592.5914,583.1008,585.55,494700,-0.0038975457755008325
20240418,589.5299,589.5299,574.6077,579.832,541600,-0.009765208261171887
20240419,582.4688,587.0117,565.453,568.7318,1077000,-0.019143855973394408
20240422,570.5883,581.6096,567.7441,577.0569,336800,0.0146380684218812
20240423,578.321,589.8064,577.6396,587.0018,300000,0.017233804008673026
20240424,585.3624,591.2089,577.8668,584.4637,331800,-0.004323709112937224
20240425,577.205,592.9469,571.2599,589.6484,408300,0.008870853711846483
20240426,591.347,598.8624,591.347,597.4699,386200,0.013264636469029423
20240429,598.4082,600.4327,591.3569,595.1492,517000,-0.0038841767148192208
20240430,592.7396,598.8822,575.0028,579.7728,821900,-0.02583631809289888
20240501,579.437,595.88,569.2354,583.5156,649200,0.0064557342212026025
20240502,584.5328,588.3053,573.3238,582.6268,593600,-0.0015232753715356262
20240503,588.1078,591.2186,580.9282,583.6835,492000,0.001813790147811245
20240506,589.5992,595.1296,586.6464,592.3347,361300,0.014821703195552871
20240507,593.1247,596.9466,588.1769,591.3668,339100,-0.001634137786491907
20240508,590.231,592.5024,587.0806,589.2237,284600,-0.0036239209747430667
