datetime,open,high,low,close,volume,return
20230718,77.4308,78.8938,77.2251,78.4899,2978877,0.012880967521810893
20230719,78.368,79.0614,78.1775,78.8481,2498324,0.004562574062001223
20230720,78.6118,79.8005,78.1089,79.4652,3428095,0.00782765212430414
20230721,79.3738,79.6557,78.6499,79.4957,2992392,0.00038355673552992187
20230724,79.6481,80.4634,79.229,79.45,3986746,-0.0005749705556724605
20230725,81.9493,84.4637,81.5378,83.6865,10499564,0.05332297259574026
20230726,83.6941,86.1553,83.6941,85.8277,6691620,0.025585012108257033
20230727,84.159,86.2087,84.159,84.7228,6713746,-0.01287272207496759
20230728,85.241,85.6524,84.6162,85.2486,3479762,0.006205700981801732
20230731,85.2486,85.5457,84.4713,84.959,8661312,-0.0033968151289518467
20230801,84.959,85.2791,84.0675,84.2428,3414819,-0.008430238222905007
20230802,83.4351,83.7399,82.4141,82.9855,3810934,-0.014924102529734529
20230803,82.6731,82.9322,81.4769,81.675,3374514,-0.015792749524688565
20230804,81.9569,82.2769,80.0596,80.3949,3487775,-0.015673263180549513
20230807,80.7682,81.1873,79.9224,80.1815,3001242,-0.00265385175288968
20230808,79.4805,79.5491,78.1394,79.3357,3483350,-0.010548311825750112
20230809,79.1681,79.77,78.7947,79.0233,2565540,-0.003937707159487713
20230810,79.2976,80.6539,78.7642,79.1681,2633951,0.0018319626358789254
20230811,79.1147,79.8462,78.8176,79.6634,1947925,0.006256023700747848
20230814,79.3662,79.4805,78.4061,78.8023,3653062,-0.010808172205964639
20230815,78.1394,78.3909,76.8974,77.0651,4000859,-0.02204597038120959
20230816,76.7831,77.5146,76.5469,76.7984,3412666,-0.0034606224507039984
20230817,77.1336,78.269,77.0346,77.568,4071304,0.01002074583476431
20230818,77.3205,77.7149,77.0111,77.3437,3150742,-0.002891220378269388
20230821,77.3359,77.4133,76.1991,76.7095,2754029,-0.008199284406000928
20230822,77.0807,77.1194,75.8743,76.1836,3097879,-0.006855457636707141
20230823,76.3693,77.4752,75.5572,77.0653,3904820,0.011572630551988983
20230824,76.7714,77.8541,76.1682,76.1759,2272400,-0.011540622003420986
20230825,76.5471,76.8797,75.8047,76.5239,2617566,0.004568668186551328
20230828,81.4425,81.7054,79.339,80.5222,9135646,0.052248397206620556
20230829,81.195,82.6335,81.1099,81.6436,6270867,0.013926393691082728
20230830,81.5817,81.8601,80.1278,80.7774,3915584,-0.010609104448796591
20230831,81.9297,83.778,81.5817,82.4943,7781296,0.0212541850623027
20230901,82.9815,83.7548,82.0612,82.7108,4354038,0.002625064183855219
20230905,82.5948,83.7239,82.27,82.6335,5817583,-0.0009351473728796966
20230906,82.3783,82.6025,81.4657,82.2623,3210423,-0.004492318021696029
20230907,82.1153,82.5871,81.1718,81.9374,3476652,-0.003948516259736579
20230908,82.038,82.2777,81.5276,82.1617,3317824,0.0027372262773721623
20230911,82.7495,83.693,82.5871,83.4378,3398314,0.015530822860701177
20230912,83.1748,84.1415,82.8036,82.8732,3823134,-0.006766057499601796
20230913,82.8577,83.113,77.7304,78.148,9059820,-0.05701754628230815
20230914,78.5733,80.0969,78.2717,79.1302,5004184,0.012568079333688198
