datetime,open,high,low,close,volume,return
20230718,57.27,57.4,56.0,56.55,5031000,-0.012916768487365005
20230719,56.56,57.47,56.55,57.25,4206300,0.01237843982994602
20230720,57.21,57.76,57.08,57.58,4900900,0.0057642241232260805
20230721,57.91,58.44,57.91,58.1,12346900,0.00903085492411293
20230724,58.25,58.43,57.86,58.38,4062500,0.004819321882062688
20230725,58.28,58.78,58.05,58.08,3756300,-0.005138732983415384
20230726,57.88,58.26,57.74,58.17,4622700,0.0015495236751612573
20230727,58.52,58.64,57.5,57.56,3427400,-0.010486450315550289
20230728,58.22,58.43,57.95,58.15,3069100,0.010250176138141276
20230731,57.88,58.03,57.05,57.49,3736000,-0.011349954085871916
20230801,57.6,57.96,57.44,57.71,3030800,0.003826707246179506
20230802,57.49,57.97,57.3,57.63,4830300,-0.0013862072019845684
20230803,57.44,58.3,57.41,57.98,7113000,0.00607319916075344
20230804,56.9,57.09,54.99,55.11,9744400,-0.049499809495411884
20230807,56.06,58.56,55.72,58.49,8387200,0.06133190039341696
20230808,58.44,58.61,56.96,57.41,4825300,-0.018464725595183085
20230809,57.64,57.74,57.02,57.51,4687200,0.0017418302453731105
20230810,58.0,58.82,57.84,58.1,3698500,0.010259088329115373
20230811,58.39,58.47,57.92,58.18,2381200,0.0013769678684298903
20230814,58.5,59.24,58.17,59.01,3904700,0.014266036644960067
20230815,59.0,59.23,58.15,58.21,2949300,-0.013557011689807497
20230816,58.54,58.99,58.24,58.3,2776100,0.001546128740824937
20230817,58.29,58.33,57.2,57.25,3542500,-0.018010278744447716
20230818,57.0,57.56,56.79,57.36,3319800,0.0019214080410754342
20230821,57.29,57.87,57.07,57.42,3318100,0.0010459825306019521
20230822,57.42,57.54,57.07,57.35,2674900,-0.0012190821500596138
20230823,57.57,58.3,57.56,57.91,3975000,0.009764627518581648
20230824,58.08,58.33,56.93,57.03,5128900,-0.015196012267897796
20230825,57.22,57.53,56.81,57.34,2654900,0.005435759774267357
20230828,57.74,57.95,57.4,57.71,2244900,0.00645271940879244
20230829,57.71,58.6,57.6,58.49,3403900,0.013515900300958616
20230830,58.5,58.9,58.08,58.15,3246300,-0.005812961922226467
20230831,58.06,58.17,57.25,57.41,4962700,-0.012725737902817946
20230901,57.7,57.76,56.49,56.55,2832900,-0.01497997931784234
20230905,56.47,56.47,55.38,55.96,6205800,-0.010433247755045616
20230906,56.0,56.29,55.81,56.28,4046100,0.005718364904566453
20230907,56.28,56.8,55.98,56.64,3873700,0.006396599469792319
20230908,56.53,56.67,56.15,56.37,2486000,-0.004766957285896711
20230911,56.4,57.01,56.3,56.78,3285800,0.007273369792104134
20230912,56.64,56.77,56.13,56.15,3830400,-0.011095408012718688
20230913,56.06,56.98,56.04,56.52,4684800,0.006589473229386078
20230914,56.59,57.02,56.35,56.87,2990100,0.006192471183411374
20230915,56.93,57.04,55.99,56.14,9790600,-0.012836285492297539
20230918,56.34,56.51,55.98,56.27,3840300,0.0023156585238439664
20230919,56.02,56.17,55.6,56.01,3798800,-0.004620617275907568
20230920,56.3,56.33,55.69,55.76,4330400,-0.0044634887964973835
20230921,55.53,55.61,54.61,54.75,8015200,-0.018113313341746706
20230922,54.7,55.0,54.38,54.52,7062000,-0.004200904881028866
20230925,54.3,54.71,54.26,54.65,5082800,0.0023844656460696445
20230926,54.5,54.61,54.22,54.29,5284900,-0.006587385183897676
20230927,54.32,54.49,52.94,53.12,6239400,-0.021550966364193735
20230928,53.24,53.5,53.05,53.16,4003200,0.0007530292984123665
20230929,53.5,53.6,52.76,52.95,5133600,-0.0039503213896807665
20231002,52.83,52.96,52.29,52.54,4082900,-0.007743150925487274
