datetime,open,high,low,close,volume,return
20230718,33.0126,34.8771,32.8572,34.3013,4918200,0.049496410569209504
20230719,34.4384,35.2244,34.2282,34.7583,5193000,0.01332303810509683
20230720,35.1787,35.4803,34.3835,35.3158,5180200,0.016039875030551487
20230721,35.0964,35.4803,34.6303,35.2426,3292400,-0.0020704665041445525
20230724,35.59,36.4491,35.3889,36.1292,3719800,0.025155734350336356
20230725,36.1292,36.8695,35.9099,36.3668,3559400,0.006577303856571737
20230726,36.3577,37.1894,36.3486,36.9792,4018700,0.01683826080827
20230727,37.1711,37.2717,36.4491,36.5039,3156900,-0.012851932349433492
20230728,37.0523,37.162,36.5313,36.7598,2591500,0.0070102394242914645
20230731,36.6776,37.3174,36.6045,37.2534,2461700,0.013426216155438597
20230801,37.2991,37.4362,36.5131,36.769,3845800,-0.01300289143149358
20230802,35.919,38.1856,35.462,37.226,7216600,0.012428351839156138
20230803,36.8787,37.5916,35.791,37.2899,4572400,0.0017186958488351056
20230804,37.4088,38.4872,37.2168,37.6921,3430400,0.010784490841949657
20230807,37.6738,38.6426,37.6555,38.1125,3464400,0.011154106021846966
20230808,37.2899,38.2131,37.0615,38.1674,2737800,0.0014388997581515905
20230809,38.3776,38.9077,38.2222,38.7614,3495200,0.01556518352244396
20230810,39.0265,39.127,37.9297,37.9571,3306300,-0.020749766904653244
20230811,37.9571,38.5512,37.948,38.1034,2049800,0.0038524706645208795
20230814,37.0523,37.2077,36.5953,37.1163,3440200,-0.02590540728999169
20230815,36.5679,36.7233,35.6631,35.8367,2833100,-0.03447435217922479
20230816,35.7271,36.2389,35.6722,35.8002,1742200,-0.0010202904203192587
20230817,36.0287,36.44,35.855,35.9099,1872600,0.003063784317596907
20230818,35.3889,36.1292,35.2426,36.1109,2400100,0.005599161719189505
20230821,36.3303,36.4582,35.7636,36.1383,1649700,0.0007594340320253856
20230822,36.1201,36.4217,35.4711,35.5168,1658200,-0.017197854762294074
20230823,35.334,35.3797,34.548,34.9228,2821800,-0.016726767102094975
20230824,34.6577,35.3432,34.0636,35.2244,2434500,0.008636789195952232
20230825,35.4346,36.0744,35.3249,35.6357,3623300,0.011676050067474408
20230828,35.6357,36.0378,34.9228,34.9867,3512600,-0.01820969132513084
20230829,35.0233,35.6174,34.7491,35.5717,2922400,0.01671873884119024
20230830,35.5168,35.6905,34.9685,35.4894,2149800,-0.002312303121255299
20230831,35.59,35.8733,35.2427,35.5077,4464100,0.0005150838301082317
20230901,35.9373,36.5862,35.9373,36.4217,2597500,0.025739965870703152
20230905,36.6502,37.1711,35.9099,36.0469,2908500,-0.010288631121786795
20230906,35.8448,36.1204,34.7425,35.0824,2786700,-0.026758375319726246
20230907,34.7149,35.1191,33.4197,33.6953,5882100,-0.03953923591852104
20230908,33.9341,34.6047,33.8514,34.5863,4416000,0.026445008716735163
20230911,34.77,35.4131,34.0535,34.0903,3814400,-0.01434275568410559
20230912,34.1729,34.8619,34.0168,34.3199,3349800,0.0067367100398161295
