datetime,open,high,low,close,volume,return
20230725,490.1847,528.972,489.1151,528.2782,1144800,0.09040294583442576
20230726,530.0127,543.8412,527.3048,536.9992,776100,0.016508363074228427
20230727,535.0429,541.0369,531.8629,533.4818,687800,-0.006550093513499111
20230728,540.1021,543.022,529.6079,530.2825,411400,-0.005997094467337649
20230731,528.9527,532.3737,523.6236,528.1625,404900,-0.003997860073286064
20230801,526.4664,529.0586,522.4383,526.1002,450800,-0.0039047016587904215
20230802,520.9736,525.6859,513.4859,525.4353,613600,-0.001263744072392936
20230803,522.9587,528.201,519.9136,524.0188,441100,-0.0026958674053275677
20230804,525.5606,531.5738,521.677,522.554,385600,-0.002795403052859635
20230807,525.8209,532.5761,524.4428,531.4583,344500,0.017039956904868703
20230808,527.8445,529.0972,517.7646,528.1528,369400,-0.006219528833596
20230809,527.6036,533.3759,526.1196,526.3508,276900,-0.003411894898290302
20230810,529.993,534.524,524.4186,528.3216,294600,0.003744202625962867
20230811,525.404,530.8528,523.0757,530.3794,242600,0.0038949766873255243
20230814,531.4712,532.2248,527.6454,528.7275,217800,-0.003114594045204644
20230815,524.4475,524.4475,514.9412,515.7237,294600,-0.024594492853301286
20230816,514.7286,516.516,511.6468,511.6758,201300,-0.007848994812427623
20230817,511.782,511.782,502.9518,503.0967,435500,-0.01676655577949293
20230818,498.0054,506.4781,494.8656,502.5364,297300,-0.0011137683999865589
20230821,500.8747,508.8836,498.9714,506.9514,353900,0.008785450127171579
20230822,509.531,513.8205,506.9515,510.014,275800,0.006041253606476005
20230823,512.5065,517.8491,509.956,517.6848,264700,0.015040323980052728
20230824,518.3901,520.303,512.6708,514.4098,243500,-0.006326290288275471
20230825,517.0279,519.4625,510.2459,513.1442,189000,-0.002460225270494276
20230828,514.6899,516.5931,511.4438,514.1103,190700,0.0018826372860429874
20230829,513.888,520.5251,511.5211,520.3513,264800,0.012139353971058142
20230830,519.5784,528.5825,519.5784,525.6842,224900,0.010248743905736157
20230831,526.6986,527.1043,522.5637,525.1915,350100,-0.0009373247523165595
20230901,529.3071,529.3071,520.4286,523.0371,214000,-0.004102042863134536
20230905,519.9455,524.776,514.2745,522.8148,443700,-0.0004251152934147129
20230906,523.298,529.9061,522.1097,523.4719,396400,0.0012569758540856846
20230907,519.9454,528.8528,511.1056,527.9641,318200,0.008581408592065465
20230908,529.8673,529.9639,513.83,515.6946,263900,-0.023239215261030344
20230911,517.8491,519.8489,513.4823,517.9843,208900,0.004440096861929144
20230912,511.2312,514.5546,504.739,508.1397,409400,-0.019005662419410263
20230913,509.3571,518.5544,505.9274,517.1052,339200,0.01764386058717826
20230914,517.7236,521.0759,510.2749,520.4286,376000,0.006426980689431705
20230915,512.5548,521.8294,511.4052,512.1105,810800,-0.015983317350211412
20230918,510.3425,519.0084,507.4539,515.0185,284900,0.005678501357143428
20230919,515.1633,520.3706,511.695,519.8102,254700,0.009304031031766469
20230920,522.2256,525.3654,515.917,516.9023,299800,-0.005594152857998802
20230921,509.4633,512.5645,496.8461,497.9474,481300,-0.03667028459800348
20230922,498.0827,500.4304,493.4068,495.7641,290600,-0.004384638107857275
20230925,492.5856,499.8217,489.8612,499.3773,299100,0.007288246489100647
20230926,494.2569,508.2267,494.2569,498.759,530600,-0.0012382363876497493
20230927,501.8505,504.5265,486.2382,494.5854,339500,-0.008367998842831015
20230928,496.5659,505.3091,495.6191,503.8213,339900,0.018674089827627416
20230929,508.9996,511.7337,494.9043,495.6868,287800,-0.016145588015808898
20231002,494.17,496.1987,482.7313,489.8032,306400,-0.011869665476693658
20231003,487.4458,492.2957,475.0121,478.664,341600,-0.022742115668226592
20231004,480.7025,485.4654,478.7413,484.5862,353000,0.012372375351469511
20231005,484.0645,485.8615,478.4901,481.2435,367400,-0.006898075757162614
20231006,476.6546,498.3436,473.8432,495.938,416600,0.030534414559044043
20231009,494.4501,500.7201,492.0059,497.8991,243000,0.003954366577695101
20231010,497.5707,506.024,493.4937,503.1257,244300,0.010497354668584924
20231011,507.763,509.7629,501.1936,505.4347,253800,0.00458923050869009
20231012,507.8402,511.3955,499.7154,502.4591,311200,-0.0058871818304990775
20231013,503.9179,503.9179,489.3009,493.2522,331600,-0.018323698509163266
