datetime,open,high,low,close,volume,return
20230725,339.0867,343.7562,337.0939,342.8673,41637700,0.017009057430348973
20230726,333.5478,336.7031,325.4103,329.9626,58383700,-0.03763748795624422
20230727,332.61,333.4403,321.4442,323.0756,39635300,-0.02087213397069887
20230728,325.9574,332.1508,325.4689,330.5487,28484900,0.02313116248262781
20230731,329.1323,329.8943,325.6546,328.1554,25446000,-0.007240324906614304
20230801,327.4423,330.7148,325.9867,328.5657,18311900,0.0012501630940657815
20230802,325.9184,325.9184,318.8164,319.9301,27761300,-0.026282782423902473
20230803,318.4647,322.255,318.4159,319.1094,18253700,-0.002564990898050179
20230804,324.2088,327.3935,319.6761,320.2036,23741500,0.0034287507825216945
20230807,320.7799,323.4565,319.9495,322.4796,17741500,0.007108171595314738
20230808,319.4025,321.1511,315.534,318.5135,22327600,-0.012298839795124694
20230809,318.9238,319.549,313.6291,314.7819,22373300,-0.011715857285740983
20230810,318.4842,320.6725,313.7561,315.4657,20113700,0.0021723214046804884
20230811,312.8574,314.9577,311.8316,313.59,24355500,-0.005945625977841762
20230814,313.9613,316.5696,312.6816,316.55,18836100,0.009439145760909318
20230815,315.534,317.5757,313.4826,314.4204,16966300,-0.006727748731479299
20230816,314.0484,317.5922,313.0695,313.6568,20698900,-0.002428436113349197
20230817,313.7939,315.0958,309.555,310.2109,21257200,-0.010986380787450178
20230818,307.8712,311.6793,304.993,309.8193,24755000,-0.0012622737454733857
20230821,311.2388,315.9769,310.3675,315.1057,24040000,0.017062676027828072
20230822,318.6494,319.2172,314.6944,315.6734,16084600,0.0018017735324464823
20230823,317.0048,322.2716,316.6524,320.1179,21166400,0.014079388738538423
20230824,325.8448,325.9721,313.2261,313.2359,23281400,-0.021498294075964375
20230825,314.7043,318.5124,312.0905,316.1826,21684100,0.009407144152919544
20230828,318.8061,319.2858,314.9491,316.8874,14808500,0.002229199462969067
20230829,315.1057,322.0562,315.1057,321.4982,19284600,0.014550404930157246
20230830,321.7528,322.8688,319.5795,321.8702,15222100,0.0011571114322039833
20230831,322.2716,323.9456,319.9025,320.8619,26411000,-0.0031327260984215233
20230901,324.3372,325.0029,319.9025,321.743,14942000,0.0027458618758240405
20230905,322.0758,327.8027,321.743,326.5301,18553900,0.014878676808494307
20230906,326.3637,327.4209,323.231,325.8742,17535800,-0.0020086475022703665
20230907,324.3176,326.0699,322.1052,322.9667,18381000,-0.008922159025195664
20230908,323.1428,329.0851,322.5261,327.2349,19530100,0.013215569312665654
20230911,330.1424,331.2976,328.3705,330.8277,16583300,0.01097928233884482
20230912,328.7523,329.7019,324.5037,324.7875,17565500,-0.018257634452681915
20230913,324.3372,329.7607,324.2002,328.9873,16544400,0.012930722627228386
20230914,332.0122,333.6862,329.4865,331.5717,20267000,0.007855658330902182
20230915,329.8291,330.299,322.7121,323.2701,37679800,-0.025036951420168818
20230918,320.901,323.4463,319.4913,322.1345,16834200,-0.0035129137246061592
20230919,319.3054,322.4576,317.6803,321.7332,16505900,-0.0012458666897063875
