datetime,open,high,low,close,volume,return
20230718,281.9301,282.3269,279.6556,281.3687,405800,-0.0026758245627432897
20230719,282.114,283.7497,279.7234,282.5786,452400,0.004299834379802858
20230720,282.3851,286.3146,281.5043,286.0146,611200,0.012159467204289065
20230721,287.1083,288.8021,286.4114,286.6727,531000,0.002301185696947039
20230724,287.1566,287.2534,284.9015,286.0629,362600,-0.002127172149140044
20230725,285.6758,288.5891,285.1144,288.3858,365600,0.008120264014995104
20230726,287.4857,288.1051,283.9917,285.9081,608600,-0.008591903322674566
20230727,286.5275,287.2824,282.143,282.3172,773600,-0.012559353630491543
20230728,282.4528,285.3273,281.4268,281.6978,898800,-0.0021940399553733725
20230731,281.3397,281.3397,273.9065,277.4199,1800500,-0.015186323338902463
20230801,279.5105,281.6494,277.565,278.8717,882700,0.005233268951060355
20230802,277.9231,279.946,276.1616,278.4071,651100,-0.0016659978527187036
20230803,275.7067,280.2073,274.2936,278.4651,799300,0.0002085972541674419
20230804,283.711,284.6498,269.5124,269.8899,1307800,-0.030794829795810164
20230807,271.1482,273.7904,268.0316,271.3998,895300,0.005594684879753009
20230808,271.0803,274.4872,268.6607,268.8736,747500,-0.009308092707384419
20230809,268.7091,274.5647,268.351,272.1837,1085400,0.012311175933124918
20230810,272.8612,274.826,271.5255,272.9289,838400,0.0027377763466125415
20230811,272.9387,277.0134,272.9387,276.7715,645400,0.014078864316275697
20230814,277.3618,278.9103,275.2808,275.8809,651700,-0.0032175769388572695
20230815,275.6777,276.4714,272.1063,272.2515,472100,-0.013155877401780036
20230816,272.0385,275.0195,271.9611,272.5902,798600,0.0012442361600586427
20230817,274.2259,275.339,268.3123,268.5446,848600,-0.014841524563390385
20230818,267.3153,270.6932,267.1605,268.7574,1310100,0.0007927571812935685
20230821,268.9898,270.2673,267.2186,268.2542,476700,-0.0018725634872943653
20230822,269.193,269.9189,266.6862,267.025,764700,-0.004582286565432914
20230823,267.8477,269.2124,266.7734,268.864,624700,0.0068870706023880235
20230824,269.4446,270.9255,266.6281,266.7443,438800,-0.007883988156821675
20230825,267.896,271.09,267.896,269.8221,456800,0.011538466818813653
20230828,269.9092,272.6289,269.6382,271.8546,430600,0.007532972234443491
20230829,272.2901,273.9065,271.4771,272.9677,566600,0.004094123875339584
20230830,273.3548,275.7164,272.8031,274.0904,395700,0.004112982531143894
20230831,275.5906,275.5906,273.2387,274.4582,815500,0.0013419967258976317
20230901,274.9615,275.6196,273.1709,274.5647,438500,0.00038794917988060895
20230905,274.7873,275.0293,271.9418,272.0385,441700,-0.009200466603348834
20230906,271.5353,273.3258,269.7447,271.8934,531900,-0.0005335332250636649
20230907,272.1353,275.5519,271.9611,273.3355,774000,0.005303834611589675
20230908,273.5097,275.7939,271.2158,273.4226,826000,0.0003186456732684473
20230911,273.6839,275.1067,272.6483,274.4001,531100,0.003575306732700012
20230912,273.2871,274.526,271.7385,272.2611,453100,-0.007795212924498807
20230913,272.3289,273.0161,269.5705,271.0803,544000,-0.00433707379280035
20230914,272.5464,277.0418,272.0027,276.5466,517400,0.020164791123479686
20230915,275.4787,277.4302,274.4106,274.9738,1038300,-0.005687451796696941
20230918,275.1776,280.605,273.6726,279.0418,786300,0.014794336284757348
20230919,279.4399,279.6147,276.1582,277.4884,619200,-0.005567037729604873
20230920,278.1874,280.3137,277.1874,277.4301,684200,-0.00021005771748205948
20230921,276.2359,276.9738,271.0124,271.0512,490500,-0.022992622565004783
20230922,270.6726,272.9251,269.5463,269.6628,572700,-0.005122381065024273
20230925,268.9832,270.925,267.5947,268.6142,509800,-0.003888500529236727
20230926,267.3909,268.4492,265.284,265.5461,613400,-0.011421899531138036
20230927,266.0413,267.3617,263.3421,265.0412,539700,-0.0019014146663025588
20230928,265.886,268.2938,265.8762,266.2161,478500,0.004432650755549439
20230929,266.9151,266.9442,263.7111,264.3228,715600,-0.007111931996907628
20231002,263.5072,265.4005,263.2062,264.983,497000,0.002498000306650372
20231003,264.3713,265.8956,261.8081,263.5945,526900,-0.005239915770697601
20231004,263.9926,266.8374,263.8858,266.2549,558400,0.010092543345467275
20231005,265.7597,267.2937,265.0606,265.2839,459400,-0.0036466834161639206
20231006,264.2354,269.5269,263.2159,268.1094,442600,0.01065062400895278
20231009,271.6144,278.6924,271.5173,277.9836,669500,0.03682902376303976
20231010,277.8574,279.275,275.5855,276.7603,583600,-0.004400719027823796
20231011,277.0514,279.3137,275.964,279.236,440700,0.008945426557634528
20231012,280.2361,282.6925,278.6341,279.8962,450900,0.0023644795822514997
20231013,280.5759,281.4595,277.3039,279.7701,463700,-0.00045084630447767005
20231016,281.8382,286.3432,281.8382,284.7898,838800,0.017942286369083016
20231017,282.7119,282.8867,279.7604,281.4206,614100,-0.011830272875316794
20231018,280.809,283.1586,279.1875,279.838,443100,-0.005623541534210297
20231019,278.1389,279.3817,273.2649,273.7407,594400,-0.021788965938266736
20231020,274.9737,277.1583,272.9639,273.0707,936600,-0.002447398163687664
20231023,272.2551,274.4106,270.7308,271.3036,607300,-0.006471180481943395
20231024,272.0901,274.9252,270.857,273.2552,474500,0.0071933010254017216
20231025,273.8474,276.0028,272.1774,272.3522,409300,-0.0033045470272254907
20231026,271.4493,271.9251,265.4588,266.8472,723500,-0.020212927717457085
20231027,266.0413,268.5171,263.8276,264.4684,574300,-0.008914406691271637
20231030,265.6917,269.0802,264.4587,268.187,458400,0.014060650119430917
20231031,269.9249,271.857,268.1578,270.3618,618200,0.008109398880353336
20231101,270.4589,275.3912,269.5463,272.3425,895300,0.007326156174541909
20231102,272.0901,273.6144,268.4103,272.9931,1018700,0.002388694907733191
20231103,285.4499,290.7317,281.5662,290.7123,1307000,0.06490716999068913
20231106,290.3045,296.2465,289.9453,295.7222,1377300,0.017233252782367536
20231107,297.1398,299.1981,295.2853,296.1106,888600,0.0013134885928860474
20231108,297.9262,301.5477,297.4504,300.1982,1063000,0.013804045015986421
20231109,300.237,302.4701,297.8971,299.8195,859500,-0.0012614755492410534
20231110,299.8972,302.072,296.8485,301.9749,642500,0.0071891816404809905
20231113,301.9555,303.4604,299.5962,300.6351,465000,-0.004436836200169103
20231114,301.1982,303.8294,298.6447,303.1789,609500,0.008461294758583593
20231115,303.4119,306.7422,302.8294,304.9848,962600,0.005956778178007882
20231116,303.4022,308.1112,303.1401,308.0335,652600,0.00999615459392933
20231117,310.6938,310.6938,307.8199,308.9947,694900,0.0031203801363273165
20231120,308.752,310.82,306.3732,310.1404,619300,0.0037078013158931
20231121,310.7812,311.5288,309.0918,310.6841,426400,0.001753179279481376
20231122,312.4026,313.1502,309.4704,310.2278,441500,-0.0014688870297786538
