datetime,open,high,low,close,volume,return
20230718,48.9758,49.4172,48.7839,49.302,5421500,0.009430318652936087
20230719,49.5611,50.4247,48.2849,48.3904,5672500,-0.018489841407984597
20230720,48.6111,48.6111,47.1622,47.6036,4725700,-0.016260046597371014
20230721,48.0258,48.8414,47.6036,48.6591,11488400,0.022172766700414126
20230724,48.8414,49.1773,48.544,48.9854,3487100,0.006705004572075124
20230725,48.9662,49.2828,48.8415,49.0046,2821900,0.00039186298688220766
20230726,48.8798,49.254,48.6687,48.8606,2496800,-0.002937431959742387
20230727,48.8222,49.4651,48.1026,48.2369,2079500,-0.01276509698232109
20230728,48.2753,48.6111,47.9874,48.448,1827400,0.00437642714308506
20230731,48.6399,48.6591,48.2465,48.448,2751700,0.0
20230801,48.2753,48.4192,48.0546,48.2081,2065400,-0.0049513564893209905
20230802,47.8147,48.045,47.4981,47.6612,2191100,-0.011345700889275778
20230803,47.5556,47.6324,47.1142,47.3829,2663400,-0.005838439012739838
20230804,47.5268,48.2753,47.3829,47.4501,2013600,0.0014175824503164236
20230807,47.6516,48.0738,47.6228,47.9778,1725900,0.011122334992529348
20230808,47.6612,48.2465,47.4021,48.0162,2250700,0.0008000252522382123
20230809,47.8627,48.6207,47.8051,48.4192,2647000,0.008393073420424724
20230810,48.5824,49.705,48.496,49.4268,3537300,0.020808631028117475
20230811,49.3212,49.7914,48.851,48.899,2663500,-0.010677452143370347
20230814,48.899,49.254,48.851,49.0142,2683200,0.0023547844562850084
20230815,48.8606,49.0429,48.4,48.5248,1946700,-0.00998430355346136
20230816,48.2657,49.0717,48.1506,48.7935,2463900,0.005536661268024323
20230817,48.8894,50.1656,48.8414,49.5803,5205400,0.016126138318060423
20230818,49.2445,49.801,49.1197,49.705,3380500,0.002515853632546028
20230821,49.705,49.849,49.1965,49.6954,2299000,-0.00019301792388237704
20230822,49.849,49.9929,49.5419,49.8586,2593700,0.003282398747927795
20230823,49.8969,50.5878,49.5803,50.5207,2318500,0.013279369040416045
20230824,50.5686,51.2787,50.1848,50.2136,2141400,-0.006077688184566776
20230825,50.2712,50.8085,50.0793,50.5974,1866400,0.007643888307976354
20230828,50.6838,51.3267,50.6166,51.0196,1633300,0.008344281667399756
20230829,51.1923,51.96,50.8085,51.1828,1684300,0.0031972057852518443
20230830,51.1252,51.3171,50.3575,50.5303,2146800,-0.012748363077625724
20230831,50.6262,50.9141,50.2328,50.3575,2856300,-0.003418035838795741
20230901,50.5207,50.5878,49.7146,49.8394,2937000,-0.01028973114617393
20230905,49.705,49.7626,48.6015,48.6591,3210300,-0.02368126857717212
20230906,48.8031,49.9257,48.6303,49.4939,2494000,0.01715641388756839
20230907,49.4268,49.6091,49.1389,49.5707,2109100,0.001551037886666995
20230908,49.5707,49.6667,49.1965,49.35,3023900,-0.004452212762440455
20230911,49.5995,49.6858,49.0142,49.2924,1660100,-0.0011665938898215433
20230912,49.1677,49.5035,49.1389,49.3884,1527100,0.00194672301625598
20230913,49.3884,49.4843,48.8606,49.0334,1981100,-0.007188687304344632
20230914,49.2357,49.6309,49.0334,49.6019,1830000,0.011595949182027887
