datetime,open,high,low,close,volume,return
20230718,42.1233,42.8066,41.8893,42.1046,6037400,0.008068132561448227
20230719,41.8425,42.4135,41.8425,42.2918,6246200,0.0044464920160562915
20230720,40.6443,41.2808,39.7363,39.7363,12791600,-0.06042514785718145
20230721,39.4555,40.5975,39.3619,40.4477,6340500,0.01790366698964352
20230724,40.3448,40.6162,39.8299,40.4665,4635000,0.00046278774396202316
20230725,40.4665,41.1498,40.298,40.8222,6412000,0.008790219493893359
20230726,40.5039,41.0,40.1295,40.6724,6319100,-0.0036689044971880413
20230727,40.0265,40.1388,39.4087,39.4181,6877600,-0.030840107765644942
20230728,39.7925,39.9329,39.3244,39.7082,5194800,0.007361606130603882
20230731,39.7831,40.6911,39.6708,40.1763,7764300,0.01178689084620288
20230801,39.5304,39.5304,39.0343,39.0436,5480600,-0.028191974359210503
20230802,38.8471,38.8845,37.8829,38.0608,8769900,-0.025173687441939707
20230803,38.0607,38.3041,37.6302,37.8548,7884500,-0.0054108295569647025
20230804,38.0139,38.379,37.6957,38.2573,8131100,0.010633036298402176
20230807,38.1544,38.1731,37.7519,37.8923,5413000,-0.009542196334443753
20230808,37.4991,37.5459,37.0685,37.2932,7671900,-0.015810265140342117
20230809,37.4429,37.8548,37.2932,37.3587,7431000,0.0017568206323470559
20230810,37.705,37.9765,37.2089,37.2932,6221300,-0.0017537396263875848
20230811,37.1528,37.6489,37.0685,37.6208,4239700,0.008784716898200484
20230814,37.2932,37.3119,36.7409,36.9375,8737100,-0.018163540613810647
20230815,36.769,36.9094,35.9359,36.0108,7810000,-0.025088573360099287
20230816,35.9733,36.198,35.7674,35.8423,6536700,-0.004679129868920606
20230817,35.9265,36.226,35.7393,36.1886,6952200,0.009663008023131914
20230818,36.0482,36.0482,35.524,35.758,5987300,-0.01189854262169554
20230821,35.9827,35.9827,35.5895,35.8048,7274900,0.0013089749488650604
20230822,35.7674,36.1605,35.421,36.1324,6276400,0.009150207164551283
20230823,36.432,36.8532,36.3852,36.6847,7076900,0.015285210434526242
20230824,36.2822,36.9187,35.8423,36.563,5667000,-0.0033170487822149486
20230825,36.666,36.8438,35.8235,35.861,7769600,-0.019201584344849976
20230828,36.0388,36.7315,35.9546,36.5443,4889300,0.019055204064276188
20230829,36.329,37.003,36.095,36.9936,6738800,0.0122951538392162
20230830,37.3587,37.4242,36.9749,37.2183,5402700,0.0060726002092463816
20230831,37.237,37.3868,36.7034,36.9,6503400,-0.00855118019201051
20230901,37.3587,37.5366,36.7596,36.8064,4911200,-0.0025366174588172807
20230905,36.5069,36.8626,36.1605,36.3571,7263500,-0.012207598195009162
20230906,36.2625,36.6787,36.0166,36.4138,6706100,0.0015608351664262443
20230907,36.2531,36.499,36.0261,36.2814,5182100,-0.0036363080185771723
20230908,36.4138,37.0192,36.376,36.6314,6523000,0.009645293429895618
20230911,37.0097,37.0948,36.6125,36.8016,5102700,0.004647653117416217
20230912,36.6976,37.0759,36.4233,36.7165,5482500,-0.002312868871643836
20230913,36.6976,37.1894,36.5463,37.1327,11608600,0.011334426249606011
20230914,37.1705,37.6339,37.1421,37.3786,9943800,0.0066223845700483785
20230915,37.738,38.4001,37.5961,38.1447,16419900,0.020496051974931095
20230918,38.1447,38.4474,37.8042,38.2771,8806100,0.003471407590173836
20230919,38.3433,38.3811,37.7191,38.1069,10531200,-0.004447926344069875
20230920,38.296,39.1473,38.2204,38.7311,6774700,0.01638132824291305
20230921,37.9177,38.5136,37.6434,38.3244,6949900,-0.010500610452507053
20230922,38.7027,38.9959,38.5325,38.5325,6409700,0.00542944763903086
20230925,38.4095,38.523,37.6245,38.2866,7344200,-0.006381906368808754
20230926,38.0028,38.0217,37.1421,37.2651,8859300,-0.026679870350426738
20230927,36.9908,36.9908,35.1181,35.26,16109300,-0.053807226217132964
20230928,35.0897,35.3072,34.6168,35.0235,12912500,-0.0067061299757604775
20230929,35.6099,35.7612,34.7587,34.9478,9465300,-0.0021602842940230405
20231002,34.4844,34.5884,33.3589,33.6142,10829100,-0.038159488242199724
20231003,33.3399,33.9547,33.2548,33.3021,12896200,-0.009285646519224477
20231004,33.3683,33.5386,32.9238,33.5102,10442300,0.0062483755632478655
20231005,33.548,34.3803,33.548,34.3803,9309300,0.025966426990640334
20231006,34.7019,35.8936,34.4844,35.7518,13366800,0.03989015821074471
20231009,35.9693,36.0639,35.3829,35.591,13135100,-0.004497278255181092
20231010,35.922,36.3855,35.591,36.3571,9430800,0.021525270622694714
20231011,36.6219,37.0097,36.3476,36.9908,9900400,0.017429922417796506
20231012,36.8678,37.0665,36.3287,36.6787,8835100,-0.008437941345262878
20231013,37.5772,37.6529,36.8867,37.2934,15289700,0.016761252335260934
20231016,37.2934,38.1825,37.0759,37.8799,10715500,0.01572401862717565
20231017,37.9461,38.7216,37.842,38.2771,9371700,0.010487235820106688
20231018,38.4852,38.7784,37.6339,37.7569,10765100,-0.01359053724125514
20231019,37.6245,37.6812,37.0475,37.3124,13559400,-0.011773489820156025
20231020,37.3124,37.3218,36.603,36.6976,16801700,-0.016476584603915212
20231023,36.3476,36.5557,35.9504,36.3571,10710600,-0.009278431210306248
20231024,36.0639,36.4801,35.8842,36.3666,9802900,0.00026031409345317336
20231025,35.6477,35.922,34.7114,34.7681,21804700,-0.0439532060073794
20231026,35.1654,36.0544,34.806,35.4491,59217300,0.019586456690874554
20231027,35.818,37.0097,35.7518,36.8584,20582300,0.03975454904580156
20231030,37.0286,37.1327,36.5084,36.603,14514100,-0.006928233654374671
20231031,36.4044,36.4233,35.1275,35.4397,15768900,-0.03178308542102193
20231101,35.5626,35.7234,34.6736,35.2505,13935900,-0.005337506003577519
20231102,35.6383,35.9409,35.1086,35.9031,12085600,0.018513302066605952
20231103,36.499,37.1894,36.272,36.9057,12703100,0.027924251972235137
20231106,36.8868,37.0097,35.7896,35.8274,13362600,-0.029215781531019336
20231107,35.3829,35.7234,34.5601,34.6735,98183700,-0.03220694660927137
20231108,34.3141,34.3898,32.659,32.8954,17943100,-0.051282237465513636
20231109,32.8292,33.2548,32.0915,32.1104,24427600,-0.023864085066856333
20231110,31.8834,32.3752,31.7699,32.3469,20512200,0.007363903046814002
20231113,32.1766,32.7346,32.1671,32.3469,20068100,0.0
20231114,32.9995,34.4087,32.8765,34.1344,23998500,0.05526283110166563
20231115,34.0399,34.5506,33.9074,34.3993,17021300,0.007758375599119294
20231116,34.4844,35.2505,34.4276,34.579,11921500,0.005224251928931167
20231117,34.8343,34.8722,34.2574,34.3803,8347300,-0.005744280348239927
20231120,34.0871,34.8343,33.8412,34.579,11014900,0.00577746774265675
20231121,35.1843,35.7896,35.1654,35.3924,11531400,0.02352297695591532
20231122,35.468,35.7329,35.3356,35.6477,7639200,0.0072151048885324975
20231124,35.6477,35.8085,35.4964,35.5532,5580000,-0.0026530154936875716
20231127,36.1017,36.4044,35.7612,36.1112,10994700,0.015695630686801243
20231128,36.5179,38.5703,36.3287,38.3717,26586500,0.06259817690699565
20231129,38.1615,38.8588,38.066,38.5723,12792300,0.005227805611048186
20231130,38.3526,38.8493,38.0565,38.3908,22025300,-0.004705240799798949
20231201,38.4481,39.4511,38.2857,39.3556,14179300,0.02513048104345894
20231204,38.8015,39.1645,38.4194,38.7251,14412000,-0.01601917256520291
20231205,38.5818,38.7156,37.6839,38.1042,14946000,-0.016033696502546713
20231206,38.2762,38.5532,37.7603,37.9132,9482700,-0.005013619766396138
20231207,38.1997,38.1997,37.3687,37.9514,15406800,0.0010077765617695356
20231208,37.2732,37.7985,36.9961,37.3305,9035500,-0.016360485115331835
20231211,36.9675,37.2636,36.6045,37.1299,10519700,-0.005373820721337408
20231212,37.1872,37.2254,35.8499,36.0791,11758900,-0.02829923398599843
20231213,35.7735,38.2188,35.592,38.2093,19102500,0.05904159114799579
20231214,39.1359,39.8236,39.0021,39.3078,18867700,0.0287499312373376
20231215,39.0403,39.3365,38.706,39.0403,33146700,-0.006804436902397848
20231218,39.2027,39.3556,38.6678,39.2505,13168900,0.0053830341841383245
20231219,39.5657,40.4732,39.3556,39.9001,15649800,0.016549065328367973
20231220,39.9383,40.1102,39.2505,39.2792,9283800,-0.015561457652138344
20231221,39.8905,40.0051,39.3365,39.5753,7344200,0.0075389485309700355
20231222,40.4541,40.8935,40.1293,40.1771,9136800,0.015206438990667426
20231226,40.435,40.5687,39.9287,40.0338,4979200,-0.0035663085483070844
