datetime,open,high,low,close,volume,return
20230718,160.0127,164.5533,159.8019,164.0743,1333400,0.022994700636680854
20230719,162.8577,162.9344,159.0835,160.0893,1085100,-0.0242876883944263
20230720,160.8365,161.0185,157.9052,159.0356,1164900,-0.00658211468532055
20230721,159.4188,159.6678,156.4875,156.9377,1178400,-0.013191102067477534
20230724,157.8477,160.7024,156.794,159.6391,1295500,0.017212812629100904
20230725,157.0718,166.9194,156.6025,165.607,1861900,0.03738396456698112
20230726,162.8098,164.7832,159.7349,161.804,1327400,-0.02296405831964543
20230727,161.1143,162.7811,160.3192,161.3442,1246300,-0.0028418556152510766
20230728,161.8902,163.4325,159.3517,161.8327,979800,0.0030280355730343267
20230731,163.5378,166.1722,162.9248,164.8502,1719800,0.018645617945533877
20230801,162.5033,166.2776,161.8328,165.722,1268400,0.005288133434496967
20230802,163.7007,165.3963,162.0626,162.4554,1726000,-0.019711062417949954
20230803,162.8482,167.3792,162.2926,164.5533,1468200,0.012913512826584261
20230804,164.6299,165.5399,160.4246,160.7023,1299800,-0.023402279806045256
20230807,161.6699,163.7007,161.0951,162.1393,949400,0.00894150082194023
20230808,159.8019,163.3559,157.8765,162.7619,1120500,0.003840406310620992
20230809,163.5378,164.3521,161.8998,162.2542,1104500,-0.0031195019071852403
20230810,162.8482,163.5858,157.4167,159.2655,1270600,-0.018420007275126604
20230811,158.7003,160.4438,158.3171,159.5146,1053500,0.0015638618102991053
20230814,163.2697,167.1589,160.4438,164.8023,2145200,0.033149205094420875
20230815,163.2217,163.672,161.1335,162.1297,1208200,-0.016217233187469482
20230816,161.7082,163.8156,161.3729,161.3921,895700,-0.004549599014882499
20230817,162.8673,165.0514,160.1851,160.8652,1174300,-0.003264539035723879
20230818,159.1697,161.9764,158.9685,161.258,1051000,0.0024417446323259373
20230821,161.5262,162.0626,159.4762,160.6066,715100,-0.004039570015870297
20230822,162.0722,163.308,160.9802,161.3346,1035700,0.004533080715400706
20230823,160.8365,161.7944,159.6583,159.9839,1338600,-0.008371900874908023
20230824,158.1351,159.8019,156.2097,158.0777,1213900,-0.011915448670578144
20230825,159.1793,159.6487,156.2576,158.4417,1017900,0.0023027520473895002
20230828,158.4608,161.2101,158.1735,159.9169,942900,0.009310805831561408
20230829,159.572,164.6107,159.1888,164.4958,1047500,0.028632920731191724
20230830,164.4096,164.4575,162.8098,163.0972,647100,-0.008502285073757943
20230831,163.4804,165.1951,162.6278,164.8598,1264700,0.010807075634186258
20230901,166.6703,167.5612,164.1126,165.3196,977300,0.0027891796674124336
20230905,164.9269,164.9269,161.737,163.0781,1446600,-0.013558865859231384
20230906,162.7907,164.6778,158.8727,161.507,1443500,-0.009633604164122844
20230907,159.9935,162.4937,159.6199,161.7944,1554400,0.0017792010714507978
20230908,160.8556,161.622,157.6083,158.001,1424800,-0.023445780100983082
20230911,160.4533,161.4879,155.223,156.3055,1397900,-0.010731013020685909
20230912,155.3954,158.1543,154.131,156.1618,1075000,-0.0009194976354589546
20230913,156.1426,156.2576,153.3647,154.3513,1110200,-0.01159346029173891
20230914,157.2634,158.9015,155.8552,158.5662,1575500,0.027306919393947915
20230915,155.405,155.8936,148.3834,148.8815,4859200,-0.06107637055511017
20230918,148.8815,150.6633,147.7512,148.1631,1643900,-0.004825614168144199
20230919,148.6708,152.1864,148.6516,151.535,1486800,0.0227581499350773
20230920,152.8282,153.3934,148.6899,148.8528,1053500,-0.017700335857483762
20230921,147.3393,148.1535,145.0115,145.1647,1205000,-0.024776386294265595
20230922,145.7108,148.5941,145.4809,146.6879,1156200,0.010492334222979682
20230925,146.4388,149.2073,145.979,148.7187,1247900,0.013844725701879224
20230926,147.9331,148.9486,145.1264,145.3563,1270600,-0.022609098921348658
20230927,147.1094,150.7112,146.1706,149.1593,1869700,0.02616335463347319
20230928,149.6206,152.7538,149.3419,151.6197,1232200,0.016494828908680814
20230929,152.7826,153.5226,149.7264,150.2646,1213600,-0.008937510290293993
20231002,150.3703,151.7446,147.8234,148.7557,1460200,-0.010041796391862534
20231003,147.5159,150.4952,147.4294,149.8994,1487900,0.007688393227058166
20231004,150.2838,152.0714,149.1305,150.822,1458300,0.006154947716790815
20231005,149.9282,151.5812,149.2843,150.3414,1215800,-0.003186072738408874
20231006,150.4664,152.6384,148.1406,151.1103,1539200,0.005114091184647673
20231009,151.1103,151.6485,148.0829,149.6014,1025100,-0.009985191602886578
20231010,150.6394,152.6673,149.7264,149.8321,1264100,0.0015416736364117778
20231011,150.2165,151.5717,147.3717,148.8326,1258800,-0.006670777578455689
20231012,147.4294,147.439,140.6922,141.8071,2089400,-0.047203926391639395
20231013,140.971,143.2007,139.1834,141.3362,1534800,-0.0033209339460933407
20231016,143.7292,144.2194,142.2203,143.2006,879200,0.013191642482510701
20231017,141.2496,144.6038,140.8748,143.7388,1097200,0.003758419469107377
20231018,142.2396,142.8643,139.3948,139.4621,1575000,-0.029753713030521656
20231019,139.539,142.0858,137.8474,138.155,1762300,-0.009372210684145066
20231020,138.3952,139.3179,135.6562,135.858,1570700,-0.016626342509481362
20231023,135.3582,136.9152,134.6182,135.0219,1807200,-0.006154259815901231
20231024,137.6552,143.0277,136.6365,141.4419,2139300,0.047547722322386576
20231025,141.7782,142.2972,137.7129,138.9719,1565100,-0.017462798021993353
20231026,140.2021,144.623,140.2021,142.5375,1891500,0.025656968824710358
20231027,142.7874,143.3544,140.673,142.3453,1491300,-0.0013484151144530498
20231030,143.6524,144.1617,141.2785,143.1526,1201100,0.0056713976730622395
20231031,142.624,143.8157,141.3361,142.0377,1454300,-0.007787970727531013
20231101,142.0377,142.4126,139.6927,142.23,1724800,0.001353481904444287
20231102,143.7869,146.1992,143.6043,145.3727,899800,0.022096015065898866
20231103,147.0546,149.1113,146.3626,146.3818,1174800,0.006941744556395957
20231106,147.4679,149.1882,146.3722,147.1699,1007300,0.005383873438894016
20231107,145.9301,146.8624,145.2189,145.5457,1116200,-0.011036474300274768
20231108,145.1709,148.1694,145.1709,147.0065,1184000,0.010037026856055231
20231109,148.5058,148.5058,144.748,145.2766,1026600,-0.011767844205343048
20231110,145.6898,147.0354,144.3636,146.6797,915100,0.00965859546515091
20231113,146.3434,147.4102,145.1612,146.9873,733200,0.0020966827160939783
20231114,148.9671,150.2165,148.006,148.9479,1239700,0.013338580596055749
20231115,149.4381,151.2064,149.3419,150.476,820100,0.01025954241014837
20231116,149.9474,150.9758,146.6894,148.9095,1334800,-0.010410687031725208
20231117,150.303,151.1584,149.5149,150.6586,983100,0.01174626606131346
20231120,150.8124,152.5616,150.7355,150.9373,856600,0.0018500921957040894
20231121,150.7355,153.0421,149.9859,151.6485,1021800,0.0047117676619763404
20231122,151.562,151.8888,149.8417,151.2737,695000,-0.002471716629083631
20231124,151.4467,151.8407,149.6591,151.043,435100,-0.0015246313448469273
20231127,150.7163,155.4448,150.2934,154.9546,1349400,0.025897190930133984
20231128,154.772,157.0882,154.0608,154.8874,1472500,-0.00043416578476229706
20231129,155.2622,157.4823,154.8585,157.4054,1252600,0.016257108624451178
20231130,158.2415,164.1329,157.7898,163.3545,5483700,0.03779465105631519
20231201,164.7961,166.0839,163.1622,163.7773,2038800,0.0025886456786439194
20231204,162.4222,163.6716,160.8172,160.8845,1580600,-0.01766332867835474
20231205,160.3367,160.3367,157.1747,159.3083,1476700,-0.009796917123692017
20231206,158.6932,160.3559,155.6946,155.9253,1532000,-0.02123552585818078
20231207,156.4827,157.8571,155.2237,156.8672,1228100,0.00604048197421192
20231208,156.2809,158.6355,155.5505,155.7811,928500,-0.006923239816323146
20231211,154.33,158.3665,152.8307,158.1743,1321300,0.015362112463835675
20231212,158.6067,159.8561,156.0214,157.3862,1063300,-0.00498248667846346
20231213,157.3862,161.1632,155.6082,160.231,1469800,0.01807520703943788
20231214,158.1935,164.5654,156.5981,164.2002,2399500,0.02477198136235237
20231215,164.6711,168.698,162.9027,166.0935,3915600,0.011530594114463444
20231218,168.8806,171.2353,166.7855,167.439,1994800,0.008100886486625436
20231219,167.9773,171.2257,166.478,170.9374,1718200,0.020893289556708883
20231220,169.9475,172.3117,168.823,168.8518,1543500,-0.012200612860355342
20231221,170.5433,171.2449,169.1498,169.7456,955900,0.005293391195309027
20231222,170.1108,171.9465,170.0916,171.1295,927400,0.00815285250057296
20231226,171.1392,172.1964,170.8412,171.3122,477000,0.0010672174932007117
20231227,171.1872,171.8984,170.3799,170.947,855800,-0.002131803228166862
20231228,170.1661,170.8024,168.643,168.884,1002300,-0.01206791178326938
20231229,168.7008,169.1154,167.2741,167.7754,903600,-0.006564340274496261
20240102,167.438,170.1758,167.1006,169.1153,1208000,0.007986573933947305
20240103,166.7728,171.6314,166.233,170.2143,1624200,0.006498517613640731
20240104,170.1757,171.2265,165.751,165.8763,1809100,-0.025485768164654088
20240105,165.269,166.4065,163.7555,164.4303,1489800,-0.008717334373176566
20240108,163.9483,166.6572,161.2587,166.5318,1274700,0.01278068585826575
20240109,165.0376,165.6931,160.9213,161.0948,2199000,-0.03264857524810261
20240110,161.0949,163.0325,160.6803,162.7819,1203300,0.010472451408755523
20240111,162.7819,163.5241,160.6803,162.136,824000,-0.003967820989584592
20240112,162.3673,164.1025,161.4901,162.8108,774100,0.004161873668504956
20240116,162.8108,164.9316,161.5672,164.652,1534700,0.011309126945671544
20240117,163.2446,165.5003,162.5023,162.965,1632700,-0.010245829855780486
20240118,164.3243,164.6424,159.938,160.4104,2470000,-0.01567591987883976
20240119,160.3911,162.1553,159.3404,160.7864,1219500,0.0023438417792651656
20240122,160.0923,164.6231,160.0633,164.305,1642900,0.021883699754064123
20240123,165.8763,168.0453,165.5293,165.5582,1479600,0.007627399611251695
20240124,166.5801,167.4766,165.1341,166.4162,1379600,0.005182478448659156
20240125,167.7079,169.3082,166.3776,168.4116,1624200,0.011990738155577052
20240126,168.8936,170.8602,167.8525,168.7973,1370600,0.0022897474636507376
20240129,169.1828,170.7156,166.8981,170.2818,2203700,0.008794737657106921
20240130,171.5928,183.8743,170.5132,182.1005,3647800,0.06940678001793432
20240131,182.1005,184.0863,179.8447,180.2014,3037400,-0.01042890571568722
