datetime,open,high,low,close,volume,return
20230829,6111.0,6305.0801,6093.0,6294.1602,25000,0.025132544954583613
20230830,6292.6499,6386.98,6292.6499,6368.96,22300,0.011884000856448695
20230831,6365.3501,6416.2002,6335.5,6377.3301,28900,0.0013142047114185207
20230901,6422.2002,6525.0,6393.9199,6509.3501,20000,0.020701456238574556
20230905,6490.2598,6509.7402,6179.5098,6181.6699,32400,-0.05033992193771142
20230906,6199.98,6349.9502,6199.98,6318.1499,30100,0.022078173405181367
20230907,6305.0,6414.2598,6283.0,6405.8101,38100,0.013874339419753579
20230908,6390.0,6470.8101,6285.0098,6307.1899,27200,-0.0153954170175864
20230911,6350.0098,6439.8999,6320.0,6353.5,18300,0.007342423333365655
20230912,6348.9102,6424.5601,6163.8101,6168.9702,22000,-0.029043800292161803
20230913,6180.3799,6220.0,6032.1001,6098.8599,28300,-0.011365000821984994
20230914,6155.9902,6221.2002,6091.0,6201.25,20300,0.01678840619624644
20230915,6200.0,6200.0,5993.79,6076.5898,78500,-0.020102423906470435
20230918,6097.9702,6187.73,6090.1401,6126.9102,17400,0.008281011849393893
20230919,6133.7202,6190.3301,6086.04,6182.8701,15200,0.009133471768052015
20230920,6221.0,6289.0898,6127.8501,6132.1299,18200,-0.00820658260860907
20230921,6059.6499,6059.6499,5848.5801,5888.4702,25400,-0.03973491635454329
20230922,5928.0,5991.6802,5906.9702,5962.5898,17500,0.012587246976202504
20230925,5948.0,6043.9502,5939.1001,5965.0898,16400,0.00041928089395937285
20230926,5939.6401,6000.0,5880.7998,5890.5601,18100,-0.01249432734602307
20230927,5940.0098,6010.6699,5922.48,5941.0,16700,0.008562843075110127
20230928,5951.0,6065.2798,5940.9102,6061.9199,17100,0.020353462695674063
20230929,6120.5,6137.8101,5940.02,5963.2998,21700,-0.016268792471444637
20231002,5915.0,6058.0498,5912.0498,5960.9502,20900,-0.00039401161302554666
20231003,5939.0,5965.48,5842.0,5856.6299,26500,-0.01750061803603631
20231004,5865.3301,5965.7402,5832.04,5939.54,23100,0.01415663238227105
20231005,5940.0,6008.2202,5924.25,5951.6802,18900,0.002043952332825061
20231006,5930.2202,6106.0098,5872.3799,6049.21,23000,0.01638693314757078
20231009,6030.0,6185.6099,6000.0,6164.9702,23700,0.019136425194986817
20231010,6167.0,6271.6099,6111.6699,6112.8301,30900,-0.008457483962081347
20231011,6158.0,6280.0,6142.4199,6178.6602,26700,0.010769165392078506
20231012,6138.0,6162.5498,5863.0,5896.2202,29300,-0.045712166434748625
20231013,5925.0,5999.9902,5882.04,5932.1001,23700,0.006085234524004335
20231016,5981.3198,6004.0801,5898.8901,5916.2202,34800,-0.002676941142441991
20231017,5865.8301,5939.0,5839.7598,5840.0,34300,-0.01288326196048517
20231018,5800.0,5858.8198,5736.46,5746.5898,28700,-0.015994889768835563
20231019,5743.5098,5788.6299,5550.0,5563.5498,31200,-0.031851940722996686
20231020,5625.0,5640.0,5452.0898,5488.1001,65500,-0.01356143284053657
20231023,5513.25,5619.9502,5471.48,5505.6899,41000,0.003205087997121714
20231024,5505.6602,5539.7998,5341.2598,5385.52,25900,-0.021826496434397158
20231025,5353.5,5458.7598,5210.4902,5377.29,26100,-0.0015281682063947866
20231026,5379.73,5475.9199,5379.73,5426.8198,19600,0.00921091940297969
20231027,5420.25,5434.0498,5332.6602,5382.2202,15000,-0.008218369288024108
20231030,5427.0,5427.0,5326.1602,5401.7598,13800,0.0036303885759563226
20231031,5415.6401,5484.6201,5410.7402,5412.6201,21400,0.0020105210216143643
20231101,5444.1602,5578.0,5419.0,5560.5498,26800,0.02733051355853644
20231102,5683.0,5722.3901,5600.5601,5698.9102,26400,0.024882494793206034
20231103,5830.1899,5961.8198,5811.71,5890.6299,22000,0.03364147201938961
20231106,5861.5498,5934.2002,5860.0098,5920.3701,18500,0.005048735868090404
20231107,5937.0,6042.5098,5919.77,6002.4399,25000,0.013862279316033232
20231108,5977.1699,5995.0298,5892.0,5901.8198,17500,-0.016763202659205056
20231109,5927.0698,5945.04,5818.0098,5836.52,17800,-0.011064350765086939
20231110,5885.5298,6051.1699,5857.0898,6035.29,20300,0.034056255930946744
20231113,5973.9702,6056.7798,5950.21,6030.4399,9900,-0.0008036229617564006
20231114,6170.0,6356.1899,6170.0,6290.7202,22200,0.04316107547151926
20231115,6275.0,6350.0,6267.0898,6292.1699,19300,0.0002304516783038224
20231116,6293.5,6349.4902,6236.8398,6290.5898,25000,-0.00025111815869860443
20231117,6332.9702,6332.9702,6253.52,6298.0,23000,0.0011779747899733906
20231120,6280.96,6335.5698,6203.1001,6307.1201,22400,0.0014480973622579274
20231121,6290.0098,6344.9102,6239.3701,6244.2202,20500,-0.009972840404980032
20231122,6276.77,6350.0,6194.0698,6222.8901,12800,-0.003415971472994217
20231124,6196.0098,6232.8301,6143.23,6195.0601,6700,-0.0044722110648853786
20231127,6199.0,6199.0,6126.8701,6146.8999,14700,-0.007773961155258302
20231128,6148.0,6150.52,6088.7202,6128.6602,24400,-0.0029673081363819076
20231129,6164.0,6166.0698,6089.6299,6107.1099,22700,-0.003516313911903435
20231130,6107.1099,6159.54,6052.5801,6155.3901,29900,0.007905584559364742
20231201,6155.3901,6332.8999,6105.02,6320.3501,18700,0.026799269790141134
20231204,6286.46,6414.3701,6286.46,6388.0498,16900,0.010711385601306356
20231205,6371.6499,6396.96,6334.9199,6359.0801,21300,-0.004534987585920525
20231206,6442.0,6505.0,6335.0498,6364.6602,27000,0.0008774976972212301
20231207,6377.9702,6444.9902,6330.7402,6444.7998,27300,0.012591347608529313
20231208,6450.0,6538.3599,6434.9902,6535.8901,16800,0.014133927319976314
20231211,6493.0098,6561.3198,6452.5801,6529.1001,22900,-0.0010388851281868394
20231212,6542.1602,6570.0,6500.6099,6538.2402,24100,0.0013999075802240135
20231213,6568.8301,6749.96,6521.0601,6684.8599,24700,0.022424937544416323
20231214,6785.79,6987.7202,6774.0801,6934.3999,29600,0.03732913541436811
20231215,6896.6699,6997.0698,6853.1899,6880.73,59500,-0.007739663508137151
20231218,6860.73,6860.73,6768.02,6840.0,24600,-0.005919427238732511
20231219,6882.7202,6979.5898,6865.0498,6936.6499,33000,0.014130102681834789
20231220,6920.0,7000.0,6847.1401,6847.1401,22300,-0.012903889757324594
20231221,6916.9199,6944.1602,6845.0,6939.98,16200,0.013558922688340136
20231222,6962.98,6998.7202,6943.3901,6980.1699,13800,0.005791074544790664
20231226,6998.0,7049.0,6981.3398,7008.2002,11100,0.004015700728094984
20231227,7028.5,7075.0,6997.9102,7024.8198,14700,0.0023714546449979945
20231228,7007.77,7023.7798,6952.02,6981.71,13700,-0.006136792737747476
20231229,6982.2998,7027.0,6940.5,7000.4502,14400,0.0026841897586480368
20240102,6901.21,6977.73,6877.8999,6969.0,21200,-0.004492596109541558
20240103,6890.0,7000.0,6801.3701,6948.9399,28000,-0.0028784701669894996
