datetime,open,high,low,close,volume,return
20230829,203.9003,211.0923,203.4087,210.3058,1253600,0.027402008587102733
20230830,210.3058,212.5671,209.711,211.5397,1040000,0.005867252913093424
20230831,209.5291,211.3923,207.7839,210.0944,1694000,-0.006832129858435065
20230901,213.1522,215.3447,210.6892,214.273,1022200,0.019888952874367982
20230905,212.7476,213.3184,205.8442,208.3536,1383400,-0.027625307145865863
20230906,208.329,212.295,206.8234,208.5603,1036400,0.00099182228138317
20230907,210.0906,215.0652,207.6254,212.9346,1904600,0.020974001930172737
20230908,211.9358,212.9543,207.0202,207.276,1134800,-0.026574280373810377
20230911,208.767,210.2923,206.9218,209.633,971400,0.01137091512445898
20230912,207.7533,210.8385,207.0202,207.5713,1042800,-0.009834693816052509
20230913,207.6057,209.8298,204.1171,204.5649,1567000,-0.014483814036969633
20230914,206.3215,207.3794,198.6504,200.2545,1856600,-0.021070889994549646
20230915,200.4562,201.7159,196.8446,201.5437,3254600,0.00643765459891843
20230918,200.7466,203.2068,200.2644,201.6618,1041600,0.0005860679511757727
20230919,200.84,201.6421,197.4449,199.91,1045600,-0.008686521681460335
20230920,201.5338,203.256,200.5399,200.6973,880400,0.003938233633977717
20230921,199.5705,200.097,195.4324,196.884,1109600,-0.019000675212259233
20230922,196.884,200.6973,196.5198,197.1447,840000,0.0013245770146090852
20230925,197.1447,202.4047,196.9774,201.0073,678800,0.019592528775755014
20230926,199.8363,199.8363,195.7326,196.3329,675800,-0.023255067195062096
20230927,198.37,199.2999,195.3045,196.7659,1242200,0.002205509016139251
20230928,196.4313,201.2878,195.1765,199.7969,1501200,0.015404122867266778
20230929,201.7405,204.0728,200.3726,201.3173,1517800,0.007609962173957596
20231002,199.9691,200.6924,195.7621,198.3896,1200200,-0.014542806691733023
20231003,196.8741,201.2189,195.3143,196.756,1045200,-0.008234254974479382
20231004,198.2913,199.2606,196.3329,198.3749,1298400,0.008227860912042084
20231005,199.359,200.717,196.264,198.4339,1001200,0.0002974455679225496
20231006,197.4744,204.4271,197.4203,203.4233,1202600,0.025143862943512563
20231009,201.1697,208.3536,200.5202,207.7287,908400,0.021164830796118972
20231010,207.7288,211.4339,207.2367,209.1754,823800,0.006964155986869169
20231011,208.8801,210.0955,207.5122,209.4952,757600,0.0015289034161096726
20231012,210.6171,210.6909,206.5724,208.6637,664200,-0.003969269914651519
20231013,209.697,210.5974,198.0206,199.3196,1187600,-0.044780391285369925
20231016,201.5437,208.6735,200.7465,202.9312,1283200,0.018119809134621745
20231017,203.9301,207.0054,202.4146,205.2537,819800,0.011444735971857689
20231018,203.3249,204.3533,197.5433,197.7352,1401200,-0.03663046279789128
20231019,199.7969,200.4907,194.1137,195.0732,1374200,-0.013462307468283696
20231020,196.51,198.9112,190.2659,193.3904,1404400,-0.008626583864185466
20231023,193.1837,194.6058,190.5464,190.7481,1291600,-0.013663132038307602
20231024,191.2746,192.9721,187.0134,189.882,1934400,-0.004540245088600625
20231025,192.1455,195.5456,175.6619,182.5555,3089400,-0.038584840539018006
20231026,181.7042,184.4351,177.7826,181.9552,2459800,-0.0032883771889499203
20231027,184.5335,189.0751,178.9143,181.3007,1871600,-0.0035966782656444707
20231030,184.6467,186.915,180.1296,186.5558,1600400,0.028985521883396537
20231031,187.1611,188.4109,184.0513,185.3356,1175800,-0.006540994230141428
20231101,186.0244,192.7852,185.4733,192.2193,1903000,0.03714205124388359
20231102,194.4877,195.7227,190.0937,191.3238,1630200,-0.004658861016480942
20231103,193.2329,194.4975,191.309,193.0509,1029000,0.009027087243260734
20231106,192.7999,193.9317,189.3458,193.8874,981400,0.004333065149789483
20231107,192.6278,197.4006,192.1013,195.0289,1286200,0.005887725784166964
20231108,194.9994,196.7806,191.619,191.9733,1940800,-0.01566766814665388
20231109,193.6365,194.4779,187.0971,189.7345,1435000,-0.011662038848239908
20231110,191.1713,193.5085,189.6213,193.1936,1167000,0.0182312190979248
20231113,192.3915,193.0952,190.2905,192.3965,926400,-0.004126012399362278
20231114,195.708,200.3775,195.2602,199.1966,1411200,0.03534433429733541
20231115,199.9691,202.39,197.8828,198.1682,1240400,-0.005162721834566786
20231116,198.8128,199.7477,194.1727,195.7325,1086800,-0.012290840385239199
20231117,197.5187,198.1091,195.7719,196.7708,1047800,0.005304295574330542
20231120,196.9085,198.6652,195.7768,197.9369,691600,0.0059264542727817116
20231121,197.9468,199.7477,197.0267,199.2212,590600,0.006488362544725179
20231122,200.8056,202.4441,198.37,198.6652,800200,-0.0027909429119324924
20231124,199.2507,199.9986,198.2322,198.9456,299000,0.0014117044895427533
20231127,196.0327,197.1595,192.9426,196.1557,840200,-0.014023513545146415
20231128,195.8014,195.8014,186.9888,190.6103,1559200,-0.02827044676335655
20231129,191.2648,193.3757,188.032,188.9029,1395200,-0.008957528908075774
20231130,189.08,191.7863,185.4536,191.437,2585200,0.013414521651232247
20231201,190.94,200.6875,190.0395,199.6443,1637800,0.042872504595683036
20231204,198.2715,200.3726,196.0278,198.739,1077400,-0.00453496558974964
