datetime,open,high,low,close,volume,return
20230718,104.06,105.35,102.9,104.84,5222300,0.004888282352968787
20230719,104.81,104.81,101.88,101.91,6101200,-0.027947279455620366
20230720,100.17,101.52,96.3,97.3,9221200,-0.04523599690601898
20230721,98.41,99.29,97.75,98.76,10007800,0.015005128866193651
20230724,96.33,98.06,95.88,97.69,5175600,-0.0108343425645967
20230725,98.46,101.57,98.29,100.04,5920000,0.02405567013401
20230726,99.32,100.33,97.96,99.25,5532200,-0.00789685034283849
20230727,103.06,104.53,100.8,102.11,7432400,0.02881612705643888
20230728,103.7,105.39,102.5,105.09,7604100,0.029184171087322186
20230731,109.74,111.35,107.08,107.75,14150300,0.02531167337333229
20230801,107.73,109.41,106.6,108.09,5441600,0.003155418449100944
20230802,106.89,107.16,103.12,103.57,6906500,-0.041816974708157484
20230803,101.45,102.95,100.4,102.7,6033400,-0.008400142407507527
20230804,101.43,103.71,100.48,102.31,6470900,-0.0037974625242197524
20230807,104.0,104.87,102.69,103.59,4112500,0.012510984359703547
20230808,102.33,102.33,99.9,101.38,4184200,-0.02133409752486204
20230809,101.37,101.52,98.88,99.09,4854000,-0.02258829135498064
20230810,100.55,101.15,97.06,97.73,4730700,-0.013724826230889553
20230811,96.51,96.7,94.31,94.57,5443400,-0.03233401773832212
20230814,94.2,97.15,93.57,97.12,5280600,0.026964185893905368
20230815,96.21,96.41,93.89,94.13,4850700,-0.030786711373618547
20230816,94.29,94.58,92.03,92.18,5262300,-0.020715999204720892
20230817,92.09,92.68,89.91,90.03,6768900,-0.023323947914525966
20230818,89.04,91.23,88.63,90.73,4647700,0.007775237000199553
20230821,91.5,93.52,91.23,93.03,4580900,0.02534988798925819
20230822,94.86,95.18,92.14,92.37,3918300,-0.007094443097657277
20230823,90.77,93.36,90.39,92.88,5768900,0.005521213507323486
20230824,94.49,94.66,89.73,89.96,6014900,-0.03143839637482182
20230825,90.63,92.78,89.73,92.32,4662000,0.026233888776894254
20230828,93.13,94.5,92.98,93.63,3899700,0.014189748298571558
20230829,93.18,97.88,93.0,97.61,5691400,0.04250778034481151
20230830,97.2,99.44,96.57,98.85,4351200,0.012703594467942558
20230831,98.61,100.29,98.18,98.46,5804500,-0.003945365661796485
20230901,99.31,99.85,97.75,99.4,3234400,0.009547049056945367
20230905,99.23,100.21,97.17,99.31,3137700,-0.0009054724939991932
20230906,99.3,101.3,97.74,99.49,3367800,0.0018125094109440187
20230907,97.46,99.15,96.12,98.51,4723100,-0.00985019347252336
20230908,98.75,99.76,96.94,97.92,3600100,-0.005989279814137438
20230911,99.18,99.37,95.95,97.85,3923900,-0.0007148661778306753
20230912,96.62,99.45,96.42,96.79,3411700,-0.010832882729927662
20230913,96.82,98.58,96.39,96.83,4060500,0.00041327528824242066
20230914,97.94,98.07,94.8,96.47,5544900,-0.0037178622693788688
20230915,95.72,95.87,92.27,93.1,9749400,-0.03493316786502543
20230918,92.0,94.92,92.0,94.6,3295200,0.016111708105096767
20230919,94.53,94.87,92.93,94.24,3422300,-0.003805503342053873
20230920,94.97,95.69,92.79,92.84,2898600,-0.014855704134275394
20230921,91.77,92.37,90.83,90.93,5111700,-0.020572986945878613
20230922,92.16,94.7,91.95,93.81,5173600,0.03167268496373299
20230925,92.98,95.07,92.52,94.46,2773100,0.006928915284033721
20230926,93.42,93.71,89.28,90.15,6590600,-0.04562775355036208
20230927,91.3,92.77,90.21,92.05,4681900,0.02107600103959495
20230928,92.14,95.64,91.43,94.05,4385000,0.021727321387218668
20230929,95.5,95.67,92.76,92.95,4214900,-0.011695970949732626
20231002,93.95,95.64,92.04,93.37,3943000,0.004518620894347292
20231003,92.04,92.83,88.35,89.76,6101300,-0.03866338764227695
20231004,87.5,90.71,87.31,89.99,7263500,0.002562340932100282
20231005,89.74,90.25,86.94,88.17,4075800,-0.020224466474367597
20231006,87.77,91.5,86.84,90.93,4095900,0.03130318922023734
20231009,89.8,91.18,89.09,90.93,2224800,0.0
20231010,91.9,94.19,91.56,93.32,4313100,0.02628394788988464
20231011,93.53,95.2,93.38,95.14,3877200,0.019502782905872262
20231012,95.35,95.59,92.28,93.05,5602700,-0.02196758830458878
20231013,93.77,93.92,88.82,89.14,5440700,-0.04202045710771751
20231016,89.83,92.05,89.52,91.69,4814300,0.028606720543167707
20231017,90.07,92.86,90.0,91.69,4730100,0.0
20231018,90.0,90.6,88.63,89.59,5338100,-0.02290332694513364
20231019,90.0,90.09,86.55,87.01,5609600,-0.02879779335998245
20231020,87.0,87.7,83.85,84.83,7077000,-0.025054594318508094
20231023,84.07,85.32,82.9,83.61,5548400,-0.014381718665205878
20231024,84.09,85.78,83.63,85.09,5268000,0.017701180680960604
20231025,82.85,84.25,80.62,81.16,8726700,-0.046186306791873966
20231026,82.77,84.57,82.01,82.79,8230600,0.02008375036802712
20231027,84.27,84.57,82.65,83.52,10637400,0.008817438331518934
20231030,73.29,73.59,64.99,65.34,39759800,-0.21767242619597293
20231031,64.18,65.03,61.72,62.64,22213200,-0.041322269659762156
20231101,62.5,64.86,61.47,64.84,15562900,0.035121279847996734
20231102,65.92,67.34,64.28,66.63,12027200,0.027606431471701276
20231103,67.37,68.88,66.87,68.25,11674000,0.024313414578430503
20231106,68.65,68.96,65.42,66.23,9284400,-0.029597020411229358
20231107,66.28,67.46,65.8,66.8,9650100,0.008606366690823153
20231108,66.77,66.83,65.46,66.25,8908600,-0.00823357824297788
20231109,66.28,66.5,64.03,64.35,10548000,-0.028679268315153328
20231110,65.5,67.84,65.14,67.38,7929500,0.04708622923301875
20231113,66.37,66.82,65.75,66.65,7078800,-0.010834012426470307
20231114,69.35,70.69,69.08,69.96,9083600,0.04966237783668381
20231115,71.04,72.9,70.86,71.13,6130000,0.016723816241515532
20231116,70.91,71.07,69.02,69.46,6018900,-0.023478113783633847
20231117,69.73,70.31,69.07,70.03,4046500,0.008206157534367708
20231120,69.96,70.75,69.72,70.68,4342300,0.00928175834941003
20231121,70.04,70.23,68.15,68.39,5998700,-0.03239956006847455
20231122,68.88,69.82,68.24,68.56,4375200,0.0024857167782201817
20231124,68.64,69.45,68.61,69.28,1718000,0.01050176847056905
20231127,68.9,69.54,68.42,68.68,4041600,-0.0086604862109263
20231128,68.72,69.44,68.23,69.1,4425800,0.006115290726253164
20231129,70.45,73.22,70.4,71.62,7747900,0.03646894830836667
20231130,72.16,72.42,70.66,71.33,7154900,-0.0040491609104439386
20231201,71.25,74.24,70.89,74.18,6068100,0.039955115673084185
20231204,73.26,74.17,71.73,73.1,5499800,-0.014559204996111741
20231205,72.64,72.91,71.45,72.28,3368400,-0.011217506319299297
20231206,73.65,74.75,73.15,73.44,5201000,0.01604875043857401
20231207,73.76,76.31,73.63,75.84,6248200,0.032679654366830846
20231208,75.57,77.25,75.52,76.14,4584100,0.0039557366329661114
20231211,76.68,80.2,76.45,79.4,7903500,0.04281589391073304
20231212,78.81,78.9,77.57,78.39,6313000,-0.012720429682879564
20231213,78.96,81.62,77.86,81.06,5768500,0.0340604438032166
20231214,82.5,86.46,82.46,86.21,11343600,0.06353320603243606
20231215,85.64,86.77,84.5,85.65,16805500,-0.006495737902108556
20231218,85.0,85.24,82.76,83.76,6349600,-0.02206654239319983
20231219,83.76,85.0,83.54,84.74,4392200,0.01170004420421522
20231220,84.0,84.96,81.13,81.17,6142900,-0.04212886222352108
20231221,83.0,84.05,82.66,83.65,4493900,0.030553202080549235
20231222,83.9,84.47,82.99,84.01,2432300,0.004303653362638382
