datetime,open,high,low,close,volume,return
20230725,63.2027,64.3067,63.0133,64.2873,5296500,0.006607607708413843
20230726,64.206,64.7327,63.4893,64.3747,6028500,0.0013584897420197972
20230727,63.3007,63.8407,60.96,61.3073,12747000,-0.047648083912755546
20230728,61.478,62.3547,61.3007,61.9193,6355500,0.009982484358812327
20230731,61.84,62.188,61.328,61.7193,5427000,-0.0032300212016154184
20230801,61.7627,62.528,61.73,62.07,5611500,0.005681623980884787
20230802,62.086,62.2667,61.1953,61.2307,8476500,-0.01352235515858069
20230803,61.578,62.2653,61.41,62.052,5760000,0.013413720001405505
20230804,62.1093,62.4107,61.632,61.7287,4134000,-0.005210628750678015
20230807,62.12,62.498,61.8327,62.1173,4423500,0.006296332917228087
20230808,62.134,62.4953,61.6753,61.9467,4959000,-0.002747473759933672
20230809,61.8953,62.3647,61.7013,61.9827,4260000,0.0005811337397676475
20230810,62.32,62.784,62.0533,62.4427,5715000,0.007421414954250194
20230811,62.6447,63.042,62.486,62.904,3868500,0.007388125214964569
20230814,63.1653,63.5813,62.7027,63.01,4689000,0.0016850914735353495
20230815,63.014,63.6347,63.014,63.424,3838500,0.006570409075892236
20230816,63.6607,64.0307,63.3273,63.404,4447500,-0.000315345260958555
20230817,63.5047,63.6947,62.06,62.1113,5107500,-0.02038778945498876
20230818,62.1113,63.0813,62.1113,62.5333,8274000,0.006794265584571191
20230821,62.52,63.1367,62.1113,63.0327,5362500,0.00798506021385803
20230822,62.7707,63.1767,61.8287,62.2687,4233000,-0.012120698623517168
20230823,62.3333,63.3493,62.3033,63.1447,4422000,0.01406812336457497
20230824,63.1173,63.51,62.33,62.3427,3777000,-0.012701024032145014
20230825,62.504,62.8633,61.5913,62.0693,5005500,-0.004384389022267676
20230828,62.1107,62.6007,61.8847,62.2953,3304500,0.0036411176304396164
20230829,62.472,63.212,62.1293,63.108,3850500,0.013045404788679438
20230830,62.952,63.884,62.8707,63.4767,5992500,0.005841791498039317
20230831,63.326,63.516,62.504,62.6467,6660000,-0.013075639841209408
20230901,63.038,63.26,62.5727,63.1633,4747500,0.008247308805605646
20230905,62.9213,63.4267,62.5193,63.0353,5194500,-0.0020265264491143853
20230906,62.992,63.574,62.578,62.986,5349000,-0.0007826034017467398
20230907,63.3033,63.5693,62.6687,63.054,5004000,0.0010796175878946546
20230908,63.2,63.9493,63.0,63.8907,7192500,0.013269040756168415
20230911,63.9593,64.248,62.712,62.8333,4812000,-0.01654912916368012
20230912,62.83,63.1087,61.328,61.618,7255500,-0.01934215473493084
20230913,61.4913,62.152,61.4913,61.79,4755000,0.0027914064871397137
20230914,61.9013,62.7793,61.7407,62.712,4291500,0.01492152243645739
20230915,62.756,62.756,61.91,62.014,8596500,-0.011130275569775971
20230918,62.3273,62.732,61.834,61.9567,5035500,-0.0009244861686313888
20230919,61.684,62.4067,61.0147,61.9453,4947000,-0.00018298724710652525
20230920,61.932,63.604,61.932,63.0553,5662500,0.01791903573935616
20230921,63.2047,63.2473,61.7493,61.7647,6211500,-0.020468763356739306
20230922,61.4107,62.7567,61.4107,62.4013,5997000,0.010307921500994688
20230925,62.192,62.5993,61.936,62.2427,4111500,-0.002542649269002828
20230926,62.1907,62.2167,60.8253,60.9707,6058500,-0.02043613162641933
20230927,61.1087,61.3853,60.6307,60.9447,6324000,-0.0004264505716821132
20230928,61.0567,61.4267,60.8087,61.1607,5260500,0.0035441919861314286
20230929,61.5433,61.7293,60.348,60.5907,6523500,-0.009319710180976548
20231002,60.5907,60.9947,59.8027,59.908,6459000,-0.011266863432950469
20231003,59.8193,60.3347,59.0347,59.3067,5214000,-0.010037617825132239
20231004,59.5873,59.944,59.342,59.8133,4378500,0.008543125064200963
20231005,60.3993,60.758,59.6167,60.0533,4899000,0.0040125114590796596
20231006,59.2193,60.4267,58.8093,60.1433,5448000,0.0014986703929416034
20231009,60.162,61.1193,59.7047,60.978,5247000,0.013877967151784132
20231010,61.2667,61.522,60.892,61.2087,5409000,0.003782792348610009
20231011,61.2827,61.2987,60.7587,61.094,5512500,-0.0018733618834207988
20231012,61.2647,61.4847,60.89,61.296,5389500,0.0033063747414523448
20231013,61.4247,61.8613,61.13,61.764,5179500,0.007635057649561183
20231016,62.1273,63.3167,61.9307,63.02,5478000,0.02033547892040688
20231017,63.3007,63.32,62.8993,63.0707,3984000,0.0008039798272612142
20231018,63.1573,63.1573,61.9573,62.0333,6282000,-0.01644717722344391
20231019,61.4667,61.4667,59.54,59.8927,9001500,-0.03450833389395647
20231020,60.0193,60.9573,59.862,60.4707,6757500,0.009650646224518944
20231023,60.768,60.768,58.4813,58.578,8572500,-0.03129897048471353
20231024,58.6413,59.1767,58.018,58.1333,5697000,-0.007591037981499071
20231025,57.8253,58.468,57.34,58.328,7617000,0.0033486437438350336
20231026,60.2667,62.1413,59.7253,61.4427,14247000,0.053399157049207835
20231027,61.8307,62.062,61.062,61.6373,10669500,0.0031682840554680958
20231030,61.66,62.4853,61.1973,62.0093,8268000,0.006035330056454846
20231031,62.1727,62.2427,61.6647,62.0293,6850500,0.0003224779496013852
20231101,62.328,63.1087,61.7,63.044,8041500,0.016357866371245366
20231102,62.486,63.8587,62.486,63.206,7380000,0.0025696746204271204
20231103,63.3333,63.9567,63.3333,63.5227,4642500,0.00501005668753729
20231106,63.746,64.0053,63.46,63.74,3835500,0.0034213731540901904
20231107,63.9213,65.0547,63.526,64.974,6441000,0.019359857428236982
20231108,65.0,65.3767,64.5913,64.9133,3768000,-0.0009337419002117819
20231109,64.766,65.5167,64.6127,65.2093,5560500,0.004560007145946621
20231110,65.3773,65.9793,65.178,65.748,4854000,0.008260562215240297
20231113,65.7527,66.6093,65.702,66.3947,4818000,0.009835545866993645
20231114,66.7333,67.064,65.3453,65.5307,7600500,-0.013013069145101364
20231115,65.4267,65.5727,64.6813,64.8893,9927000,-0.009786784296065498
20231116,65.1267,65.348,64.6133,64.7993,8826000,-0.0013870378916365222
20231117,65.434,65.434,64.382,64.57,6271500,-0.003539110116139943
20231120,64.6667,65.5153,64.366,65.2407,5088000,0.01038670526302976
20231121,65.3273,65.8713,65.1527,65.5727,4263000,0.005088861537382083
20231122,65.6373,66.338,65.49,66.0973,3814500,0.008001288229627868
20231124,66.1733,66.1733,65.6507,65.8107,1464000,-0.004337041222322147
20231127,65.6433,66.0047,65.4767,65.542,4248000,-0.004082455515552197
20231128,65.8053,65.9293,64.8013,65.162,4081500,-0.005797767148997157
20231129,65.0467,65.1833,64.652,64.9293,4137000,-0.0035705780435209
20231130,65.008,65.5207,64.74,65.492,7647000,0.00866573181246788
20231201,65.6333,65.9207,65.2187,65.368,4825500,-0.0018933695022476105
20231204,65.232,65.8773,64.7033,65.548,7050000,0.002753645753213574
20231205,65.472,65.4813,64.7067,65.198,4843500,-0.00533957546679531
20231206,65.49,65.786,65.2673,65.68,5601000,0.00739289967084944
20231207,65.8667,65.8667,63.5427,63.5807,8868000,-0.03196307410235255
20231208,63.5327,63.8653,62.7953,63.0587,6342000,-0.008210032944767853
20231211,63.6687,64.6413,63.5533,64.368,5335500,0.020763680313380384
20231212,64.788,64.8813,64.472,64.8527,4225500,0.007529713131998905
20231213,65.1033,65.8667,64.9347,65.5607,5512500,0.01091705548312083
20231214,65.5813,65.5813,63.0353,63.408,9190500,-0.03283474732485159
20231215,63.2467,63.4927,62.404,63.438,14115000,0.0004731071607573245
20231218,63.532,64.284,63.532,64.0087,6100500,0.008995669304146414
20231219,64.252,64.444,63.9127,64.284,4390500,0.004301442332447891
20231220,64.2,64.606,63.3333,63.35,4494000,-0.014529247675481805
20231221,63.588,64.1427,63.5233,63.8367,3649500,0.007682204337470466
20231222,63.8367,64.1707,63.4213,63.4707,5028000,-0.005733340050037006
20231226,63.3787,63.526,62.6947,62.804,3876000,-0.010503559374953952
20231227,62.6667,62.9227,62.406,62.8367,3052500,0.0005201142003872228
20231228,63.046,63.056,62.624,62.7473,3493500,-0.001421663275610996
20231229,62.966,63.3887,62.7533,63.3387,5250000,0.00942407052851224
20240102,63.2593,64.3787,62.8887,62.9987,5940000,-0.00536797123944488
