datetime,open,high,low,close,volume,return
20230725,82.0904,83.3336,81.7488,83.1059,2330300,0.0038974010936205783
20230726,81.5495,86.3895,80.8852,86.1048,4285500,0.03608558749484647
20230727,86.6742,86.6742,84.482,85.0988,3478200,-0.011682955978453924
20230728,85.9055,86.1902,84.5721,85.4595,2465400,0.004237823396382012
20230731,85.5828,86.5888,85.5069,86.3231,1961900,0.010105215945515056
20230801,85.5733,86.2946,85.2792,85.6303,1500100,-0.008025251764632646
20230802,84.9565,85.4357,84.2162,84.8331,1594600,-0.009309646860839682
20230803,84.6718,85.5354,84.3681,85.0514,1554600,0.002573106357490973
20230804,85.3171,85.3171,83.8271,83.998,1135000,-0.01238587940138447
20230807,84.406,85.6777,84.406,85.6018,1671100,0.019093842020458274
20230808,84.9565,85.0988,83.8841,84.4061,1651500,-0.013968717822523846
20230809,84.3017,84.6338,83.4475,83.514,1713300,-0.010568936670622753
20230810,83.6373,84.444,83.03,83.3052,1628800,-0.0025001957274680686
20230811,82.8686,83.3906,82.5745,82.9541,1559200,-0.004214681323109537
20230814,82.7642,82.8307,82.0525,82.6124,2050800,-0.004118751526149045
20230815,82.024,82.4511,80.9706,81.3692,2251800,-0.015048892832511318
20230816,81.2458,81.801,80.6289,80.9231,2331600,-0.005481649698740432
20230817,81.3424,81.9808,79.9417,79.9608,2218000,-0.011892230584711228
20230818,79.2557,80.5134,79.2557,79.7798,1949600,-0.002263702172553006
20230821,79.7512,79.8941,79.0651,79.5796,1660300,-0.002508488658295671
20230822,80.037,80.2562,78.8555,79.0365,1955700,-0.006824686024272886
20230823,79.2938,80.0561,78.7983,79.8941,1663100,0.010850065114291096
20230824,79.532,80.3419,78.8936,78.9317,1902000,-0.012045499384160108
20230825,79.6083,80.3133,78.927,79.9132,2107900,0.012433911197643699
20230828,80.1895,80.9946,80.1323,80.6468,1158000,0.009180689219034255
20230829,80.5706,81.7044,80.2943,81.4758,1589000,0.01027875683538948
20230830,81.8759,82.5429,81.3043,81.6187,1583400,0.0017542527331892988
20230831,81.733,82.4858,81.4948,81.5139,1922300,-0.0012839873152971082
20230901,81.9045,82.4143,81.6377,82.1046,1188600,0.007247063862310998
20230905,82.0093,82.1904,80.199,80.3705,1814500,-0.021121080491799615
20230906,80.2562,80.9708,80.037,80.4086,2179300,0.00047435425596020764
20230907,79.8179,80.723,79.0175,79.0556,2377800,-0.016826705485117777
20230908,79.0937,79.4653,78.5601,78.8079,1922700,-0.0031336687133804997
20230911,79.2271,79.6178,78.6268,79.0747,1346000,0.0033853509921337732
20230912,78.5411,79.0651,78.4744,78.6935,883300,-0.004820022704480675
20230913,78.7316,78.7697,76.9594,77.4549,1579400,-0.015740339562191785
20230914,78.0456,78.4363,77.1119,77.8265,1538800,0.004797795307265984
20230915,77.4739,77.9218,76.9022,77.2929,3555100,-0.006855983180259817
20230918,77.2643,78.0551,77.1214,77.5501,1692200,0.003328123547147843
20230919,77.1309,78.5506,77.1023,78.3029,2322200,0.009706580186570113
20230920,78.522,78.8364,77.7216,77.8455,1432000,-0.005840997767290634
20230921,77.6835,77.9694,76.9689,77.1119,2768900,-0.009424536037956899
20230922,77.1214,77.6836,76.9022,77.007,1361500,-0.0013591294527023345
