datetime,open,high,low,close,volume,return
20230829,55.7722,56.062,55.3283,56.0077,1913100,0.010624372923281555
20230830,55.9443,56.2432,55.4732,55.8537,1890800,-0.002749474938012808
20230831,56.0711,56.1345,55.3102,55.3283,2932300,-0.009406416245973492
20230901,55.6363,55.6363,54.3138,54.8029,2235600,-0.009495737101714585
20230905,54.7848,54.8935,53.1452,53.3355,3069100,-0.026776913901575994
20230906,53.4442,53.725,53.1181,53.6616,2504500,0.006114190879251691
20230907,54.1463,55.2622,54.0091,55.0244,2599900,0.02539628399911331
20230908,55.2164,55.7927,54.9786,55.6006,2143900,0.01047204410277125
20230911,55.4268,56.003,55.3628,55.6097,1778900,0.00016452422687840418
20230912,55.6189,55.6189,55.125,55.4542,2244000,-0.002796108784621887
20230913,55.6006,56.3506,55.5091,55.6921,4304100,0.004288299413675478
20230914,56.0488,56.4146,55.7652,56.1494,3745100,0.00821167426986591
20230915,56.0305,56.6982,55.9116,56.1128,5387000,-0.0006516648773963185
20230918,56.2225,56.2866,55.6097,56.0945,3329200,-0.00032584096268906126
20230919,55.9847,56.378,55.4451,55.4451,3164200,-0.011576938935127234
20230920,55.6829,56.1219,55.2805,55.5183,2562100,0.0013197473614685595
20230921,55.4542,56.0305,54.9146,55.2805,2069700,-0.004283422686968907
20230922,55.0884,55.6097,54.8231,55.3536,2077700,0.0013236777954879209
20230925,55.0152,55.2164,54.6311,55.1433,1286600,-0.0038003189938626836
20230926,55.0335,55.1341,53.25,53.4786,1722200,-0.030187446573026078
20230927,53.4512,53.625,52.8018,52.9573,2358200,-0.009748696510939903
20230928,53.1036,53.25,51.7134,51.8231,2788200,-0.02141634066122544
20230929,52.3536,52.4451,51.5945,52.0518,2980300,0.004412472876585749
20231002,51.7591,52.0152,49.5274,50.0213,4150800,-0.039008960745529286
20231003,49.6738,51.0366,49.125,50.7896,3467200,0.015359278994020231
20231004,50.9908,51.4481,50.1219,51.3292,3469500,0.010624827205073517
20231005,51.2286,51.8414,50.8536,51.7317,3785900,0.007840421580400436
20231006,50.9817,52.6189,50.3689,52.4268,3146500,0.01343691155441662
20231009,52.3811,53.4329,52.3719,53.4238,2469900,0.01901622105550227
20231010,53.4329,54.2561,53.3963,54.0091,2388800,0.01095694958249438
20231011,54.1738,55.6372,54.0366,55.5823,2594100,0.029127921070014162
20231012,55.3353,56.186,54.8323,55.3994,3886100,-0.0032911556078192294
20231013,55.7927,56.0671,55.3079,55.6097,2859700,0.003797319655720388
20231016,55.9024,56.0945,55.3262,55.6921,1976200,0.0014802000773919133
20231017,55.3902,55.875,55.253,55.6189,1730200,-0.001313826785421801
20231018,55.4451,55.6555,54.6768,55.0518,2330600,-0.010195707096686712
20231019,54.8323,55.564,54.6677,54.7225,1937600,-0.005981082633053858
20231020,54.6677,55.2896,54.2195,54.2378,3233400,-0.00885851245557312
20231023,53.4512,54.7774,53.2591,54.1097,2581100,-0.002360721975103841
20231024,54.6311,55.7103,54.4756,55.317,2782500,0.022312245096651973
20231025,55.0427,55.5823,54.9878,55.4177,2295200,0.0018189050268972995
20231026,55.628,56.3231,55.4451,55.9756,2576000,0.01006759085997988
20231027,55.7927,55.9482,54.7225,54.9786,2199100,-0.017810343755997105
20231030,55.3536,55.8658,54.6768,55.0244,2451100,0.0008317883011348393
20231031,56.186,56.5884,55.2713,56.3872,3948100,0.024767217618535398
20231101,56.0945,57.4939,55.9481,57.0549,3482200,0.011840970225129865
20231102,56.8811,58.2622,56.8811,58.0061,3079200,0.016671985393459154
20231103,58.7652,58.8201,58.1158,58.1616,2538000,0.0026807281863414634
20231106,58.1799,58.3811,57.4207,57.6402,3178900,-0.008963641064502759
20231107,57.7683,57.7683,56.7164,56.9817,2170300,-0.011425184843984582
20231108,56.6433,56.9634,55.7835,56.4238,2613800,-0.009791258923487756
20231109,56.5701,56.8628,55.7286,55.8201,1814700,-0.010698695550967696
20231110,56.1494,56.3872,55.8018,56.3506,1826400,0.009503650779342898
20231113,56.25,56.4055,55.6738,56.1036,1935600,-0.004382421869420394
20231114,57.1463,57.9055,56.9085,57.8506,3442100,0.031137946283841922
20231115,57.7134,58.2713,57.192,57.5122,2573600,-0.005849846210250642
20231116,57.8689,58.3262,57.8231,58.0427,2766000,0.009223842900636381
20231117,58.2988,58.5457,57.9329,58.3079,2106000,0.0045698034653269826
20231120,57.9969,58.5732,57.5122,58.5457,3404000,0.004078621577427333
20231121,58.7561,58.9664,58.2347,58.6646,2815600,0.002030701210262942
20231122,58.9024,59.1585,58.4359,59.1311,2003400,0.007951387430330081
20231124,59.3414,59.625,59.0579,59.5335,1199700,0.006806011668388567
20231127,59.625,59.6524,58.8658,58.939,3378900,-0.009986060805746155
20231128,59.1036,59.6067,58.8933,58.9024,2738300,-0.0006208210111926515
20231129,58.9024,59.0671,57.8231,57.8872,3874200,-0.01723608884343386
20231130,57.7866,57.9969,56.9725,57.1006,18266200,-0.013588142163557637
20231201,57.0823,58.1799,56.9451,58.0061,3563900,0.01585755173270309
20231204,57.4939,58.5091,57.3018,57.878,2563200,-0.0022074921627681654
20231205,57.8597,57.8597,56.9817,57.2561,3434900,-0.01074584494874109
20231206,57.5762,57.9329,57.3018,57.7957,3935200,0.00942493392112742
20231207,58.0172,58.4141,57.4911,57.6111,3237800,-0.0031938911732569686
20231208,57.5742,57.7588,57.0481,57.7496,2835000,0.0024031267066815243
20231211,57.5557,58.2295,57.3896,58.128,2563200,0.006552609764866935
20231212,58.2572,58.2572,57.5373,57.6757,1612200,-0.007780140818625991
20231213,57.8972,59.7524,57.4542,59.5493,3094600,0.032485069129312816
20231214,59.8631,59.9462,57.9434,58.128,4457900,-0.023868551543419603
20231215,57.5373,57.768,56.2267,56.7989,6826900,-0.0228642413235578
20231218,56.8451,57.002,56.4667,56.9466,3116700,0.002599886524030204
20231219,57.0573,57.3896,56.6882,57.3804,2165000,0.007617391693456543
20231220,57.1958,57.4727,56.0421,56.0605,2762800,-0.023001383932278352
20231221,56.1159,56.402,55.4052,55.7006,2191100,-0.0064208907823224415
20231222,56.0329,56.5313,55.959,55.9775,2063400,0.004971039083112583
20231226,55.839,56.2913,55.839,56.0421,1217200,0.0011541376133283876
20231227,55.9682,56.2082,55.7652,55.9867,1592400,-0.0009881495567111154
20231228,55.7929,56.3836,55.7929,56.2728,1324300,0.005110591507734963
20231229,55.9959,56.4759,55.9313,56.439,1981900,0.0029522929230993977
20240102,56.1713,57.0481,56.0513,56.7989,2341500,0.006377771721733483
20240103,56.8635,57.0758,56.4759,57.0481,2830600,0.004387321102070851
20240104,57.0112,57.4173,56.6328,57.0297,2649200,-0.0003235745850785898
20240105,56.8266,57.1312,56.4943,56.9743,2706000,-0.0009711048481529927
20240108,57.0112,57.5096,56.7251,57.3896,2010800,0.0072898973878547935
20240109,57.1219,57.2512,56.7251,57.0573,1657300,-0.005789751389592146
20240110,56.9743,57.4081,56.6143,57.2327,1976100,0.0030734281908579852
20240111,57.0112,57.0389,55.2668,55.6637,2635400,-0.027414868379158075
20240112,56.1159,56.2728,55.4606,55.6729,4836300,0.00016584545752729163
20240116,55.4514,55.5806,54.6115,54.7961,2842100,-0.015749348479319192
20240117,54.4546,55.1653,53.8362,54.2792,2479800,-0.00943237225578919
20240118,53.9377,54.0854,53.3563,53.8362,2698300,-0.008161796042104541
20240119,54.1039,54.1223,53.504,54.0393,2802600,0.0037715295048297293
20240122,53.7255,54.27,53.5132,53.5593,2285200,-0.008881292333109525
20240123,53.4301,53.7532,53.2824,53.6701,2034700,0.0020679822362212885
20240124,53.9285,53.9747,52.4702,52.5902,2664000,-0.020120487947829058
20240125,52.9317,53.1532,52.5256,53.0425,3079300,0.008599607869022696
20240126,53.264,53.4117,52.9317,53.2271,1678000,0.0034799578791904207
20240129,53.1901,53.7255,52.8394,53.5501,1992700,0.006069093769050404
20240130,53.4301,54.0116,53.1625,53.7624,1874800,0.003964143478799587
20240131,54.1777,54.4454,53.2455,53.5224,2787200,-0.004463551775873764
20240201,53.2363,54.4823,52.9225,54.4823,2304100,0.017934115045010968
20240202,53.9839,54.1869,53.1717,53.7162,3219500,-0.014060574964480321
20240205,53.2455,54.3254,52.8302,53.7162,4118300,0.0
20240206,53.587,54.7038,53.467,54.4361,3858200,0.013402016903447223
20240207,54.5746,54.7038,54.0485,54.4638,3738800,0.0005084755145843278
20240208,54.15,54.2608,53.0978,53.7162,2792900,-0.013726274242659486
