datetime,open,high,low,close,volume,return
20230718,137.5118,139.2141,137.2713,138.0947,5351200,0.0018791796525636784
20230719,138.3537,139.5286,137.7154,139.0383,6203600,0.006833240296427512
20230720,139.2254,140.3426,137.9128,140.1657,6445400,0.008108635478391468
20230721,140.715,143.061,140.296,142.3721,9938400,0.01574119030252885
20230724,142.2883,143.3217,141.7856,142.8283,5549500,0.0032041165652805237
20230725,142.8841,143.2379,141.9252,143.1634,5883800,0.002346589507513208
20230726,142.549,144.1502,142.3349,143.3124,7013800,0.0010404633888410064
20230727,143.5172,143.9268,141.4318,141.6087,7191600,-0.01188773141740096
20230728,143.9827,146.608,143.9268,145.6118,9397300,0.028268937701316554
20230731,145.6025,146.7941,144.355,145.5094,7955200,-0.0007033561784369757
20230801,145.1184,146.3194,145.1091,145.4629,5718800,-0.0003198370487912383
20230802,145.2022,146.8407,145.2022,145.7794,5636000,0.002176007357976184
20230803,145.9377,146.8128,145.4257,146.1611,5792700,0.0026183298792104015
20230804,146.5614,146.8407,144.4388,144.5599,4785900,-0.010955426114816924
20230807,144.9229,146.3007,144.7554,146.0866,4107400,0.010561465081605936
20230808,146.4218,146.7476,145.7235,146.2449,4625500,0.001083253872781409
20230809,146.4497,147.1759,145.947,146.0587,4293200,-0.0012729145486203297
20230810,146.3194,147.4459,145.044,145.3326,4307800,-0.004971529770257388
20230811,145.6305,146.5894,145.0346,146.1797,3862300,0.00582906260013627
20230814,146.2821,146.6545,144.7646,145.0346,4297600,-0.007833583071460648
20230815,145.0346,145.2022,143.7965,144.1037,6921100,-0.006418839622013284
20230816,144.0758,144.9788,142.3162,142.6328,6356800,-0.010207139406720356
20230817,142.6328,142.9586,141.3108,141.6087,6419500,-0.007179717706675359
20230818,141.1525,142.3348,140.7336,142.009,5448200,0.002826689039099106
20230821,141.5901,142.2324,140.8174,141.2922,4504700,-0.005047760205494911
20230822,140.9663,141.6459,140.5101,141.348,4195600,0.00039526016110191797
20230823,141.9439,142.8841,141.9439,142.67,4522500,0.009352737617268181
20230824,142.0183,144.0013,141.9531,142.009,4088900,-0.004633144178698201
20230825,142.8097,143.4427,141.9346,142.94,3541500,0.006555813219333739
20230828,143.0983,143.7127,142.4838,143.1634,3614700,0.0015631346598397045
20230829,143.3217,143.4055,141.5342,143.2472,4034600,0.0005851407503316697
20230830,143.4613,144.1781,143.0982,143.4054,3712200,0.0011047260245371504
20230831,143.4799,144.4481,143.21,143.6848,5451400,0.0019477094543125517
20230901,144.2061,144.5598,142.9586,143.843,4126300,0.0011013618188622232
20230905,143.182,144.1595,141.8787,141.9159,5097000,-0.013397200244619212
20230906,141.7763,141.9252,141.078,141.6366,3877400,-0.0019679373408234557
20230907,141.9625,143.5451,141.8508,142.9865,4824800,0.009530721810482756
20230908,142.8283,142.8655,141.8321,142.3721,3384700,-0.004297194519337522
20230911,142.7445,144.3923,142.5117,144.0664,4288500,0.01190086658834999
20230912,144.2899,144.4388,141.106,141.5342,4537800,-0.01757669142463869
20230913,141.4877,142.9865,141.1898,142.5211,4040600,0.006972388917272809
20230914,143.2286,144.2247,142.7817,144.0851,4606800,0.010973998582480604
20230915,143.3961,144.5971,142.6514,142.8748,10262400,-0.008399768711690236
20230918,143.7871,143.8151,142.912,143.4148,3536500,0.0037792722185632233
20230919,143.1355,143.4241,141.2643,142.9958,4704200,-0.002921001869381601
20230920,143.1541,144.0944,142.7724,142.8748,5446400,-0.0008465138950779494
20230921,142.8562,143.0982,141.5715,141.6366,5096400,-0.008666149833987391
20230922,141.9159,142.7538,140.9291,141.1153,6327000,-0.0036808772999962214
20230925,140.7429,140.836,139.663,140.2588,5527000,-0.006069334441737517
20230926,139.6257,139.9795,138.5179,139.0113,6366500,-0.00889414611682482
20230927,139.1044,139.3651,136.507,137.168,5403700,-0.013260124918690441
20230928,137.6149,137.7638,135.6226,136.2371,6237100,-0.006786961105376577
20230929,136.4232,136.6374,134.822,135.7902,6683300,-0.003280195223528626
20231002,134.7847,135.5481,133.9655,135.1664,5153800,-0.0045933626207911304
20231003,135.1478,136.3767,134.9989,135.4457,4670600,0.0020663181561000332
20231004,135.5388,136.2091,134.9244,135.8926,4727800,0.003299021288848847
20231005,135.6226,136.0043,133.77,133.8724,5205700,-0.014866173448122244
20231006,133.6862,134.5799,131.6846,134.1424,7406700,0.0020168781757710086
20231009,133.4628,134.0307,131.8243,133.4628,5062200,-0.00506634224968161
20231010,134.04,135.1944,133.7979,134.7847,5988900,0.009905087864838347
20231011,135.1199,135.5109,132.718,133.1276,5469100,-0.012294339615806282
20231012,132.9321,133.9934,131.8801,133.4255,5965600,0.002237567499819182
20231013,133.3045,135.0175,133.3045,134.701,7078900,0.009559163671815751
20231016,135.7902,136.9073,135.4178,135.9857,6509800,0.009537751470870992
20231017,136.0229,136.6839,135.213,136.1626,6160100,0.0013004996993366547
20231018,139.7002,140.8546,138.4993,139.6723,10508500,0.02577629147326932
20231019,140.1604,140.7881,137.8839,138.8863,8146000,-0.005627752684336684
20231020,139.6358,140.4133,138.5771,138.6989,7284200,-0.0013489267418959061
20231023,138.5209,140.0573,138.2399,138.7926,5981800,0.0006752643877905307
20231024,138.7645,140.5913,138.7176,140.432,6322000,0.011812230792495715
20231025,140.1885,141.6406,139.7013,141.0879,6172900,0.004670145253567348
20231026,141.5094,141.8186,140.2822,140.3384,7582100,-0.0053121588175206735
20231027,139.5702,140.4789,137.0407,137.8651,8131800,-0.017623483277604546
20231030,138.5584,140.1042,138.2211,139.8325,5412800,0.014270187589995986
20231031,140.0199,140.7694,139.2517,140.5539,6762100,0.005158956240261636
20231101,141.1628,141.1628,139.7857,140.1604,5896900,-0.0027997012378220276
20231102,140.0948,142.0715,139.5046,141.8748,5859200,0.012231710433048493
20231103,142.2027,142.6711,140.1698,140.5913,6587700,-0.009046337960396666
20231106,140.863,141.6968,140.6194,141.4064,6480800,0.005797177579615953
20231107,141.3877,141.6968,140.6382,141.0785,6003800,-0.002318605560596043
20231108,141.4251,141.65,140.0667,140.5351,4832600,-0.0038516195762342553
20231109,140.2822,140.8536,139.7013,140.8536,6581500,0.002266422442294358
20231110,141.3127,141.8748,140.4508,141.8467,5387200,0.007050277630207047
20231113,141.8842,143.2426,141.8842,142.8304,6297500,0.006934869754030348
20231114,142.9147,143.8047,142.0996,142.5119,7982600,-0.0022301082887169477
20231115,142.4556,142.7648,140.8817,141.856,7672600,-0.00460188206055101
20231116,142.3901,143.2332,141.753,143.177,7590500,0.009312036978374127
20231117,143.074,143.1864,141.3595,141.5282,8495600,-0.011515948422124223
20231120,140.7225,141.4907,140.2072,140.7787,6856500,-0.005295524372490035
20231121,140.3852,140.5351,139.4297,140.1604,7310400,-0.004392225772305802
20231122,140.6195,141.9123,140.6195,141.4814,4372700,0.009424693194779454
20231124,141.6312,142.1558,141.4907,141.8186,2132500,0.002383488914403875
20231127,141.9498,142.0622,141.219,141.6874,6021300,-0.0009246605041283162
20231128,141.6031,143.1208,141.6031,142.6711,6110400,0.006942556820066503
20231129,142.6711,142.821,141.4532,141.5844,5342700,-0.007617035721779963
20231130,141.3689,143.9265,140.6007,143.8234,9771300,0.015814203318204267
20231201,143.6454,143.7953,142.6149,143.0177,5685400,-0.005601864367003384
20231204,142.184,142.896,142.0809,142.4557,6578300,-0.003930090983377377
20231205,142.5306,142.9709,136.947,137.4904,11895800,-0.03485484911859771
20231206,137.7246,137.8651,136.4411,137.3873,7610000,-0.0007495640398371695
20231207,137.3124,137.8089,136.7971,137.2468,6119600,-0.0010227884462777892
20231208,136.7035,137.0033,135.3919,135.9821,6385300,-0.009214854054784838
20231211,135.6542,136.6566,135.5137,136.6098,8471200,0.004615829664383675
20231212,136.6472,136.9939,135.9165,136.7222,6069200,0.0008227539381553406
20231213,136.6473,139.261,136.2632,139.1955,9055500,0.01808983591371871
20231214,139.083,139.1673,135.2607,135.523,10565200,-0.026383327738992546
20231215,134.1365,135.1389,133.4995,134.8672,14550000,-0.004838860223627672
20231218,135.064,138.1743,135.0452,136.9377,8421800,0.015351422048138552
20231219,136.4692,137.0969,136.2069,136.9377,5233600,0.0
20231220,136.3756,136.844,134.7548,134.8204,7663800,-0.01546129378118477
20231221,135.3919,135.6448,134.0897,135.1483,6104700,0.0024319821956448884
20231222,135.3731,136.4318,135.1764,136.1039,4413800,0.007070502588946148
20231226,135.9259,136.9377,135.8134,136.7222,3634900,0.0045429763748860985
20231227,136.4505,137.0688,136.1788,136.8346,4569400,0.0008223007792773629
20231228,136.7784,136.7878,135.879,136.5255,5023000,-0.0022593576671019466
20231229,136.7784,137.6778,136.5254,137.2843,5300900,0.005558081448190366
20240102,137.1157,139.973,137.0688,139.3454,7238400,0.015013234320270241
20240103,138.9706,139.7763,137.8839,138.5022,7697500,-0.006051048073413723
20240104,138.6989,139.8419,138.4366,139.261,7067400,0.0054790865317349
20240105,139.3266,139.4671,137.2937,138.1087,5294200,-0.008274484362267631
20240108,138.5678,139.514,138.3242,139.2985,8255300,0.008614981638129127
20240109,139.1861,139.9636,138.6989,139.87,9786800,0.004102280758561561
20240110,139.9168,140.5258,139.8325,140.4695,8591100,0.0042866877040987905
20240111,140.5726,141.2752,139.8606,141.0036,6659400,0.0038016201069497324
20240112,141.4158,141.7437,140.4227,141.0879,5684700,0.0005979995907283708
20240116,140.6663,141.931,139.4765,140.329,8120100,-0.0053786716574729665
20240117,139.7388,141.0879,139.5983,140.4695,6541400,0.0010014568424294712
20240118,139.7446,139.9048,138.5096,139.6597,6526200,-0.0057651622692272975
20240119,139.7635,140.1123,138.8773,139.1224,7848100,-0.0038473729011611058
20240122,138.5567,139.7257,137.9062,139.3957,11084100,0.0019647875931241288
20240123,144.3452,147.4469,144.1378,145.1654,19101600,0.0413904575357571
20240124,145.1183,145.4011,143.3836,143.4119,11592700,-0.012079391109047655
20240125,143.6758,146.7492,143.3553,146.7115,10352500,0.023008113619830795
20240126,146.8907,147.2206,146.4476,147.2018,8356600,0.003341589281453672
20240129,147.7108,148.3236,146.5041,147.2206,8987400,0.00012812253323946088
20240130,147.3903,148.8799,146.9001,148.4745,7794700,0.008516880416979289
20240131,148.9459,149.4267,147.7297,148.1445,8870000,-0.0022223080926381256
20240201,147.7957,150.1809,147.6543,150.0677,7601100,0.012981933915622967
20240202,149.8697,150.4637,148.5122,149.0401,7937700,-0.006847697252593599
20240205,149.1156,149.898,148.5405,149.1533,6931900,0.0007592531676245962
20240206,149.2475,149.964,148.8327,149.8603,6185400,0.004740504489606945
20240207,149.9923,150.6805,149.6529,150.0111,7209300,0.001006185874359966
20240208,149.7095,149.9923,148.7385,149.5587,6121600,-0.0030162354700055127
20240209,149.2004,149.2758,147.9748,148.4085,5978000,-0.007690372348001517
20240212,148.3519,148.5876,146.589,148.1162,5482000,-0.001969340431348665
20240213,148.7196,149.8698,146.5796,147.3243,6046800,-0.005346378288946685
20240214,147.2206,147.2206,146.0422,146.7209,5727300,-0.004095681347208169
20240215,147.3526,148.4085,147.2112,148.0219,6249200,0.008867033906907018
20240216,148.0502,149.3795,147.7014,148.4933,6617600,0.003184594204683755
20240220,149.6152,150.6428,149.0778,149.4361,6622100,0.006348866760422567
20240221,150.0772,151.2179,150.0772,151.2179,7121000,0.0119234879908936
20240222,150.3317,151.8684,149.5492,151.3687,6619500,0.0009975565615882864
20240223,151.4064,152.4812,150.9916,151.8118,5486500,0.0029271879389132227
20240226,151.8118,151.9438,150.9068,151.0482,4531900,-0.005029882485308557
20240227,150.2846,150.6523,149.8603,150.1809,3868200,-0.005742140494445103
20240228,149.964,150.9539,149.5586,150.8879,3802900,0.004707966284958731
20240229,150.7748,150.9445,149.125,149.8415,8348100,-0.006935265094895726
20240301,149.0024,149.9263,148.5876,149.7566,4819800,-0.000566190811802536
20240304,148.7102,150.6145,148.6442,150.426,3841600,0.004469633604569534
20240305,150.3317,150.8314,149.6906,150.1997,4481600,-0.0015041105389377307
20240306,150.5391,150.8313,149.8132,150.4354,5405700,0.0015689557260687437
20240307,150.7936,151.6987,150.3411,151.4253,4783900,0.006580224596290041
20240308,150.6994,152.0192,149.2287,151.1708,5080200,-0.0016809071678935972
20240311,152.1041,153.3108,151.6139,152.3021,5170900,0.007483703398573516
20240312,152.5566,153.2165,152.0004,152.6603,4229100,0.0023521057292414937
20240313,153.0846,153.4145,152.0947,153.0091,5410500,0.0022850155316287424
20240314,152.9526,153.3108,151.9061,152.2549,5848100,-0.004929191979701653
20240315,151.5007,152.2549,151.1236,152.1418,10956900,-0.0007429211281938519
20240318,152.2361,153.4051,151.7836,151.9816,6086300,-0.0010533794494825832
20240319,152.5377,152.8866,151.9438,152.566,6148100,0.0038456815849139403
20240320,152.7357,153.1034,152.2266,152.7169,4870300,0.0009886416723516867
20240321,152.8112,153.16,151.8967,152.5943,5211500,-0.0008023218775491392
20240322,152.9148,153.1128,152.2266,152.4057,6393200,-0.0012358478472208612
20240325,151.9438,152.4058,150.5862,151.0199,7145600,-0.0090930543790122
20240326,151.1802,151.9156,150.9728,151.3593,5842700,0.002247495034222169
20240327,152.1229,153.424,152.1041,153.3014,6599700,0.01283080724452934
20240328,153.4994,153.801,152.4435,152.962,7191500,-0.002214047115687068
20240401,152.5189,152.7923,150.6522,151.3876,5971900,-0.010292866009690593
20240402,150.5014,151.5102,150.5014,151.3782,6771200,-6.198762565723381e-05
20240403,151.4347,151.6704,146.7681,147.2112,9601800,-0.02752703432815362
20240404,147.8994,148.088,146.5136,146.5513,6801700,-0.004482758048814484
20240405,146.4004,148.0691,145.8348,147.1641,5121200,0.004181423816457253
20240408,147.0415,147.7297,146.7209,147.1075,5476800,-0.00038456976296652456
20240409,147.3243,147.7768,146.787,147.692,4608100,0.0039735147422397255
20240410,146.7398,148.5593,146.7398,148.2388,7784900,0.0037021872700919722
20240411,148.531,148.5782,146.8529,146.9189,8209800,-0.008903572288436745
20240412,146.3344,147.0415,145.8819,146.4381,6770500,-0.0032727910607688315
20240415,147.4657,147.8429,146.4381,146.5513,5754000,0.0007728483384386031
20240416,146.9284,147.956,146.7587,147.0227,6103300,0.0032165519412801213
20240417,147.3526,148.1257,146.8247,147.9748,6621900,0.006476305766819124
20240418,148.342,149.566,147.9814,149.2434,7819300,0.008572876929920703
20240419,147.0516,150.0879,145.6663,150.0499,12034200,0.005404150881087144
20240422,150.3251,153.0388,149.2055,152.3272,8926300,0.015176528157538671
20240423,153.4088,153.8074,152.2133,153.2381,7707300,0.005979817714528712
20240424,152.9534,154.5285,151.2645,154.2818,7217600,0.006811178250591965
20240425,154.6329,155.9138,153.7884,154.2344,7094600,-0.00030738765886018093
20240426,154.1869,154.965,152.2797,153.0388,5659800,-0.007751657292318748
20240429,152.9249,153.5132,152.2038,153.3898,4621000,0.002293921462079629
20240430,153.5606,154.9934,153.3329,154.8511,8106100,0.009526232977340898
20240501,154.927,155.8379,153.9212,155.0408,7543000,0.001225523042237553
20240502,155.1737,156.0751,154.3197,155.4583,5647500,0.002692811175387888
20240503,155.1737,156.2838,153.8643,156.0466,5581500,0.003784114004176331
20240506,156.3503,156.54,154.908,156.0277,5472400,-0.00012144714541029167
20240507,156.54,157.5458,156.17,157.2801,6433000,0.008027144875779824
20240508,157.4888,157.8589,156.4926,156.6254,4579400,-0.004162693026734887
20240509,156.6064,157.8209,156.6064,157.5458,4671100,0.0058762136246282015
20240510,157.5932,158.7983,157.2232,158.3144,4879400,0.004878488162620043
20240513,158.3144,159.0734,156.9006,157.3845,5725500,-0.00587357076284134
20240514,157.0619,157.5743,155.5627,157.2801,6009800,-0.0006631537615070515
20240515,156.8532,158.1531,156.6729,157.9918,5102700,0.004524662115292566
20240516,158.3903,159.7281,158.0677,159.2727,6793600,0.008107571960532134
20240517,159.0924,159.4055,158.3428,159.0639,4700800,-0.0013106797744224519
20240520,158.9786,159.2917,158.2574,158.7508,3804600,-0.001968455972681027
20240521,159.1778,159.9179,158.7319,159.7376,5147100,0.006216134074414903
20240522,159.415,159.8135,159.0545,159.2253,4536700,-0.0032076981699308282
20240523,158.7318,159.5099,156.8626,157.0239,4729800,-0.013825222190044117
20240524,157.3655,157.802,156.7013,156.8721,3820100,-0.0009666962078455077
