datetime,open,high,low,close,volume,return
20230718,72.6458,73.1923,71.597,72.7516,595700,0.0013345598388740942
20230719,72.6899,73.2981,72.2756,72.6458,1789100,-0.0014540098214089747
20230720,73.0954,74.8934,72.6106,74.4792,1178500,0.025236629834126445
20230721,74.9199,75.7308,74.5497,75.2901,690300,0.01088747715279026
20230724,75.2019,75.5721,74.6643,75.2107,543600,-0.0010533603258394697
20230725,75.1578,75.8277,74.867,75.1314,498900,-0.0010549782649117434
20230726,74.9992,75.8013,74.3558,74.6907,747300,-0.005865882558664159
20230727,74.5585,74.7524,73.3686,74.0649,1170300,-0.008378364630007962
20230728,74.7348,74.8494,73.5096,73.8622,684500,-0.002737170543174683
20230731,74.1338,74.2585,73.457,73.7598,1725100,-0.0013865959431119679
20230801,73.831,73.9735,73.0295,73.2788,1349300,-0.00651996790596121
20230802,73.4302,74.0715,72.9137,73.5371,774300,0.0035243818068144694
20230803,72.9315,73.3412,70.6248,70.6248,1630600,-0.039602616796366674
20230804,71.0167,71.5689,69.6897,69.9836,790100,-0.009079458222695624
20230807,70.1973,70.4556,68.2113,68.238,1059500,-0.024943060487357727
20230808,68.1935,68.808,67.2495,68.6477,835600,0.00600385148095528
20230809,69.7342,70.8564,69.2177,69.4314,1204900,0.011416691052281713
20230810,69.4849,69.8144,68.4785,68.6655,726000,-0.011031352507923753
20230811,68.9149,69.2177,68.7367,68.9327,415600,0.0038909459590839024
20230814,68.9238,68.9238,68.2202,68.8882,535400,-0.000645922190061432
20230815,68.3716,68.5675,68.0866,68.2647,1157900,-0.009049641456466029
20230816,68.6388,69.1999,68.3093,68.8436,750300,0.008480266654864677
20230817,68.8614,69.5828,68.7635,68.8704,813300,0.00038798804096962236
20230818,68.9772,70.0459,68.9772,69.6897,1062600,0.011896897908767912
20230821,69.6363,69.6363,68.2915,69.1821,950300,-0.007284138322432354
20230822,69.9925,70.4111,69.5561,70.0905,1429800,0.013130591744531683
20230823,70.6694,70.794,69.6541,70.2686,875600,0.0025413365860815773
