datetime,open,high,low,close,volume,return
20230829,129.4173,131.5055,129.0538,131.4029,1123800,0.015342819400171681
20230830,131.4589,132.5029,131.1792,132.4097,1199900,0.007661738984827693
20230831,132.68,133.1555,131.7199,132.1487,1202400,-0.001971281927887425
20230901,132.9877,133.6682,131.6546,132.3817,1101500,0.0017636403272975887
20230905,131.897,132.3631,127.1707,127.2173,1772700,-0.03901152289652676
20230906,127.6555,128.6343,126.9563,127.758,2163500,0.004250229240468917
20230907,127.3851,127.9258,125.8563,126.947,1176000,-0.0063482722911664125
20230908,126.6953,127.5529,126.3411,126.4995,1271800,-0.003524629435220361
20230911,127.6555,127.8792,126.5555,127.1055,854300,0.0047901308937357
20230912,125.2784,126.0707,124.4767,124.7656,1448500,-0.018408794444552457
20230913,124.5047,125.0453,123.4513,123.9826,1166700,-0.006275926752807193
20230914,125.4089,125.5953,124.0479,125.2784,1036400,0.010450966576721621
20230915,124.5046,126.5182,124.4673,124.7284,2213900,-0.004390187013355584
20230918,124.486,124.747,123.3207,123.5072,978900,-0.009790624107710588
20230919,123.3021,123.6097,121.503,123.2462,1454500,-0.002113311838431775
20230920,124.4767,124.6445,121.7174,121.9318,807700,-0.01066489275432081
20230921,121.2326,121.2326,119.3216,119.5919,1448600,-0.019189652857286466
20230922,119.825,122.4258,119.6013,121.3072,1660500,0.014342568584325477
20230925,120.5894,123.2928,120.5894,123.097,1174600,0.014754297144310424
20230926,122.4072,122.9199,119.8157,119.8903,1200000,-0.026050646156008717
20230927,120.636,121.1394,118.3335,119.3496,1313400,-0.00450979063277257
20230928,119.6013,122.3046,119.0792,121.708,936000,0.019761001885333362
20230929,122.864,122.9292,120.7665,120.9996,1117900,-0.005821150720049406
20231002,120.6453,121.2979,119.7131,120.5987,1177700,-0.0033126195565174044
20231003,119.2004,121.475,119.0419,119.9275,1305600,-0.005565531019982917
20231004,122.3699,124.4394,121.0369,124.1877,2719800,0.03552280398001373
20231005,123.647,124.7377,121.2792,122.4258,1932300,-0.01418710332587314
20231006,121.9131,124.8869,121.4191,124.1038,1556200,0.013706019574615258
20231009,122.7987,122.9385,119.825,120.0301,1886100,-0.03282524722230318
20231010,120.9623,122.9106,120.7106,121.447,2128200,0.011804928892468425
20231011,123.5165,124.1317,121.9317,123.5351,1233100,0.017193666937989516
20231012,124.169,124.2063,120.0114,121.2419,826000,-0.0185631210282462
20231013,121.0462,121.6055,119.2191,119.7504,1355100,-0.012301982018853796
20231016,121.1394,122.2394,120.4682,121.5123,1143500,0.014712988917443326
20231017,120.2165,123.4699,120.0674,122.5377,1812800,0.008438574305382529
20231018,120.9343,121.3911,118.9767,119.1165,2319700,-0.027919352035932876
20231019,117.4572,120.4962,115.4903,115.9097,4053100,-0.026921365560566457
20231020,116.3106,117.886,115.947,116.264,2234200,0.0030563062538266905
20231023,115.5928,116.6182,115.0148,115.3038,1482100,-0.008258505914611636
20231024,116.5623,117.2428,113.6072,114.5208,1573500,-0.006791258764579422
20231025,114.1479,114.2598,112.2742,113.2437,1133400,-0.011151818261217361
20231026,113.8776,115.1733,113.4954,113.7377,1440000,0.004362910564409406
20231027,113.542,114.3437,112.1716,112.5352,838900,-0.010572965941660684
20231030,113.9801,114.7259,112.3021,113.5606,1161600,0.009111936831823098
20231031,113.7004,114.9682,113.5047,114.4462,1970100,0.007798454981872149
20231101,114.7445,115.3504,113.3742,114.6326,1094200,0.0016291248430406746
20231102,115.0521,116.7114,114.8843,116.4504,1622200,0.015857433513054353
20231103,117.7741,120.6919,117.7741,119.6106,1098500,0.027137352842323992
20231106,119.3403,120.4216,118.3428,119.0886,977900,-0.004364316523487899
20231107,118.3521,119.8623,117.9326,119.1445,1521900,0.0004695955763456272
20231108,119.0886,120.9716,118.8275,120.7665,1340300,0.013613992784301532
20231109,121.3286,121.7784,119.2019,119.333,1170600,-0.011869777382921498
20231110,119.8015,120.8977,119.1176,120.6822,1283600,0.011305766985838295
20231113,120.1763,122.0876,120.1763,121.1225,1574800,0.0036488046540734675
20231114,123.3805,125.9476,122.734,125.0856,2368000,0.03271966456564579
20231115,125.2636,127.1749,124.6921,125.1887,2094200,0.0008237764851519724
20231116,125.2449,126.8002,125.1606,126.6315,1274000,0.011525389228782545
20231117,127.1843,127.4466,126.6315,127.2967,961700,0.005252970460566386
20231120,126.8845,127.6434,126.1537,127.0063,902100,-0.002281625420623934
20231121,127.3342,128.421,126.8189,127.9619,982700,0.0075245543241933
20231122,128.7208,129.1893,127.3623,128.0181,734300,0.0004392380332081114
20231124,128.1961,128.5147,127.2686,127.8401,355900,-0.001390856060045298
20231127,127.0812,128.9831,126.7158,128.6271,1161000,0.006156267844081631
20231128,128.8051,129.9201,127.8589,129.3673,1619700,0.005754530466424379
20231129,130.7445,131.6252,130.2386,130.7445,1252900,0.010645637082805859
20231130,130.96,133.1149,130.3323,133.0306,2751100,0.017485266624582163
20231201,132.787,134.7826,132.5246,134.5671,1553500,0.011549967407610717
20231204,133.9956,135.6258,133.752,134.1174,2813400,-0.0033421064478025286
20231205,133.3304,133.752,132.3747,133.6489,1902500,-0.003492911724935932
20231206,134.7825,135.5227,133.4053,133.6957,1992000,0.00035050407509507053
20231207,135.0261,136.2254,134.4265,135.8319,1533400,0.01597749981624963
20231208,135.8319,136.647,134.6889,134.895,1136600,-0.006897421745998056
20231211,135.6913,137.6026,135.3728,136.6376,2053300,0.012918307462368883
20231212,136.825,137.6307,136.1504,136.1973,1998800,-0.0032225603569797645
20231213,136.1598,138.2585,136.0568,138.1648,2579700,0.014446061226392137
20231214,140.1604,141.6219,139.5701,139.7388,2463400,0.011392010418379561
20231215,139.4483,140.6756,138.8955,139.2984,2920900,-0.003151261765909963
20231218,139.2422,140.0105,138.221,139.364,2411000,0.00047102330360404565
20231219,140.0011,140.7975,139.0455,140.076,1926700,0.005109182162971848
20231220,140.0011,140.076,136.9843,137.0873,1478600,-0.021336436593194064
20231221,138.3147,138.8956,137.256,138.4271,1399200,0.009773206272598811
20231222,138.755,140.0105,138.5208,139.364,1309400,0.006768218418976568
20231226,139.4483,140.8162,139.2797,140.2447,870600,0.006319032645160094
20231227,139.8887,141.0785,139.8606,140.685,1327700,0.0031400030072654683
20231228,141.1535,141.3034,140.6476,140.8912,817100,0.0014651948701585038
20231229,140.5071,141.1816,139.8793,140.1136,944200,-0.005519176324584429
20240102,138.4083,139.2984,137.5745,137.9867,1842800,-0.015179229319480236
20240103,137.3965,137.7057,135.1667,136.4315,1739500,-0.011270914981689306
20240104,135.7007,136.9655,135.2604,135.7663,1702500,-0.004875757380881196
20240105,135.1292,137.0499,134.9325,136.7313,1081100,0.007107887762739962
20240108,136.9093,138.1648,136.3753,138.0898,1013400,0.009935471328917034
20240109,137.0405,137.3215,136.141,137.003,955400,-0.007870293583774224
