datetime,open,high,low,close,volume,return
20230718,145.97,146.88,145.14,146.78,348200,0.001569401042303964
20230719,147.0,147.83,145.78,146.64,411600,-0.0009538042704234639
20230720,145.71,146.47,143.35,143.6,557800,-0.020730996309233585
20230721,143.93,145.89,143.2,145.53,558400,0.013440059845053254
20230724,144.95,145.16,142.46,143.09,490200,-0.0167663193971892
20230725,142.38,144.64,141.81,144.24,795800,0.008036964041552075
20230726,144.0,144.24,142.81,144.19,915000,-0.00034666562571772364
20230727,149.97,152.09,144.95,145.29,1538200,0.0076287594569779404
20230728,146.49,147.12,141.57,146.63,1456300,0.009223013687120751
20230731,146.34,146.59,144.08,145.81,803000,-0.005592356931816922
20230801,144.82,147.61,143.48,146.51,945400,0.0048007472735942525
20230802,143.0,144.4,141.55,143.75,3298100,-0.018838267765460603
20230803,142.96,144.94,142.92,143.44,1431700,-0.0021565047554348293
20230804,143.8,144.48,140.72,141.22,1527100,-0.015476862680687486
20230807,142.2,143.4,141.29,142.9,811700,0.011896279997588355
20230808,141.9,142.93,141.4,142.84,753400,-0.0004198569710032185
20230809,143.19,143.65,141.38,142.68,968300,-0.0011201600826905578
20230810,143.41,144.84,141.71,142.51,910800,-0.0011914646598812917
20230811,142.1,144.09,141.96,143.26,591200,0.005262788779098804
20230814,143.26,146.06,142.82,145.79,732000,0.017660190397230213
20230815,145.0,146.45,144.6,145.01,525400,-0.00535015306411335
20230816,144.72,146.18,144.31,144.32,508900,-0.004758204322148685
20230817,144.72,144.86,140.93,141.18,685000,-0.021757306603951143
20230818,139.82,140.63,139.03,139.93,794400,-0.00885394577736387
20230821,140.4,141.5,140.17,140.97,596900,0.007432349027070906
20230822,141.58,142.91,141.26,141.52,1066800,0.003901560949103766
20230823,141.58,143.36,141.58,142.86,588300,0.009468600179737052
20230824,144.07,144.71,140.21,140.24,489300,-0.018339598949978275
20230825,140.58,145.42,140.58,144.85,690500,0.03287222211764873
20230828,144.83,146.41,144.6,145.49,507100,0.00441835942479063
20230829,145.15,146.75,144.41,146.59,471600,0.007560593877207866
20230830,146.72,147.88,146.11,146.43,629300,-0.001091504646337338
20230831,146.63,147.68,146.63,147.17,460600,0.005053646999781947
20230901,148.15,148.15,145.92,146.75,570300,-0.0028538300888144574
20230905,146.72,147.5,145.81,146.11,642800,-0.004361154273583856
20230906,145.5,146.6,144.07,146.0,503500,-0.0007528616103761321
