datetime,open,high,low,close,volume,return
20230718,198.4348,199.8995,197.7772,198.8832,812600,0.001505099612191696
20230719,197.9167,199.7002,196.761,199.222,542000,0.0017033899546947673
20230720,200.1884,200.1884,198.2754,199.2519,522000,0.00015004353100600554
20230721,199.8596,202.7391,199.8596,200.7564,671500,0.007550828331994497
20230724,202.2609,203.4266,200.8162,203.0679,598700,0.011514148229390564
20230725,202.4303,205.6784,202.1812,204.6521,615200,0.007801396110490577
20230726,203.9447,204.6521,200.8361,201.9122,734100,-0.013388450801299911
20230727,202.7391,202.8985,200.1287,200.8959,602200,-0.005033359115784064
20230728,201.8524,203.865,198.8234,199.75,1089400,-0.0057035172119878075
20230731,200.6667,201.414,199.3017,200.8859,821500,0.005686351633156006
20230801,200.2283,201.7129,198.933,201.1549,1094800,0.0013392065692900967
20230802,199.9095,201.7328,199.1224,201.5834,1235000,0.0021298821525388423
20230803,199.5408,203.4665,193.2936,202.5996,1349600,0.00504141748291409
20230804,203.317,203.6159,197.4684,199.5508,1009500,-0.015048688506156482
20230807,199.5906,201.5634,198.6242,201.3841,552200,0.009187200956983554
20230808,201.5534,203.1177,200.6567,201.9619,630800,0.002869470136439123
20230809,201.7627,203.9149,201.3343,202.6993,501600,0.003650937632831308
20230810,203.2373,204.0543,198.1758,199.7002,676000,-0.014795656853256345
20230811,199.76,200.8062,198.9032,199.4412,522100,-0.0012971866247887265
20230814,199.481,202.8686,198.5743,202.7989,554400,0.01683559953015079
20230815,202.1314,203.3868,201.2745,202.4602,668900,-0.0016702747229100368
20230816,202.6096,203.5461,199.8995,200.039,483800,-0.011958838533182803
20230817,200.049,201.7826,199.1821,199.6803,826600,-0.0017929398217541026
20230818,197.8071,202.8886,196.5916,202.3306,696900,0.013272710919683739
20230821,202.7192,203.5163,200.4774,202.8288,478300,0.0024622285215640805
20230822,203.7953,206.9238,203.0281,205.8777,681300,0.015031685327191457
20230823,205.9474,208.6475,204.8315,207.4918,552400,0.00784011856157818
20230824,207.7608,207.7608,200.7863,200.8261,697100,-0.03212488730109475
20230825,202.0018,206.0071,201.8922,204.5226,634200,0.018406256505796526
20230828,205.1403,207.1231,204.7617,206.9238,428400,0.011740659648597163
20230829,206.1765,207.8803,204.9112,207.8405,406600,0.004429996759816035
20230830,208.3885,210.3015,208.2191,208.8767,410400,0.0049856717915595095
20230831,209.2354,211.6565,209.066,209.1059,767100,0.0010971628707929781
20230901,210.152,212.0451,209.2354,211.5868,560500,0.011864379075190001
20230905,211.0986,211.1185,205.8777,208.0497,640800,-0.016716846171769717
20230906,208.4782,210.3015,206.7544,208.3287,509200,0.0013409124013017415
20230907,207.2128,209.3848,204.682,207.9401,667500,-0.0018652271228604134
20230908,208.6475,208.807,204.9112,205.7481,621500,-0.01054142989469209
20230911,206.884,207.2427,203.4964,204.2934,613700,-0.007070204938345426
20230912,203.7355,207.2626,203.4764,203.7455,478200,-0.0026823616404284545
20230913,203.1576,204.8614,197.4784,199.6006,826300,-0.020343134574963395
20230914,201.0254,203.0181,199.8696,202.0516,568100,0.012279540436695102
20230915,200.8261,200.8261,197.6676,198.5146,1211200,-0.017505816493042836
20230918,199.0227,199.6106,196.6514,196.9802,602800,-0.007729297416957159
20230919,196.6713,197.7474,193.2438,195.4159,787600,-0.007941255961887328
20230920,196.1532,197.2193,194.4594,194.5391,472500,-0.004486999344175402
20230921,193.463,193.463,185.4124,185.791,1375100,-0.04496799160864584
20230922,185.7612,188.9097,185.6615,187.7639,1121900,0.010618427953609011
20230925,187.2059,187.6742,183.9777,186.897,726000,-0.004616631608579502
20230926,185.4822,186.349,183.4994,184.177,841700,-0.014553720652590196
20230927,186.7675,189.8163,185.7313,189.4277,1261800,0.028509334791025465
20230928,189.1189,191.5102,187.9332,188.2321,774700,-0.00631157397383153
20230929,189.528,190.3852,185.6006,186.4678,910900,-0.009372987087691964
20231002,186.2785,186.5177,174.9152,176.0714,2088200,-0.05575450864487841
20231003,174.646,175.9717,167.8181,168.8248,2950100,-0.04115731868667838
20231004,167.9676,171.3267,163.3624,171.1971,2620500,0.014052111956307067
20231005,169.7219,171.1373,167.1004,167.6885,1914200,-0.02049489214209166
20231006,166.9409,173.2605,165.2264,172.1541,1648400,0.02663028206949969
20231009,171.0177,173.5296,169.672,173.3302,1055000,0.006832035591359142
20231010,173.6393,178.2843,173.4499,177.0582,1421800,0.021508058985665546
20231011,177.5167,179.5003,177.0183,178.7428,813500,0.009513957976119425
20231012,179.9688,180.8659,176.201,177.3373,1080100,-0.00786292740747574
20231013,178.3042,178.9421,171.5061,172.9714,944700,-0.024619217141866878
20231016,175.1344,176.3007,173.0412,175.8122,696400,0.01642372952227511
20231017,174.646,179.3508,174.1775,178.8225,729100,0.017122068149269865
20231018,176.8988,176.9187,171.1872,171.4862,770400,-0.041025531191592135
20231019,170.918,172.6125,168.0672,168.1968,1442300,-0.019181794472778013
20231020,168.7849,169.4229,163.3624,164.1698,1908600,-0.023942056869370454
20231023,163.6814,166.2531,162.4454,164.9374,1261300,0.004675233854637861
20231024,169.2036,173.5794,166.7016,166.7116,1249200,0.010757090977381978
20231025,167.3695,170.1007,167.0804,167.6885,1063900,0.005859625987084227
20231026,168.3563,169.1537,165.8444,166.7116,919900,-0.005825490789864496
20231027,166.8312,166.8911,163.3126,164.3393,810800,-0.014230049538643708
20231030,165.7846,167.0505,162.0367,164.2296,1106900,-0.0006672150965539858
20231031,164.2994,167.1402,163.5219,166.582,1573500,0.014323855699838628
20231101,163.5319,164.3193,153.2451,159.1062,4262000,-0.0448781322475037
20231102,169.4528,174.6859,165.7049,174.5164,3054400,0.09685522865671947
20231103,175.9717,177.427,166.8213,168.6354,1758100,-0.033698903603953
20231106,168.5059,168.7251,164.8377,167.9178,1114400,-0.0042556387303661625
20231107,166.4823,166.9708,163.4123,164.5486,1093700,-0.02006441272413917
20231108,169.6322,170.4695,166.5821,169.2136,1801900,0.02835015601098534
20231109,171.1672,174.4267,167.5589,169.0242,1670600,-0.00111924888048065
20231110,170.7585,173.9084,169.1637,173.5097,1406000,0.026537559058416482
20231113,173.4698,176.9685,173.0611,175.6727,1273900,0.012466484198710548
20231114,179.4206,184.1852,178.992,182.2614,1520800,0.0375055361874046
20231115,183.5473,186.6971,183.009,183.1286,1517900,0.004758016202019322
20231116,182.6003,184.883,181.6135,182.71,846400,-0.002286044339228077
20231117,183.6868,184.6039,181.6235,182.5206,633900,-0.0010365722429971358
20231120,182.6203,184.4543,181.1849,183.5373,806300,0.005570376508495567
20231121,183.2283,184.3546,182.4807,182.7698,733500,-0.004181887714805876
20231122,182.9193,183.8961,181.6235,183.2183,789600,0.002454166175836159
20231124,183.0588,183.6968,181.4141,181.9923,329300,-0.006691626285301733
20231127,181.5437,185.2817,180.8659,185.1122,1191100,0.01714322221948339
20231128,184.8331,185.8299,180.3875,180.7563,1185300,-0.023531358081110065
20231129,182.4309,185.8299,182.0521,185.0125,1580400,0.0235470190341196
20231130,186.4878,188.1723,185.5807,187.7038,1889900,0.014546495821601946
20231201,187.2054,192.2591,185.9794,189.9366,1012900,0.01189527205045171
20231204,188.5611,190.0164,187.7238,189.0295,686400,-0.0047756667383801465
20231205,188.5411,190.3054,186.5576,188.8202,896400,-0.0011072597883153845
20231206,190.5248,192.5383,189.5678,191.2325,1007300,0.012775361118970041
20231207,191.1926,194.1231,191.1926,193.7543,1266300,0.013187195135379692
20231208,194.3723,198.9475,194.0932,198.6086,1477600,0.025053942066873836
20231211,198.6086,201.1205,198.489,201.1105,962700,0.01259725135513845
20231212,201.1404,205.915,200.8514,204.6092,1050500,0.017396915625061737
20231213,204.6591,210.879,204.6591,209.6031,1481100,0.024406919660285853
20231214,211.6864,216.5507,211.6067,215.1054,1496800,0.026250768933975488
20231215,214.7764,216.2616,212.3044,214.3279,1792700,-0.003614490735535436
20231218,214.4674,215.4044,213.2712,214.3079,893500,-9.319252457840044e-05
20231219,215.3247,217.7967,214.3079,217.0092,1537100,0.012604876281623545
20231220,215.9127,218.4645,212.0552,212.2146,1441900,-0.022093858520891296
20231221,213.4308,215.0356,210.4504,211.7662,1014800,-0.002113361814919945
20231222,212.9324,213.4706,210.261,213.351,766900,0.007483909961063739
20231226,213.6102,214.7864,213.3909,213.969,395000,0.0028967604530083513
20231227,214.4475,215.3346,213.8195,215.2549,454100,0.00600941018809964
20231228,216.3015,216.5507,214.6568,215.7732,474200,0.0024080342855312686
20231229,215.0851,216.2618,213.9383,215.1948,457100,-0.0026805908982391324
20240102,212.991,214.2275,207.6859,208.6831,1068800,-0.030259364563838376
20240103,203.4678,204.9935,200.8651,201.1742,1354600,-0.03598228404290116
